Reward Loss,Running Env Steps,Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Running Update Time,Real Det Return
1702.657470703125,0,279.9069,436.2121,0,334.03,0,294.17
1593.7459716796875,5000,298.9109,454.5771,1,300.8,1,319.36
1205.575927734375,10000,259.4147,440.3628,2,328.32,2,310.08
738.4126586914062,15000,269.6599,435.0588,3,339.91,3,322.63
-361.9451599121094,20000,271.2494,421.2015,4,428.72,4,409.76
1004.5673828125,25000,287.9154,422.5943,5,337.13,5,384.43
-265.9007263183594,30000,267.8997,436.201,6,411.34,6,419.41
277.3343200683594,35000,244.3782,422.2767,7,466.14,7,612.4
-436.2025146484375,40000,246.5846,410.6304,8,448.42,8,403.41
-462.4795837402344,45000,257.9868,428.399,9,469.42,9,435.01
-1038.5347900390625,50000,259.5574,425.9636,10,498.22,10,527.52
-1290.4459228515625,55000,263.0461,432.6852,11,459.02,11,438.02
-1311.9398193359375,60000,251.0381,434.2559,12,443.5,12,473.26
-1414.9959716796875,65000,265.2767,428.0472,13,538.11,13,510.89
-1483.067626953125,70000,250.1358,419.7703,14,527.9,14,575.33
-1459.6981201171875,75000,261.242,409.1408,15,545.52,15,460.96
-1813.552490234375,80000,276.3961,416.5305,16,581.45,16,439.23
