Running Env Steps,Itration,Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return
0,0,0,-312.92041015625,25.4423,40.0962,201.86,210.71
5000,1,1,-351.4501037597656,45.7363,39.5863,204.98,210.86
10000,2,2,-347.79107666015625,27.5261,39.4506,238.36,233.22
15000,3,3,-361.2462463378906,34.9815,37.0367,311.7,307.22
20000,4,4,-374.4403076171875,22.6015,36.7876,293.0,243.52
25000,5,5,-291.240234375,17.3949,35.4952,374.85,383.87
30000,6,6,-297.4736633300781,17.2873,31.7951,462.69,455.5
35000,7,7,-215.01300048828125,21.3775,29.1751,720.31,836.76
40000,8,8,-251.3702850341797,19.2263,29.7892,1150.39,965.07
45000,9,9,-307.8267517089844,21.2588,31.2496,1019.6,787.42
50000,10,10,-109.364990234375,11.9106,28.5851,2732.69,2397.54
55000,11,11,-114.30740356445312,10.2,27.8094,662.72,740.74
60000,12,12,-92.90668487548828,14.7817,28.4447,2994.02,2680.27
65000,13,13,-236.1096954345703,16.0392,29.8746,1396.13,1004.0
70000,14,14,-76.8755111694336,13.003,26.3543,3110.44,1853.21
75000,15,15,-40.16521453857422,18.9737,26.0387,3079.83,2747.12
80000,16,16,-43.271751403808594,15.3149,27.951,3175.29,2865.43
85000,17,17,-103.32459259033203,11.8945,26.8108,3059.83,3019.9
90000,18,18,-117.12339782714844,12.59,27.9094,2233.32,2637.95
95000,19,19,-205.03363037109375,87.6892,29.5428,1034.37,1979.3
100000,20,20,-189.46669006347656,12.9192,29.0855,1933.68,1657.15
105000,21,21,-47.184078216552734,56.9827,28.7398,3290.74,1946.47
110000,22,22,-168.41346740722656,60.7637,30.5604,877.66,1265.78
115000,23,23,-189.13259887695312,43.3093,29.4537,1698.39,1425.4
120000,24,24,-207.74200439453125,44.8748,29.4846,1326.97,1427.39
125000,25,25,-20.784496307373047,26.6355,27.0836,3308.6,2599.12
130000,26,26,-197.46923828125,21.5766,28.5622,2855.36,1923.66
135000,27,27,-87.51016998291016,12.6962,27.2465,3152.46,3041.59
140000,28,28,-152.41506958007812,37.7413,26.6108,1365.46,1715.83
145000,29,29,-96.76351928710938,15.2077,25.571,1187.49,2579.85
150000,30,30,-88.63603973388672,16.3207,27.06,3318.16,2719.63
155000,31,31,-151.04574584960938,67.0515,29.4144,2926.15,1754.15
160000,32,32,-55.61369705200195,22.7374,27.4295,3335.99,2234.63
165000,33,33,-123.94625091552734,19.8029,25.2963,3369.6,2814.99
170000,34,34,-26.79550552368164,22.9674,25.7061,3261.77,3011.02
175000,35,35,-39.21216583251953,23.9988,25.7044,3281.35,2777.8
180000,36,36,-20.3244686126709,13.3265,25.3316,3335.91,3338.5
185000,37,37,-185.4357147216797,37.1877,26.6703,3312.21,2778.18
190000,38,38,-157.09664916992188,23.6367,27.1013,3447.72,2680.52
195000,39,39,-73.7152099609375,17.5914,24.5239,3339.1,2831.97
200000,40,40,-317.3831787109375,19.1558,26.1897,2901.82,1966.24
205000,41,41,-372.5022888183594,58.6899,27.2184,1222.65,1415.68
210000,42,42,-447.32366943359375,25.0499,27.4179,1711.29,1319.08
215000,43,43,-248.45335388183594,14.758,26.5876,3359.31,2303.22
220000,44,44,-305.1048278808594,20.5437,26.6647,2137.56,1668.16
225000,45,45,-95.36128997802734,12.8454,25.0679,3362.21,2872.62
230000,46,46,-200.4134979248047,17.8954,26.2832,3428.74,2121.56
235000,47,47,-14.674782752990723,17.5425,25.0684,3384.81,3113.39
240000,48,48,-37.34654235839844,12.8783,24.2032,3358.18,3351.4
245000,49,49,-227.72235107421875,20.3303,26.9928,3338.79,2615.17
250000,50,50,-24.51127815246582,13.2398,24.5556,3396.66,3306.19
255000,51,51,-31.431615829467773,13.452,24.6883,3415.84,3363.6
260000,52,52,-29.700517654418945,12.3093,23.2613,3412.61,3390.85
265000,53,53,-84.9879379272461,11.9737,23.8773,3351.6,3229.33
270000,54,54,-216.98788452148438,14.2893,25.6131,3285.89,2344.93
275000,55,55,-37.67585754394531,13.1208,24.4853,3382.57,3339.6
280000,56,56,-41.83423614501953,13.7359,24.0145,3398.84,3379.17
285000,57,57,-52.60181427001953,12.7505,23.368,3246.77,2170.75
290000,58,58,-264.7621154785156,24.3038,26.8061,3380.84,2477.94
295000,59,59,-32.317935943603516,12.6519,24.0418,3363.34,2806.58
300000,60,60,-102.13249969482422,13.5358,23.9008,3367.41,3181.27
305000,61,61,-365.6784362792969,24.0226,27.0318,3032.98,1601.59
310000,62,62,-93.91093444824219,14.0163,23.8027,3401.17,3278.86
315000,63,63,-144.37710571289062,16.7701,25.5469,3394.05,2332.86
320000,64,64,-72.18670654296875,14.2756,25.0734,3391.69,2984.75
325000,65,65,-28.956233978271484,11.4094,23.1944,3357.35,3351.91
330000,66,66,-43.64913558959961,11.8648,22.4165,3437.81,3376.61
335000,67,67,-196.591552734375,19.8563,24.6625,3353.47,2257.54
340000,68,68,-312.1909484863281,23.1053,25.0169,3349.98,2301.3
345000,69,69,-40.5217399597168,11.9746,23.051,3419.36,3263.76
350000,70,70,-119.60250091552734,15.1653,24.0235,3478.04,3237.09
355000,71,71,-811.366455078125,48.5053,41.7558,-2.45,-2.45
360000,72,72,-42.838157653808594,12.4912,22.8603,3436.94,3275.28
365000,73,73,-372.2340393066406,26.3239,25.8006,3395.3,2275.35
370000,74,74,-199.98472595214844,18.6515,25.7539,3498.63,2000.91
375000,75,75,-241.03692626953125,19.5575,25.1826,3412.54,2380.01
380000,76,76,-92.35489654541016,13.5901,23.8968,3408.87,3271.75
385000,77,77,-67.23838806152344,13.4369,24.5274,3470.81,3052.36
390000,78,78,-342.302490234375,24.958,28.1848,3376.79,1766.06
395000,79,79,-123.3404312133789,14.8343,25.1163,3456.12,2856.99
400000,80,80,-136.5670623779297,14.7281,23.0845,3387.09,3045.87
405000,81,81,-55.736244201660156,12.5627,23.5824,3467.12,3390.99
410000,82,82,-46.56368637084961,12.687,23.5573,3456.91,3413.17
415000,83,83,-106.20587921142578,14.5205,24.0332,3443.61,3276.13
420000,84,84,-129.406982421875,16.0184,25.919,3399.63,3397.13
425000,85,85,-52.719295501708984,12.4461,23.0496,3450.53,3281.24
430000,86,86,-103.89703369140625,15.231,24.5008,3435.33,3284.65
435000,87,87,-62.42924880981445,12.6847,24.6014,3392.77,3174.41
440000,88,88,-231.50247192382812,18.6958,24.4689,3442.39,2899.44
445000,89,89,-54.842769622802734,12.2346,23.4822,3472.76,3403.76
450000,90,90,-74.07540130615234,12.2198,23.4067,3434.53,3370.48
455000,91,91,-75.15364837646484,12.091,23.8792,3430.42,3375.66
460000,92,92,-113.06804656982422,13.4125,23.5838,3455.54,2635.87
465000,93,93,-50.5391960144043,12.7762,24.2279,3524.22,3324.43
470000,94,94,-341.22314453125,17.5065,26.3255,2560.63,946.02
475000,95,95,-128.41171264648438,13.608,24.8438,3436.03,3091.51
480000,96,96,-64.92930603027344,12.2383,23.0752,3409.74,3315.28
485000,97,97,-105.82864379882812,11.4006,23.8565,268.68,2585.95
490000,98,98,-57.12670135498047,12.43,24.232,3438.49,3420.05
495000,99,99,-128.2877960205078,13.1951,23.9704,3402.32,3184.88
500000,100,100,-53.3528938293457,12.7014,25.1788,3514.7,3382.09
505000,101,101,-379.5414123535156,21.9571,24.8578,3442.76,2372.22
510000,102,102,-97.69636535644531,14.4043,24.8866,3458.28,3116.3
515000,103,103,-84.25164031982422,12.4454,23.7171,3409.58,2659.31
520000,104,104,-50.606788635253906,12.6278,24.4073,3423.84,3192.96
525000,105,105,-66.27130126953125,11.9936,22.7928,3461.09,3434.15
530000,106,106,-90.27510833740234,12.7937,24.4343,3473.16,3301.51
535000,107,107,-76.6736831665039,13.7736,23.7943,3499.9,3447.71
540000,108,108,-125.13249969482422,13.3276,23.4111,3453.37,3335.27
545000,109,109,-71.30735778808594,12.0067,23.3412,3451.71,3430.82
550000,110,110,-76.53373718261719,10.7045,21.5598,3419.06,3374.96
555000,111,111,-61.976016998291016,11.6637,22.8361,3464.73,3418.84
560000,112,112,-73.15081024169922,12.2741,23.9798,3495.8,3376.39
565000,113,113,-85.85929870605469,12.4119,22.7423,3505.96,3453.48
570000,114,114,-79.69915771484375,12.6331,23.2307,3484.46,3376.58
575000,115,115,-82.1915283203125,12.6947,23.3594,3491.66,3437.59
580000,116,116,-69.40930938720703,12.8042,24.1882,3478.32,3363.3
585000,117,117,-93.3346176147461,13.7689,24.1535,3525.74,3458.19
590000,118,118,-108.82604217529297,11.9743,22.9023,3440.44,3415.86
595000,119,119,-164.92015075683594,13.52,24.2059,3395.8,2884.43
600000,120,120,-79.68336486816406,11.0881,22.6157,3470.17,3386.29
605000,121,121,-87.91423034667969,11.7082,23.6116,3397.12,2713.98
610000,122,122,-81.95853424072266,12.3513,24.1928,3471.87,3419.32
615000,123,123,-96.24195098876953,12.105,22.9787,3439.94,3403.77
620000,124,124,-80.16484832763672,11.9598,23.483,3442.32,3330.8
625000,125,125,-78.05156707763672,12.2194,24.2983,3503.98,3288.34
630000,126,126,-93.67704772949219,12.4193,22.882,3516.09,3462.33
635000,127,127,-85.172119140625,15.2891,27.1398,3446.13,3401.0
640000,128,128,-95.20864868164062,11.7513,22.7118,3479.24,3353.02
645000,129,129,-194.20468139648438,16.4541,24.8584,3469.9,3230.81
650000,130,130,-76.21479034423828,11.1951,23.5008,3461.88,3419.19
655000,131,131,-96.10861206054688,11.2219,23.3049,3446.35,3422.04
660000,132,132,-152.70704650878906,15.3636,25.6185,3484.88,2978.28
665000,133,133,-128.39060974121094,12.2566,24.0877,3448.53,3448.08
670000,134,134,-92.77367401123047,12.0868,23.8079,3441.3,3360.21
675000,135,135,-112.76203155517578,13.278,24.3376,3491.49,3381.72
680000,136,136,-98.03652954101562,12.5952,24.962,3512.48,3463.16
685000,137,137,-89.6013412475586,10.9305,22.0386,3457.63,3418.65
690000,138,138,-149.51605224609375,12.6446,25.0467,3463.58,3241.49
695000,139,139,-102.32406616210938,12.1334,23.7853,3449.46,3432.89
700000,140,140,-242.26492309570312,15.5858,26.5896,3516.67,2890.81
705000,141,141,-107.71649932861328,11.9602,23.8725,3480.76,3452.83
710000,142,142,-93.98519897460938,12.3537,24.4093,3476.17,3462.57
715000,143,143,-92.14520263671875,12.6076,24.5259,3489.84,3358.7
720000,144,144,-116.0430908203125,11.5851,23.7008,3457.92,3142.3
725000,145,145,-279.08770751953125,17.0871,25.2234,3448.22,2839.51
730000,146,146,-123.45040130615234,13.224,25.6917,3498.87,3363.65
735000,147,147,-151.45098876953125,13.3554,24.8378,3439.74,3079.85
740000,148,148,-264.091796875,14.1812,25.3453,3475.62,3171.19
745000,149,149,-162.20068359375,13.9044,25.2005,3480.43,3001.98
750000,150,150,-225.985107421875,13.1845,24.3787,3426.7,3026.82
755000,151,151,-165.79156494140625,12.6328,23.9066,3452.2,3263.93
760000,152,152,-229.14463806152344,14.3443,25.3432,3312.86,2578.49
765000,153,153,-117.2525863647461,12.0879,23.8636,3446.84,2753.07
770000,154,154,-139.94383239746094,11.3038,22.9916,3427.89,3382.97
775000,155,155,-116.79822540283203,11.9253,24.0998,3446.3,3438.99
780000,156,156,-138.82220458984375,13.9763,26.1522,3500.3,3408.87
785000,157,157,-150.37680053710938,13.4167,25.3437,3477.01,3363.96
790000,158,158,-363.8689270019531,21.2351,26.1265,3467.76,2364.66
795000,159,159,-188.46124267578125,11.6637,24.4788,3438.08,2341.15
800000,160,160,-201.61253356933594,12.6311,22.9354,3427.76,2635.23
805000,161,161,-604.5572509765625,23.7752,28.3709,1502.67,1617.98
810000,162,162,-157.98306274414062,11.696,23.543,3449.86,3209.97
815000,163,163,-163.7113037109375,13.2343,25.8118,3492.7,3330.73
820000,164,164,-522.0792236328125,15.9327,28.7633,2833.35,1552.39
825000,165,165,-155.21055603027344,12.8952,25.2706,3465.39,3234.69
830000,166,166,-239.49778747558594,13.0824,26.5743,3405.27,2700.35
835000,167,167,-184.56871032714844,12.4765,25.3816,3458.08,3172.8
840000,168,168,-307.5401306152344,14.0714,24.4784,3408.38,2524.11
845000,169,169,-283.45526123046875,15.3456,24.7322,3468.44,3105.89
850000,170,170,-146.98385620117188,11.9363,24.7585,3463.23,2950.44
855000,171,171,-149.59657287597656,12.2324,24.4205,3469.82,3209.33
860000,172,172,-161.34959411621094,12.4388,25.304,3491.89,3434.46
865000,173,173,-172.68150329589844,12.297,25.0404,3486.66,3401.62
870000,174,174,-385.0460205078125,12.7117,25.4173,3454.81,3104.87
875000,175,175,-380.9451599121094,13.365,26.3273,3496.42,2276.83
880000,176,176,-188.9671630859375,13.7428,26.3268,3498.83,3167.52
885000,177,177,-159.07447814941406,12.3679,25.1108,3469.79,3378.88
890000,178,178,-260.91253662109375,12.094,23.8383,3460.77,2918.4
895000,179,179,-195.57273864746094,12.2872,22.5147,3485.22,3210.77
900000,180,180,-492.1160583496094,19.9198,26.6278,2783.1,2766.83
905000,181,181,-239.48460388183594,11.144,23.8355,3463.97,2924.3
910000,182,182,-164.1939239501953,11.8724,23.8907,3431.55,3383.6
915000,183,183,-234.28773498535156,12.9433,25.6026,3472.24,3202.34
920000,184,184,-217.39703369140625,12.1137,24.49,3471.05,3453.51
925000,185,185,-291.82208251953125,12.9218,24.1484,3467.3,2893.42
930000,186,186,-259.35101318359375,13.1209,24.6809,3465.12,2962.58
935000,187,187,-149.29490661621094,12.1685,24.2218,3487.19,3453.32
940000,188,188,-248.61109924316406,12.1033,24.0388,3464.74,3351.54
945000,189,189,-180.88406372070312,11.7216,23.307,3448.36,3354.19
950000,190,190,-236.96804809570312,12.5186,24.3449,3464.49,3181.26
955000,191,191,-231.58949279785156,12.8834,24.343,3479.99,3296.54
960000,192,192,-252.56591796875,12.4706,24.8463,3450.79,3189.92
965000,193,193,-325.61810302734375,12.139,24.6197,3456.13,3141.06
970000,194,194,-253.48228454589844,12.1835,25.3751,3467.49,3000.18
975000,195,195,-211.78561401367188,12.5276,24.1687,3472.14,3449.6
980000,196,196,-482.09564208984375,15.359,28.2986,611.56,1076.33
985000,197,197,-193.78662109375,11.4315,23.3198,3465.59,3395.29
990000,198,198,-269.1781005859375,12.7036,24.6142,3483.54,3488.52
995000,199,199,-203.18150329589844,11.0193,22.3686,3435.54,3392.09
