Real Sto Return,Running Env Steps,Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Update Time,Reward Loss
186.25,0,0,187.64,25.5134,32.0489,0,380.8336181640625
243.19,5000,1,250.92,27.6795,31.5529,1,366.6743469238281
261.19,10000,2,262.96,32.7337,30.6359,2,332.1324462890625
263.18,15000,3,274.61,37.2948,31.3253,3,253.59771728515625
589.76,20000,4,515.93,28.0265,27.6285,4,228.73196411132812
469.32,25000,5,517.43,41.9012,27.9885,5,51.5489501953125
504.59,30000,6,549.44,30.9573,28.7504,6,13.61771297454834
803.21,35000,7,769.99,24.6761,27.9875,7,11.126436233520508
770.5,40000,8,822.41,28.9325,27.4543,8,-45.537437438964844
666.59,45000,9,673.69,19.0941,27.4596,9,26.898269653320312
1026.39,50000,10,1085.94,20.6049,25.9565,10,-40.279624938964844
961.04,55000,11,964.52,28.7782,25.7623,11,-57.646671295166016
533.7,60000,12,519.85,22.408,28.0111,12,-151.30618286132812
506.5,65000,13,620.02,19.0313,27.6353,13,-156.78025817871094
1486.41,70000,14,1441.58,13.4929,25.3536,14,-172.58335876464844
787.32,75000,15,814.31,15.9038,25.8673,15,-176.73194885253906
304.06,80000,16,221.69,19.0819,25.9044,16,-305.5061340332031
500.68,85000,17,281.54,14.8107,26.469,17,31.555564880371094
1154.86,90000,18,767.67,18.0884,24.8086,18,-299.88311767578125
1371.8,95000,19,943.95,22.0938,25.7198,19,-325.7575378417969
2120.28,100000,20,2223.13,14.2697,24.3669,20,-241.7283935546875
1946.62,105000,21,2289.5,12.0987,24.4699,21,-205.7454376220703
1444.4,110000,22,1035.03,15.1012,24.5022,22,-283.5882263183594
1424.02,115000,23,949.64,12.9837,25.7386,23,-323.8153076171875
2740.39,120000,24,2759.15,12.1076,23.4748,24,-114.90149688720703
2637.31,125000,25,2732.7,13.5571,24.282,25,-78.41764068603516
2088.94,130000,26,2634.23,16.8493,24.0266,26,-336.8373718261719
1723.61,135000,27,194.77,16.9426,24.3423,27,-374.8997802734375
2645.7,140000,28,2146.64,12.9386,20.7469,28,-203.21775817871094
1301.87,145000,29,1660.84,13.9061,24.0386,29,-482.4599914550781
638.29,150000,30,751.1,22.4987,27.1583,30,-504.1402587890625
234.17,155000,31,227.14,27.2767,34.0475,31,-849.2615356445312
561.43,160000,32,356.94,25.3572,26.5669,32,-847.5663452148438
1041.7,165000,33,1028.88,20.4981,32.148,33,-1069.379638671875
1022.56,170000,34,1024.36,13.8319,25.6252,34,-280.9895935058594
360.29,175000,35,253.18,21.083,29.4487,35,-1047.3741455078125
481.37,180000,36,382.07,19.9082,26.3058,36,-1082.7449951171875
342.03,185000,37,358.31,43.8823,37.1511,37,-1408.4185791015625
1012.88,190000,38,1007.02,27.9997,36.4372,38,-1361.7371826171875
140.29,195000,39,139.68,32.4163,32.2777,39,-928.346435546875
169.62,200000,40,165.48,71.2996,30.7781,40,-998.38037109375
316.89,205000,41,306.23,74.4627,32.2869,41,-829.2728881835938
1016.21,210000,42,1012.24,27.8058,36.2585,42,-1394.202880859375
176.59,215000,43,168.59,43.9547,31.458,43,-1378.7388916015625
1029.45,220000,44,1027.52,28.0418,38.4685,44,-1597.8526611328125
333.08,225000,45,295.81,22.0861,30.8805,45,-1239.2877197265625
977.82,230000,46,977.84,46.6144,38.8151,46,-1784.5418701171875
643.63,235000,47,638.98,54.4853,31.2644,47,-1522.1947021484375
1015.83,240000,48,1016.04,39.0994,37.833,48,-1750.283447265625
1015.86,245000,49,1015.1,34.9666,36.5849,49,-1863.155029296875
264.27,250000,50,260.55,21.8771,30.0857,50,-1443.9647216796875
321.83,255000,51,322.3,41.1262,32.0319,51,-1349.96875
235.29,260000,52,233.63,37.288,30.75,52,-1559.232421875
230.58,265000,53,229.55,16.3438,31.4138,53,-1375.6934814453125
1053.31,270000,54,1052.45,36.0713,35.2248,54,-1902.833251953125
408.68,275000,55,424.85,37.3898,31.1234,55,-1520.50732421875
809.12,280000,56,1016.03,17.8804,31.339,56,-1620.25
1054.41,285000,57,1054.59,34.0715,34.8389,57,-2014.68798828125
276.95,290000,58,697.68,23.4148,37.2337,58,-2076.369873046875
199.11,295000,59,283.06,41.0131,37.25,59,-2224.17138671875
970.88,300000,60,971.35,51.5514,39.1776,60,-2423.156005859375
951.82,305000,61,996.66,30.6287,35.9869,61,-2375.505615234375
138.08,310000,62,231.76,27.7112,34.2635,62,-2359.04052734375
186.2,315000,63,87.58,32.5411,34.1119,63,-2308.55712890625
1022.83,320000,64,1023.08,33.3194,34.9257,64,-2552.788330078125
231.38,325000,65,179.37,36.1669,37.0066,65,-2438.53271484375
1031.31,330000,66,1031.74,49.9861,35.0275,66,-2663.68798828125
1034.73,335000,67,1034.17,29.5133,36.3111,67,-2718.82568359375
1032.33,340000,68,1032.53,37.8375,37.1709,68,-2682.0322265625
1033.25,345000,69,998.26,21.1308,34.6212,69,-2643.018798828125
656.79,350000,70,902.24,31.4824,33.5961,70,-2669.265869140625
1051.47,355000,71,1050.28,27.7864,34.4245,71,-2751.611572265625
1031.06,360000,72,1030.05,41.5806,36.3416,72,-3014.52978515625
727.59,365000,73,918.86,69.611,28.4078,73,-2046.134521484375
1039.03,370000,74,1045.04,26.4275,36.1414,74,-2964.9638671875
1036.17,375000,75,1035.61,29.4993,35.7473,75,-3143.05859375
1016.72,380000,76,1010.96,23.516,37.3292,76,-3040.28759765625
1047.84,385000,77,1051.36,28.6582,36.0838,77,-3019.947265625
479.52,390000,78,856.92,25.9759,26.5357,78,-1954.2550048828125
1021.45,395000,79,1020.31,24.8262,37.7639,79,-3332.1796875
1049.5,400000,80,1049.1,41.1411,36.3802,80,-3310.9189453125
-0.5,405000,81,-0.57,244.2287,41.9674,81,-1593.328125
14.83,410000,82,14.76,211.746,39.2692,82,-2497.51953125
1032.47,415000,83,1032.52,42.3307,38.2504,83,-3494.341552734375
987.11,420000,84,987.64,46.427,39.5553,84,-3635.336669921875
997.76,425000,85,997.63,42.6332,35.9848,85,-3677.60107421875
977.11,430000,86,976.64,54.2956,40.4693,86,-3758.7021484375
973.76,435000,87,973.49,58.6599,40.2298,87,-3814.53515625
979.1,440000,88,979.1,44.6641,38.663,88,-3918.90185546875
984.66,445000,89,983.71,33.2373,35.9847,89,-3753.2001953125
471.54,450000,90,474.23,139.2275,34.7696,90,-3348.88037109375
978.57,455000,91,978.8,50.8967,36.893,91,-4088.517822265625
996.08,460000,92,996.16,39.9101,35.7627,92,-4183.06298828125
977.38,465000,93,977.98,47.5526,37.306,93,-4172.78466796875
1016.34,470000,94,1015.43,40.551,36.531,94,-4159.859375
1038.86,475000,95,1038.53,36.8101,37.4571,95,-4125.533203125
1048.08,480000,96,1047.78,35.7989,35.0244,96,-4068.73681640625
1030.49,485000,97,1031.17,38.1365,36.225,97,-4194.73779296875
890.09,490000,98,1058.97,26.1367,28.5385,98,-3316.53271484375
925.16,495000,99,1058.99,35.3161,35.2973,99,-4271.09228515625
694.58,500000,100,722.78,37.7612,33.2068,100,-3856.13623046875
989.26,505000,101,990.96,35.0822,38.9519,101,-4607.4248046875
153.93,510000,102,153.82,85.2963,33.383,102,-4186.55859375
407.46,515000,103,322.94,48.4528,31.9593,103,-3692.358154296875
976.12,520000,104,978.42,35.5375,38.5762,104,-4709.9443359375
985.13,525000,105,986.06,38.0112,37.5576,105,-4793.513671875
1001.32,530000,106,1000.51,39.0622,36.3067,106,-4916.34423828125
978.16,535000,107,973.63,33.5354,38.3412,107,-4891.8662109375
1015.67,540000,108,1015.43,41.8089,35.8573,108,-4690.71240234375
445.14,545000,109,967.33,52.397,27.5735,109,-3888.480224609375
1024.58,550000,110,1025.63,37.4998,37.9746,110,-5165.3798828125
366.54,555000,111,339.02,32.6876,28.9459,111,-4243.2421875
89.01,560000,112,85.84,53.5049,36.2901,112,-5332.12109375
889.43,565000,113,1040.04,44.9732,34.7324,113,-5348.96826171875
1010.36,570000,114,1059.61,41.3796,39.0931,114,-5074.2607421875
1026.29,575000,115,1026.85,34.5488,38.226,115,-5431.1845703125
152.13,580000,116,154.84,22.2087,31.8182,116,-4866.83349609375
97.38,585000,117,96.61,38.4537,35.7113,117,-5342.037109375
1044.64,590000,118,1044.45,27.0569,37.4598,118,-5376.15966796875
1009.73,595000,119,1007.57,48.4203,40.1823,119,-5520.4111328125
1007.96,600000,120,1007.87,39.5469,38.1048,120,-5648.67822265625
1004.2,605000,121,1004.53,40.3543,38.049,121,-5846.837890625
9.8,610000,122,9.85,37.4162,37.3789,122,-5649.3701171875
1013.04,615000,123,1012.59,39.2585,36.5998,123,-5791.92822265625
902.01,620000,124,1032.39,49.5043,30.6222,124,-5435.712890625
1050.54,625000,125,1051.34,34.2744,35.3796,125,-5869.71240234375
582.77,630000,126,420.49,38.5788,36.1356,126,-5905.50537109375
342.63,635000,127,336.08,51.6201,38.6666,127,-6030.71728515625
906.07,640000,128,1041.86,31.9793,33.4144,128,-5809.3525390625
1196.69,645000,129,1229.83,42.2248,26.6058,129,-3651.063232421875
998.31,650000,130,1048.87,34.8558,35.5358,130,-6073.595703125
1046.55,655000,131,1044.81,24.8449,33.8754,131,-6288.1865234375
24.17,660000,132,23.31,38.1672,34.5968,132,-6165.22021484375
1019.91,665000,133,1004.65,31.4075,37.6798,133,-6348.9931640625
1057.04,670000,134,1057.3,40.7445,36.0048,134,-6326.3583984375
278.7,675000,135,267.94,58.8885,31.2119,135,-5703.6083984375
942.8,680000,136,1058.26,55.6035,34.439,136,-6073.26318359375
1056.7,685000,137,1056.44,38.8006,35.6573,137,-6505.63330078125
1041.69,690000,138,1040.51,26.9754,37.7555,138,-6780.52734375
1051.19,695000,139,1048.93,31.5791,37.8363,139,-6684.1943359375
1053.7,700000,140,1053.27,32.5166,37.4844,140,-7028.9228515625
1053.08,705000,141,1053.22,44.4501,37.5049,141,-6731.2294921875
1054.76,710000,142,1054.74,44.2833,37.3458,142,-6785.52490234375
986.94,715000,143,1056.93,32.0857,29.1057,143,-5688.4921875
987.33,720000,144,988.17,38.2221,39.3005,144,-7111.37353515625
122.75,725000,145,126.29,48.4876,38.6035,145,-7205.7021484375
21.45,730000,146,21.18,43.8649,32.858,146,-5939.8076171875
124.43,735000,147,118.49,50.4242,29.19,147,-5275.68408203125
1020.16,740000,148,1020.02,38.0609,37.4314,148,-7545.09814453125
1000.88,745000,149,1001.21,51.198,39.4597,149,-7445.73779296875
979.49,750000,150,979.45,36.4452,38.8967,150,-7552.84912109375
750.38,755000,151,354.48,22.989,28.1201,151,-4802.09912109375
246.91,760000,152,248.76,55.145,30.8805,152,-5761.27099609375
211.38,765000,153,211.83,31.9028,31.1617,153,-5147.0732421875
287.38,770000,154,285.9,39.8856,32.6967,154,-7050.8056640625
1039.49,775000,155,1039.48,38.7761,37.6612,155,-8104.04443359375
1040.89,780000,156,1041.23,39.2826,38.4392,156,-7806.63671875
1049.22,785000,157,1049.4,36.1236,37.9738,157,-7777.2138671875
978.01,790000,158,978.03,37.6461,39.0759,158,-8044.3623046875
1044.2,795000,159,1043.79,39.959,38.9384,159,-8002.5517578125
1055.19,800000,160,1055.07,23.6825,38.318,160,-8002.32177734375
991.93,805000,161,998.29,27.7199,38.3217,161,-8264.810546875
635.78,810000,162,834.34,80.5012,37.9103,162,-8172.16796875
1048.02,815000,163,1048.45,34.2422,36.0838,163,-7773.7060546875
821.58,820000,164,999.51,24.8377,33.9943,164,-8226.6259765625
907.24,825000,165,1031.73,30.2414,35.9809,165,-8503.693359375
1323.97,830000,166,1057.57,25.7683,27.5072,166,-5956.19921875
1041.7,835000,167,1041.59,35.0069,35.3972,167,-8495.8779296875
1087.25,840000,168,1060.85,24.4128,30.1795,168,-7339.93603515625
