Real Sto Return,Running Reverse KL,Itration,Running Forward KL,Real Det Return
-58.88,27.0463,0,74.5643,334.07
-132.97,26.2162,1,74.6076,614.18
-45.97,27.4647,2,74.4701,709.21
0.04,29.0786,3,74.3902,601.51
35.68,30.6443,4,73.0948,618.92
76.53,30.0604,5,73.9864,641.65
153.64,32.4665,6,74.0863,779.03
122.13,32.4033,7,71.9029,682.27
181.15,32.1349,8,73.995,759.67
151.08,33.4463,9,74.0641,712.05
136.9,32.7409,10,72.6019,616.17
157.46,32.3407,11,73.8368,779.58
207.58,32.8048,12,72.4293,797.4
180.57,32.4156,13,73.1611,848.33
221.73,33.0866,14,72.8075,764.06
129.05,32.5539,15,73.3703,703.62
197.44,32.5445,16,72.046,597.44
238.18,32.2872,17,72.3254,905.25
171.88,31.7105,18,72.7279,825.95
199.55,31.9955,19,72.7416,724.1
210.59,32.3515,20,73.3895,751.22
166.95,31.7609,21,72.746,656.28
118.58,31.2876,22,74.6761,303.68
146.72,31.5142,23,73.5174,491.56
116.58,32.0437,24,73.7142,509.86
184.22,32.5463,25,74.2282,793.09
210.74,31.5912,26,73.9096,712.93
197.88,31.6353,27,73.4384,753.86
198.71,31.3448,28,72.9284,737.64
209.13,32.1173,29,75.4864,686.03
262.12,31.3376,30,73.3064,795.18
230.26,31.602,31,74.3489,802.27
180.71,31.3416,32,73.1058,791.7
249.18,31.5361,33,70.8776,798.88
232.3,31.3452,34,73.0789,976.39
244.81,30.9618,35,73.2013,916.1
221.64,31.0888,36,71.5518,913.38
251.34,30.8142,37,70.6692,666.36
266.52,31.4373,38,72.3422,780.11
256.68,31.3508,39,70.6543,865.43
233.33,31.3132,40,73.662,852.6
279.73,30.7202,41,71.546,1089.76
285.52,29.8824,42,69.0517,975.24
259.67,31.1066,43,73.7815,864.7
359.73,31.2954,44,73.5876,994.98
303.29,30.8069,45,70.8874,921.95
335.72,30.4854,46,71.021,964.17
307.57,31.2304,47,73.2231,1025.74
287.66,31.8361,48,75.2327,956.74
267.82,31.1977,49,73.7369,1006.3
258.77,30.7393,50,73.5419,740.75
212.01,30.5209,51,73.2247,1045.64
343.7,30.5038,52,69.6717,899.52
370.63,30.1122,53,70.2853,1010.51
344.18,30.0107,54,69.5458,832.04
290.47,30.5146,55,71.0823,833.9
305.13,30.529,56,71.5089,1029.13
362.01,29.526,57,69.9021,957.23
380.75,29.7385,58,69.1423,1020.43
482.23,29.4018,59,68.3923,1155.39
311.31,29.2213,60,67.6659,889.82
361.89,30.5791,61,71.3632,972.03
406.1,29.7356,62,68.5075,933.21
443.81,28.3444,63,66.0823,1100.48
317.6,29.4098,64,68.6475,890.6
354.35,29.6068,65,67.7563,778.23
440.29,28.7052,66,65.9694,702.19
1063.14,28.803,67,61.8112,1843.13
536.62,27.7404,68,64.2182,1010.87
312.01,28.2037,69,66.5678,773.35
879.57,27.2319,70,62.1599,1388.46
422.89,27.3428,71,65.0223,863.86
690.06,29.6049,72,62.7243,1840.68
473.48,28.3863,73,65.2275,949.15
1107.39,30.2357,74,61.9729,1515.87
1315.88,30.0068,75,61.2798,1909.33
999.44,28.2328,76,62.0795,1693.92
1528.22,30.0978,77,62.1283,2519.16
2264.0,36.8916,78,63.7147,3389.58
1545.07,38.2117,79,64.5121,2367.45
2093.52,39.2239,80,64.3314,2977.77
1937.12,40.0536,81,63.5932,2688.42
2599.91,39.6411,82,64.1681,3496.39
1901.23,29.5716,83,61.5018,2109.94
2018.66,47.7404,84,67.5392,2181.79
913.09,28.2833,85,62.0259,904.89
1682.16,34.8719,86,62.7588,2239.14
1591.82,45.5028,87,66.3733,1884.67
1814.11,40.323,88,66.1916,1340.58
1356.49,48.7284,89,67.7927,1464.0
1944.81,39.9168,90,65.012,1239.26
3051.56,52.8971,91,71.2263,2997.92
2410.92,51.1133,92,69.9444,2703.59
1565.21,50.2638,93,67.6027,1366.03
2762.01,51.1448,94,68.3313,2901.63
2287.81,45.0431,95,65.977,2584.1
2948.0,58.7325,96,74.9362,2700.01
3245.99,55.1109,97,77.5013,2984.57
3342.43,54.6735,98,69.7865,2988.37
3549.56,55.1635,99,69.6241,3956.44
3016.19,43.9163,100,64.7764,2981.33
3398.25,57.636,101,71.2421,3728.07
2739.65,53.4045,102,68.7405,2860.89
2515.97,56.5247,103,69.4445,3593.08
3561.07,61.6467,104,71.416,4059.3
3777.54,54.9591,105,68.5888,3217.75
3474.97,53.0946,106,65.7942,2811.79
3914.7,63.4158,107,77.1847,4339.25
4072.98,70.7532,108,78.7079,4006.45
3471.32,58.7597,109,70.3821,3607.37
3734.31,64.6604,110,75.7351,4205.38
3168.65,67.6382,111,76.5954,3643.51
3863.71,57.2791,112,69.7556,3572.61
3420.21,54.0044,113,68.8444,2803.64
3266.83,48.7779,114,66.3194,3374.72
3277.99,70.2478,115,78.4665,4311.51
3075.77,65.0245,116,78.7438,4043.38
3597.78,67.7355,117,76.2404,3989.63
3721.14,57.0593,118,68.8573,3734.22
3858.84,58.6687,119,72.6057,3649.76
3323.23,50.7597,120,66.7412,4012.17
3417.23,62.3209,121,75.1669,3049.86
4395.08,62.8834,122,75.2708,4960.63
4207.34,59.3855,123,69.1367,4563.93
3944.93,72.6213,124,80.2254,4472.87
3075.65,62.9032,125,77.2241,3057.87
4201.93,66.9649,126,77.9521,4050.46
3714.08,57.7379,127,68.6589,4287.9
4051.84,58.1646,128,68.899,4892.11
2462.25,63.0061,129,70.7236,2410.95
4418.61,74.1758,130,80.0359,5084.72
