Itration,Real Det Return,Running Env Steps,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time,Running Reverse KL
0,450.81,0,82.1777572631836,74.8287,-109.99,0,25.1638
1,530.77,5000,63.31772994995117,74.832,-70.34,1,26.4003
2,239.89,10000,58.37325668334961,73.4038,-28.94,2,24.5324
3,432.24,15000,38.54641342163086,72.7971,-24.74,3,26.5666
4,661.39,20000,28.78472137451172,73.2551,32.47,4,27.102
5,688.61,25000,6.002873420715332,73.5705,55.21,5,28.8089
6,863.07,30000,-4.0952935218811035,72.9019,107.21,6,28.789
7,704.82,35000,-20.23822021484375,71.966,63.47,7,29.873
8,585.38,40000,-37.04813003540039,71.1212,92.29,8,29.652
9,514.29,45000,-51.42650604248047,70.3373,118.79,9,30.2533
10,747.94,50000,-64.04146575927734,72.2591,147.67,10,30.0116
11,709.57,55000,-78.48182678222656,72.9027,192.73,11,30.1253
12,606.39,60000,-91.51665496826172,72.3233,165.03,12,30.104
13,712.93,65000,-108.52448272705078,71.6705,174.63,13,30.0657
14,830.01,70000,-117.45896911621094,69.7189,202.4,14,30.0702
15,823.64,75000,-135.269287109375,72.5476,233.4,15,30.8759
16,826.91,80000,-149.38739013671875,70.3237,218.73,16,29.7555
17,869.41,85000,-162.23208618164062,69.2228,227.51,17,30.9789
18,806.31,90000,-174.3478240966797,68.3666,257.18,18,29.4541
19,613.6,95000,-189.02308654785156,68.3134,184.41,19,30.3025
20,540.49,100000,-206.86036682128906,70.7515,144.85,20,29.9881
21,602.35,105000,-220.52496337890625,71.3718,162.21,21,30.6113
22,891.17,110000,-237.0454559326172,69.3479,347.48,22,29.7693
23,728.59,115000,-249.59991455078125,69.3591,243.57,23,29.5023
24,964.54,120000,-265.5311279296875,69.3589,258.79,24,29.7063
25,677.55,125000,-283.7715759277344,70.4844,218.96,25,30.174
26,822.24,130000,-294.6717834472656,68.2092,288.09,26,29.966
27,968.24,135000,-313.2961120605469,68.299,189.31,27,29.7314
28,999.16,140000,-329.1158447265625,68.6302,322.15,28,30.0198
29,919.93,145000,-331.3603515625,66.8325,310.35,29,28.6098
30,1169.97,150000,-352.642333984375,67.9373,283.91,30,29.9547
31,887.94,155000,-370.659423828125,67.5383,377.25,31,30.4614
32,703.64,160000,-384.5356140136719,66.917,297.89,32,29.7553
33,887.5,165000,-408.2744140625,71.1219,248.86,33,31.0831
34,945.5,170000,-414.7982482910156,67.8829,257.15,34,30.4845
35,823.77,175000,-431.8169250488281,68.1458,302.75,35,30.2412
36,762.25,180000,-447.22125244140625,69.4635,267.55,36,30.4765
37,838.08,185000,-465.2176818847656,68.6125,284.37,37,30.3635
38,1039.61,190000,-475.6221923828125,67.2261,289.41,38,29.1255
39,882.33,195000,-494.50714111328125,68.1173,342.58,39,30.0681
40,918.86,200000,-494.4686279296875,64.2823,320.93,40,28.0521
41,900.16,205000,-527.2808837890625,67.4573,403.92,41,29.727
42,1030.71,210000,-528.508544921875,65.092,250.03,42,28.1968
43,868.43,215000,-569.9253540039062,69.9961,344.79,43,30.7683
44,855.73,220000,-580.740966796875,68.4447,266.89,44,29.5897
45,1008.62,225000,-611.1513061523438,71.395,357.46,45,30.8897
46,769.78,230000,-610.7308959960938,68.0098,255.81,46,29.8428
47,1001.43,235000,-630.8800048828125,69.0154,312.95,47,30.1643
48,998.25,240000,-658.70361328125,71.0444,267.07,48,30.5197
49,958.69,245000,-674.8384399414062,70.7478,315.72,49,30.8107
50,1012.77,250000,-694.73779296875,70.0344,331.09,50,30.2495
51,970.03,255000,-700.6931762695312,67.5746,372.71,51,29.7506
52,911.18,260000,-715.961669921875,67.029,364.3,52,29.5444
53,1062.25,265000,-724.8956909179688,65.7176,384.36,53,28.8217
54,988.07,270000,-744.083984375,65.959,362.86,54,29.2707
55,1071.26,275000,-770.71923828125,67.2977,298.66,55,29.9405
56,1052.58,280000,-778.9114379882812,66.2199,429.98,56,29.2193
57,853.39,285000,-800.3556518554688,66.4549,358.12,57,28.5358
58,1036.17,290000,-839.9573974609375,69.1021,368.91,58,30.7817
59,1086.94,295000,-832.370849609375,66.0202,304.82,59,29.0889
60,1122.41,300000,-841.2340087890625,63.8039,398.14,60,28.5043
61,944.38,305000,-869.5451049804688,66.0326,403.94,61,28.9773
62,971.1,310000,-889.4093017578125,66.2792,345.8,62,28.5708
63,958.64,315000,-934.5550537109375,68.5214,349.02,63,29.9582
64,1051.74,320000,-941.24169921875,67.9465,416.76,64,29.5054
65,1002.03,325000,-952.2059936523438,66.7933,343.21,65,28.9493
66,1180.35,330000,-969.7529296875,66.3717,413.06,66,28.9539
67,1121.83,335000,-953.0321655273438,63.5467,416.73,67,27.7346
68,1033.84,340000,-1039.9451904296875,69.6265,318.17,68,30.2485
69,1016.85,345000,-1004.1551513671875,64.6571,539.63,69,27.8145
70,909.59,350000,-1084.593017578125,68.5427,386.29,70,30.0068
71,1087.19,355000,-1091.44140625,68.3805,388.7,71,29.9927
72,1013.65,360000,-1098.9139404296875,66.491,499.48,72,28.6733
73,1151.34,365000,-1067.9947509765625,63.9984,489.68,73,28.2923
74,858.72,370000,-1155.105712890625,67.51,377.73,74,29.8854
75,1092.18,375000,-1178.67529296875,67.5157,427.59,75,29.5385
76,1091.86,380000,-1199.13037109375,68.1658,457.75,76,29.6305
77,1255.86,385000,-1141.59423828125,62.5866,545.06,77,27.0127
78,1148.52,390000,-1247.3499755859375,66.9546,394.35,78,29.5527
79,1166.05,395000,-1252.0625,67.0677,436.3,79,29.6369
80,1031.08,400000,-1251.59033203125,65.4306,492.34,80,28.1529
81,972.96,405000,-1316.421875,67.6056,432.49,81,29.6595
82,1078.78,410000,-1305.2510986328125,65.1959,343.94,82,28.2108
83,1396.9,415000,-1312.5859375,64.9787,573.14,83,28.0758
84,1001.44,420000,-1390.951416015625,66.7032,304.27,84,29.5385
85,1080.13,425000,-1333.9483642578125,62.259,470.07,85,26.8354
86,1054.46,430000,-1419.9228515625,66.065,402.75,86,28.4854
87,1080.15,435000,-1482.067138671875,67.9962,497.27,87,29.8394
88,1009.75,440000,-1452.69384765625,64.8647,474.78,88,28.4139
89,1007.5,445000,-1438.5792236328125,63.8329,343.61,89,27.3198
90,960.32,450000,-1437.1278076171875,61.7376,559.68,90,27.1453
