Reward Loss,Real Sto Return,Running Env Steps,Real Det Return,Itration,Running Forward KL,Running Update Time,Running Reverse KL
-60.07313537597656,336.25,0,321.17,0,444.8822,0,304.3997
-347.4460144042969,290.44,5000,294.7,1,449.2258,1,347.6398
-786.8897705078125,391.59,10000,434.7,2,432.9928,2,440.9689
-937.4141845703125,391.71,15000,427.2,3,421.6928,3,313.9211
-1669.1424560546875,447.27,20000,488.67,4,415.6752,4,375.8594
-1471.046630859375,477.78,25000,510.16,5,403.83,5,346.8056
-1902.5770263671875,495.62,30000,680.39,6,423.9961,6,452.8336
-1873.085693359375,514.14,35000,599.89,7,421.8822,7,325.244
-2383.510498046875,560.7,40000,581.8,8,414.5487,8,294.491
-1993.7484130859375,589.8,45000,497.07,9,412.1061,9,251.4043
-2775.846435546875,492.11,50000,534.15,10,401.6228,10,259.7785
-2641.248291015625,579.59,55000,585.13,11,408.7599,11,262.2462
-3186.818115234375,605.74,60000,545.18,12,407.3889,12,277.5831
-3315.146484375,527.28,65000,462.53,13,402.5666,13,264.4677
-3519.85009765625,587.38,70000,647.68,14,403.6412,14,302.3319
-3519.37255859375,592.31,75000,645.71,15,401.5187,15,258.8741
-3468.225341796875,588.88,80000,652.89,16,402.5801,16,264.0481
-3491.245361328125,689.55,85000,751.18,17,404.1171,17,251.1056
-3973.853271484375,669.65,90000,699.82,18,397.0083,18,247.729
-4346.6416015625,670.59,95000,675.25,19,402.2891,19,234.788
-5079.443359375,720.66,100000,852.46,20,397.8502,20,307.2676
-4901.4453125,722.57,105000,821.52,21,391.8124,21,247.4281
-5281.8720703125,604.53,110000,836.43,22,391.1089,22,252.4645
-5037.087890625,657.72,115000,752.38,23,392.4491,23,232.6351
-5585.609375,777.39,120000,850.56,24,397.5928,24,239.8546
-5891.76220703125,682.8,125000,819.84,25,403.2044,25,255.2491
-5943.6875,731.94,130000,892.6,26,388.0162,26,243.4626
-6398.69775390625,769.04,135000,771.54,27,400.7967,27,257.3397
-6046.24169921875,905.47,140000,962.05,28,379.7405,28,227.9875
-6466.09423828125,859.14,145000,917.62,29,398.2387,29,247.0937
-6628.81201171875,870.51,150000,756.05,30,394.9647,30,239.2745
-6593.39404296875,989.69,155000,967.56,31,387.439,31,235.3479
-7151.162109375,1008.1,160000,1084.35,32,383.62,32,249.1746
-7147.3876953125,1028.0,165000,1226.73,33,381.1581,33,243.1895
-7781.8583984375,944.76,170000,1051.31,34,377.8067,34,282.1568
-7259.6259765625,1149.18,175000,903.71,35,375.2798,35,233.4712
-7306.927734375,1300.01,180000,1097.36,36,370.392,36,220.9047
-7688.0810546875,997.15,185000,1049.06,37,378.3367,37,228.2419
