Running Reverse KL,Real Det Return,Running Forward KL,Reward Loss,Itration,Running Env Steps,Real Sto Return,Running Update Time
18.6647,225.08,33.279,-37.203304290771484,0,0,222.62,0
31.5881,247.07,32.3289,-70.52593231201172,1,5000,243.7,1
26.7544,268.5,30.9067,-47.005149841308594,2,10000,265.82,2
15.6324,274.99,31.6264,-41.20840072631836,3,15000,278.26,3
15.6316,246.86,31.1196,-47.01699447631836,4,20000,255.39,4
36.5734,312.52,31.233,-82.83143615722656,5,25000,319.16,5
16.9841,322.08,31.1304,-45.66032409667969,6,30000,315.11,6
17.464,331.59,30.2172,-72.93260955810547,7,35000,335.67,7
19.3094,380.47,30.5097,-88.53987121582031,8,40000,375.72,8
23.686,462.75,29.9009,-101.44197082519531,9,45000,528.83,9
25.2946,453.96,30.4669,-113.60262298583984,10,50000,512.37,10
19.1078,450.83,29.824,-132.85169982910156,11,55000,496.23,11
17.7372,451.78,29.2135,-140.2479248046875,12,60000,483.62,12
18.3149,695.15,28.3422,-134.51138305664062,13,65000,663.54,13
20.7812,602.01,27.5403,-148.90016174316406,14,70000,618.76,14
22.262,704.71,28.4315,-150.1028289794922,15,75000,686.73,15
24.9074,739.74,28.4104,-151.1451873779297,16,80000,761.32,16
27.97,851.49,28.5107,-151.57888793945312,17,85000,819.7,17
29.8642,731.94,28.8291,-159.01693725585938,18,90000,778.85,18
35.914,880.57,28.8545,-164.51104736328125,19,95000,830.04,19
32.1012,919.66,26.9176,-178.521240234375,20,100000,976.9,20
28.8262,948.72,27.9354,-180.28756713867188,21,105000,888.55,21
27.8564,927.23,28.5397,-186.53765869140625,22,110000,891.43,22
21.2032,1067.86,28.0503,-199.53903198242188,23,115000,893.2,23
23.0365,744.28,29.3623,-217.26837158203125,24,120000,779.35,24
22.7245,1008.49,28.9009,-216.77142333984375,25,125000,957.75,25
20.6158,972.03,28.7759,-214.48638916015625,26,130000,1008.64,26
20.7063,1482.17,28.4997,-205.11322021484375,27,135000,1209.6,27
22.2155,1125.78,28.6636,-223.46450805664062,28,140000,1088.03,28
22.007,1141.67,28.2015,-242.8701629638672,29,145000,1080.78,29
20.9976,1353.67,28.0878,-221.29676818847656,30,150000,1269.38,30
20.387,1783.53,28.4463,-228.76202392578125,31,155000,1454.11,31
18.2703,1393.42,27.8781,-247.3248291015625,32,160000,1095.07,32
19.542,1717.44,26.817,-261.4866943359375,33,165000,1197.0,33
22.532,935.18,28.3147,-278.5662536621094,34,170000,936.4,34
22.3328,964.0,28.2707,-305.4235534667969,35,175000,888.82,35
23.7093,1476.34,28.0761,-280.63922119140625,36,180000,1219.88,36
23.7681,1474.85,27.0362,-274.585205078125,37,185000,1353.19,37
22.1966,1194.63,28.763,-302.8208923339844,38,190000,1083.12,38
25.0547,1241.7,27.0334,-313.63763427734375,39,195000,1191.39,39
28.5607,1888.25,26.9429,-313.3475341796875,40,200000,1530.06,40
25.4069,2217.16,28.2096,-331.5368957519531,41,205000,1297.7,41
30.2179,1419.6,27.9435,-368.7629089355469,42,210000,1104.92,42
16.8921,3136.29,26.0996,-208.428466796875,43,215000,3075.63,43
15.0561,3095.94,25.8173,-207.62464904785156,44,220000,2856.54,44
16.9294,3151.77,26.6991,-221.4807586669922,45,225000,2714.7,45
33.1818,3100.16,26.0602,-262.77392578125,46,230000,2628.1,46
14.9806,3062.53,25.1732,-231.06211853027344,47,235000,2907.24,47
16.0997,3119.08,26.0529,-230.59716796875,48,240000,3024.69,48
16.1661,3039.81,26.0547,-224.2741241455078,49,245000,3029.36,49
15.6981,3041.9,25.4586,-217.43402099609375,50,250000,3041.59,50
17.3444,3113.98,26.5147,-211.51199340820312,51,255000,3108.22,51
15.5725,3120.38,26.0369,-244.9460906982422,52,260000,2998.52,52
15.5568,3085.02,25.0896,-252.97021484375,53,265000,3065.61,53
16.4897,2930.2,26.4584,-266.47381591796875,54,270000,2999.24,54
15.808,2992.89,26.1309,-238.26185607910156,55,275000,3043.67,55
18.3003,3119.8,27.2789,-255.47068786621094,56,280000,3126.94,56
16.9373,3079.73,26.5788,-271.8074951171875,57,285000,3054.77,57
16.2513,3225.13,27.2874,-291.24639892578125,58,290000,3029.23,58
15.7275,3128.79,25.319,-289.9931945800781,59,295000,3140.56,59
15.1372,3134.39,26.2523,-317.56597900390625,60,300000,3062.66,60
17.043,3057.96,25.7368,-298.6360778808594,61,305000,3076.13,61
17.0373,3254.76,25.5939,-281.3946533203125,62,310000,3060.71,62
16.7864,3183.62,24.8757,-265.4809265136719,63,315000,3121.55,63
17.3238,3242.27,27.7334,-332.4412841796875,64,320000,2774.23,64
15.928,3214.41,25.0762,-331.3789978027344,65,325000,3156.73,65
16.132,3161.05,24.9668,-324.33062744140625,66,330000,3176.24,66
16.2012,3230.73,25.6951,-323.0966796875,67,335000,3188.93,67
