Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Itration
38.312,308.12,17.972,326.13,0
37.3261,366.28,29.9484,403.14,1
36.7558,321.32,29.3669,333.31,2
35.2843,412.45,32.4736,384.08,3
34.806,447.64,33.8756,369.2,4
36.5938,343.84,22.4546,293.76,5
33.0361,593.82,20.9541,623.24,6
32.44,2072.85,15.3071,2446.47,7
29.9045,1604.68,15.2975,2666.11,8
30.5311,1064.58,18.0294,899.28,9
29.9517,1684.51,13.7455,2018.13,10
30.8364,1613.77,15.1047,1839.06,11
30.1796,1707.97,13.6838,2138.61,12
28.6856,2185.2,13.4026,3120.7,13
28.9488,2482.15,12.6096,3162.86,14
28.7793,1726.41,12.6591,3187.2,15
30.113,1276.03,15.381,1388.73,16
29.6917,2908.19,14.5861,3187.07,17
28.688,2105.59,13.7834,3208.65,18
29.8424,1892.81,15.5652,3125.72,19
29.0139,2991.89,15.0439,3242.5,20
28.2497,2755.95,16.5956,3305.54,21
28.8662,2519.59,14.6172,3264.97,22
28.939,2638.08,14.2866,3259.3,23
28.6186,2738.59,14.0646,3309.27,24
29.1887,2742.01,15.2715,3303.22,25
29.2356,1996.49,14.6302,3262.16,26
30.5081,1430.6,18.9059,1791.1,27
29.8947,1847.71,20.1363,3315.63,28
28.2558,2796.37,16.1095,3332.31,29
28.9217,2303.15,17.0414,3351.98,30
30.2012,1692.89,26.5147,1995.04,31
27.6151,3307.61,14.9556,3301.56,32
29.0332,2275.68,18.9347,3324.3,33
27.829,2827.43,16.0659,3349.66,34
28.2586,3171.38,14.8492,3327.18,35
28.2316,3014.42,16.3212,3346.56,36
28.1209,3025.53,15.5884,3323.0,37
28.0547,3387.8,14.8387,3392.41,38
29.4295,2278.89,24.34,3372.19,39
28.6586,3307.59,16.1205,3283.92,40
28.4921,3275.64,15.4917,3316.96,41
28.3104,3198.2,18.8854,3351.48,42
28.0748,3190.15,15.2187,3354.9,43
27.6703,2991.58,15.6014,3317.83,44
27.9941,3364.31,15.0474,3358.04,45
28.2887,2687.06,16.2379,3402.54,46
28.7746,2590.0,15.8086,2966.26,47
28.3246,2235.62,18.6244,2869.89,48
28.0692,2441.51,20.1454,3224.26,49
28.337,2879.27,27.3464,3403.65,50
27.5413,3316.41,14.5015,3335.7,51
27.5776,2801.53,15.1965,3413.68,52
27.769,3154.56,14.8756,3396.37,53
27.7421,3236.29,15.1246,3368.75,54
27.5487,3318.78,15.2048,3329.34,55
28.1783,3207.83,15.2977,3402.22,56
27.6216,3369.39,15.3258,3399.86,57
26.7174,3344.59,14.0917,3384.11,58
27.9108,3381.36,14.5863,3404.54,59
28.0815,3369.32,15.3244,3451.31,60
27.5486,3412.9,15.6645,3429.82,61
27.6919,3360.0,15.5543,3400.16,62
28.169,3368.87,15.4934,3443.8,63
27.0412,3348.84,15.0701,3373.93,64
28.0145,3400.64,15.3397,3446.11,65
26.772,3346.83,14.7771,3430.44,66
27.7142,3415.46,15.6516,3449.12,67
27.5831,3277.21,14.9035,3441.74,68
27.7699,3287.88,14.879,3406.38,69
27.0591,3349.6,14.8367,3390.79,70
