Running Reverse KL,Real Det Return,Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Sto Return,Running Update Time
282.0441,154.38,0,1200.4874267578125,452.7775,0,179.93,0
266.8746,338.91,1,1022.6831665039062,434.2101,5000,331.1,1
277.5766,323.73,2,1069.274169921875,437.3287,10000,323.7,2
259.5232,395.99,3,910.065673828125,444.7872,15000,365.65,3
257.3964,409.62,4,685.6259155273438,420.0229,20000,396.67,4
279.8124,424.68,5,-104.63166046142578,428.2884,25000,406.26,5
282.1566,472.75,6,-38.664817810058594,418.4586,30000,418.05,6
244.5449,497.28,7,-248.28160095214844,417.0283,35000,437.82,7
296.0606,401.89,8,-528.7872314453125,432.7163,40000,413.52,8
261.4022,554.26,9,-683.0023803710938,415.3134,45000,488.37,9
257.296,402.68,10,-1456.2333984375,410.5105,50000,473.57,10
256.0629,477.9,11,-1624.592529296875,405.3023,55000,561.76,11
295.1712,568.38,12,-1879.722412109375,413.618,60000,554.67,12
259.1962,530.91,13,-1570.1312255859375,405.6633,65000,627.6,13
214.4219,658.3,14,-1930.4857177734375,396.1982,70000,693.14,14
219.6233,612.45,15,-2126.991455078125,382.2538,75000,797.94,15
243.8333,730.4,16,-2605.67236328125,380.725,80000,708.41,16
