Real Det Return,Running Reverse KL,Running Forward KL,Itration,Reward Loss,Running Update Time,Real Sto Return,Running Env Steps
214.32,21.2814,34.125,0,-292.3080749511719,0,221.46,0
217.57,37.7616,33.4752,1,-318.98284912109375,1,219.78,5000
273.3,17.4205,30.0486,2,-232.72621154785156,2,281.79,10000
3.76,44.6376,29.2291,3,-242.65426635742188,3,3.7,15000
381.5,91.725,29.4007,4,-305.3589782714844,4,375.1,20000
628.67,15.6704,29.5917,5,-253.76170349121094,5,566.13,25000
628.28,68.6335,30.1645,6,-234.85572814941406,6,607.95,30000
421.46,36.7135,28.8636,7,-292.54095458984375,7,432.48,35000
591.25,29.4277,27.9817,8,-262.30224609375,8,622.88,40000
581.11,20.9226,27.005,9,-305.01507568359375,9,603.99,45000
677.04,71.9379,28.3856,10,-266.7484130859375,10,720.57,50000
721.64,22.0862,26.8361,11,-333.2083435058594,11,699.66,55000
671.34,19.2661,26.2387,12,-329.21240234375,12,654.94,60000
976.86,15.1713,27.5998,13,-271.0732116699219,13,701.24,65000
39.21,192.5078,38.7351,14,-539.6937255859375,14,36.52,70000
552.82,22.139,30.1373,15,-432.07977294921875,15,402.93,75000
860.55,17.9645,27.6606,16,-294.820068359375,16,563.21,80000
984.46,31.0657,31.0116,17,-487.3962097167969,17,981.49,85000
748.7,16.1734,28.4578,18,-386.6072998046875,18,710.91,90000
3266.01,29.2126,27.2392,19,-310.5003967285156,19,1123.12,95000
987.5,47.6561,27.5721,20,-347.343017578125,20,891.61,100000
1555.5,27.3853,26.8434,21,-368.00079345703125,21,1006.0,105000
972.15,29.946,27.8816,22,-372.50531005859375,22,920.14,110000
2651.98,23.2474,27.6943,23,-181.56907653808594,23,1938.34,115000
623.93,18.7472,27.2258,24,-154.8606414794922,24,1127.09,120000
602.15,17.6856,27.0272,25,-147.9309539794922,25,955.44,125000
2333.57,19.4174,27.043,26,-231.45681762695312,26,1893.31,130000
1649.49,21.0111,27.5163,27,-354.459228515625,27,1519.07,135000
3036.72,20.7713,26.2317,28,-359.3783874511719,28,1607.04,140000
3209.02,19.0481,26.4776,29,-212.64979553222656,29,2382.76,145000
1561.62,21.4113,26.72,30,-290.6844482421875,30,1956.71,150000
2683.59,21.5335,26.144,31,-351.880126953125,31,1853.57,155000
3259.39,32.1634,27.033,32,-355.8465270996094,32,1465.62,160000
3128.31,25.6608,25.7529,33,-243.8132781982422,33,2668.41,165000
3209.48,35.8295,27.9579,34,-246.1446533203125,34,2273.94,170000
3189.26,23.8414,27.2061,35,-188.2533721923828,35,2799.7,175000
2010.17,24.8948,25.6529,36,-378.343505859375,36,2047.71,180000
3220.26,19.068,26.5349,37,-175.84141540527344,37,3019.86,185000
592.71,22.7025,26.1261,38,-465.4573669433594,38,1080.4,190000
3221.29,33.9334,26.4486,39,-294.6919250488281,39,2478.33,195000
1994.98,30.5203,27.4732,40,-282.4507141113281,40,1871.09,200000
3210.44,20.6793,26.5418,41,-209.57708740234375,41,2530.28,205000
3287.52,26.2624,27.1325,42,-252.42074584960938,42,2460.84,210000
3246.16,20.2678,27.1612,43,-166.5221405029297,43,3045.29,215000
3241.5,18.805,26.5263,44,-288.3760070800781,44,1802.95,220000
991.03,19.4807,26.5108,45,-406.8540954589844,45,1929.72,225000
243.64,17.643,26.5832,46,-179.25962829589844,46,394.47,230000
2802.64,20.8042,25.7668,47,-471.1432189941406,47,1593.43,235000
1181.05,30.5016,26.7916,48,-591.1989135742188,48,1020.97,240000
3252.2,22.3378,26.7196,49,-294.96661376953125,49,2863.95,245000
3236.45,18.6913,27.6414,50,-255.98150634765625,50,2518.99,250000
3247.11,16.4336,26.8841,51,-367.4821472167969,51,1688.17,255000
3237.33,18.1259,26.6534,52,-226.52972412109375,52,2677.06,260000
3250.22,20.7729,28.2225,53,-213.23329162597656,53,3149.84,265000
3237.38,20.5054,28.0834,54,-206.99673461914062,54,3151.39,270000
3232.18,20.7515,27.9258,55,-208.3284912109375,55,3199.04,275000
3272.6,17.1118,26.9559,56,-454.0896301269531,56,1785.11,280000
