Real Det Return,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Running Update Time,Itration
285.18,363.45,0,439.0529,-261.9158935546875,259.8096,0,0
313.1,273.57,5000,442.6911,-308.4652404785156,281.2278,1,1
324.72,358.66,10000,441.3515,-515.1759033203125,276.4298,2,2
295.22,384.46,15000,415.9826,-835.7503662109375,242.2572,3,3
392.75,444.42,20000,396.7317,-1059.3238525390625,268.3166,4,4
281.98,312.27,25000,444.424,-1339.3885498046875,283.934,5,5
502.12,431.4,30000,393.2274,-1464.6153564453125,270.6546,6,6
515.56,433.56,35000,381.3062,-1904.2264404296875,274.6139,7,7
533.0,462.01,40000,399.521,-1949.6107177734375,266.4715,8,8
506.34,553.78,45000,394.652,-2267.54248046875,251.3278,9,9
409.18,476.78,50000,397.834,-2424.0361328125,245.0817,10,10
431.62,468.03,55000,402.0794,-2764.232177734375,268.5541,11,11
452.28,549.4,60000,386.6998,-2939.4931640625,242.0929,12,12
561.78,480.68,65000,404.0158,-3453.326416015625,261.4417,13,13
419.12,528.37,70000,394.0375,-3649.688232421875,256.1499,14,14
461.31,630.99,75000,399.1274,-3794.446533203125,262.3526,15,15
483.99,652.39,80000,401.7303,-4081.13134765625,275.3321,16,16
488.88,732.61,85000,376.5077,-4294.61328125,248.0577,17,17
486.35,775.77,90000,388.5259,-4411.0478515625,243.716,18,18
673.71,723.99,95000,370.9185,-4721.8212890625,243.3167,19,19
443.33,636.31,100000,384.276,-4674.98681640625,238.25,20,20
404.32,461.93,105000,387.8501,-4961.099609375,240.8908,21,21
478.24,616.56,110000,370.9576,-5277.54541015625,239.6602,22,22
482.14,659.33,115000,391.7482,-5785.79833984375,250.5862,23,23
451.38,549.5,120000,378.4297,-5633.93798828125,244.6719,24,24
874.06,796.88,125000,369.9761,-6048.27880859375,250.0474,25,25
789.9,598.29,130000,405.7722,-6207.88525390625,243.0922,26,26
450.77,753.12,135000,383.1048,-6371.41162109375,233.312,27,27
716.11,692.51,140000,389.1998,-6955.58056640625,244.4352,28,28
723.74,833.08,145000,369.6833,-6325.515625,247.9192,29,29
611.55,736.74,150000,392.3024,-7429.04833984375,277.0599,30,30
767.28,787.64,155000,377.8036,-6733.85205078125,248.3825,31,31
500.99,723.71,160000,385.8471,-6308.96337890625,252.4488,32,32
516.03,812.32,165000,385.8484,-7504.78076171875,258.4977,33,33
732.16,832.99,170000,387.2122,-7691.76220703125,241.2745,34,34
763.73,835.97,175000,372.1183,-7993.21826171875,242.9038,35,35
747.26,677.29,180000,375.9776,-7812.6220703125,254.2385,36,36
843.08,1068.54,185000,354.3057,-7995.556640625,261.0959,37,37
808.02,979.08,190000,375.8094,-8192.009765625,233.1508,38,38
1053.5,1255.68,195000,373.5686,-8317.2548828125,252.1111,39,39
463.06,1306.76,200000,357.5842,-8534.1005859375,247.946,40,40
774.9,1181.4,205000,366.2802,-8546.125,226.1717,41,41
823.75,1203.72,210000,357.7966,-8077.7197265625,231.4756,42,42
1532.72,1223.49,215000,351.0118,-8635.544921875,236.0392,43,43
1222.07,1244.82,220000,351.0807,-7824.52490234375,215.9285,44,44
635.48,1374.1,225000,350.4935,-8311.541015625,226.8338,45,45
1328.19,1935.41,230000,329.9005,-6209.767578125,179.8019,46,46
1206.54,1419.63,235000,352.4446,-8398.7138671875,217.8605,47,47
934.51,1185.85,240000,368.8105,-9286.8056640625,261.3409,48,48
1405.07,1269.3,245000,357.0152,-8780.1953125,229.8197,49,49
758.38,2234.07,250000,356.5604,-7654.90380859375,193.0082,50,50
1802.93,1398.65,255000,358.8859,-8169.32958984375,201.2427,51,51
884.53,1802.35,260000,348.7262,-7864.2685546875,215.8682,52,52
1083.49,1542.93,265000,374.5469,-9418.8095703125,240.4768,53,53
2412.55,1966.06,270000,353.4689,-8490.375,213.1908,54,54
525.15,1223.03,275000,382.2314,-11213.8984375,269.1165,55,55
744.37,1760.48,280000,366.6772,-9425.6103515625,224.8857,56,56
2332.93,1688.09,285000,353.6656,-7975.45458984375,211.995,57,57
1942.45,2326.72,290000,348.0354,-7079.60888671875,180.4745,58,58
1436.84,2770.7,295000,357.2364,-7651.96240234375,202.3597,59,59
982.1,2003.68,300000,359.5779,-7982.27734375,214.7145,60,60
1307.85,2516.44,305000,350.5464,-7385.16162109375,196.2146,61,61
705.31,1882.65,310000,360.9997,-9352.611328125,259.3237,62,62
2900.22,1732.6,315000,359.79,-8924.54296875,219.5,63,63
1853.24,1822.81,320000,362.9063,-10097.0908203125,265.4645,64,64
1020.42,2718.81,325000,363.309,-9282.4306640625,229.3689,65,65
1275.22,1948.09,330000,366.84,-10353.197265625,246.303,66,66
