Itration,Real Sto Return,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return
0,307.52,0,0,-127.62364959716797,13.4994,49.155,273.84
1,356.76,5000,1,-75.59718322753906,15.2563,49.9959,449.81
2,404.93,10000,2,-150.75546264648438,12.4898,48.978,400.76
3,418.66,15000,3,-101.5106430053711,21.6707,49.021,380.48
4,354.96,20000,4,-42.935325622558594,20.3001,50.05,336.48
5,435.2,25000,5,-69.01283264160156,18.4926,49.0891,382.16
6,426.86,30000,6,-91.73658752441406,22.5028,49.7681,441.51
7,443.5,35000,7,-85.32638549804688,24.49,49.186,419.37
8,521.81,40000,8,-63.484458923339844,24.665,49.2267,529.98
9,462.31,45000,9,-116.32347106933594,18.858,49.642,460.86
10,532.24,50000,10,-203.7136688232422,25.7057,48.63,521.81
11,660.49,55000,11,-206.15042114257812,24.2945,47.9831,575.88
12,574.13,60000,12,-197.42022705078125,40.5411,48.516,547.22
13,678.55,65000,13,-189.74366760253906,40.8606,48.8215,558.46
14,642.68,70000,14,-262.8828430175781,31.0668,48.4085,566.16
15,938.12,75000,15,-220.26568603515625,22.8025,47.7562,905.08
16,1024.26,80000,16,-94.01459503173828,31.3119,48.929,2071.18
17,1188.75,85000,17,-140.13796997070312,23.5571,48.245,1133.69
18,951.14,90000,18,-164.4884796142578,21.0163,48.041,1771.3
19,1124.87,95000,19,-186.36488342285156,14.3171,48.3918,1008.05
20,1332.5,100000,20,-176.06703186035156,20.4266,47.5614,1662.26
21,814.55,105000,21,-171.53164672851562,24.139,47.3007,1526.36
22,1022.97,110000,22,-201.32237243652344,21.9491,47.7551,790.05
23,1003.01,115000,23,-176.05836486816406,21.7973,47.4287,793.32
24,1076.44,120000,24,-247.5169677734375,18.4237,47.5324,1563.94
25,805.74,125000,25,-204.17919921875,22.743,47.517,908.98
26,952.61,130000,26,-226.37269592285156,25.246,47.5029,895.82
27,1072.42,135000,27,-147.61680603027344,34.1789,46.9837,1091.83
28,1067.98,140000,28,-241.4298553466797,17.6658,46.8348,1273.93
29,1016.51,145000,29,-185.4280548095703,22.6834,47.1632,1066.62
30,1041.81,150000,30,-355.63519287109375,13.5687,46.0257,1150.31
31,1280.37,155000,31,-237.23670959472656,18.1142,46.0743,1377.52
32,1124.9,160000,32,-267.90191650390625,18.1884,46.1906,1084.71
33,1020.97,165000,33,-241.731201171875,22.6171,46.6706,1088.48
34,1090.67,170000,34,-263.6083679199219,15.4683,46.5411,1156.33
35,1101.46,175000,35,-278.9904479980469,18.9914,46.7571,1176.42
36,1092.19,180000,36,-302.9122619628906,18.7534,46.2965,1166.55
37,1046.67,185000,37,-261.9579772949219,24.8489,46.8712,1229.92
38,1104.41,190000,38,-295.8510437011719,19.6016,46.8098,1046.73
39,1058.88,195000,39,-287.173828125,24.1291,47.0049,1104.58
40,1030.53,200000,40,-347.74505615234375,18.0297,46.3384,1137.75
41,1145.7,205000,41,-328.12945556640625,21.174,46.7516,1361.86
42,1179.34,210000,42,-340.2889099121094,18.3922,46.3981,1519.4
43,1006.24,215000,43,-376.060791015625,18.0619,47.1109,1086.29
44,1122.26,220000,44,-391.6231384277344,14.961,46.4931,1201.27
45,1170.97,225000,45,-368.6582946777344,17.822,46.7022,1249.83
46,1156.56,230000,46,-372.1382141113281,19.3247,46.7416,1304.68
47,1100.9,235000,47,-443.6323547363281,15.2516,46.6979,1277.42
48,1248.63,240000,48,-391.3326416015625,16.8607,47.1273,1530.24
49,1408.95,245000,49,-385.7061767578125,20.9581,46.4782,1544.43
50,1379.81,250000,50,-388.181640625,17.7985,46.5315,1743.39
51,1177.47,255000,51,-429.50189208984375,18.3504,46.9076,1305.5
52,1117.97,260000,52,-469.466552734375,14.9567,46.4315,1117.17
53,1138.55,265000,53,-482.83575439453125,16.1503,46.8624,1236.64
54,1122.47,270000,54,-467.0523986816406,15.9087,46.4215,1199.59
55,1141.09,275000,55,-472.8232727050781,16.7009,46.8395,1303.67
56,1090.12,280000,56,-500.58270263671875,14.6557,46.6637,1220.33
57,1083.02,285000,57,-475.29833984375,15.4186,46.4787,992.28
58,1231.33,290000,58,-516.0693969726562,19.498,46.3692,1157.11
59,1285.46,295000,59,-512.2499389648438,25.194,45.7313,1340.59
60,1029.13,300000,60,-558.6300048828125,18.1708,47.1906,1219.48
61,1088.39,305000,61,-511.6008605957031,18.2098,46.4235,1094.61
62,1247.46,310000,62,-543.6477661132812,17.9866,46.3401,1092.38
63,1243.82,315000,63,-525.8961791992188,17.6672,46.4459,1101.61
64,1241.95,320000,64,-602.8182373046875,15.1436,46.5563,1231.72
65,1226.34,325000,65,-547.0003051757812,17.8035,46.8915,1055.67
66,1324.43,330000,66,-558.2363891601562,23.5637,46.2071,1215.32
67,1362.57,335000,67,-540.888427734375,23.4403,46.3276,1090.69
68,1487.44,340000,68,-524.2478637695312,20.0473,46.4784,1758.12
69,1354.37,345000,69,-616.3397216796875,17.0468,46.918,1221.27
70,1446.0,350000,70,-632.3629760742188,17.5726,46.6631,1235.03
71,1440.47,355000,71,-698.2264404296875,19.0495,46.4548,1708.31
72,1286.15,360000,72,-673.0458984375,17.138,46.7026,1431.32
73,1500.01,365000,73,-605.1401977539062,22.494,46.1467,2332.29
74,1304.51,370000,74,-701.0048828125,17.8254,46.527,1567.53
75,1613.67,375000,75,-670.9788818359375,23.0514,46.1212,2100.81
76,1582.87,380000,76,-653.0670166015625,16.9919,45.8505,2707.3
77,1647.94,385000,77,-593.1851196289062,16.1147,46.0094,2317.21
78,2072.64,390000,78,-539.6649169921875,19.2022,45.7137,3154.86
79,2033.53,395000,79,-631.6089477539062,17.8212,45.6045,3181.31
80,1843.86,400000,80,-620.32470703125,21.57,45.9306,2811.19
81,2490.25,405000,81,-597.3507080078125,21.0986,45.5009,3277.05
82,1716.01,410000,82,-626.8311767578125,24.869,46.0813,2302.12
83,1824.17,415000,83,-612.8538818359375,18.0186,45.5753,3446.68
84,2356.92,420000,84,-508.5918884277344,19.0556,45.9092,3244.96
85,2125.47,425000,85,-523.4048461914062,21.6523,46.2052,3034.77
86,2700.22,430000,86,-435.96136474609375,18.7504,45.8556,3358.47
87,1922.06,435000,87,-576.9608154296875,22.5605,46.3905,3264.03
88,2316.12,440000,88,-595.7533569335938,18.7738,45.6573,3102.17
89,2252.41,445000,89,-563.4659423828125,16.0376,45.6783,3440.15
90,2886.42,450000,90,-462.8836975097656,17.471,45.1402,3052.95
91,2315.89,455000,91,-628.9940185546875,17.6893,45.6566,3247.97
92,2331.03,460000,92,-560.0352783203125,19.5776,45.7171,3463.59
93,2305.84,465000,93,-644.4041137695312,17.3478,45.2403,3152.65
94,2085.47,470000,94,-690.2140502929688,17.0301,45.802,3228.16
95,1688.35,475000,95,-680.0499877929688,19.822,45.7594,2655.84
96,2070.99,480000,96,-693.19970703125,22.8692,45.8659,2415.23
97,2304.35,485000,97,-741.4312133789062,18.302,45.8176,2629.11
98,2429.85,490000,98,-754.2818603515625,22.5106,46.0096,2990.94
99,1824.74,495000,99,-751.7274780273438,20.0869,45.9477,2564.11
100,2264.53,500000,100,-671.7498168945312,20.9448,45.6719,2934.49
101,1784.14,505000,101,-747.77880859375,20.9672,45.7214,2674.09
102,2225.8,510000,102,-825.9926147460938,23.8108,45.5974,2798.25
103,2329.74,515000,103,-672.0951538085938,18.4006,45.5823,2820.71
104,2618.97,520000,104,-724.2382202148438,17.9495,45.949,3328.5
105,2518.94,525000,105,-759.2179565429688,19.2656,45.5064,3097.41
106,2137.11,530000,106,-754.1934204101562,17.813,45.295,3054.63
107,2849.69,535000,107,-841.3115844726562,16.3817,45.8335,3383.61
108,1884.12,540000,108,-886.5551147460938,20.8899,45.7936,2536.31
109,1967.31,545000,109,-739.8004760742188,17.6196,45.971,3014.7
110,2523.33,550000,110,-769.2954711914062,17.551,45.7569,3423.79
111,2853.75,555000,111,-618.4313354492188,18.3158,45.4654,3382.19
112,1881.24,560000,112,-961.989990234375,18.9761,46.0706,2294.75
113,2350.02,565000,113,-777.5211181640625,21.8012,45.3053,3247.38
114,2473.39,570000,114,-883.560791015625,17.1067,45.4727,2750.48
115,1865.9,575000,115,-933.5210571289062,16.2352,45.5458,2775.61
116,2573.03,580000,116,-920.2505493164062,15.5673,45.2531,3173.33
117,2664.06,585000,117,-955.2474975585938,20.3639,45.7427,3140.4
118,2918.83,590000,118,-735.4152221679688,17.6486,45.3644,3558.2
119,2337.96,595000,119,-913.9702758789062,18.1099,45.726,2902.88
120,2250.97,600000,120,-869.9805297851562,16.321,45.4719,3367.76
121,2227.43,605000,121,-835.9566040039062,17.4187,45.6617,3321.33
122,2786.48,610000,122,-841.3265991210938,16.1342,45.2848,3219.31
123,2253.65,615000,123,-972.3540649414062,17.0011,45.5018,2893.38
124,2434.79,620000,124,-777.4176635742188,17.7681,45.2242,3342.92
125,2257.18,625000,125,-859.949951171875,19.7696,45.4713,2961.54
126,2536.74,630000,126,-897.289306640625,17.677,45.1832,3328.78
127,2477.83,635000,127,-1024.8963623046875,14.8899,45.6835,3100.01
128,2611.77,640000,128,-944.898681640625,17.7965,45.3172,3693.87
129,2482.44,645000,129,-817.5864868164062,19.9354,45.4464,3052.08
130,2017.53,650000,130,-1007.8362426757812,18.1339,45.7424,2623.53
131,3074.23,655000,131,-825.3721313476562,17.3901,45.456,3350.67
132,2697.54,660000,132,-702.9764404296875,17.6363,44.9676,3142.34
133,3086.18,665000,133,-812.5153198242188,17.9651,45.6164,3341.37
134,2702.71,670000,134,-850.8666381835938,20.3123,45.5946,3490.35
135,2329.27,675000,135,-1038.310791015625,21.0177,45.4862,2812.14
136,3177.18,680000,136,-909.6806640625,20.5585,45.0257,3356.08
137,2899.0,685000,137,-873.4541625976562,17.0414,45.1466,2951.55
138,2324.71,690000,138,-934.0279541015625,22.8089,45.4817,3544.24
139,2573.22,695000,139,-836.8516235351562,19.175,45.3438,3411.58
140,2934.59,700000,140,-926.0952758789062,21.3122,45.2832,2964.62
141,2678.5,705000,141,-868.775390625,17.6031,45.194,3355.77
142,3168.3,710000,142,-889.0673217773438,17.5989,45.2151,3388.8
143,3268.27,715000,143,-1013.210205078125,21.5438,45.1861,3576.15
144,2486.08,720000,144,-1152.055419921875,15.1395,45.4646,3102.47
145,2861.42,725000,145,-960.9398803710938,16.267,44.9215,3393.56
146,3312.83,730000,146,-930.6492919921875,16.1777,45.1823,3433.18
147,2717.91,735000,147,-1078.2059326171875,17.7398,45.4902,2571.63
148,3283.04,740000,148,-922.28955078125,17.2421,45.3595,3139.24
149,2748.42,745000,149,-928.3207397460938,17.3089,44.9004,2993.56
150,2957.9,750000,150,-943.4907836914062,18.5311,45.0323,1967.8
151,2824.78,755000,151,-999.8192749023438,17.9149,45.662,3233.31
152,2672.49,760000,152,-974.1155395507812,16.9656,45.3555,3554.56
153,3050.93,765000,153,-892.447998046875,15.9889,45.1843,2958.35
154,2467.34,770000,154,-1029.708984375,15.9173,45.0972,2960.88
155,2931.19,775000,155,-1042.7127685546875,16.2149,44.9795,3057.82
156,3247.58,780000,156,-986.59423828125,16.9761,45.4828,3335.22
157,2864.57,785000,157,-1007.584716796875,15.7064,44.8804,2389.81
158,3229.98,790000,158,-1030.0059814453125,16.7133,45.0191,2664.49
159,2714.45,795000,159,-1026.7872314453125,15.9086,45.1029,2773.84
160,3269.59,800000,160,-942.86572265625,17.3083,44.7316,3430.2
161,3108.97,805000,161,-1088.811767578125,15.9163,45.3607,3328.59
162,2855.25,810000,162,-986.4271240234375,17.0582,45.1266,3416.76
163,3184.37,815000,163,-1040.792724609375,16.3698,45.3393,3279.99
164,2747.17,820000,164,-999.8590698242188,17.6276,45.9291,3299.72
165,2697.33,825000,165,-1008.045166015625,16.6299,44.2468,3271.13
166,3374.24,830000,166,-1055.7286376953125,16.4849,45.0308,3197.71
167,3463.5,835000,167,-956.395751953125,18.5369,45.5373,3571.43
168,3142.65,840000,168,-1033.697998046875,17.2954,45.2717,3570.17
169,3039.79,845000,169,-1046.5494384765625,17.3131,45.1445,3472.09
170,3173.5,850000,170,-1147.5450439453125,15.6247,45.2884,3360.07
171,3190.44,855000,171,-1211.2327880859375,19.8921,45.1837,3509.91
172,3507.12,860000,172,-998.5210571289062,18.068,45.3465,3350.37
173,3442.84,865000,173,-1097.762451171875,17.125,45.5182,3264.02
174,2901.46,870000,174,-1316.51416015625,14.9361,44.9886,3311.52
175,3267.56,875000,175,-1181.416748046875,16.8285,45.378,3320.07
176,3385.54,880000,176,-1022.6421508789062,19.636,46.0513,3351.78
177,3392.06,885000,177,-987.9521484375,18.3945,44.7264,3205.12
178,3050.49,890000,178,-1095.3551025390625,17.4934,44.8362,3672.6
179,3559.29,895000,179,-1087.88232421875,18.5098,45.9045,3318.19
180,3232.63,900000,180,-1160.20263671875,17.7812,45.4927,3305.15
181,3345.62,905000,181,-1120.8834228515625,18.5832,45.6504,3531.22
182,3178.27,910000,182,-1192.29150390625,16.6236,45.1684,2687.93
183,3344.03,915000,183,-1121.039794921875,17.4723,45.2072,3428.18
184,3110.96,920000,184,-1325.9598388671875,16.7684,44.5704,3470.18
185,3173.39,925000,185,-1175.1982421875,17.4558,45.0479,3472.55
186,3272.09,930000,186,-1310.3006591796875,16.0525,45.1442,2753.32
187,3181.58,935000,187,-1283.7227783203125,17.002,45.0875,3256.93
188,3386.2,940000,188,-1229.6912841796875,17.3222,44.8193,3662.99
189,3590.92,945000,189,-1195.02392578125,18.427,45.4883,3350.83
190,2938.87,950000,190,-1209.794189453125,17.5665,44.9994,3346.8
191,3139.5,955000,191,-1319.03271484375,18.2782,45.1113,3429.94
192,3330.81,960000,192,-1255.3060302734375,17.9469,45.4858,3272.19
193,3039.3,965000,193,-1348.06005859375,16.3483,45.2139,3388.81
194,2661.54,970000,194,-1454.186279296875,16.3262,45.1863,2451.22
195,3153.44,975000,195,-1328.557861328125,19.0168,45.1023,3007.53
196,2953.36,980000,196,-1431.4400634765625,16.0902,44.9561,3564.99
197,3390.24,985000,197,-1231.6707763671875,18.4986,45.4365,3717.19
198,2688.45,990000,198,-1489.9375,18.9909,45.0725,2892.04
199,3116.72,995000,199,-1374.9010009765625,18.0033,45.3403,3313.15
200,3426.22,1000000,200,-1363.6273193359375,16.6815,44.8592,3565.93
201,3492.91,1005000,201,-1366.6070556640625,16.6661,44.9529,3610.29
202,3442.57,1010000,202,-1416.2042236328125,18.0901,45.0181,3600.54
203,3515.49,1015000,203,-1363.03076171875,17.1697,45.1601,3319.68
204,3343.47,1020000,204,-1348.1041259765625,17.0824,44.8284,3600.54
205,3692.59,1025000,205,-1428.42138671875,16.1345,44.7172,3580.13
206,3292.67,1030000,206,-1393.8238525390625,17.1805,45.2604,3564.64
207,3301.66,1035000,207,-1518.1201171875,17.0054,45.264,3594.94
208,3532.08,1040000,208,-1434.0516357421875,17.3791,44.9833,3645.33
209,3536.37,1045000,209,-1446.3270263671875,16.8118,45.1628,3467.86
210,3499.62,1050000,210,-1417.5682373046875,17.5096,45.0914,3510.54
211,3245.12,1055000,211,-1528.41455078125,16.9597,45.0577,3581.38
212,3649.26,1060000,212,-1404.5118408203125,17.3357,45.0275,3588.98
213,3532.38,1065000,213,-1480.4783935546875,17.7554,45.2933,3558.85
214,3573.48,1070000,214,-1523.640380859375,16.8854,44.9134,3514.66
215,3446.64,1075000,215,-1593.54638671875,17.486,45.1643,3611.21
