Real Det Return,Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps,Real Sto Return,Itration
3513.17,77,22.7562,-548.453369140625,15.7475,385000,3184.89,77
3497.83,78,22.0342,-530.366943359375,16.023,390000,3409.95,78
3450.91,79,21.8989,-678.9058837890625,19.5626,395000,3065.42,79
3360.76,80,22.635,-781.5560913085938,21.8055,400000,3066.16,80
3400.16,81,22.4994,-808.8921508789062,16.0653,405000,2864.28,81
3435.81,82,21.5512,-497.7572021484375,14.8845,410000,3390.07,82
3481.93,83,22.364,-529.2420654296875,15.4332,415000,3372.88,83
3511.53,84,21.7629,-627.2597045898438,14.2018,420000,3241.0,84
3266.47,85,22.4526,-814.7401123046875,13.9556,425000,2781.26,85
3182.13,86,22.6752,-884.6362915039062,14.3052,430000,2241.89,86
3335.93,87,21.927,-971.4638671875,18.5804,435000,2546.7,87
3453.06,88,21.837,-563.0159301757812,15.088,440000,3412.6,88
3463.07,89,21.9778,-657.8107299804688,13.8786,445000,2930.89,89
3437.4,90,21.1762,-702.8822631835938,13.6809,450000,3352.26,90
3487.93,91,21.9404,-583.7975463867188,15.5074,455000,3441.47,91
3449.31,92,21.3988,-593.9107666015625,13.8232,460000,3215.67,92
3467.07,93,21.8727,-753.0906372070312,14.1874,465000,3150.38,93
3485.33,94,20.5796,-618.5608520507812,13.858,470000,3239.22,94
3475.27,95,21.4359,-572.6829223632812,14.6644,475000,3394.16,95
3464.45,96,22.0727,-626.170654296875,15.9007,480000,3425.01,96
3519.16,97,21.2792,-641.0431518554688,13.9235,485000,3403.63,97
3493.9,98,21.9348,-633.4103393554688,15.5762,490000,3444.72,98
3469.47,99,21.4472,-625.08447265625,14.3267,495000,3449.32,99
3487.01,100,21.1794,-663.4327392578125,14.0463,500000,3460.32,100
3499.71,101,21.9162,-688.7683715820312,14.6099,505000,3396.06,101
3481.79,102,21.4586,-638.8109130859375,14.468,510000,3441.12,102
3485.35,103,21.3281,-682.5516357421875,13.9613,515000,3462.36,103
3496.48,104,21.1165,-700.0646362304688,13.5993,520000,3486.47,104
3474.95,105,20.8929,-683.7408447265625,13.9958,525000,3441.49,105
3440.47,106,21.9218,-755.6748657226562,14.8902,530000,3424.86,106
3406.26,107,20.7824,-706.195068359375,13.8247,535000,3283.71,107
3472.79,108,21.2949,-737.7986450195312,14.4764,540000,3415.92,108
3479.02,109,21.0937,-710.1679077148438,14.7287,545000,3452.3,109
3422.98,110,21.7344,-690.6747436523438,15.1884,550000,3405.7,110
3486.25,111,20.4299,-717.47607421875,13.2722,555000,3422.49,111
3493.42,112,21.0084,-749.2728881835938,14.3945,560000,3439.65,112
3515.11,113,21.0415,-773.9088134765625,14.3237,565000,3487.16,113
3503.09,114,20.4693,-713.0797119140625,14.5089,570000,3464.38,114
3472.28,115,20.7843,-884.7940063476562,13.3492,575000,3471.47,115
3501.26,116,21.2199,-954.2284545898438,13.3101,580000,2745.5,116
3495.04,117,20.419,-749.2652587890625,13.6368,585000,3466.23,117
3435.9,118,21.1312,-942.7872314453125,14.4397,590000,2610.66,118
3338.63,119,20.9153,-938.150634765625,13.2155,595000,2733.23,119
3487.83,120,21.1042,-908.9122924804688,13.5518,600000,3022.49,120
3524.33,121,20.2533,-841.726806640625,13.116,605000,3340.37,121
3505.71,122,20.3902,-801.244384765625,13.4915,610000,3332.49,122
3519.45,123,19.418,-696.1441650390625,12.7177,615000,3437.04,123
3504.93,124,20.2658,-875.3983764648438,13.0573,620000,3292.84,124
3505.55,125,20.6462,-919.980224609375,13.9857,625000,3296.74,125
3510.98,126,20.3925,-800.4325561523438,13.0254,630000,3096.57,126
3483.36,127,20.4485,-877.837890625,13.3431,635000,3448.35,127
3522.05,128,20.0942,-864.8538818359375,12.6675,640000,3135.57,128
3521.85,129,19.9531,-911.2835083007812,12.6792,645000,3453.99,129
3077.33,130,20.8799,-1115.6102294921875,15.727,650000,2613.48,130
3523.96,131,19.8884,-823.850830078125,13.0345,655000,3447.85,131
3497.99,132,20.2408,-834.6941528320312,13.5989,660000,3382.64,132
3492.33,133,19.8149,-876.3295288085938,13.5264,665000,3157.58,133
3493.86,134,20.1795,-946.9931640625,13.6388,670000,3453.94,134
3497.61,135,19.403,-904.2933349609375,13.2842,675000,3461.41,135
3512.42,136,20.7147,-991.1863403320312,14.021,680000,3354.35,136
3519.09,137,21.056,-991.8941650390625,14.3488,685000,3489.53,137
3501.4,138,19.9873,-1011.1512451171875,13.8615,690000,3384.06,138
3491.52,139,20.4812,-1054.1715087890625,13.1801,695000,3333.52,139
3498.45,140,20.8685,-934.071044921875,14.8426,700000,3459.69,140
3496.67,141,19.489,-907.21630859375,12.668,705000,3054.1,141
3513.23,142,19.5986,-900.5726928710938,13.1368,710000,3356.59,142
3507.45,143,19.7385,-981.7403564453125,13.2896,715000,3472.87,143
3517.79,144,20.3166,-970.3764038085938,13.1006,720000,3401.34,144
3497.16,145,20.031,-1039.1812744140625,13.1026,725000,3046.21,145
3402.17,146,20.7131,-1180.7044677734375,14.2681,730000,2696.38,146
3526.28,147,20.7517,-1287.6312255859375,16.2537,735000,2592.59,147
3493.14,148,20.0376,-1042.2735595703125,12.9012,740000,3074.11,148
3443.38,149,20.2383,-1020.1834106445312,13.1761,745000,3437.18,149
3492.3,150,19.7538,-1012.716064453125,13.1374,750000,3472.99,150
3502.52,151,19.5706,-1067.68896484375,13.3132,755000,2627.05,151
3501.75,152,19.6671,-1019.1915893554688,12.8757,760000,3132.64,152
3489.15,153,19.5611,-984.4299926757812,13.4211,765000,3423.32,153
3505.8,154,19.6007,-1131.6497802734375,13.0653,770000,3361.61,154
3483.87,155,19.6119,-1256.4395751953125,12.8831,775000,3321.26,155
3513.17,156,19.6463,-1166.56884765625,13.0956,780000,3371.25,156
3508.37,157,20.0225,-1203.009033203125,12.5521,785000,3155.95,157
3507.72,158,19.8248,-1156.902587890625,12.8335,790000,3317.27,158
3519.21,159,20.0152,-1093.900146484375,12.8785,795000,3279.1,159
3501.04,160,19.8534,-1060.08056640625,13.106,800000,3323.4,160
3506.03,161,19.8298,-1096.320556640625,13.1105,805000,3431.34,161
3511.9,162,20.4378,-1202.66064453125,12.9012,810000,3052.14,162
3478.03,163,19.8426,-1226.5760498046875,12.3195,815000,3069.14,163
3515.91,164,19.0391,-1110.739013671875,13.1733,820000,3425.96,164
3515.87,165,19.3986,-1239.84814453125,12.5054,825000,3209.31,165
3518.33,166,20.2925,-1407.362060546875,13.1502,830000,2865.66,166
3474.74,167,19.8202,-1418.5870361328125,13.1524,835000,3110.58,167
3511.13,168,19.6944,-1273.435546875,12.7537,840000,3361.46,168
