Reward Loss,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Running Forward KL,Itration,Running Env Steps
336.1923828125,289.84,262.52,26.1464,0,31.1243,0,0
290.33197021484375,261.25,258.72,22.9924,1,31.1298,1,5000
214.94834899902344,285.59,284.12,23.8002,2,30.8909,2,10000
225.8507843017578,360.15,356.71,15.9649,3,28.6016,3,15000
140.13525390625,394.99,395.06,16.7821,4,30.6991,4,20000
225.49794006347656,524.01,466.11,19.0742,5,27.3596,5,25000
165.58995056152344,833.61,758.71,45.1904,6,27.4712,6,30000
70.22401428222656,640.67,620.2,40.7465,7,28.4379,7,35000
197.13345336914062,1066.9,960.55,32.907,8,25.6519,8,40000
76.47461700439453,1309.61,1044.61,23.9254,9,25.7113,9,45000
-7.0580220222473145,610.14,1117.8,16.687,10,25.2153,10,50000
-26.30419921875,974.98,1338.26,23.1023,11,24.9548,11,55000
-76.60297393798828,1744.98,1793.58,17.1635,12,23.8871,12,60000
-171.1437225341797,1170.91,1021.41,19.8095,13,23.8157,13,65000
-82.85350036621094,1453.66,1813.9,16.6301,14,24.1875,14,70000
-58.66044616699219,839.06,926.19,27.7512,15,26.2579,15,75000
-17.761594772338867,1454.15,1316.56,26.0241,16,25.0697,16,80000
-101.66197967529297,2585.14,2106.57,14.2145,17,25.1701,17,85000
-69.16472625732422,2323.91,2381.27,16.8045,18,24.6054,18,90000
-82.09251403808594,2868.18,2409.08,17.8572,19,24.2085,19,95000
-83.25144958496094,1626.57,2094.31,17.2043,20,25.1467,20,100000
-86.20276641845703,3037.62,2943.61,15.5488,21,24.8726,21,105000
-104.04167938232422,2949.47,3033.08,16.2706,22,24.3867,22,110000
-105.93531036376953,3020.33,3008.55,16.6136,23,24.4572,23,115000
-95.41139221191406,3133.75,3091.79,16.9458,24,24.737,24,120000
-114.32689666748047,3178.33,2668.96,17.5987,25,23.9736,25,125000
-54.77743911743164,3282.3,3177.76,17.1957,26,24.3239,26,130000
-146.0833740234375,3166.14,2788.42,17.8862,27,24.5691,27,135000
-153.7125244140625,3242.0,3000.08,18.19,28,23.4598,28,140000
