Itration,Reward Loss,Running Update Time,Running Env Steps,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return
0,1765.0040283203125,0,0,453.0224,256.3629,380.39,362.54
1,1178.5938720703125,1,5000,447.9924,268.4753,321.61,312.33
2,909.761474609375,2,10000,440.9569,276.4058,396.15,366.41
3,440.77099609375,3,15000,414.725,256.9674,420.66,300.69
4,409.5291442871094,4,20000,415.2915,251.5469,443.1,588.28
5,236.8246307373047,5,25000,418.6979,254.2574,442.87,348.66
6,210.3456268310547,6,30000,422.0783,282.9634,439.28,552.12
7,326.3441467285156,7,35000,410.9825,296.4358,449.8,503.77
8,-317.2181701660156,8,40000,405.7728,285.8106,512.97,563.69
9,-508.6923828125,9,45000,404.0712,291.9183,513.39,533.41
10,-1760.849365234375,10,50000,400.1576,327.7874,547.6,647.9
11,-721.3402099609375,11,55000,392.1976,307.2852,591.02,665.52
12,-1132.7762451171875,12,60000,401.2306,290.1342,568.14,624.6
13,-1752.9635009765625,13,65000,393.6341,262.4374,553.9,531.98
14,-1271.3612060546875,14,70000,395.1411,307.2661,469.36,476.34
15,-1708.3994140625,15,75000,379.9726,275.0665,724.08,552.19
16,-2557.375,16,80000,374.7457,248.4858,688.8,672.92
