Real Sto Return,Running Env Steps,Reward Loss,Running Reverse KL,Running Forward KL,Real Det Return,Running Update Time,Itration
-30.68,0,13.043813705444336,27.0188,74.3411,335.86,0,0
-21.02,5000,-1.4872550964355469,26.7236,74.4843,358.31,1,1
-24.89,10000,-17.43482780456543,26.8123,72.9358,567.18,2,2
-22.53,15000,-35.866981506347656,27.6163,73.6203,299.62,3,3
57.9,20000,-44.78349685668945,26.4983,68.3264,554.1,4,4
63.09,25000,-59.426239013671875,27.2715,68.735,563.9,5,5
80.16,30000,-78.4695053100586,28.7412,69.5132,829.36,6,6
163.02,35000,-87.7279281616211,28.1422,66.118,770.09,7,7
122.72,40000,-98.15933990478516,27.8384,65.1215,651.27,8,8
250.34,45000,-108.24840545654297,28.6334,65.1927,1036.76,9,9
234.12,50000,-123.3434829711914,28.901,66.967,676.26,10,10
296.79,55000,-146.1456756591797,28.3971,66.0759,950.32,11,11
281.02,60000,-154.2084197998047,28.5515,64.4749,965.03,12,12
235.72,65000,-166.59231567382812,27.6346,64.3432,595.34,13,13
449.49,70000,-157.27679443359375,25.029,59.8202,935.77,14,14
642.6,75000,-160.28355407714844,25.633,59.6161,1287.14,15,15
287.26,80000,-193.10482788085938,27.0917,61.2801,881.3,16,16
527.75,85000,-208.47129821777344,27.2432,63.3183,1103.13,17,17
652.93,90000,-195.0517578125,24.9163,58.2265,1202.86,18,18
-437.67,95000,-281.68896484375,135.8198,84.5797,-517.17,19,19
-1054.76,100000,-266.25439453125,73.3009,83.2849,-689.87,20,20
-857.08,105000,-275.78179931640625,43.658,77.5176,-896.52,21,21
-1126.45,110000,-276.1426086425781,42.3871,77.7252,-757.34,22,22
-762.76,115000,-279.8890380859375,33.8222,78.6851,-459.86,23,23
-549.19,120000,-289.6239013671875,37.0647,78.4839,-443.76,24,24
-270.07,125000,-289.97589111328125,34.2355,78.6402,-273.37,25,25
-320.53,130000,-339.4382629394531,53.8945,82.299,-201.48,26,26
-1082.65,135000,-320.0721130371094,51.071,79.4152,-771.48,27,27
-750.2,140000,-348.6856384277344,53.0137,78.9642,-1009.58,28,28
-408.87,145000,-351.8194274902344,41.7889,77.8692,-584.12,29,29
-931.52,150000,-340.5261535644531,36.6034,77.2466,-861.67,30,30
-546.28,155000,-397.1883544921875,77.4193,78.4993,-660.07,31,31
-510.11,160000,-368.59490966796875,38.0481,77.2643,-701.36,32,32
-589.52,165000,-366.9370422363281,30.067,75.7229,-802.21,33,33
-493.05,170000,-392.43353271484375,30.2266,77.5473,-909.04,34,34
-834.01,175000,-422.3311462402344,39.0639,77.552,-1089.79,35,35
-778.15,180000,-391.52093505859375,33.2814,76.1018,-704.67,36,36
-883.67,185000,-470.5132141113281,50.0296,79.6263,-835.3,37,37
-277.13,190000,-413.9713134765625,26.9187,75.945,-316.61,38,38
-575.24,195000,-473.5211181640625,35.233,76.7899,-560.08,39,39
-407.07,200000,-438.2279052734375,25.0348,74.8733,-329.16,40,40
-428.51,205000,-493.2139587402344,30.639,75.2708,-511.76,41,41
-1095.82,210000,-546.6322021484375,84.5347,79.3275,-1556.37,42,42
-879.89,215000,-485.7042541503906,28.3987,75.0622,-718.56,43,43
-670.84,220000,-564.9609375,56.6106,76.4905,-700.16,44,44
-479.07,225000,-517.495849609375,26.1981,76.0211,-895.34,45,45
-706.74,230000,-553.9330444335938,29.0922,76.4474,-961.6,46,46
-590.35,235000,-545.1090087890625,28.2446,76.9891,-543.34,47,47
-666.33,240000,-562.4679565429688,64.1185,76.3945,-421.93,48,48
-722.02,245000,-607.5792236328125,37.1029,76.7971,-725.93,49,49
-1058.45,250000,-618.8477172851562,33.2792,77.2146,-1244.65,50,50
-1206.16,255000,-630.6678466796875,35.597,77.8467,-1444.02,51,51
-1490.91,260000,-656.9050903320312,79.0085,78.3836,-1477.84,52,52
-1087.1,265000,-647.1505126953125,30.2043,76.9086,-801.92,53,53
-1070.19,270000,-647.1368408203125,26.9719,76.6722,-972.05,54,54
-950.63,275000,-659.423828125,29.0012,76.6471,-1245.52,55,55
-663.93,280000,-693.3607788085938,28.0964,75.2419,-929.87,56,56
-934.86,285000,-713.2828369140625,34.294,77.1297,-1273.12,57,57
-939.81,290000,-721.879638671875,94.4541,76.4847,-1099.01,58,58
-656.48,295000,-736.6419677734375,29.2221,76.4134,-765.62,59,59
-1010.1,300000,-757.5804443359375,30.1257,76.7987,-888.01,60,60
-1129.52,305000,-794.2958984375,36.5286,76.6579,-1332.78,61,61
-830.53,310000,-715.5276489257812,30.1811,75.9588,-533.42,62,62
-787.58,315000,-817.4640502929688,41.0972,77.471,-933.49,63,63
-808.43,320000,-830.5577392578125,33.0626,76.485,-700.56,64,64
-598.78,325000,-779.95556640625,27.8223,74.774,-752.81,65,65
-770.98,330000,-894.815673828125,59.9329,76.3801,-1080.94,66,66
-1032.04,335000,-877.9063110351562,40.0396,77.3071,-946.19,67,67
-971.36,340000,-913.2913208007812,33.7138,76.1779,-365.78,68,68
-839.1,345000,-960.2535400390625,130.454,79.6063,-620.37,69,69
-756.52,350000,-900.7577514648438,30.8095,74.062,-986.65,70,70
-1531.19,355000,-942.2421264648438,34.0053,77.4772,-1011.26,71,71
-942.94,360000,-995.2125244140625,49.1403,78.165,-1451.4,72,72
-1151.32,365000,-1007.6918334960938,36.5979,78.9426,-1092.19,73,73
-690.61,370000,-938.7387084960938,28.661,75.5401,-871.89,74,74
-788.62,375000,-1061.198974609375,89.9185,78.395,-1224.66,75,75
-570.77,380000,-969.7208251953125,30.0088,74.9099,-922.43,76,76
-495.09,385000,-1028.338134765625,27.1286,75.3236,-1072.96,77,77
-860.12,390000,-1045.3974609375,28.6274,77.7083,-1095.48,78,78
-903.93,395000,-1110.5594482421875,29.7695,76.6609,-747.44,79,79
-554.45,400000,-1102.4757080078125,25.6884,76.3967,-750.3,80,80
-555.38,405000,-1129.291015625,25.8835,74.8327,-795.47,81,81
