Reward Loss,Running Forward KL,Running Env Steps,Real Det Return,Real Sto Return,Running Reverse KL,Running Update Time,Itration
332.58673095703125,30.4777,0,344.95,323.08,20.1649,0,0
226.74087524414062,30.945,5000,285.42,286.51,16.7888,1,1
314.9599609375,30.2613,10000,310.48,303.97,18.4272,2,2
164.5318603515625,31.5305,15000,2.56,2.92,204.5091,3,3
284.2784729003906,27.8857,20000,352.66,368.16,20.9694,4,4
270.47833251953125,28.1117,25000,380.94,348.32,15.7239,5,5
48.7470703125,26.1974,30000,420.96,562.83,102.5564,6,6
133.22340393066406,25.4795,35000,703.77,650.52,25.3566,7,7
256.3591003417969,26.9115,40000,414.16,499.33,15.1492,8,8
112.89570617675781,23.2069,45000,1886.72,1259.2,13.3528,9,9
74.678955078125,23.1713,50000,2488.83,2507.18,11.6277,10,10
192.97433471679688,23.5098,55000,1854.15,1035.04,12.7768,11,11
54.620384216308594,24.384,60000,2613.01,1812.75,12.8221,12,12
35.8428955078125,23.653,65000,1280.71,1292.02,11.7181,13,13
-62.3917121887207,24.524,70000,1192.59,1011.48,46.7476,14,14
-68.00813293457031,24.1936,75000,1944.4,1705.47,17.3088,15,15
-62.093711853027344,23.1375,80000,1546.66,1923.16,29.9027,16,16
-48.79157638549805,24.0069,85000,2744.95,2406.68,15.5578,17,17
-35.40212631225586,21.4533,90000,3260.95,3022.42,14.566,18,18
-107.78504943847656,21.7696,95000,2987.13,2796.84,12.7063,19,19
-112.04366302490234,22.7131,100000,2112.21,1907.17,11.633,20,20
-174.99142456054688,23.3114,105000,2968.45,2864.92,17.0357,21,21
-118.23920440673828,26.0373,110000,1297.01,1101.37,20.1157,22,22
-230.78961181640625,24.9642,115000,1803.14,1499.41,22.5376,23,23
-203.2235565185547,25.3299,120000,1528.32,1523.45,26.8617,24,24
-223.22850036621094,26.1495,125000,983.89,1649.79,16.2913,25,25
-193.25587463378906,23.4188,130000,3284.96,2282.12,14.7358,26,26
-171.63511657714844,23.0652,135000,3348.99,3129.69,14.6141,27,27
-316.9219970703125,23.644,140000,1080.54,1346.25,15.8442,28,28
-255.4999542236328,23.7955,145000,1230.88,1779.95,12.4236,29,29
-395.9683532714844,25.8801,150000,1070.72,1080.85,21.0,30,30
-455.576416015625,25.2436,155000,1292.01,1297.35,16.4197,31,31
-301.5518798828125,22.6351,160000,2318.51,1704.22,14.9721,32,32
-464.8985595703125,23.7808,165000,1183.75,1061.28,14.9968,33,33
-482.2723083496094,24.281,170000,9.91,10.89,12.3858,34,34
-583.8399047851562,24.6643,175000,952.69,1180.0,15.3895,35,35
-674.6165161132812,25.1844,180000,1307.08,877.68,18.4198,36,36
-630.1817016601562,22.704,185000,1243.09,1395.02,16.3155,37,37
-632.4887084960938,24.6495,190000,1384.24,1282.72,13.6216,38,38
-555.8319702148438,22.34,195000,1109.26,1447.01,13.9994,39,39
-741.77685546875,23.7423,200000,1907.44,1332.03,19.0862,40,40
-394.3839111328125,21.3348,205000,3190.55,2417.38,20.6389,41,41
-672.4659423828125,22.3449,210000,3156.44,2125.65,17.8652,42,42
-568.8639526367188,21.8818,215000,2702.5,1726.99,19.2029,43,43
-776.3571166992188,24.6718,220000,1479.39,1189.86,17.976,44,44
-292.90130615234375,20.6155,225000,1670.54,2381.26,13.4023,45,45
-729.778564453125,22.7503,230000,3092.2,1721.89,13.6827,46,46
-923.4006958007812,23.33,235000,1798.97,1319.95,17.6016,47,47
-1123.8966064453125,23.6743,240000,1063.64,1063.45,19.2884,48,48
-1097.7203369140625,23.2939,245000,1236.88,1280.81,25.5324,49,49
