Reward Loss,Real Det Return,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Real Sto Return,Running Update Time
241.1378173828125,322.1,0,49.5251,0,13.3485,400.05,0
278.4959716796875,426.64,1,49.0073,5000,12.8086,439.01,1
237.3780517578125,377.85,2,49.0857,10000,13.1784,381.88,2
203.65823364257812,456.8,3,49.7681,15000,13.6642,423.91,3
130.48870849609375,475.38,4,49.3115,20000,12.7824,447.48,4
248.30352783203125,592.54,5,47.6493,25000,14.0628,595.85,5
-238.5636444091797,1366.97,6,47.5708,30000,20.3808,834.1,6
-447.4769592285156,586.39,7,48.2292,35000,33.2763,665.53,7
-225.59735107421875,2391.53,8,47.2135,40000,20.7572,1015.22,8
-653.3068237304688,751.51,9,47.6685,45000,24.7319,802.01,9
-567.7965698242188,1597.8,10,46.8332,50000,22.457,1012.89,10
-681.1343383789062,1083.27,11,47.1201,55000,25.6029,1136.72,11
-626.8800048828125,1175.52,12,47.325,60000,21.1003,1008.87,12
-667.397705078125,875.97,13,47.3117,65000,21.0396,854.96,13
-566.3095703125,1630.97,14,46.431,70000,17.1386,1322.72,14
-927.0015258789062,1314.42,15,47.5246,75000,40.954,1054.42,15
-1047.31103515625,1518.92,16,47.3747,80000,67.0703,1292.73,16
-765.0185546875,1482.07,17,46.1477,85000,40.2096,1288.49,17
-393.1895751953125,1059.72,18,47.1195,90000,19.4777,1039.39,18
-977.4136352539062,1115.08,19,47.4586,95000,51.8546,1040.7,19
-481.3876647949219,924.55,20,47.2214,100000,24.0491,1002.0,20
-465.13421630859375,2551.63,21,45.8777,105000,15.5232,1599.67,21
-1190.179931640625,1129.19,22,47.2552,110000,61.712,1075.65,22
-711.1213989257812,1078.39,23,46.28,115000,21.5547,1149.12,23
-936.2219848632812,1348.05,24,46.9707,120000,32.2952,1204.47,24
-940.5040283203125,1304.3,25,46.4395,125000,20.3663,1212.19,25
-1387.988037109375,1446.98,26,46.9238,130000,44.3226,1225.07,26
-1483.4605712890625,1283.79,27,46.5139,135000,34.1553,1153.92,27
-1566.901611328125,1166.14,28,46.2032,140000,36.7701,1176.0,28
-1705.276611328125,1761.08,29,46.9697,145000,39.6987,1136.26,29
