Running Forward KL,Itration,Running Update Time,Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Reward Loss
33.6683,0,0,21.2432,184.43,0,183.56,367.4685974121094
34.0602,1,1,37.4861,213.31,5000,217.02,248.6710205078125
32.1546,2,2,35.0406,200.42,10000,187.05,135.50265502929688
28.7372,3,3,15.3997,285.45,15000,262.76,26.134201049804688
27.3367,4,4,24.1163,391.78,20000,403.99,151.4044189453125
29.3089,5,5,42.3391,382.0,25000,478.21,-26.850788116455078
32.337,6,6,55.0482,344.1,30000,284.0,-137.0728759765625
27.7864,7,7,53.2293,502.16,35000,532.33,-233.7838897705078
27.9498,8,8,50.479,541.28,40000,582.53,-262.86474609375
25.5441,9,9,42.3914,796.58,45000,899.02,-296.13189697265625
23.4579,10,10,13.0846,2334.17,50000,2670.17,-185.156005859375
25.2814,11,11,17.3449,1917.69,55000,2409.15,-256.70135498046875
23.5136,12,12,24.8943,2239.79,60000,2877.38,-302.5065612792969
27.7424,13,13,36.2232,781.84,65000,806.31,-460.99505615234375
22.8305,14,14,24.9064,1605.96,70000,3124.0,-379.08148193359375
24.6957,15,15,34.9019,1096.06,75000,1572.26,-511.422607421875
24.9803,16,16,28.1652,1808.03,80000,3126.34,-467.7696838378906
25.0542,17,17,32.2014,1123.16,85000,1313.96,-566.9885864257812
23.3293,18,18,21.6991,2499.26,90000,3155.72,-358.9272766113281
23.1693,19,19,30.0556,1542.19,95000,3021.47,-556.147216796875
22.5662,20,20,15.8801,2955.87,100000,3045.55,-270.2777099609375
23.3425,21,21,23.1433,2445.92,105000,3132.69,-437.8157043457031
22.979,22,22,23.4692,2285.66,110000,3118.45,-529.2568969726562
23.67,23,23,19.7851,2899.04,115000,3093.86,-422.9077453613281
22.0394,24,24,16.214,2839.79,120000,3115.69,-387.80230712890625
22.7128,25,25,15.8612,2903.54,125000,3084.46,-348.18878173828125
23.196,26,26,14.4229,3036.64,130000,3053.63,-358.04791259765625
23.9401,27,27,15.2546,2918.51,135000,3007.71,-360.2706298828125
