Running Env Steps,Itration,Running Forward KL,Real Sto Return,Reward Loss,Running Update Time,Real Det Return,Running Reverse KL
0,0,49.5023,483.39,900.4449462890625,0,552.49,20.8046
5000,1,49.7631,360.98,930.6791381835938,1,416.23,18.1863
10000,2,49.446,354.04,1098.955810546875,2,376.38,26.6525
15000,3,49.2928,355.02,807.9317626953125,3,451.32,15.4069
20000,4,49.3725,379.18,743.0169677734375,4,376.95,21.0622
25000,5,49.4235,387.24,753.5477905273438,5,337.12,22.9312
30000,6,48.7554,487.02,601.905029296875,6,524.78,14.426
35000,7,48.2717,498.49,369.8734436035156,7,706.16,13.7059
40000,8,48.4228,553.2,492.9132080078125,8,431.19,19.8785
45000,9,47.0216,612.42,453.16656494140625,9,641.16,15.2542
50000,10,47.1923,754.83,280.9774475097656,10,545.58,21.4134
55000,11,46.3931,1074.8,170.44630432128906,11,884.16,13.0117
60000,12,46.9402,922.61,257.90521240234375,12,905.32,14.7277
65000,13,46.2599,1334.78,156.24600219726562,13,1837.81,13.6556
70000,14,45.9696,1645.87,6.762129306793213,14,2346.09,14.1154
75000,15,46.865,872.46,-36.68269348144531,15,767.06,20.7213
80000,16,45.9917,1438.54,-61.13207244873047,16,2596.06,18.8904
85000,17,46.0069,1098.93,-107.22767639160156,17,1293.17,16.5842
90000,18,45.6952,1419.36,-249.5345458984375,18,1295.76,15.674
95000,19,45.0553,2065.88,-328.289794921875,19,1874.68,13.8606
100000,20,45.4623,1934.74,-307.7030334472656,20,2724.0,16.2928
105000,21,45.2872,2111.33,-396.4162902832031,21,2700.75,15.762
110000,22,44.8323,2504.0,-359.3284912109375,22,2669.3,19.0181
115000,23,45.127,2687.31,-401.9779968261719,23,3115.5,17.8652
120000,24,44.9033,1747.52,-452.3970031738281,24,2039.6,21.8287
125000,25,44.8991,2340.24,-570.2421875,25,2936.48,18.7525
130000,26,45.293,2716.54,-572.662109375,26,3021.26,15.6913
135000,27,44.9842,2450.29,-787.111083984375,27,2789.26,18.0017
140000,28,44.7823,2915.63,-680.8258666992188,28,3200.63,19.2705
145000,29,44.5102,2605.23,-754.9004516601562,29,2421.33,16.6178
150000,30,44.7588,2164.22,-857.9806518554688,30,2191.93,15.3261
155000,31,43.9717,2683.82,-832.9905395507812,31,2759.53,17.2987
160000,32,43.9271,3371.63,-932.4761962890625,32,1994.38,17.7849
165000,33,43.9583,3058.41,-996.0510864257812,33,3115.74,18.21
170000,34,44.5858,1933.29,-1014.9627075195312,34,2372.58,16.1194
175000,35,44.3949,3270.39,-1060.6322021484375,35,2006.15,17.6609
180000,36,44.4261,3198.1,-1062.393310546875,36,3044.78,15.182
185000,37,44.7948,2963.62,-1143.1123046875,37,2425.23,16.7551
190000,38,44.4888,3281.04,-1154.4678955078125,38,1645.79,17.2689
195000,39,44.7935,1866.77,-1215.43359375,39,1397.22,17.0467
200000,40,44.1626,3688.52,-1376.638427734375,40,2610.51,21.2977
205000,41,44.1797,3396.25,-1367.9849853515625,41,2506.09,19.7145
210000,42,43.7441,3431.1,-1367.916259765625,42,3302.63,19.0269
215000,43,44.1442,2931.48,-1434.827880859375,43,2134.46,19.222
220000,44,44.1456,3816.61,-1517.215087890625,44,3588.55,20.7977
225000,45,44.232,3357.73,-1530.83349609375,45,3384.41,19.9391
230000,46,44.5228,3493.93,-1625.08984375,46,2815.88,19.1991
235000,47,44.0041,3298.64,-1632.0277099609375,47,3193.2,20.1443
240000,48,44.4452,2917.46,-1635.5595703125,48,3280.19,19.1768
245000,49,44.3869,3674.58,-1655.1773681640625,49,3470.41,18.9938
250000,50,43.5366,3466.08,-1723.1163330078125,50,3925.65,20.1368
255000,51,44.1601,3501.95,-1834.8912353515625,51,3840.23,20.2863
260000,52,44.2043,3750.04,-1861.0162353515625,52,3874.65,20.2151
265000,53,43.5792,3781.83,-1870.328857421875,53,3872.2,19.1471
270000,54,43.8305,3685.1,-1951.2601318359375,54,3645.39,20.8874
275000,55,44.2069,3733.91,-2007.645751953125,55,3919.79,19.6949
280000,56,43.7101,3280.21,-2099.15185546875,56,3434.63,18.9617
285000,57,43.5647,3704.93,-2093.062744140625,57,3693.7,18.5906
290000,58,43.783,3741.83,-2147.24267578125,58,4006.89,19.4066
295000,59,43.8778,3620.72,-2213.195556640625,59,4112.5,20.5904
300000,60,43.9754,3991.41,-2276.8193359375,60,4126.09,20.1318
305000,61,43.7727,3928.65,-2270.369384765625,61,3971.7,19.7419
310000,62,43.7851,3751.44,-2353.58349609375,62,3819.08,18.7723
315000,63,43.7325,3885.26,-2380.3046875,63,3990.06,20.8144
320000,64,44.0734,3811.49,-2436.98095703125,64,3831.35,19.5455
325000,65,43.8012,3944.91,-2529.250732421875,65,4040.06,20.1632
330000,66,43.4593,3909.27,-2527.2001953125,66,3973.01,18.7664
335000,67,43.8128,3703.78,-2694.8388671875,67,3913.26,20.7346
340000,68,43.9271,3774.07,-2698.7724609375,68,4046.48,19.9284
345000,69,43.3106,3692.03,-2729.314697265625,69,3865.6,18.4704
350000,70,43.486,4093.86,-2913.29296875,70,4109.96,21.0507
355000,71,43.1556,3723.48,-2812.935791015625,71,4028.5,19.9383
360000,72,43.4819,3821.59,-2825.477294921875,72,4135.96,20.406
365000,73,43.5197,4009.78,-2968.828369140625,73,4214.34,21.0658
370000,74,43.5093,4099.61,-2958.215576171875,74,4171.78,19.2381
375000,75,43.4311,3802.51,-3053.0439453125,75,4031.88,19.38
380000,76,43.1655,3753.08,-3073.97021484375,76,4019.2,19.1172
385000,77,43.3288,4046.81,-3106.556396484375,77,4107.2,20.6032
390000,78,43.8837,4085.14,-3332.55126953125,78,4098.19,21.701
395000,79,43.1795,3979.16,-3234.465576171875,79,4049.31,19.2905
400000,80,43.2908,4049.1,-3355.054443359375,80,4195.88,20.5858
405000,81,43.2364,3975.84,-3295.906005859375,81,4075.23,20.0364
410000,82,43.3306,4189.36,-3436.340576171875,82,4225.15,21.6879
415000,83,42.8547,4049.41,-3490.10107421875,83,4059.78,19.8109
420000,84,43.5215,4061.88,-3531.896240234375,84,4134.33,21.2023
425000,85,43.6642,4208.66,-3775.198974609375,85,4245.49,23.1708
430000,86,43.5247,4223.16,-3708.31103515625,86,4197.5,21.5688
435000,87,42.9311,4135.53,-3898.609619140625,87,4164.28,21.6618
440000,88,43.3366,4229.37,-3908.435302734375,88,4208.07,21.5684
445000,89,43.116,4137.37,-3951.65478515625,89,4145.7,21.3746
450000,90,43.4147,3746.16,-4058.5263671875,90,4017.58,19.9716
455000,91,43.5827,4055.04,-4030.42333984375,91,4333.2,19.3367
460000,92,43.4472,4104.8,-4137.17529296875,92,4164.2,21.1684
465000,93,42.953,4178.32,-4274.9921875,93,4191.55,22.1794
470000,94,43.3657,4313.05,-4446.53564453125,94,4351.45,23.5207
475000,95,43.4471,3756.88,-4081.3740234375,95,3733.11,21.2761
480000,96,42.9692,3962.16,-4400.57666015625,96,4178.29,20.7654
485000,97,42.9436,3819.73,-4375.48388671875,97,4137.57,21.131
490000,98,43.0388,4137.2,-4506.1474609375,98,4151.77,21.2522
495000,99,43.0201,4226.19,-4750.44091796875,99,4191.57,21.7473
500000,100,42.9561,3524.83,-4443.12255859375,100,2171.51,22.074
505000,101,43.1298,4109.05,-4735.4189453125,101,4062.49,21.7564
510000,102,43.7004,3983.2,-4913.83447265625,102,3147.09,22.3465
515000,103,43.1497,4136.23,-4988.80029296875,103,4224.26,21.8438
520000,104,43.5401,4181.04,-5152.7705078125,104,4161.26,22.1185
525000,105,43.7595,4082.22,-5102.6728515625,105,4178.47,23.5987
530000,106,43.6466,4299.01,-5126.69970703125,106,4271.55,21.3592
535000,107,42.9572,4035.7,-5155.85595703125,107,4189.81,21.7896
540000,108,43.1715,3944.03,-5260.48291015625,108,4154.28,22.0287
545000,109,42.7531,4239.91,-5213.75927734375,109,4244.77,22.8568
550000,110,43.4377,3461.02,-5192.3720703125,110,4019.64,20.5819
555000,111,43.1372,4189.46,-5578.2451171875,111,4175.2,22.6426
560000,112,43.1516,4183.27,-5739.77490234375,112,4276.18,22.9649
565000,113,43.3207,4340.73,-5737.49560546875,113,4260.41,23.6877
570000,114,43.2744,4229.38,-5717.232421875,114,4085.97,22.5874
575000,115,43.5316,4334.88,-5952.94873046875,115,4291.29,23.8505
580000,116,43.0233,4247.63,-5812.47705078125,116,4185.29,22.6821
585000,117,42.9974,4120.49,-5854.33349609375,117,4013.05,21.701
590000,118,43.3649,4290.1,-6094.984375,118,4208.21,23.4967
595000,119,43.2508,4291.94,-6107.52001953125,119,4175.84,23.2233
600000,120,43.661,4346.24,-6355.9345703125,120,4312.3,23.8244
605000,121,42.9041,4317.46,-6304.2353515625,121,4288.96,23.1265
610000,122,43.4545,4100.06,-6430.25390625,122,4151.03,23.0375
615000,123,43.3333,4104.32,-6330.3056640625,123,4218.27,22.253
620000,124,43.3722,4197.05,-6676.9990234375,124,4139.15,23.2302
625000,125,43.8673,4046.98,-6742.3564453125,125,4403.99,23.2612
630000,126,43.9635,4174.79,-6844.31591796875,126,4438.38,23.2008
635000,127,43.1424,4303.74,-6857.59716796875,127,4290.79,23.3508
640000,128,43.0584,3851.92,-6379.11669921875,128,3961.62,20.7444
645000,129,43.345,4150.65,-7032.130859375,129,4211.33,23.7541
650000,130,43.632,4321.03,-7107.10791015625,130,4196.35,23.544
655000,131,43.5007,4228.57,-6771.4609375,131,4208.33,22.4117
660000,132,43.4722,4069.89,-7381.00341796875,132,4172.91,22.5633
665000,133,43.3264,4157.06,-7190.82177734375,133,4214.6,22.1064
670000,134,43.3771,4184.58,-7488.2705078125,134,4280.42,22.6074
675000,135,43.2232,4210.53,-7014.85986328125,135,3975.55,20.866
680000,136,43.64,4228.31,-7647.517578125,136,4106.42,23.4908
685000,137,43.4975,4207.08,-7625.71923828125,137,4022.85,22.2946
690000,138,43.124,4082.1,-7677.1748046875,138,4084.71,21.8588
695000,139,43.11,4302.53,-7875.10498046875,139,4324.51,22.6623
700000,140,43.549,4253.89,-7942.8173828125,140,4314.84,21.7053
705000,141,43.606,4212.27,-8192.681640625,141,4319.87,23.9118
710000,142,43.7287,4217.6,-8106.45654296875,142,3835.62,22.7813
