Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Running Update Time,Itration,Running Reverse KL,Running Env Steps
75.5923,404.2465515136719,-41.36,330.02,0,0,28.17,0
74.6266,368.4932861328125,-10.82,497.08,1,1,27.3509,5000
74.9574,290.7238464355469,-45.38,459.34,2,2,27.5855,10000
73.3598,201.9786376953125,16.12,161.97,3,3,29.0856,15000
71.9842,117.52088165283203,56.25,232.65,4,4,29.2472,20000
73.22,40.51849365234375,30.15,74.91,5,5,30.2784,25000
73.9841,-29.252769470214844,100.52,533.46,6,6,31.3985,30000
70.7163,-95.22361755371094,158.75,780.17,7,7,31.6545,35000
72.6436,-171.8104248046875,131.2,732.98,8,8,32.2951,40000
72.9276,-247.32118225097656,180.06,791.33,9,9,33.0809,45000
71.2089,-347.6983337402344,163.66,867.9,10,10,32.6897,50000
71.9941,-388.7345886230469,189.87,900.65,11,11,33.1206,55000
72.9719,-449.54327392578125,204.66,812.7,12,12,33.0972,60000
70.4458,-525.5943603515625,199.76,752.11,13,13,31.5468,65000
71.4516,-596.5059204101562,148.77,564.27,14,14,31.8729,70000
68.7228,-632.4779663085938,196.15,656.93,15,15,29.8621,75000
68.9928,-717.7347412109375,206.76,866.25,16,16,30.6719,80000
70.646,-800.6763916015625,245.38,716.33,17,17,30.5467,85000
70.8686,-875.0100708007812,195.49,779.46,18,18,31.4363,90000
71.4284,-958.2063598632812,173.33,708.21,19,19,31.6517,95000
71.0816,-1030.8656005859375,376.33,868.14,20,20,31.634,100000
67.8863,-1072.1337890625,335.23,727.0,21,21,30.1759,105000
67.3693,-1132.217041015625,320.48,1147.47,22,22,29.9326,110000
71.0464,-1255.6082763671875,262.05,932.21,23,23,30.9883,115000
71.011,-1317.650146484375,253.4,871.81,24,24,31.1814,120000
67.8052,-1359.35888671875,341.81,1064.71,25,25,30.1533,125000
69.1011,-1436.92529296875,346.87,1053.99,26,26,30.9367,130000
65.5313,-1443.71240234375,285.93,1144.34,27,27,29.0022,135000
69.2138,-1607.4078369140625,232.41,896.32,28,28,30.3457,140000
67.2074,-1643.8348388671875,342.96,1141.47,29,29,29.852,145000
69.4762,-1753.4326171875,357.28,1340.6,30,30,30.467,150000
68.3945,-1774.632080078125,475.59,1297.55,31,31,29.7098,155000
69.9655,-1905.007080078125,332.13,926.13,32,32,30.5225,160000
69.6009,-1982.42138671875,249.0,1038.03,33,33,30.3955,165000
66.0009,-1944.93994140625,492.16,1004.22,34,34,29.0812,170000
66.6491,-2037.8138427734375,321.94,854.47,35,35,28.8584,175000
69.0333,-2179.416259765625,369.51,1294.12,36,36,29.7245,180000
66.1128,-2155.187255859375,553.3,1499.6,37,37,29.0903,185000
66.8183,-2262.81787109375,374.73,1167.59,38,38,29.7347,190000
64.8598,-2227.371826171875,426.82,1365.36,39,39,28.8482,195000
66.7515,-2422.208984375,477.93,1415.77,40,40,29.4999,200000
65.5855,-2318.43994140625,665.43,1445.25,41,41,29.8696,205000
65.6256,-2498.01513671875,490.58,1155.33,42,42,28.472,210000
68.5282,-2731.20068359375,493.4,1158.21,43,43,29.8579,215000
66.6623,-2698.356201171875,455.42,1278.41,44,44,29.2844,220000
64.5473,-2669.332275390625,526.48,1662.28,45,45,28.6371,225000
65.3272,-2780.29150390625,539.93,1244.91,46,46,28.8196,230000
64.1122,-2758.814208984375,704.35,1428.04,47,47,30.1267,235000
64.3109,-2733.69970703125,730.39,1257.58,48,48,29.5584,240000
64.8235,-2893.712890625,573.65,1198.99,49,49,30.0201,245000
67.3363,-3194.37646484375,401.92,655.18,50,50,28.5783,250000
66.7362,-3276.76513671875,1197.63,2123.53,51,51,28.9635,255000
66.1807,-3305.405029296875,727.74,1295.15,52,52,28.8663,260000
65.8328,-3174.91162109375,870.81,1535.08,53,53,31.2341,265000
67.0026,-3425.383544921875,880.43,1762.5,54,54,29.5868,270000
66.1405,-3313.24365234375,887.32,1534.12,55,55,29.7288,275000
65.8941,-3480.864501953125,903.11,1708.86,56,56,30.1025,280000
64.8507,-3492.77685546875,760.71,1637.71,57,57,31.0187,285000
63.6193,-3299.09423828125,1196.77,2189.07,58,58,33.0443,290000
65.2225,-3592.840087890625,1393.44,1942.29,59,59,32.0584,295000
65.4373,-3812.6171875,848.11,1481.64,60,60,29.9408,300000
65.6859,-3996.935302734375,636.67,1048.64,61,61,29.4031,305000
64.7086,-3817.2548828125,713.27,1402.84,62,62,31.9465,310000
