Running Env Steps,Running Forward KL,Running Update Time,Itration,Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss
0,49.5839,0,0,317.28,13.3763,281.91,166.18951416015625
5000,49.5491,1,1,410.87,18.4892,501.87,174.65194702148438
10000,49.1834,2,2,409.74,14.9668,457.3,134.905029296875
15000,49.2161,3,3,362.72,13.7693,367.1,127.92293548583984
20000,48.8409,4,4,441.92,12.9896,386.0,120.51940155029297
25000,49.1022,5,5,418.21,14.1941,479.95,119.58314514160156
30000,48.8525,6,6,559.18,14.1161,770.22,95.06549072265625
35000,48.5389,7,7,551.72,14.0058,662.71,110.28075408935547
40000,49.0476,8,8,420.34,12.6865,426.41,78.15371704101562
45000,48.6469,9,9,408.4,12.9179,430.65,60.445247650146484
50000,48.9733,10,10,504.01,28.9835,459.35,99.54546356201172
55000,48.8576,11,11,518.76,26.6335,504.06,87.14167785644531
60000,49.4311,12,12,539.5,63.6339,469.29,101.3558578491211
65000,48.9503,13,13,555.16,63.983,483.47,82.80683135986328
70000,48.9542,14,14,542.63,59.5482,492.58,91.17403411865234
75000,47.2122,15,15,1699.37,18.6261,2120.05,18.01186752319336
80000,47.1608,16,16,1113.99,31.6453,1698.41,22.35072898864746
85000,46.9248,17,17,1408.19,17.6638,2179.58,-15.736371040344238
90000,46.6914,18,18,2125.16,15.6697,2380.09,-27.670368194580078
95000,45.7148,19,19,1198.76,27.6905,1752.16,3.9219260215759277
100000,45.846,20,20,1731.25,13.3339,2609.39,-35.28767776489258
105000,45.8778,21,21,2062.95,12.4302,2869.79,-51.59354782104492
110000,45.405,22,22,1822.16,13.8492,2219.0,-49.03631591796875
115000,45.7705,23,23,2268.5,13.4311,2584.41,-61.5829963684082
120000,45.2141,24,24,2159.59,12.8256,2833.36,-75.70648193359375
125000,45.5928,25,25,2318.78,14.1659,2796.75,-73.95858764648438
130000,45.8652,26,26,2591.1,14.1657,2609.8,-84.26034545898438
135000,45.4509,27,27,2892.97,15.2691,2791.49,-87.43875885009766
140000,45.8021,28,28,2582.65,14.9575,2800.27,-94.09175872802734
145000,45.2627,29,29,3037.0,16.7006,2848.07,-101.75581359863281
150000,45.0194,30,30,2841.92,13.2141,2698.86,-118.37809753417969
155000,44.5903,31,31,2999.98,15.1026,2814.49,-117.28937530517578
160000,43.7711,32,32,3166.46,15.6348,3013.84,-117.81986236572266
165000,44.1702,33,33,3114.78,15.3605,2934.39,-129.1461639404297
170000,45.2809,34,34,3071.66,17.4059,2946.15,-130.97337341308594
175000,44.0672,35,35,3190.47,15.2818,3068.23,-140.7190399169922
180000,44.9103,36,36,2981.89,14.5966,2841.85,-154.03428649902344
185000,44.0834,37,37,3217.88,15.2295,3138.42,-159.99075317382812
190000,43.8006,38,38,3252.55,14.2675,3253.34,-174.16690063476562
195000,43.6715,39,39,3265.35,14.6515,3197.37,-173.0531463623047
200000,43.7633,40,40,3225.08,14.7419,3228.76,-178.3411865234375
205000,43.3384,41,41,3400.0,15.12,3377.02,-188.24317932128906
210000,43.377,42,42,3509.94,15.6162,3400.41,-187.245849609375
215000,42.9036,43,43,3340.28,14.4569,3543.52,-197.54425048828125
220000,43.2802,44,44,3229.3,13.9616,3641.78,-215.26580810546875
225000,42.9636,45,45,3379.68,14.3696,3397.92,-204.98593139648438
230000,43.3455,46,46,3335.41,13.9056,3364.79,-222.67633056640625
235000,43.0175,47,47,3537.7,16.4266,3512.87,-209.69883728027344
240000,42.354,48,48,3493.25,12.8767,3598.43,-217.32496643066406
245000,42.3346,49,49,3586.42,14.6455,3623.85,-220.64096069335938
250000,42.8702,50,50,3546.19,16.0019,3539.13,-222.76950073242188
255000,42.6443,51,51,3562.89,15.1222,3602.4,-238.08163452148438
260000,42.0804,52,52,3497.07,15.2281,3516.14,-226.66436767578125
