Real Sto Return,Running Forward KL,Itration,Running Reverse KL,Running Update Time,Running Env Steps,Reward Loss,Real Det Return
203.93,33.3056,0,31.2743,0,0,795.3759765625,193.75
276.4,31.3714,1,21.4301,1,5000,353.4847106933594,259.93
259.5,31.6321,2,35.4431,2,10000,272.8691711425781,276.12
281.89,31.539,3,15.7525,3,15000,226.77182006835938,291.05
314.64,31.2437,4,18.5553,4,20000,150.32716369628906,326.67
307.52,31.3617,5,27.5595,5,25000,54.74864196777344,316.51
321.39,31.4098,6,37.1126,6,30000,17.237144470214844,328.36
328.49,31.4616,7,32.5449,7,35000,-7.6678595542907715,333.29
329.27,31.4094,8,29.2887,8,40000,-3.8060073852539062,332.69
336.76,31.5261,9,42.1189,9,45000,-103.22407531738281,341.67
338.6,31.0891,10,44.651,10,50000,-109.06330108642578,340.71
284.4,30.4499,11,30.54,11,55000,148.14535522460938,274.85
365.83,28.8465,12,37.8297,12,60000,-112.08226776123047,369.79
415.45,29.2305,13,41.4958,13,65000,-208.262451171875,435.68
450.22,28.6977,14,35.0517,14,70000,-253.7267608642578,452.59
463.63,28.6227,15,54.5472,15,75000,-125.84105682373047,489.49
495.36,28.941,16,53.8844,16,80000,-211.8032684326172,498.37
510.12,28.9297,17,53.2088,17,85000,-60.87065505981445,515.14
478.28,28.1893,18,42.7111,18,90000,-194.43275451660156,482.02
501.93,28.0127,19,43.6736,19,95000,-225.2251434326172,516.31
517.44,28.1137,20,58.4755,20,100000,-324.0324401855469,510.53
501.32,27.5942,21,57.8833,21,105000,-371.6770935058594,502.71
519.49,27.3435,22,61.9048,22,110000,-426.9515075683594,518.16
520.12,27.5548,23,65.6965,23,115000,-474.8342590332031,521.67
529.78,27.3397,24,61.0896,24,120000,-587.3262329101562,537.71
553.98,27.0171,25,85.4673,25,125000,-440.77923583984375,556.35
570.55,26.8936,26,69.8103,26,130000,-519.4677124023438,568.72
587.17,26.2399,27,34.2461,27,135000,-687.1228637695312,584.05
598.58,26.5682,28,64.5364,28,140000,-613.3486938476562,596.54
605.19,26.5031,29,46.2886,29,145000,-707.7845458984375,597.93
603.05,26.3462,30,66.0091,30,150000,-693.9912109375,603.47
617.96,26.3607,31,54.3658,31,155000,-839.3616943359375,629.85
677.33,26.6567,32,72.4359,32,160000,-788.5277709960938,660.65
716.19,25.7238,33,65.161,33,165000,-834.9442749023438,787.95
716.39,26.1834,34,49.1041,34,170000,-1074.470458984375,787.79
772.78,26.176,35,67.2746,35,175000,-841.5064086914062,831.68
897.28,25.4248,36,60.9043,36,180000,-835.2998657226562,982.57
936.73,25.2375,37,34.5872,37,185000,-822.9201049804688,1053.73
906.59,25.6768,38,48.4778,38,190000,-841.3563842773438,986.68
1059.92,25.6029,39,75.6479,39,195000,-824.3157348632812,963.99
1413.96,24.8401,40,66.5407,40,200000,-796.5493774414062,2216.51
1846.41,24.1954,41,30.2925,41,205000,-567.3479614257812,3005.74
2281.94,24.7257,42,20.4988,42,210000,-388.61175537109375,2734.18
1734.64,24.1981,43,45.8555,43,215000,-683.1319580078125,2479.08
1495.55,24.6377,44,46.8668,44,220000,-691.1090087890625,2843.97
1904.16,24.4534,45,44.5827,45,225000,-653.0888671875,2960.0
1411.13,24.3902,46,67.0165,46,230000,-905.0111694335938,1789.92
2768.8,24.6725,47,29.0807,47,235000,-393.17230224609375,2940.5
1405.66,24.177,48,42.5485,48,240000,-824.5851440429688,2019.34
2208.14,24.1376,49,34.1083,49,245000,-499.8613586425781,3005.75
2704.38,24.7133,50,24.8893,50,250000,-373.7099304199219,2993.78
2491.51,24.7174,51,23.44,51,255000,-409.0575256347656,3031.99
2757.09,24.1488,52,17.2506,52,260000,-293.80230712890625,2996.28
1536.26,24.444,53,42.0096,53,265000,-1028.2164306640625,2954.01
1360.3,25.3617,54,38.6059,54,270000,-1199.0262451171875,1869.18
2416.69,23.8932,55,15.3041,55,275000,-587.7474975585938,3034.79
2263.06,24.3302,56,17.6439,56,280000,-719.8607788085938,3018.62
2363.91,24.3128,57,20.5677,57,285000,-677.3474731445312,3030.16
1742.52,24.5056,58,17.8167,58,290000,-1029.8975830078125,3025.9
