Itration,Running Reverse KL,Running Forward KL,Reward Loss,Real Sto Return,Running Env Steps,Running Update Time,Real Det Return
0,18.7322,33.1654,-38.54673767089844,211.56,0,0,204.17
1,16.4702,31.2847,181.78492736816406,225.58,5000,1,218.82
2,16.2107,30.7729,-89.96373748779297,281.27,10000,2,274.83
3,121.2524,35.053,513.2064208984375,-1.46,15000,3,-1.73
4,14.2185,29.1709,-135.0489044189453,374.81,20000,4,380.18
5,23.3211,27.6345,-324.8426818847656,356.4,25000,5,361.12
6,22.2553,28.2582,-346.8507080078125,389.51,30000,6,396.81
7,21.6439,30.1325,-419.5155029296875,346.03,35000,7,345.13
8,21.0969,28.3749,-491.7193603515625,371.07,40000,8,361.91
9,18.5732,29.764,-547.1131591796875,382.8,45000,9,395.28
10,15.2977,30.3018,-535.8763427734375,378.09,50000,10,380.05
11,15.2073,30.1279,-548.297607421875,382.59,55000,11,382.65
12,15.9155,30.4356,-537.4451293945312,381.24,60000,12,378.23
13,19.028,28.3898,-775.0816040039062,411.8,65000,13,422.88
14,18.1599,28.0748,-523.709716796875,418.46,70000,14,419.85
15,17.0936,28.5985,-807.1419677734375,408.18,75000,15,406.93
16,22.0302,26.3282,-717.8384399414062,999.86,80000,16,810.84
17,22.578,28.2945,-944.5935668945312,487.7,85000,17,501.03
18,24.7584,27.7608,-860.5762329101562,940.56,90000,18,721.39
19,52.0909,28.1761,-1262.752685546875,700.06,95000,19,831.73
20,38.1763,28.4086,-1254.5665283203125,674.57,100000,20,765.5
21,40.7242,27.5879,-1208.4287109375,806.39,105000,21,763.82
22,23.3101,28.4365,-1080.7738037109375,1057.58,110000,22,836.55
23,23.8136,27.321,-953.9851684570312,1619.54,115000,23,3036.2
24,18.1419,26.4984,-636.6481323242188,2957.42,120000,24,2972.0
25,16.2416,26.129,-637.3994750976562,2735.38,125000,25,3051.31
26,16.6683,26.4922,-492.28167724609375,2654.7,130000,26,3106.57
27,17.4213,26.5122,-574.5471801757812,2985.23,135000,27,3095.26
28,15.5449,25.7081,-715.7808227539062,2707.19,140000,28,3106.11
29,15.986,26.6779,-648.358642578125,3096.09,145000,29,3142.49
30,16.6649,26.4272,-522.6273193359375,3110.5,150000,30,3120.38
31,19.1498,26.2691,-947.2111206054688,2065.19,155000,31,3143.3
32,17.7712,26.7946,-681.3316040039062,2971.06,160000,32,3133.45
33,17.4738,26.3731,-655.099365234375,3007.85,165000,33,3108.33
34,17.7374,26.699,-748.7180786132812,3016.57,170000,34,3147.21
35,17.6377,26.8592,-712.6566162109375,3112.26,175000,35,3130.98
36,22.7844,25.0292,-1190.9569091796875,2202.61,180000,36,3152.8
37,17.1951,26.6813,-832.7327270507812,3045.22,185000,37,3139.98
38,14.7927,25.0695,-887.5178833007812,2887.47,190000,38,3210.96
39,17.883,26.8894,-842.1124267578125,3125.38,195000,39,3146.46
40,17.2147,26.5425,-915.9447021484375,3014.45,200000,40,3194.39
41,16.8853,25.8765,-815.1527709960938,3034.97,205000,41,3179.19
42,16.2417,25.7789,-931.9185791015625,3125.89,210000,42,3197.5
43,17.0285,25.2193,-1198.737060546875,2506.14,215000,43,3244.45
44,17.1235,26.306,-920.5992431640625,3158.44,220000,44,3178.73
45,13.9129,26.1687,-1154.639404296875,2041.52,225000,45,3274.41
46,14.0238,26.3769,-1198.0792236328125,2257.86,230000,46,3209.99
47,14.3474,25.8939,-1226.802734375,2084.43,235000,47,3224.96
48,14.1796,26.4584,-1243.3707275390625,1865.99,240000,48,3183.93
49,14.5281,25.8274,-1108.02685546875,2129.96,245000,49,3234.82
50,14.7449,25.8641,-1195.5833740234375,2721.83,250000,50,3224.18
51,16.1969,26.2804,-1085.468505859375,2993.21,255000,51,3232.82
52,16.6937,26.0853,-1206.2972412109375,2563.25,260000,52,3250.78
53,17.2142,26.5684,-1148.228271484375,3149.48,265000,53,3251.83
54,14.4928,25.7451,-1198.5648193359375,2630.54,270000,54,3246.07
55,14.7409,26.4661,-1382.1392822265625,2181.16,275000,55,3260.14
56,13.974,25.9169,-1360.267333984375,2796.67,280000,56,3229.4
57,12.4682,25.3396,-1397.541015625,2150.36,285000,57,3211.75
58,14.7573,25.7272,-1413.0347900390625,2801.01,290000,58,3260.8
59,15.406,26.4121,-1429.4405517578125,3014.99,295000,59,3238.52
60,17.4686,27.2131,-1449.093017578125,3217.81,300000,60,3221.78
61,17.7215,26.6958,-1488.5750732421875,3228.81,305000,61,3235.46
62,14.0694,25.8189,-1519.3538818359375,2577.74,310000,62,3227.71
63,15.0488,24.8886,-1428.281982421875,2924.6,315000,63,3279.54
64,16.43,26.4337,-1530.689453125,3238.21,320000,64,3258.34
65,14.5952,25.9406,-1556.8587646484375,2693.56,325000,65,3241.67
66,15.8861,26.0224,-1565.9185791015625,3006.22,330000,66,3243.22
67,15.8237,26.0026,-1588.40234375,3096.06,335000,67,3238.96
