Real Sto Return,Running Env Steps,Real Det Return,Running Reverse KL,Running Update Time,Running Forward KL,Itration,Reward Loss
-135.89,0,-4.39,11.8051,0,158.5706,0,445.9115295410156
-43.7,5000,526.75,12.0589,1,158.3462,1,405.0654296875
84.0,10000,550.88,11.732,2,158.0894,2,369.369140625
295.14,15000,33.56,12.4595,3,158.2413,3,307.3289794921875
466.37,20000,770.35,13.9904,4,158.3687,4,326.9284362792969
626.87,25000,1049.03,14.2703,5,158.119,5,257.45697021484375
697.25,30000,1084.59,13.9894,6,157.9557,6,239.39743041992188
633.14,35000,1049.3,14.4193,7,158.0602,7,183.5792694091797
803.06,40000,1176.49,14.5723,8,157.9043,8,133.71461486816406
882.34,45000,1290.75,15.0771,9,157.762,9,101.32572174072266
881.11,50000,1305.44,15.069,10,157.9169,10,59.17555236816406
1079.25,55000,1508.57,15.9071,11,157.4595,11,26.747285842895508
1086.34,60000,1465.5,16.0722,12,157.9174,12,-9.589254379272461
1080.09,65000,1490.58,16.012,13,157.9271,13,-46.40537643432617
1147.29,70000,1547.89,16.0199,14,157.6915,14,-84.72901916503906
1223.38,75000,1584.37,16.2969,15,157.5131,15,-97.86540222167969
1212.66,80000,1555.19,16.1948,16,157.8575,16,-149.19662475585938
1197.84,85000,1551.92,16.1635,17,157.7474,17,-210.0061798095703
1293.49,90000,1630.81,16.8862,18,157.7758,18,-204.32000732421875
1267.22,95000,1628.72,16.3651,19,157.6251,19,-273.25140380859375
1346.4,100000,1670.42,16.6608,20,157.7246,20,-303.4729309082031
1359.23,105000,1730.82,16.3687,21,157.7343,21,-357.7568054199219
1347.37,110000,1742.97,16.3013,22,157.7132,22,-383.0583801269531
1401.95,115000,1759.71,16.9778,23,157.5669,23,-443.1445617675781
1363.38,120000,1782.54,16.2686,24,157.7262,24,-487.4638977050781
1412.5,125000,1787.54,16.7511,25,157.8813,25,-522.5452880859375
1447.97,130000,1812.11,16.7234,26,157.8477,26,-558.6834716796875
1442.8,135000,1784.18,16.0927,27,157.8115,27,-609.1962280273438
1492.68,140000,1861.74,16.4552,28,157.696,28,-658.9734497070312
1459.66,145000,1851.77,16.1454,29,157.6314,29,-697.3663330078125
1516.7,150000,1872.82,16.5139,30,157.9568,30,-735.6156616210938
1508.01,155000,1829.03,16.6604,31,157.8574,31,-772.5158081054688
1531.22,160000,1866.91,16.8946,32,157.9263,32,-839.3701782226562
