Real Sto Return,Reward Loss,Running Reverse KL,Running Forward KL,Running Env Steps,Real Det Return,Running Update Time,Itration
-115.04,387.3081359863281,25.8753,74.8404,0,431.88,0,0
-72.51,351.5672912597656,25.8503,74.137,5000,423.88,1,1
9.16,270.0840759277344,26.1514,72.7343,10000,636.0,2,2
-36.86,175.3877716064453,27.2014,73.6534,15000,611.22,3,3
-12.04,69.99549102783203,28.6269,71.8295,20000,539.26,4,4
47.07,48.13982391357422,29.7289,72.5574,25000,661.78,5,5
72.72,-26.75886344909668,30.2926,71.7293,30000,757.49,6,6
108.68,-122.15972900390625,31.2782,71.3821,35000,760.52,7,7
108.76,-199.9899444580078,31.9599,72.9463,40000,684.6,8,8
133.22,-231.04595947265625,32.0781,71.9177,45000,756.76,9,9
124.51,-322.30108642578125,32.031,72.9354,50000,824.1,10,10
163.53,-392.94195556640625,30.9901,71.8012,55000,773.91,11,11
118.49,-464.1673583984375,31.8199,73.3368,60000,751.85,12,12
164.12,-518.6836547851562,31.1222,72.1965,65000,728.99,13,13
141.03,-630.2999267578125,31.7642,73.3741,70000,863.85,14,14
158.82,-681.924560546875,31.2772,74.6334,75000,631.29,15,15
137.5,-758.0949096679688,31.1666,73.8349,80000,576.0,16,16
185.06,-820.1964721679688,30.7128,73.2993,85000,731.94,17,17
173.2,-907.3397827148438,31.7978,72.4805,90000,744.48,18,18
172.44,-979.3704833984375,31.4961,73.4278,95000,683.44,19,19
193.76,-1070.69091796875,31.4665,74.1042,100000,830.07,20,20
163.14,-1124.276611328125,31.5478,72.9235,105000,837.47,21,21
209.54,-1202.5863037109375,31.3882,72.4535,110000,811.77,22,22
251.98,-1278.50732421875,31.2516,72.757,115000,813.15,23,23
176.01,-1351.18408203125,31.5586,72.6517,120000,932.47,24,24
178.9,-1432.607177734375,31.4698,73.3837,125000,930.06,25,25
216.41,-1492.890625,30.7795,71.9278,130000,888.21,26,26
158.88,-1567.921875,31.0107,72.9806,135000,786.64,27,27
224.34,-1655.9820556640625,31.305,72.9385,140000,896.64,28,28
180.16,-1728.6278076171875,30.5274,70.8645,145000,843.8,29,29
237.06,-1812.2652587890625,31.056,73.6216,150000,863.25,30,30
217.43,-1866.0926513671875,30.4739,71.758,155000,633.96,31,31
248.39,-1944.7340087890625,30.5912,70.7502,160000,846.92,32,32
218.23,-2043.1337890625,30.9937,73.1441,165000,827.06,33,33
212.62,-2101.806884765625,30.8485,71.9197,170000,871.26,34,34
182.63,-2201.679443359375,30.9947,73.024,175000,776.38,35,35
226.93,-2283.501953125,31.17,72.5188,180000,800.9,36,36
190.43,-2360.500732421875,31.4507,72.3484,185000,879.34,37,37
237.52,-2458.49609375,31.5802,74.3108,190000,837.1,38,38
259.68,-2526.767578125,30.7833,73.4563,195000,885.06,39,39
197.0,-2590.1181640625,30.6603,72.3661,200000,682.61,40,40
234.87,-2675.5400390625,30.7815,73.4832,205000,791.02,41,41
216.25,-2762.705322265625,30.9633,73.015,210000,792.71,42,42
202.22,-2854.454833984375,30.9988,72.1896,215000,846.37,43,43
213.99,-2913.614013671875,30.6167,72.4946,220000,847.08,44,44
235.25,-3051.263427734375,31.1541,74.4987,225000,652.96,45,45
188.96,-3127.28466796875,31.4444,72.3022,230000,850.84,46,46
226.56,-3173.137451171875,30.6382,71.8178,235000,885.66,47,47
237.37,-3269.827880859375,30.2844,71.9631,240000,928.75,48,48
183.68,-3373.8984375,30.8682,72.4649,245000,813.01,49,49
245.43,-3471.85400390625,31.5837,72.4771,250000,858.0,50,50
260.9,-3561.989501953125,31.0057,73.1375,255000,877.11,51,51
241.26,-3632.1298828125,31.4601,71.5914,260000,794.65,52,52
277.37,-3766.40185546875,31.1702,74.4971,265000,944.86,53,53
246.68,-3846.810546875,31.2576,73.3747,270000,799.5,54,54
246.97,-3936.854248046875,31.3123,74.4521,275000,743.9,55,55
