Itration,Real Det Return,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL
0,309.49,0,0,305.75,474.3765563964844,31.2161,16.6295
1,321.81,5000,1,318.17,466.62646484375,31.6634,45.1735
2,265.08,10000,2,280.12,188.13101196289062,31.53,53.9453
3,567.3,15000,3,511.58,125.25714874267578,27.6653,43.7055
4,749.39,20000,4,622.08,94.96794128417969,28.2872,47.3797
5,555.19,25000,5,575.15,57.01060104370117,29.7005,47.9643
6,754.74,30000,6,872.59,-3.2240443229675293,26.3076,40.8171
7,1007.43,35000,7,768.02,-75.13578033447266,27.2879,45.4915
8,169.84,40000,8,395.59,-110.84334564208984,27.3963,38.1606
9,1195.14,45000,9,1070.18,-148.05455017089844,26.893,37.3966
10,828.44,50000,10,798.2,-233.23948669433594,27.445,43.0529
11,1005.58,55000,11,1086.79,-224.87156677246094,26.8294,37.1212
12,1174.58,60000,12,1022.12,30.975584030151367,27.0642,19.2046
13,715.12,65000,13,753.71,-190.29534912109375,26.9664,25.0161
14,1412.65,70000,14,949.27,-89.44584655761719,27.1794,20.3791
15,923.48,75000,15,848.06,-207.18814086914062,27.9882,23.1392
16,889.87,80000,16,919.02,-415.5177001953125,27.0883,28.2341
17,878.86,85000,17,986.93,-376.144775390625,26.8245,24.4073
18,891.89,90000,18,877.45,-552.864501953125,27.535,42.8764
19,3192.84,95000,19,1783.08,-239.36012268066406,25.8188,23.1879
20,1066.01,100000,20,957.57,-604.7228393554688,26.861,37.4149
21,2412.87,105000,21,2398.02,-354.1328125,26.1058,25.9299
22,1149.64,110000,22,1021.16,-677.4220581054688,27.1076,35.965
23,1113.67,115000,23,1020.92,-734.9077758789062,27.2567,37.8391
24,861.36,120000,24,881.57,-810.1217041015625,26.9914,39.0551
25,882.47,125000,25,938.96,-798.275146484375,26.2865,33.0202
26,1068.4,130000,26,1013.93,-834.7315673828125,26.1453,35.2118
27,1643.6,135000,27,1176.04,-853.2958374023438,26.1244,32.9732
28,1081.59,140000,28,968.0,-924.4166870117188,26.5466,33.1083
29,2027.28,145000,29,1741.05,-858.7164306640625,26.1303,30.9911
30,1057.88,150000,30,996.64,-1038.914794921875,27.1858,34.7988
31,883.77,155000,31,949.2,-1074.98828125,26.6975,33.9727
32,3102.04,160000,32,1924.77,-791.3764038085938,25.913,23.6727
33,892.68,165000,33,956.98,-1115.57470703125,26.4581,27.5509
34,2554.84,170000,34,1377.28,-930.0784301757812,25.5662,24.792
35,1162.6,175000,35,1309.39,-991.30810546875,25.6925,24.6634
36,1137.43,180000,36,1161.47,-1088.9415283203125,25.6157,24.9741
37,1178.12,185000,37,1235.4,-1121.466552734375,25.7566,24.5165
38,1185.83,190000,38,1607.45,-868.8176879882812,26.4798,26.3618
39,938.4,195000,39,963.35,-1366.428955078125,26.3254,35.4945
40,1351.1,200000,40,1848.94,-881.4608154296875,25.9487,26.4533
