Real Sto Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration,Real Det Return,Running Update Time
161.22,16.493,37.5458,0,108.61827850341797,0,118.22,0
254.44,19.7314,37.14,5000,81.01245880126953,1,260.65,1
228.82,20.0984,37.128,10000,71.70368194580078,2,234.23,2
290.03,33.4471,38.4886,15000,49.664031982421875,3,295.22,3
309.79,28.7759,37.2179,20000,39.33119583129883,4,312.2,4
312.51,18.2582,38.0574,25000,65.82719421386719,5,310.45,5
314.24,18.2028,36.9883,30000,48.9770622253418,6,310.73,6
302.9,21.8625,37.1018,35000,21.939851760864258,7,306.79,7
354.93,19.9544,33.7129,40000,9.75788402557373,8,350.02,8
381.94,21.9182,33.71,45000,-15.588224411010742,9,393.6,9
393.52,20.0247,34.0271,50000,-25.159269332885742,10,384.35,10
455.02,20.981,33.3676,55000,-30.10664939880371,11,478.91,11
329.5,21.3168,38.8254,60000,-14.905527114868164,12,333.31,12
666.77,20.2628,33.1372,65000,-34.14032745361328,13,632.72,13
623.1,21.546,34.311,70000,-28.525962829589844,14,567.47,14
622.49,22.6545,34.1014,75000,-46.152381896972656,15,574.06,15
923.32,24.4936,33.5722,80000,-69.11611938476562,16,1220.03,16
1489.93,24.4786,33.7153,85000,-51.041290283203125,17,746.05,17
606.12,36.1927,35.6905,90000,-100.5241928100586,18,574.41,18
1286.52,25.9921,33.9621,95000,-66.71611785888672,19,1741.92,19
1335.89,25.2153,32.481,100000,-77.7099609375,20,1296.7,20
2059.47,22.3844,33.3508,105000,-58.84848403930664,21,1024.09,21
1668.81,21.7679,33.2186,110000,-80.61553192138672,22,1500.93,22
1123.12,25.1451,33.6045,115000,-115.4668197631836,23,1218.72,23
1361.56,22.9012,33.1319,120000,-107.70783996582031,24,1473.0,24
1247.18,24.6138,32.6748,125000,-116.8236312866211,25,1149.75,25
2884.85,20.9318,34.8541,130000,-30.90509796142578,26,3127.49,26
2006.83,21.3195,32.9319,135000,-83.63933563232422,27,1241.71,27
2117.43,19.904,33.7189,140000,-80.7763671875,28,1633.52,28
1191.78,21.9836,33.6025,145000,-151.62533569335938,29,1250.97,29
997.37,30.311,43.9457,150000,-196.54930114746094,30,997.6,30
2618.6,21.4293,35.0244,155000,-34.843833923339844,31,2944.3,31
2601.46,20.4118,33.8797,160000,-63.39627456665039,32,2950.78,32
1175.61,21.5512,34.1163,165000,-148.9034423828125,33,1147.65,33
1005.94,21.6075,33.2962,170000,-155.88246154785156,34,1125.63,34
3115.07,21.5951,35.7508,175000,-7.330536842346191,35,3130.51,35
1793.14,20.6815,32.4347,180000,-124.85360717773438,36,2500.47,36
2953.57,20.692,35.0218,185000,-20.070999145507812,37,3114.82,37
3099.27,21.8262,35.2687,190000,-14.724045753479004,38,3126.69,38
2418.85,18.9401,33.0736,195000,-63.893943786621094,39,3243.01,39
1327.7,23.1214,33.3303,200000,-170.1804656982422,40,1775.63,40
2009.54,23.5488,34.3522,205000,-59.00141525268555,41,2076.68,41
1587.34,18.8802,34.3688,210000,-130.01779174804688,42,2373.79,42
3117.47,20.693,33.2532,215000,-40.22040939331055,43,3116.6,43
1519.31,30.0357,33.3078,220000,-132.5676727294922,44,1967.34,44
2609.85,25.2384,33.5462,225000,-42.3910026550293,45,3185.5,45
2179.68,19.9486,32.6068,230000,-82.3858413696289,46,2936.13,46
1166.42,43.4086,33.4077,235000,-189.49588012695312,47,1314.55,47
1943.54,16.9724,32.6216,240000,-123.11860656738281,48,3128.43,48
1398.26,16.8741,33.5104,245000,-103.63954162597656,49,1681.4,49
1895.66,20.9814,32.7657,250000,-167.56195068359375,50,2791.55,50
1744.21,26.0725,32.814,255000,-133.64854431152344,51,3175.62,51
1406.89,18.3891,33.3509,260000,-108.18782806396484,52,1411.22,52
1576.84,16.2935,32.5174,265000,-87.38711547851562,53,1976.91,53
1859.27,23.3618,32.5709,270000,-104.46578216552734,54,3192.14,54
2518.63,19.0375,33.3773,275000,-73.68710327148438,55,3214.11,55
1452.35,20.2986,32.5748,280000,-126.16687774658203,56,1831.6,56
2693.89,17.9475,32.452,285000,-65.07218170166016,57,3226.62,57
2970.45,20.091,33.4677,290000,-64.58184051513672,58,3217.54,58
2894.11,18.2426,33.5932,295000,-76.36767578125,59,3152.84,59
3139.3,19.7766,33.9647,300000,-77.12101745605469,60,3129.22,60
1690.38,15.3262,33.164,305000,-114.4668197631836,61,3219.24,61
1445.64,16.0558,33.0634,310000,-200.76719665527344,62,1745.11,62
1853.54,15.5601,33.3828,315000,-179.5624542236328,63,3210.61,63
2816.05,20.1261,35.5433,320000,-97.98187255859375,64,3219.06,64
2247.2,18.8431,34.5727,325000,-158.04672241210938,65,3138.41,65
1295.11,19.209,32.5065,330000,-261.9894104003906,66,3201.9,66
1927.01,16.6121,33.4564,335000,-202.358154296875,67,3075.16,67
2818.85,21.3556,34.7164,340000,-112.46565246582031,68,3155.68,68
1267.03,17.7507,34.0298,345000,-267.49127197265625,69,1589.46,69
1474.21,15.201,32.559,350000,-177.6219940185547,70,3235.17,70
2657.69,16.8705,32.6118,355000,-160.6652069091797,71,3160.02,71
2247.13,16.9621,33.1302,360000,-188.59078979492188,72,3227.59,72
1874.06,15.7585,32.8933,365000,-243.2655029296875,73,3161.75,73
2089.12,17.2939,32.1787,370000,-203.07713317871094,74,3024.97,74
2831.5,17.3956,32.3261,375000,-156.85275268554688,75,3159.66,75
1988.56,17.4005,33.0544,380000,-233.43923950195312,76,3174.9,76
1933.86,16.6534,33.3942,385000,-218.14190673828125,77,3227.08,77
1609.35,17.0478,32.9426,390000,-298.3171081542969,78,3248.24,78
1139.75,16.5102,33.2859,395000,-316.44964599609375,79,1275.04,79
2190.2,15.9732,33.1634,400000,-218.0229949951172,80,3239.48,80
1103.1,18.596,33.1089,405000,-353.92449951171875,81,1174.65,81
2906.39,19.0691,34.1664,410000,-170.8217010498047,82,3159.88,82
2108.23,17.5792,33.2063,415000,-248.9566192626953,83,3197.32,83
1246.2,18.2791,33.0993,420000,-359.8266296386719,84,1417.65,84
1550.01,16.8491,32.6498,425000,-317.0770263671875,85,2479.24,85
1557.97,17.1072,33.7983,430000,-346.3818359375,86,3188.17,86
1577.97,17.9929,33.0252,435000,-336.4874572753906,87,3225.06,87
1442.57,18.9363,33.2287,440000,-347.0783386230469,88,3220.79,88
1600.48,16.0643,32.8038,445000,-281.5491027832031,89,3125.04,89
1537.61,18.1635,33.3039,450000,-335.08404541015625,90,3111.0,90
929.54,16.6142,33.8851,455000,-433.99102783203125,91,1234.96,91
1623.64,16.6051,32.5558,460000,-350.3883972167969,92,3173.99,92
1674.38,16.1827,32.9768,465000,-389.8486022949219,93,2717.86,93
2586.33,17.2843,31.9055,470000,-188.2268524169922,94,3255.87,94
1423.06,14.5399,31.8998,475000,-379.4367370605469,95,2231.86,95
2097.51,15.721,32.4021,480000,-303.6734313964844,96,3124.46,96
2262.3,15.7212,31.3858,485000,-282.2220153808594,97,3212.96,97
2630.01,17.2017,32.7923,490000,-237.69644165039062,98,3161.67,98
2237.87,17.5403,32.5002,495000,-361.416748046875,99,3174.8,99
2091.46,16.7308,32.935,500000,-387.883056640625,100,2590.2,100
1488.18,18.0462,32.8639,505000,-421.07183837890625,101,3219.92,101
3033.91,18.5624,33.0556,510000,-119.97205352783203,102,3150.82,102
1217.04,18.0179,32.4304,515000,-480.2510070800781,103,1838.28,103
2948.65,18.2586,32.3671,520000,-182.9634552001953,104,3196.17,104
3097.69,18.272,32.2539,525000,-115.86248779296875,105,3210.4,105
2505.45,18.0455,32.1599,530000,-195.3704376220703,106,3207.85,106
3164.51,19.2622,33.7429,535000,-132.9315948486328,107,3178.09,107
2267.45,16.6976,31.739,540000,-353.0297546386719,108,3214.39,108
3042.18,19.0002,31.5446,545000,-163.46258544921875,109,3200.2,109
2867.78,17.3687,31.3503,550000,-224.89834594726562,110,3215.49,110
2901.35,16.4881,30.6521,555000,-199.41664123535156,111,3217.81,111
2652.67,16.9314,30.7197,560000,-343.8255920410156,112,3215.56,112
1991.35,15.8704,31.3032,565000,-327.4332580566406,113,3225.64,113
2639.7,17.4826,31.7232,570000,-191.42550659179688,114,3220.73,114
3130.5,19.643,33.3788,575000,-181.41311645507812,115,3172.4,115
1498.21,17.7344,31.3826,580000,-456.5072021484375,116,2843.97,116
2844.91,17.5026,31.1221,585000,-272.9836730957031,117,3214.02,117
2876.66,16.0962,29.2118,590000,-182.8300323486328,118,3231.78,118
2597.91,16.2684,30.4329,595000,-350.2799072265625,119,3220.75,119
2425.42,17.7821,30.7028,600000,-305.7732849121094,120,3215.49,120
2302.08,16.3397,30.2015,605000,-291.55133056640625,121,3218.98,121
1851.64,16.4135,31.2485,610000,-447.55279541015625,122,3155.52,122
2393.71,16.5505,29.6403,615000,-350.7238464355469,123,3199.76,123
1938.35,16.7707,30.2018,620000,-295.9883728027344,124,3358.17,124
