Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL,Running Update Time,Reward Loss,Itration,Real Det Return
158.3103,0,-140.89,11.4229,0,61.01149368286133,0,17.83
158.3325,5000,-54.26,11.6329,1,23.42367172241211,1,-30.23
158.2402,10000,206.54,12.5839,2,86.2613296508789,2,674.8
158.1411,15000,424.91,13.441,3,90.3869857788086,3,826.54
158.1655,20000,490.42,13.6407,4,61.809181213378906,4,928.25
158.1106,25000,559.76,13.5926,5,30.627548217773438,5,963.0
158.008,30000,680.83,14.1397,6,-17.646015167236328,6,1136.05
158.0279,35000,854.87,14.9628,7,-8.16541862487793,7,1247.95
157.9972,40000,926.49,15.4803,8,-47.68365478515625,8,1362.62
157.8419,45000,1045.06,15.8849,9,-75.5327377319336,9,1443.6
157.838,50000,1143.56,16.0507,10,-108.22164916992188,10,1549.26
157.9453,55000,1198.79,16.452,11,-160.76356506347656,11,1576.64
157.5954,60000,1199.19,16.2974,12,-228.18017578125,12,1496.38
157.8373,65000,1226.34,16.1985,13,-264.35394287109375,13,1612.89
157.7507,70000,1248.36,16.4056,14,-307.2900695800781,14,1638.3
157.9459,75000,1333.92,16.7862,15,-332.1067199707031,15,1735.19
157.856,80000,1355.97,16.5324,16,-383.7696228027344,16,1713.22
157.8536,85000,1389.88,16.7237,17,-430.30279541015625,17,1761.5
157.9861,90000,1420.57,16.9971,18,-469.1312255859375,18,1817.01
157.7842,95000,1449.54,16.717,19,-520.1419677734375,19,1795.42
157.6445,100000,1508.52,16.5922,20,-566.0487060546875,20,1849.42
157.6671,105000,1485.84,16.417,21,-589.605224609375,21,1873.18
157.6767,110000,1524.06,16.7467,22,-617.14208984375,22,1897.92
158.0222,115000,1513.36,16.9028,23,-670.0585327148438,23,1860.63
157.7901,120000,1538.18,16.4757,24,-718.1259765625,24,1898.53
157.5043,125000,1564.42,16.6169,25,-767.2658081054688,25,1917.39
157.7568,130000,1576.42,16.4628,26,-790.8446044921875,26,1933.56
157.5517,135000,1608.01,16.5994,27,-842.2564086914062,27,1932.51
157.8043,140000,1626.77,16.9878,28,-855.5520629882812,28,2000.95
157.7008,145000,1645.31,16.6768,29,-886.2820434570312,29,1997.98
157.7583,150000,1652.38,16.5696,30,-938.0869750976562,30,2006.75
157.6183,155000,1645.95,16.6227,31,-986.8138427734375,31,1987.09
157.0435,160000,1661.38,16.1809,32,-1000.7920532226562,32,2048.66
157.3991,165000,1640.86,16.1112,33,-1037.4365234375,33,1994.92
157.3903,170000,1659.64,16.2279,34,-1070.3583984375,34,2058.34
157.4317,175000,1692.28,16.4243,35,-1119.3607177734375,35,2031.76
157.4378,180000,1715.38,16.4615,36,-1156.9349365234375,36,2038.42
157.3116,185000,1706.13,16.3042,37,-1187.941650390625,37,2055.92
157.2821,190000,1685.3,16.2272,38,-1230.1199951171875,38,2052.38
157.2566,195000,1707.5,16.1038,39,-1252.9456787109375,39,2000.27
157.4172,200000,1697.21,15.9783,40,-1297.6348876953125,40,2051.72
157.4203,205000,1724.7,16.2919,41,-1336.6944580078125,41,2065.8
157.1996,210000,1717.59,16.11,42,-1365.149169921875,42,2081.84
157.0833,215000,1632.63,16.4002,43,-1423.5556640625,43,2062.83
157.1627,220000,1697.13,16.0524,44,-1446.8927001953125,44,2013.32
157.1509,225000,1728.33,16.2362,45,-1476.59521484375,45,2118.81
157.2002,230000,1745.05,16.1947,46,-1500.833740234375,46,2113.9
157.161,235000,1738.51,16.0441,47,-1543.1251220703125,47,2065.64
156.9519,240000,1678.29,15.7319,48,-1589.2891845703125,48,2014.99
157.1431,245000,1711.51,16.242,49,-1616.6651611328125,49,2129.61
156.9948,250000,1706.97,15.5065,50,-1652.130615234375,50,2073.61
157.024,255000,1757.94,16.0581,51,-1691.8404541015625,51,2117.83
157.1073,260000,1727.02,15.7506,52,-1726.9329833984375,52,2054.83
156.8771,265000,1757.48,16.1893,53,-1763.55322265625,53,2129.74
157.0481,270000,1739.85,15.8021,54,-1803.1488037109375,54,2089.42
157.0005,275000,1715.8,15.648,55,-1839.7083740234375,55,2105.89
156.9599,280000,1743.75,15.5966,56,-1862.091552734375,56,2093.95
156.92,285000,1749.97,15.6946,57,-1909.2030029296875,57,2100.17
157.1031,290000,1744.67,15.9198,58,-1960.222900390625,58,2087.52
157.051,295000,1692.83,15.5864,59,-1990.1358642578125,59,2026.09
156.752,300000,1783.3,15.933,60,-2010.5128173828125,60,2145.9
156.8239,305000,1776.88,15.9325,61,-2059.275146484375,61,2131.68
156.93,310000,1740.96,15.847,62,-2099.65283203125,62,2124.1
156.6614,315000,1803.91,16.13,63,-2125.286376953125,63,2146.49
157.0277,320000,1758.71,15.758,64,-2193.119873046875,64,2014.06
156.9452,325000,1762.54,16.0908,65,-2222.995361328125,65,2151.53
157.0002,330000,1764.96,15.9826,66,-2269.73193359375,66,2151.96
156.9813,335000,1734.0,15.5969,67,-2322.109375,67,2026.57
156.976,340000,1764.29,15.7339,68,-2333.6376953125,68,2103.1
156.8101,345000,1772.3,15.6782,69,-2366.970703125,69,2103.08
156.955,350000,1774.92,15.6666,70,-2414.991943359375,70,2058.18
156.914,355000,1716.93,15.6633,71,-2458.822509765625,71,2074.14
156.825,360000,1753.6,15.4148,72,-2497.46044921875,72,2090.08
156.9979,365000,1787.72,15.7805,73,-2524.69384765625,73,2147.03
156.7111,370000,1798.04,15.8305,74,-2554.7509765625,74,2110.14
157.1454,375000,1830.74,16.2325,75,-2620.7529296875,75,2171.18
156.9664,380000,1796.84,15.6364,76,-2674.41455078125,76,2116.86
156.8169,385000,1809.15,16.1377,77,-2675.2041015625,77,2191.66
156.9627,390000,1785.97,15.6933,78,-2754.263427734375,78,2134.54
156.6181,395000,1805.46,15.6556,79,-2763.329345703125,79,2148.01
156.9187,400000,1773.26,15.5634,80,-2801.38427734375,80,2138.87
156.8528,405000,1780.73,15.47,81,-2860.11083984375,81,2087.3
156.8903,410000,1806.22,15.6881,82,-2915.23974609375,82,2176.74
156.9337,415000,1814.74,15.8563,83,-2960.949462890625,83,2186.42
156.7296,420000,1863.31,15.9737,84,-2984.36962890625,84,2165.01
156.9092,425000,1796.7,15.7814,85,-3030.34521484375,85,2142.68
156.8867,430000,1799.64,15.6573,86,-3073.764892578125,86,2118.45
156.9555,435000,1801.25,15.7153,87,-3122.724365234375,87,2138.13
156.7815,440000,1792.32,15.5894,88,-3149.04443359375,88,2129.14
156.9577,445000,1805.19,15.6829,89,-3218.970947265625,89,2123.95
156.9575,450000,1830.06,15.6181,90,-3241.552734375,90,2176.26
156.8195,455000,1814.11,15.5246,91,-3280.914794921875,91,2101.42
156.9345,460000,1810.79,15.661,92,-3330.080322265625,92,2134.15
156.8434,465000,1809.21,15.7886,93,-3391.354248046875,93,2121.68
156.862,470000,1825.92,15.7596,94,-3418.694091796875,94,2156.46
