Real Sto Return,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return,Itration,Running Forward KL,Running Update Time
220.11,-107.3256607055664,22.2315,0,224.92,0,38.1674,0
308.68,-102.58197784423828,20.2799,5000,318.32,1,37.3855,1
322.96,-135.68495178222656,23.1317,10000,329.84,2,36.2789,2
388.6,-108.09540557861328,18.0413,15000,408.32,3,34.7152,3
91.3,-179.49012756347656,161.7658,20000,1.7,4,37.8431,4
628.19,-127.3897476196289,32.8861,25000,508.39,5,33.2281,5
581.28,-123.32623291015625,24.1923,30000,624.95,6,34.0574,6
549.86,-123.83859252929688,21.9765,35000,576.28,7,34.8233,7
848.24,-139.60816955566406,19.5003,40000,904.71,8,32.7146,8
782.29,-152.51210021972656,21.1,45000,900.43,9,32.733,9
989.36,-148.40528869628906,18.375,50000,948.19,10,32.3343,10
879.68,-160.5482635498047,16.7891,55000,1471.61,11,32.1596,11
768.54,-183.40809631347656,19.9714,60000,620.85,12,34.3776,12
2582.9,-91.4324951171875,14.09,65000,2956.02,13,28.7572,13
2191.57,-76.81025695800781,14.5033,70000,2530.41,14,28.7813,14
2831.58,-78.88978576660156,14.8954,75000,2801.1,15,28.8459,15
2230.31,-93.1863784790039,13.5206,80000,2642.2,16,29.4897,16
2048.81,-141.27317810058594,17.9753,85000,3068.9,17,28.434,17
1369.39,-173.80821228027344,19.9587,90000,1225.18,18,30.9051,18
1997.91,-101.16766357421875,16.8843,95000,1464.86,19,28.2835,19
2850.86,-84.94463348388672,14.5587,100000,2677.64,20,28.7514,20
1918.95,-74.48652648925781,15.3155,105000,2683.95,21,29.2952,21
1188.67,-196.8232421875,28.6359,110000,1149.93,22,30.0511,22
1683.41,-167.3334197998047,22.0628,115000,2022.44,23,29.0169,23
1534.21,-207.5997772216797,25.4754,120000,1459.68,24,30.6764,24
1968.46,-155.3714141845703,17.9163,125000,1137.69,25,29.044,25
2654.83,-94.10470581054688,14.221,130000,3094.65,26,29.5605,26
2187.56,-180.65611267089844,18.0689,135000,2814.42,27,28.7432,27
1128.87,-249.81594848632812,21.2226,140000,1636.19,28,29.3332,28
2056.09,-183.7706298828125,15.3082,145000,2698.4,29,28.9779,29
1047.02,-274.41009521484375,21.4858,150000,977.03,30,32.1498,30
2751.03,-150.2815399169922,16.8301,155000,2967.78,31,29.3158,31
1950.26,-231.48675537109375,17.3808,160000,1509.15,32,29.0824,32
2810.82,-88.3930892944336,12.2267,165000,2414.57,33,27.8784,33
2485.2,-173.8434600830078,15.2922,170000,2419.79,34,28.8539,34
1715.3,-202.2298126220703,14.8991,175000,2756.67,35,28.6176,35
2338.22,-152.851806640625,13.9295,180000,2099.91,36,28.9306,36
2440.68,-234.87762451171875,14.9641,185000,2697.44,37,28.7983,37
2149.18,-144.939453125,12.4435,190000,2934.1,38,26.6361,38
1658.41,-170.02976989746094,12.2794,195000,2477.89,39,26.201,39
2044.2,-175.21795654296875,13.2063,200000,3273.14,40,28.042,40
1325.35,-229.96873474121094,15.2691,205000,1083.87,41,27.8458,41
2040.7,-145.22955322265625,12.3183,210000,1791.43,42,27.457,42
3020.38,-93.20023345947266,11.37,215000,3269.85,43,26.0674,43
1336.59,-206.7486572265625,15.054,220000,1300.11,44,27.3259,44
2235.87,-157.57339477539062,10.2962,225000,3269.9,45,25.2349,45
2978.33,-114.98698425292969,9.7337,230000,2808.65,46,26.2973,46
2184.44,-118.41017150878906,11.2832,235000,1534.79,47,25.8624,47
2892.07,-93.11467742919922,11.257,240000,3384.55,48,24.8297,48
2789.79,-72.50115203857422,11.2508,245000,3298.91,49,24.5336,49
2980.18,-106.85941314697266,10.7719,250000,3229.31,50,24.9497,50
2704.32,-112.7895736694336,11.4338,255000,3328.53,51,25.4503,51
2491.44,-122.61724853515625,11.374,260000,3327.93,52,25.933,52
3284.34,-72.03453826904297,10.5297,265000,3281.79,53,24.014,53
2141.63,-167.84017944335938,11.8598,270000,3359.49,54,26.9116,54
2841.2,-90.55477142333984,11.6859,275000,3341.95,55,25.7156,55
2166.18,-112.74755096435547,10.5408,280000,3418.46,56,24.8055,56
3355.92,-76.19613647460938,11.8951,285000,3372.34,57,24.4261,57
2975.83,-168.30531311035156,11.7719,290000,3085.73,58,26.884,58
3039.5,-78.8653793334961,11.466,295000,3432.28,59,25.2291,59
3373.49,-58.63359451293945,10.0938,300000,3366.99,60,23.6734,60
3275.49,-102.69537353515625,12.2555,305000,3387.23,61,26.3635,61
3277.12,-71.77018737792969,10.5528,310000,3390.72,62,23.8619,62
2525.6,-124.64061737060547,9.9873,315000,3400.92,63,24.0676,63
2816.17,-105.16795349121094,11.179,320000,3153.01,64,25.0648,64
2944.03,-80.38300323486328,11.3894,325000,3380.84,65,24.9004,65
3295.2,-86.2270278930664,11.6728,330000,3321.72,66,24.452,66
3298.4,-102.46172332763672,11.1242,335000,3436.55,67,24.9969,67
1932.83,-271.4905700683594,12.6228,340000,3279.37,68,26.3587,68
2368.68,-166.78916931152344,10.4349,345000,3389.51,69,24.8595,69
2565.64,-168.79922485351562,10.6644,350000,3198.21,70,24.3255,70
2529.82,-92.01040649414062,10.4702,355000,3424.16,71,24.3119,71
2220.03,-178.43934631347656,11.4867,360000,3033.35,72,26.5613,72
3127.41,-122.63831329345703,10.8481,365000,3398.65,73,24.5791,73
2911.1,-149.2267608642578,10.3438,370000,3383.53,74,23.6872,74
