Running Reverse KL,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Real Sto Return,Running Env Steps,Itration
14.8157,197.04,32.2703,367.7996826171875,0,196.66,0,0
30.3213,272.71,31.4739,634.4083251953125,1,268.49,5000,1
101.7835,280.51,31.1519,518.2815551757812,2,269.56,10000,2
49.0626,320.16,30.9884,469.4908142089844,3,307.32,15000,3
24.1898,332.16,31.433,431.7554931640625,4,320.42,20000,4
16.6466,324.23,30.7682,209.8554229736328,5,324.57,25000,5
53.3745,334.57,31.3278,433.5668640136719,6,332.64,30000,6
44.3724,327.77,31.0297,332.5103454589844,7,327.88,35000,7
34.4415,356.59,31.3125,206.7484893798828,8,365.45,40000,8
21.1069,344.42,31.9095,-141.92391967773438,9,338.75,45000,9
40.915,328.28,30.7218,34.854026794433594,10,327.28,50000,10
19.2285,338.45,31.1446,-240.6933135986328,11,327.74,55000,11
21.5949,330.6,30.6066,-226.23135375976562,12,323.51,60000,12
21.2474,343.65,30.9468,-369.15374755859375,13,334.33,65000,13
19.7371,330.77,31.0154,-461.0182189941406,14,329.41,70000,14
22.6427,341.74,30.1757,-451.12200927734375,15,338.86,75000,15
19.9416,190.4,31.0643,-518.3157958984375,16,197.68,80000,16
20.4348,336.68,31.4668,-603.1710815429688,17,333.67,85000,17
25.3745,344.73,31.6155,-687.3427734375,18,345.95,90000,18
27.0436,351.63,30.1559,-720.9321899414062,19,350.71,95000,19
45.0704,365.28,31.2909,-588.0446166992188,20,359.96,100000,20
34.051,395.38,29.6595,-757.4547119140625,21,384.88,105000,21
22.227,356.51,29.9594,-820.2510375976562,22,342.18,110000,22
24.2355,357.56,29.1953,-767.8223266601562,23,372.61,115000,23
42.904,543.69,27.6822,-748.5316162109375,24,519.32,120000,24
16.5767,345.75,26.4798,-493.40972900390625,25,503.89,125000,25
13.2515,468.47,26.3501,-424.1361083984375,26,485.94,130000,26
16.4756,676.63,27.5871,-712.3056640625,27,650.53,135000,27
13.3024,687.93,24.0213,-622.71435546875,28,687.27,140000,28
19.269,823.92,24.9008,-566.3356323242188,29,786.8,145000,29
29.8423,828.29,25.435,-872.7367553710938,30,792.6,150000,30
27.7243,782.21,25.9914,-867.9530029296875,31,742.79,155000,31
13.5796,847.29,25.0826,-1005.537109375,32,801.36,160000,32
37.2036,784.04,25.282,-965.0751953125,33,767.64,165000,33
23.8364,695.43,26.5944,-1161.685791015625,34,694.73,170000,34
20.8521,719.54,25.3949,-1200.7034912109375,35,704.81,175000,35
25.5881,860.15,24.7782,-1165.18896484375,36,764.12,180000,36
15.0082,915.33,25.2905,-1173.4892578125,37,993.38,185000,37
14.5131,2890.16,24.1597,-1127.5689697265625,38,1100.63,190000,38
18.2532,1395.57,24.7104,-1245.5733642578125,39,1187.14,195000,39
16.3608,2545.57,27.2294,-444.8863830566406,40,2529.58,200000,40
17.9046,1646.24,25.5847,-1230.9205322265625,41,1330.31,205000,41
16.9309,1321.02,25.6408,-1448.621337890625,42,991.3,210000,42
16.1742,788.4,26.1977,-1545.597412109375,43,764.61,215000,43
17.344,861.43,25.856,-1501.3250732421875,44,819.99,220000,44
13.5567,1058.94,24.987,-1118.8433837890625,45,1014.65,225000,45
14.8868,947.04,26.4167,-1428.841552734375,46,916.14,230000,46
13.2654,2915.33,23.7926,-565.1373291015625,47,2344.9,235000,47
14.754,3022.63,24.3537,-641.91162109375,48,2902.89,240000,48
16.0888,944.81,25.5705,-1696.3258056640625,49,874.44,245000,49
14.8659,1173.77,23.3397,-1398.2322998046875,50,1598.62,250000,50
15.8625,3052.9,23.9191,-470.3176574707031,51,2673.01,255000,51
14.443,3061.78,22.671,-462.89862060546875,52,2104.52,260000,52
14.7872,3169.8,23.8678,-946.9918823242188,53,2142.58,265000,53
15.22,3073.95,24.0049,-645.4906616210938,54,3013.21,270000,54
14.6035,2808.47,23.1933,-964.1846923828125,55,1867.69,275000,55
13.2569,2786.52,24.0895,-948.90625,56,2582.1,280000,56
15.9242,3110.7,23.8242,-1003.4723510742188,57,2323.63,285000,57
29.6832,1116.14,25.5943,-1930.1090087890625,58,1000.54,290000,58
15.1143,3049.19,24.2865,-523.1929931640625,59,3015.97,295000,59
15.5121,3020.0,23.9644,-553.8170166015625,60,3117.36,300000,60
13.1577,3165.87,23.4154,-1082.4676513671875,61,2886.47,305000,61
14.7195,2893.14,24.5787,-676.3533325195312,62,2990.8,310000,62
16.5682,3207.76,23.6327,-613.2153930664062,63,3124.79,315000,63
16.5554,3179.91,23.8557,-741.2429809570312,64,3103.42,320000,64
16.8897,3101.97,24.8603,-675.0765991210938,65,2772.76,325000,65
18.1034,3161.13,23.9314,-772.39697265625,66,2555.35,330000,66
15.9517,3170.14,23.8848,-623.8717651367188,67,1825.86,335000,67
16.1969,3124.88,23.4156,-624.0858154296875,68,3125.99,340000,68
34.8569,-2.37,36.0353,-2135.0634765625,69,-2.25,345000,69
44.4941,95.31,38.7423,-2294.4033203125,70,101.31,350000,70
49.8439,208.21,38.3881,-2271.888916015625,71,209.67,355000,71
48.5638,970.22,38.1355,-2307.083740234375,72,969.56,360000,72
32.5419,999.25,38.0596,-2414.256591796875,73,999.97,365000,73
173.971,198.55,34.6673,-2479.23779296875,74,193.67,370000,74
26.3978,1021.28,35.8582,-2410.927001953125,75,1027.61,375000,75
20.9035,1031.68,27.8844,-1888.6290283203125,76,1703.31,380000,76
15.8597,3038.56,23.9424,-815.7591552734375,77,3047.93,385000,77
30.5229,1004.41,38.1407,-2557.982177734375,78,1003.66,390000,78
17.9284,3157.74,24.3379,-717.3271484375,79,3182.2,395000,79
19.0719,3127.6,24.5471,-780.388671875,80,3155.82,400000,80
18.0782,3299.85,23.4721,-559.6556396484375,81,3294.39,405000,81
16.7882,3148.97,23.9983,-686.1093139648438,82,3171.1,410000,82
16.8038,2397.88,23.3701,-1844.9967041015625,83,1637.47,415000,83
