Running Forward KL,Running Reverse KL,Running Update Time,Real Sto Return,Itration,Running Env Steps,Real Det Return,Reward Loss
30.5979,16.8922,0,307.93,0,0,322.69,-137.97970581054688
29.6388,15.0524,1,329.69,1,5000,335.04,-261.8729553222656
28.0163,15.5434,2,391.33,2,10000,410.01,-332.63140869140625
26.0932,15.3532,3,564.95,3,15000,531.64,-493.49725341796875
27.328,15.4991,4,461.03,4,20000,450.67,-343.5536804199219
24.1366,14.0448,5,744.58,5,25000,719.42,-318.3149108886719
27.0347,16.9678,6,592.04,6,30000,594.47,-162.9162139892578
26.4745,17.6611,7,654.12,7,35000,613.47,-259.7832946777344
26.6663,16.9474,8,659.41,8,40000,524.06,-345.65570068359375
24.3448,19.518,9,996.26,9,45000,949.88,-400.1080017089844
25.716,25.1439,10,795.89,10,50000,881.74,-429.408935546875
26.4856,28.0684,11,658.62,11,55000,652.23,-481.5989990234375
22.6595,20.1327,12,1702.57,12,60000,2312.77,-424.7557067871094
20.8954,19.7747,13,1371.28,13,65000,1782.01,-382.1352844238281
22.2084,25.4769,14,1108.15,14,70000,937.78,-522.7899169921875
22.0641,26.2877,15,919.65,15,75000,992.57,-545.4801025390625
20.9564,22.1523,16,1220.69,16,80000,1143.9,-534.8974609375
20.9966,12.8396,17,2439.48,17,85000,2827.27,-356.96600341796875
21.4712,12.6943,18,2748.75,18,90000,2804.32,-314.5992736816406
20.7111,12.6196,19,2622.07,19,95000,2833.3,-436.3065185546875
20.1419,18.8479,20,1492.88,20,100000,1330.66,-521.6514892578125
19.7309,14.9936,21,2175.09,21,105000,3011.08,-497.91656494140625
21.0944,23.6527,22,1274.99,22,110000,1221.16,-680.6611328125
21.079,24.0134,23,1258.83,23,115000,1037.92,-752.4922485351562
19.3851,19.9318,24,2127.88,24,120000,3239.16,-610.5431518554688
20.5841,23.2981,25,1205.77,25,125000,2378.42,-751.6141967773438
20.9296,22.8197,26,2231.64,26,130000,3252.28,-777.3760375976562
19.5855,18.5596,27,1907.06,27,135000,2927.24,-684.42138671875
18.9844,15.5753,28,1950.99,28,140000,3232.68,-575.9519653320312
21.0445,21.348,29,1170.02,29,145000,981.63,-939.113525390625
17.991,12.695,30,2204.32,30,150000,3179.34,-413.52716064453125
19.9935,17.5991,31,1829.32,31,155000,2854.96,-799.2049560546875
20.5186,20.3262,32,1473.07,32,160000,1343.1,-976.4595336914062
19.4495,15.6402,33,2056.93,33,165000,3204.92,-740.9827880859375
18.8481,13.8116,34,2600.9,34,170000,2773.94,-538.152587890625
21.2261,20.4272,35,1101.26,35,175000,1184.43,-1158.3634033203125
18.3637,14.2146,36,1884.27,36,180000,3120.71,-640.509033203125
18.7259,14.4627,37,2333.54,37,185000,2840.45,-675.6751708984375
20.9923,19.9518,38,1055.81,38,190000,1189.06,-1184.225830078125
19.3621,18.4731,39,1564.09,39,195000,1852.42,-910.437255859375
19.4781,19.8803,40,1503.31,40,200000,1964.62,-1072.869384765625
20.9166,22.5676,41,1142.4,41,205000,1491.09,-1334.1231689453125
21.8666,23.3469,42,1137.27,42,210000,1257.26,-1434.791748046875
19.2512,20.2248,43,1346.9,43,215000,1335.0,-1276.7314453125
18.669,16.8101,44,1601.81,44,220000,2483.68,-1044.915771484375
20.0749,17.9993,45,1295.45,45,225000,1791.74,-1286.3070068359375
19.5094,18.2311,46,1452.61,46,230000,1891.74,-1306.446044921875
20.5004,19.872,47,1137.4,47,235000,1376.35,-1469.136474609375
21.0275,19.831,48,1288.7,48,240000,1914.23,-1494.5511474609375
19.65,15.5417,49,1448.28,49,245000,3317.85,-1219.5404052734375
20.3071,17.3253,50,1198.08,50,250000,1372.68,-1517.1300048828125
19.3098,17.1444,51,1517.67,51,255000,2745.49,-1285.131591796875
20.3643,22.1132,52,1074.06,52,260000,1182.02,-1748.35205078125
19.6939,17.5886,53,1834.17,53,265000,3150.81,-1307.893310546875
19.7531,19.317,54,1562.59,54,270000,1224.35,-1472.3267822265625
18.2433,14.1614,55,2042.47,55,275000,3316.13,-956.10205078125
17.8606,11.1329,56,3001.1,56,280000,3304.32,-532.1063842773438
19.6454,18.434,57,1240.44,57,285000,1664.27,-1638.6092529296875
18.7154,15.541,58,1377.45,58,290000,3107.09,-1266.2623291015625
18.9691,16.7309,59,1767.27,59,295000,3265.3,-1492.02001953125
19.9953,18.8224,60,1076.63,60,300000,1285.08,-1936.2781982421875
18.2101,13.2938,61,2287.76,61,305000,3326.91,-1055.8170166015625
16.9963,10.2527,62,2658.18,62,310000,3357.47,-639.9913940429688
18.0338,15.2969,63,1700.33,63,315000,3365.03,-1462.5218505859375
18.7269,17.3377,64,1958.64,64,320000,3207.11,-1646.404052734375
18.2603,16.6784,65,1823.56,65,325000,3363.42,-1340.609130859375
17.8168,16.0791,66,2256.0,66,330000,3378.71,-1366.304443359375
17.8298,23.5215,67,1926.54,67,335000,3348.49,-1188.6134033203125
18.2291,16.2503,68,2139.59,68,340000,3367.34,-1428.57373046875
16.9895,12.0735,69,2866.46,69,345000,3382.8,-699.0350952148438
19.9647,26.5102,70,1255.47,70,350000,1834.46,-1949.7440185546875
17.9826,20.6058,71,1665.23,71,355000,3284.45,-1521.0794677734375
16.607,13.3404,72,3129.87,72,360000,3379.07,-741.1400146484375
17.0368,11.7506,73,3092.54,73,365000,3376.46,-920.6728515625
17.4716,13.2774,74,2462.37,74,370000,3398.43,-1002.6175537109375
17.075,13.3362,75,1979.13,75,375000,3412.03,-1045.719970703125
16.8814,14.3493,76,2887.04,76,380000,3430.04,-847.0951538085938
17.1268,13.5092,77,3058.21,77,385000,3396.11,-1016.0337524414062
16.9733,11.4433,78,2274.71,78,390000,3435.44,-1075.406494140625
16.5875,16.0055,79,2009.66,79,395000,3426.35,-1253.3760986328125
16.4869,12.3726,80,3255.55,80,400000,3438.02,-485.1390686035156
16.2515,9.6035,81,3390.74,81,405000,3407.66,-448.440185546875
16.3487,10.3272,82,3377.88,82,410000,3373.19,-358.4140625
16.3926,10.1327,83,3410.96,83,415000,3417.1,-513.7246704101562
16.2138,9.6816,84,3232.52,84,420000,3445.06,-650.3715209960938
16.2485,9.777,85,3443.55,85,425000,3466.96,-370.3814697265625
16.229,9.2804,86,3116.78,86,430000,3427.62,-532.848388671875
16.2472,10.587,87,3424.96,87,435000,3438.25,-413.7955322265625
16.5312,9.6548,88,3149.56,88,440000,3447.83,-628.8665161132812
16.4021,10.6646,89,3419.86,89,445000,3434.32,-359.0992431640625
16.8388,9.8185,90,3036.14,90,450000,3477.02,-545.6757202148438
16.1374,9.7524,91,3319.08,91,455000,3479.02,-360.14630126953125
17.24,8.9534,92,2478.06,92,460000,3470.2,-988.2897338867188
16.1727,10.3589,93,3413.46,93,465000,3433.13,-525.2615356445312
16.3706,9.4886,94,3281.96,94,470000,3473.61,-525.188232421875
16.5579,9.4548,95,3236.12,95,475000,3475.62,-631.6439819335938
16.3977,9.7366,96,3058.28,96,480000,3484.69,-468.7470703125
15.9841,9.8652,97,3138.98,97,485000,3474.39,-362.0545959472656
16.113,9.9734,98,3325.79,98,490000,3451.16,-398.6048583984375
16.6432,10.3682,99,2642.0,99,495000,3432.25,-407.6994323730469
16.2767,10.1307,100,3332.59,100,500000,3469.93,-407.1479797363281
16.1425,9.9795,101,3209.02,101,505000,3479.89,-518.4094848632812
