Real Sto Return,Running Update Time,Running Env Steps,Running Forward KL,Reward Loss,Itration,Real Det Return,Running Reverse KL
-215.23,0,0,158.5194,2232.56884765625,0,-18.47,11.5712
-87.57,1,5000,158.3558,1898.598876953125,1,21.92,11.866
82.9,2,10000,158.4187,1744.7183837890625,2,585.74,12.3389
316.51,3,15000,158.3156,1730.8985595703125,3,794.36,13.4704
553.78,4,20000,158.2337,1647.892578125,4,869.34,14.8261
613.32,5,25000,158.1406,1629.2291259765625,5,1019.12,14.5109
738.13,6,30000,158.141,1411.8133544921875,6,1049.19,14.6518
816.52,7,35000,157.7363,1280.8798828125,7,966.32,15.0872
877.69,8,40000,157.9311,878.8768310546875,8,1385.71,15.4007
1036.02,9,45000,157.8244,621.259765625,9,1480.83,16.1057
1127.86,10,50000,157.8412,489.23931884765625,10,1615.21,16.6923
1175.44,11,55000,157.6092,164.74569702148438,11,1599.12,16.8623
1234.0,12,60000,157.7254,21.62836265563965,12,1622.44,16.8674
1194.61,13,65000,157.7608,-100.79879760742188,13,1634.75,16.562
1238.43,14,70000,157.892,-403.9332580566406,14,1614.54,16.8594
1271.35,15,75000,157.8459,-526.8460693359375,15,1663.25,16.3984
1274.32,16,80000,157.7442,-795.6105346679688,16,1684.52,16.1188
1341.55,17,85000,157.9591,-953.307373046875,17,1721.01,16.596
1371.9,18,90000,157.785,-1122.9891357421875,18,1758.25,16.1876
1413.58,19,95000,157.5898,-1452.822998046875,19,1828.37,16.3007
1490.41,20,100000,157.7631,-1556.7808837890625,20,1877.08,16.7515
1436.52,21,105000,157.9169,-1762.8634033203125,21,1847.36,16.3246
1514.68,22,110000,157.6361,-1933.503173828125,22,1941.43,16.756
1554.25,23,115000,157.7563,-2173.964599609375,23,1939.56,16.9121
1515.81,24,120000,157.6836,-2405.47509765625,24,1877.12,16.3962
1537.06,25,125000,157.8107,-2649.794921875,25,1821.36,16.3903
1597.04,26,130000,157.506,-2737.3154296875,26,1922.77,16.2938
1546.78,27,135000,157.5073,-3028.818115234375,27,1908.21,16.3409
