Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Running Env Steps,Running Forward KL,Real Det Return
98.8480453491211,32.8508,0,271.74,0,0,32.3092,261.26
97.4153823852539,33.8286,1,294.76,1,5000,31.6514,297.97
88.91543579101562,35.5634,2,292.6,2,10000,31.4747,294.57
50.42572021484375,27.656,3,291.55,3,15000,31.2995,291.63
30.085031509399414,26.3945,4,321.11,4,20000,31.8054,324.53
16.809429168701172,23.2807,5,325.03,5,25000,32.028,323.92
11.032238960266113,27.9275,6,345.73,6,30000,31.5214,369.44
-10.487146377563477,21.174,7,339.85,7,35000,31.3601,348.4
-22.327974319458008,22.366,8,361.08,8,40000,31.5661,360.73
-34.80046463012695,19.669,9,440.82,9,45000,31.284,433.41
-4.516365051269531,19.5728,10,435.52,10,50000,30.2703,450.65
-21.002084732055664,16.8958,11,440.38,11,55000,30.2395,452.23
-6.823563575744629,19.0469,12,457.6,12,60000,29.9805,468.16
-46.74221420288086,23.4698,13,442.33,13,65000,29.9818,458.7
-60.4408073425293,21.8811,14,454.53,14,70000,29.531,480.37
-53.544498443603516,58.7879,15,483.21,15,75000,28.6145,544.45
-53.01403045654297,54.4383,16,587.48,16,80000,26.9526,628.12
-93.49463653564453,28.8089,17,680.81,17,85000,29.1081,663.11
-68.38141632080078,36.1343,18,721.02,18,90000,27.7914,732.84
-87.59415435791016,30.6771,19,780.73,19,95000,28.3979,796.35
-41.09944152832031,83.5211,20,1064.98,20,100000,28.1752,1128.81
-81.5677719116211,18.6503,21,960.82,21,105000,26.684,1795.22
-137.3233642578125,21.3238,22,863.52,22,110000,27.1852,881.76
-118.69206237792969,50.5205,23,829.08,23,115000,27.9468,896.76
-133.53807067871094,30.4548,24,938.67,24,120000,27.9464,982.68
-162.379638671875,37.4704,25,865.36,25,125000,27.5769,898.31
-171.68634033203125,28.5581,26,886.74,26,130000,28.1254,925.26
-174.19204711914062,38.7683,27,901.63,27,135000,28.029,928.48
-170.7611083984375,26.9283,28,1209.26,28,140000,26.5215,1685.6
-187.27818298339844,27.5318,29,1251.61,29,145000,27.2846,1349.42
-192.86497497558594,35.609,30,1013.98,30,150000,27.4067,1032.3
-199.80311584472656,33.152,31,1131.36,31,155000,26.9257,1095.01
-189.9417266845703,33.352,32,1143.77,32,160000,26.8862,1080.47
-218.43792724609375,19.2274,33,1053.22,33,165000,26.7708,1046.82
-226.67620849609375,20.9654,34,1058.41,34,170000,27.0916,1087.24
-217.5200958251953,20.3161,35,990.36,35,175000,26.6576,1003.58
-239.74945068359375,22.641,36,1034.28,36,180000,27.3687,1013.82
-254.9315948486328,21.7256,37,1077.57,37,185000,27.3261,1062.97
-248.630615234375,18.5575,38,1237.35,38,190000,26.2797,1135.23
-274.6186218261719,42.3349,39,980.11,39,195000,26.9168,921.11
-264.7622375488281,21.0296,40,1208.4,40,200000,27.0025,1150.03
-273.8320617675781,19.3032,41,1059.4,41,205000,27.3474,1098.9
-296.8722839355469,32.8058,42,1059.81,42,210000,26.8589,1051.21
-294.6388244628906,19.6217,43,1094.3,43,215000,26.3466,1103.06
-258.5044860839844,19.9636,44,1405.55,44,220000,27.0875,1435.97
-285.68231201171875,25.8977,45,1250.2,45,225000,27.3519,1332.6
-300.4122314453125,20.2139,46,1245.25,46,230000,26.7904,1044.67
-306.2154541015625,23.4096,47,1324.02,47,235000,26.7841,1163.22
-310.25048828125,21.3057,48,1322.32,48,240000,26.8493,1344.7
-339.9675598144531,29.8115,49,1129.66,49,245000,26.3633,1203.89
-331.7886962890625,23.2173,50,1215.91,50,250000,27.0505,1172.65
-291.501953125,19.9009,51,1308.57,51,255000,27.6851,1856.11
-334.255859375,32.0712,52,1288.3,52,260000,27.3288,1455.05
-353.5421142578125,50.8353,53,1229.8,53,265000,27.4825,1256.19
-382.78631591796875,57.5167,54,1053.62,54,270000,27.5432,944.18
-398.7978515625,47.7312,55,1071.26,55,275000,26.8884,941.29
-333.19232177734375,19.2246,56,1335.98,56,280000,26.9636,1177.26
-275.9908447265625,19.4649,57,2115.87,57,285000,26.9772,3129.56
-216.81031799316406,20.7598,58,2242.97,58,290000,26.5912,3102.1
-383.4295959472656,34.6957,59,1188.97,59,295000,27.4566,1060.39
-363.6436462402344,21.9458,60,1319.97,60,300000,26.7585,1216.24
-407.13232421875,22.4722,61,1164.9,61,305000,27.5054,1262.15
-148.56192016601562,17.2311,62,2603.39,62,310000,25.9814,2547.53
-403.4696960449219,20.7719,63,1340.58,63,315000,27.3147,1158.1
-329.71185302734375,15.7588,64,1579.32,64,320000,26.8733,2094.33
-410.95184326171875,18.2882,65,963.3,65,325000,27.8525,975.21
-405.802001953125,19.1279,66,1150.81,66,330000,27.549,1259.19
-261.5567932128906,18.1316,67,1737.69,67,335000,27.1269,2649.25
-403.48040771484375,17.7227,68,1237.64,68,340000,26.7867,1518.17
-353.43212890625,14.6156,69,1760.1,69,345000,27.0265,2235.21
-414.1247253417969,24.9019,70,1167.59,70,350000,27.3323,1242.45
-407.3245544433594,16.1562,71,1126.11,71,355000,27.9438,1157.83
-177.11126708984375,15.9201,72,2934.42,72,360000,26.6786,3121.95
-419.5525207519531,19.5776,73,1615.46,73,365000,27.3583,3083.67
-433.2652587890625,20.2956,74,1653.38,74,370000,27.0951,2836.3
-225.93870544433594,16.6259,75,2627.21,75,375000,26.3596,3075.98
-428.125732421875,15.7766,76,1398.18,76,380000,27.4655,1530.11
-399.2549743652344,21.8666,77,2163.61,77,385000,26.5495,3081.93
-307.91455078125,18.3789,78,2578.8,78,390000,26.4654,3112.22
