Real Sto Return,Itration,Running Update Time,Real Det Return,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL
316.34,0,0,488.36,0,-43.81428527832031,49.1485,13.7657
377.95,1,1,465.84,5000,-14.037713050842285,49.7765,22.6432
366.39,2,2,366.16,10000,-50.2796630859375,49.2122,19.8074
708.58,3,3,987.6,15000,-26.176660537719727,49.3483,23.5995
414.14,4,4,446.34,20000,-88.54032897949219,49.0535,14.1517
526.17,5,5,622.97,25000,-164.40391540527344,48.6934,13.1627
515.68,6,6,529.78,30000,-102.8848876953125,48.9403,13.8108
504.09,7,7,529.01,35000,-196.78521728515625,48.5705,17.9391
1291.56,8,8,1918.13,40000,-179.07789611816406,48.3421,13.0915
1178.89,9,9,2024.04,45000,-150.72653198242188,48.5576,14.9603
1278.18,10,10,589.05,50000,-184.9764862060547,48.7849,15.7937
1741.35,11,11,2099.9,55000,-158.158935546875,46.682,16.0846
2120.39,12,12,1915.11,60000,-128.50927734375,46.6274,15.7285
2166.96,13,13,2034.54,65000,-103.22684478759766,46.0476,18.189
961.58,14,14,1434.48,70000,-136.5557861328125,47.0841,37.0094
1267.95,15,15,363.31,75000,-183.9044189453125,47.3284,18.0598
991.91,16,16,1592.23,80000,-183.48915100097656,47.1569,26.8605
1395.02,17,17,1952.27,85000,-266.0936279296875,46.7459,18.8408
1213.57,18,18,1386.61,90000,-313.91558837890625,47.1124,24.5005
1147.81,19,19,1229.76,95000,-363.96575927734375,47.3761,32.2342
1347.82,20,20,1914.51,100000,-247.2930908203125,47.1859,21.2345
1610.65,21,21,2203.97,105000,-305.76898193359375,46.8522,27.2958
1563.07,22,22,2065.34,110000,-347.6595458984375,47.1067,20.5303
2114.34,23,23,2567.73,115000,-189.53317260742188,45.8688,15.29
1245.33,24,24,992.92,120000,-388.6036071777344,47.2253,17.843
1335.69,25,25,1754.02,125000,-310.289794921875,46.1071,17.7587
2648.34,26,26,2536.5,130000,-245.65565490722656,45.6828,16.3231
2667.57,27,27,2968.28,135000,-286.6518249511719,45.4582,21.8738
2551.5,28,28,3206.6,140000,-232.44967651367188,45.195,16.3988
1778.2,29,29,2437.17,145000,-371.7099304199219,46.2251,17.0554
2458.86,30,30,2125.52,150000,-217.3140411376953,45.0968,16.7007
2288.76,31,31,3046.56,155000,-294.6537170410156,45.6563,15.1079
2535.22,32,32,3423.03,160000,-317.964599609375,45.2188,19.7382
2581.74,33,33,3009.61,165000,-223.6094207763672,44.4385,16.5781
2523.37,34,34,3383.34,170000,-361.46356201171875,45.2022,17.003
2873.5,35,35,2273.78,175000,-220.64578247070312,44.6906,17.4836
3127.26,36,36,3155.11,180000,-242.05726623535156,44.9516,17.674
3014.34,37,37,2941.76,185000,-327.339111328125,45.0273,15.7872
3191.03,38,38,3314.75,190000,-322.15106201171875,45.1128,16.6278
3199.76,39,39,3288.31,195000,-289.4632873535156,44.7815,16.2815
3217.72,40,40,3357.13,200000,-262.2218017578125,44.5923,17.574
2860.74,41,41,2391.83,205000,-315.89764404296875,43.7861,15.8129
2980.99,42,42,3045.28,210000,-310.2403564453125,45.1061,16.6245
3213.49,43,43,3486.01,215000,-287.3917236328125,45.0981,17.8467
3449.13,44,44,3554.61,220000,-321.6920166015625,45.278,16.3243
3173.52,45,45,3702.32,225000,-339.63409423828125,45.0551,15.9441
3419.3,46,46,3582.34,230000,-333.20611572265625,44.7805,17.2275
3532.07,47,47,3552.93,235000,-279.7126159667969,44.3728,16.9161
3414.64,48,48,3578.88,240000,-300.5365295410156,43.9375,17.3044
3378.03,49,49,3539.2,245000,-324.71868896484375,44.5398,17.3157
3356.06,50,50,3594.63,250000,-323.4049377441406,44.1296,18.0271
3146.33,51,51,3618.87,255000,-385.1071472167969,45.3308,19.3157
3250.34,52,52,3490.01,260000,-304.19317626953125,44.1645,18.0082
3445.81,53,53,3552.68,265000,-341.7596740722656,43.7795,17.0559
3121.16,54,54,3608.26,270000,-383.059814453125,43.8949,17.9679
3459.87,55,55,3584.53,275000,-382.7455139160156,43.6721,16.0036
3522.3,56,56,3715.83,280000,-380.26580810546875,44.0663,16.7517
