Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Running Reverse KL,Itration,Real Sto Return,Running Env Steps
33.1776,1048.78,-4025.166259765625,80,39.7527,80,1049.3,400000
39.6994,973.25,-4125.60205078125,81,46.2273,81,972.99,405000
32.0355,653.44,-3212.4658203125,82,25.063,82,678.03,410000
33.8298,1057.12,-4188.76904296875,83,44.099,83,983.98,415000
36.0186,1053.47,-4405.5390625,84,28.6167,84,1055.33,420000
33.7588,1052.29,-3808.086181640625,85,72.9586,85,388.82,425000
32.0686,725.59,-4316.8837890625,86,63.1603,86,909.52,430000
36.7349,1045.5,-4341.609375,87,36.2523,87,1045.52,435000
32.4145,478.56,-3302.139892578125,88,30.227,88,444.99,440000
34.5283,1044.17,-4446.65234375,89,33.6073,89,1043.73,445000
32.8023,87.24,-4094.98193359375,90,27.7448,90,88.51,450000
35.708,88.43,-4774.40771484375,91,42.3672,91,90.89,455000
34.5996,1028.08,-4856.28564453125,92,30.1544,92,1028.72,460000
38.9654,1013.21,-4827.205078125,93,25.007,93,1016.42,465000
34.8543,1052.92,-4886.46728515625,94,36.0718,94,1053.24,470000
37.7136,998.3,-4967.8857421875,95,38.4423,95,996.57,475000
34.7804,1042.53,-5057.46923828125,96,35.8341,96,1041.96,480000
39.8599,1051.75,-5070.3896484375,97,31.1861,97,1050.59,485000
35.3341,1055.08,-5192.0205078125,98,34.5537,98,1055.18,490000
34.2343,1044.91,-5251.84765625,99,40.3203,99,1044.96,495000
37.4243,1045.8,-5335.49609375,100,43.9673,100,1045.47,500000
34.5368,155.88,-5225.99267578125,101,41.7709,101,157.96,505000
35.4752,1044.93,-5441.75,102,50.1727,102,1044.89,510000
35.8719,1051.18,-5519.97509765625,103,50.5711,103,1050.49,515000
35.1917,1042.74,-5425.2734375,104,24.5864,104,1043.8,520000
40.4509,986.77,-5523.931640625,105,47.5718,105,986.32,525000
37.1633,202.47,-5288.9755859375,106,42.8241,106,200.31,530000
31.3703,229.72,-4116.26904296875,107,17.8184,107,230.2,535000
