Itration,Real Sto Return,Running Reverse KL,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps
0,-107.5,11.8702,158.4001,2167.360595703125,-42.72,0,0
1,154.92,12.8452,158.4308,1696.589111328125,285.82,1,5000
2,357.92,11.8165,157.6443,1696.50830078125,1166.65,2,10000
3,1238.2,12.0873,157.1789,1852.2567138671875,1754.97,3,15000
4,1973.58,14.1012,156.9709,1662.7462158203125,2854.06,4,20000
5,2603.0,15.804,157.2059,1544.2445068359375,2820.77,5,25000
6,3060.85,17.4887,156.9034,1279.849365234375,3795.83,6,30000
7,3356.66,18.5137,157.0485,995.0867309570312,3855.35,7,35000
8,3584.97,19.1584,156.9812,756.35888671875,4264.12,8,40000
9,3981.41,20.2769,156.9822,641.279541015625,4498.79,9,45000
10,4047.34,20.0394,156.9504,299.4791259765625,4508.39,10,50000
11,4261.77,19.2828,156.6787,53.71747589111328,4938.86,11,55000
12,4504.55,19.5461,156.6533,-156.78233337402344,5106.67,12,60000
13,4645.74,19.3168,156.4455,-302.1239318847656,5301.79,13,65000
14,4869.58,19.8189,156.468,-538.3178100585938,5307.42,14,70000
15,5103.9,19.6372,156.0602,-522.5591430664062,5338.45,15,75000
16,5263.79,19.4068,155.7294,-722.7456665039062,5484.32,16,80000
17,5413.2,18.3215,155.2034,-821.495849609375,5777.61,17,85000
18,5531.67,18.6533,155.2453,-890.2310180664062,5919.08,18,90000
19,5713.95,18.9901,155.1775,-1102.64697265625,6125.14,19,95000
20,5811.13,18.1129,154.3795,-1138.7576904296875,6177.5,20,100000
21,5999.05,17.6293,154.2846,-1200.8031005859375,6563.12,21,105000
22,6141.78,17.5455,154.227,-1293.625244140625,6575.36,22,110000
23,6226.98,17.0964,153.5318,-1582.50146484375,6562.07,23,115000
24,6293.35,16.8519,153.6471,-1618.8310546875,6758.6,24,120000
25,6538.49,17.4816,153.1584,-1735.1429443359375,6699.95,25,125000
26,6276.88,17.4547,152.8147,-1848.9080810546875,6247.85,26,130000
27,6288.5,16.5287,153.2538,-2067.978271484375,6288.79,27,135000
28,6757.93,16.4153,153.0909,-2114.06689453125,7193.78,28,140000
29,6816.63,16.7336,152.8078,-2244.777099609375,7012.59,29,145000
30,7034.69,16.7109,152.3644,-2405.350341796875,7404.92,30,150000
31,7021.19,17.0777,152.5654,-2619.039306640625,7525.42,31,155000
32,7187.89,17.0498,152.8334,-2760.21240234375,7610.3,32,160000
33,7416.56,17.1455,152.6543,-2762.07666015625,7838.24,33,165000
34,7493.16,16.9207,152.4654,-2795.246826171875,7814.28,34,170000
35,7562.88,16.9396,151.8068,-2858.342041015625,8002.65,35,175000
