Itration,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Running Reverse KL,Reward Loss
0,318.9,0,0,305.7,49.6998,12.7731,117.08686828613281
1,405.77,1,5000,372.99,48.4311,13.968,132.25015258789062
2,301.55,2,10000,290.63,49.1891,13.3309,51.01958084106445
3,366.48,3,15000,324.9,49.219,14.9081,103.48652648925781
4,410.23,4,20000,356.55,48.7839,13.7249,63.37931823730469
5,393.25,5,25000,348.27,48.7413,12.7449,49.39717102050781
6,378.07,6,30000,360.68,48.8195,15.4165,-25.905385971069336
7,393.56,7,35000,382.88,47.5997,15.3415,-15.783071517944336
8,444.76,8,40000,461.27,47.4752,16.3601,-17.279640197753906
9,474.72,9,45000,489.09,47.9834,13.1097,-4.033759117126465
10,617.19,10,50000,549.62,47.8595,12.8216,-25.733322143554688
11,718.89,11,55000,651.59,46.1955,13.1565,-26.536449432373047
12,736.87,12,60000,653.31,46.8351,15.8324,-71.26875305175781
13,1032.03,13,65000,830.47,46.2603,18.9697,-113.31450653076172
14,1160.56,14,70000,868.41,47.0626,24.0815,-158.89556884765625
15,1691.28,15,75000,1318.11,46.6229,24.7193,-149.782958984375
16,1295.11,16,80000,1140.69,45.9256,15.5252,-113.352294921875
17,1240.13,17,85000,954.04,46.5786,21.97,-155.4462890625
18,903.33,18,90000,829.68,46.4232,17.4607,-104.78234100341797
19,944.19,19,95000,1046.37,46.753,14.8426,-117.95006561279297
20,1410.07,20,100000,1187.96,46.4033,18.2464,-175.98048400878906
21,1312.74,21,105000,961.62,46.4345,14.0683,-133.01995849609375
22,819.34,22,110000,806.24,46.1747,14.6021,-134.9912109375
23,849.85,23,115000,825.13,46.6656,14.8356,-151.17105102539062
24,2779.29,24,120000,1939.68,45.9166,15.3773,-166.3009796142578
25,2555.45,25,125000,1830.09,46.7596,15.6647,-167.14051818847656
26,2468.55,26,130000,1510.84,46.0698,15.5738,-154.11575317382812
27,1589.47,27,135000,1250.64,45.5856,13.5808,-154.44529724121094
28,1800.01,28,140000,1675.66,46.685,15.1407,-177.65493774414062
29,1896.78,29,145000,1286.11,46.2537,14.4843,-188.72752380371094
30,1578.41,30,150000,1421.21,45.9799,14.6813,-198.82383728027344
31,2903.53,31,155000,2003.52,46.0282,15.5192,-210.6576690673828
32,2778.0,32,160000,2101.57,45.7402,16.1622,-205.34059143066406
33,688.18,33,165000,1534.94,46.8464,15.3909,-262.6429138183594
34,2229.17,34,170000,1395.56,45.5053,19.6606,-297.1336669921875
35,2633.28,35,175000,2732.54,46.3486,14.9115,-239.29013061523438
36,2503.59,36,180000,2734.64,46.2817,16.1008,-250.24441528320312
37,1114.75,37,185000,1132.29,46.6563,36.5135,-395.7904052734375
38,2834.48,38,190000,1434.92,46.2327,21.1731,-318.719482421875
39,2000.72,39,195000,1507.04,46.6114,35.7675,-416.8458557128906
40,3070.55,40,200000,1981.06,45.9042,17.349,-286.8565368652344
41,1719.03,41,205000,1510.71,46.4053,22.1484,-359.83099365234375
42,1967.31,42,210000,1561.38,45.6893,23.3816,-363.595458984375
43,3100.44,43,215000,1732.45,45.9905,16.3848,-296.5840148925781
44,1268.77,44,220000,1469.65,47.2276,14.4115,-369.8843688964844
45,1705.35,45,225000,1416.42,45.8079,15.6927,-372.74774169921875
46,3201.35,46,230000,2489.28,45.7067,18.9078,-301.4610290527344
47,3020.4,47,235000,1517.02,46.2851,13.8711,-324.0135192871094
48,1425.89,48,240000,1138.3,46.2178,13.4151,-339.6709899902344
49,1837.12,49,245000,1400.71,47.2273,17.0601,-413.0452575683594
50,1742.63,50,250000,1284.45,46.6287,13.9689,-387.94488525390625
51,2114.08,51,255000,1262.16,46.7911,17.0244,-467.89996337890625
52,1010.72,52,260000,1159.42,46.1257,14.8913,-390.324951171875
53,2932.21,53,265000,2057.89,45.7613,14.3794,-356.7875061035156
54,2133.7,54,270000,1645.88,45.2109,16.8706,-437.4168395996094
55,2767.29,55,275000,1994.21,45.6261,14.3284,-391.6512756347656
56,2891.72,56,280000,1668.64,46.4487,14.7114,-424.4322814941406
57,3194.37,57,285000,2039.1,45.5088,13.3228,-425.49188232421875
58,2432.7,58,290000,1773.75,45.3574,15.6139,-446.7248840332031
59,2396.53,59,295000,1693.75,45.5724,14.113,-440.7979736328125
60,1812.31,60,300000,1566.62,46.2648,16.0806,-531.7886962890625
61,1914.82,61,305000,1812.65,45.1856,24.7363,-513.4793090820312
62,1831.8,62,310000,1507.29,46.2721,18.0367,-550.18408203125
63,1647.47,63,315000,1413.09,45.6519,15.4404,-538.4566650390625
64,3526.25,64,320000,2323.7,46.3227,14.5152,-537.0885620117188
65,2402.91,65,325000,1963.7,45.8151,18.4595,-497.8778991699219
66,1954.72,66,330000,1635.2,45.9092,15.4575,-523.0131225585938
67,2228.46,67,335000,1708.7,46.1944,21.5627,-571.267333984375
68,1681.31,68,340000,1691.93,45.7814,14.0256,-543.6207275390625
69,1679.03,69,345000,2317.39,45.7962,17.5542,-538.7100219726562
70,2589.71,70,350000,1762.15,45.4662,14.1511,-617.089599609375
71,2043.65,71,355000,1374.21,46.8463,20.3156,-603.6163940429688
72,1967.19,72,360000,1365.6,46.5704,28.1734,-617.0360717773438
73,2820.24,73,365000,1916.45,46.3294,28.6509,-678.59228515625
74,2385.28,74,370000,2129.37,45.1369,26.2248,-608.9991455078125
75,2030.04,75,375000,1869.67,45.6884,20.1535,-636.1895141601562
76,1611.19,76,380000,1679.15,45.4943,18.7181,-615.2786254882812
77,1653.53,77,385000,1903.18,45.1504,17.0748,-644.110107421875
78,1645.13,78,390000,1746.34,46.0845,16.7341,-635.5521850585938
79,2267.57,79,395000,1565.2,45.7297,14.1436,-675.4439697265625
80,2610.45,80,400000,2047.5,45.4265,17.1287,-704.0743408203125
81,2608.96,81,405000,2058.96,45.563,15.6137,-714.5799560546875
82,2386.57,82,410000,2011.12,45.7015,16.9847,-689.5491333007812
83,2471.95,83,415000,1997.7,45.2288,17.6059,-701.1751098632812
84,1771.08,84,420000,1487.64,46.1958,16.6442,-724.5513916015625
85,1647.51,85,425000,1923.52,45.4067,14.373,-711.2538452148438
86,3386.72,86,430000,2527.62,45.5791,16.015,-587.0506591796875
87,1917.9,87,435000,1697.19,46.5878,18.461,-811.967041015625
88,2952.11,88,440000,2314.52,45.8889,14.5218,-690.4573364257812
89,1995.96,89,445000,1966.66,45.7464,19.713,-702.0103149414062
90,3065.14,90,450000,2002.72,45.3148,16.5622,-747.08447265625
91,2604.66,91,455000,2558.86,45.8243,15.4948,-678.6370849609375
92,2618.38,92,460000,2303.12,45.3467,17.8803,-768.4592895507812
93,2732.59,93,465000,2501.97,45.1608,16.4142,-670.5097045898438
94,1769.27,94,470000,1695.72,45.7547,14.2782,-807.0048828125
95,1991.28,95,475000,2008.24,46.0727,19.2578,-857.9555053710938
96,2382.05,96,480000,2105.89,45.9016,15.0272,-808.119140625
97,2320.21,97,485000,1710.94,45.1666,14.2705,-792.716552734375
98,2071.35,98,490000,2008.73,45.4073,14.6616,-865.8234252929688
99,2809.88,99,495000,1785.72,45.811,13.1681,-817.4534912109375
100,1511.08,100,500000,1646.8,45.1906,13.4923,-832.404296875
101,1531.24,101,505000,1903.18,44.6445,13.6325,-770.2925415039062
102,1910.18,102,510000,2211.46,45.2282,13.2078,-854.9552612304688
103,2296.62,103,515000,2132.86,45.711,14.2894,-841.3595581054688
104,2151.84,104,520000,2182.22,45.7759,15.0455,-787.3453979492188
105,2092.6,105,525000,1841.23,45.5908,14.2456,-899.9008178710938
106,2236.21,106,530000,1843.77,45.6868,14.7411,-823.211669921875
107,1935.82,107,535000,1836.12,45.6533,14.8762,-915.607666015625
108,2132.55,108,540000,1739.36,45.9942,14.3943,-851.8721923828125
109,1797.45,109,545000,1730.46,45.7378,13.5715,-936.826904296875
110,1980.25,110,550000,1722.69,44.9356,13.7656,-973.1489868164062
111,3101.24,111,555000,2180.62,46.1734,16.2334,-827.509765625
112,1888.6,112,560000,1806.7,45.5267,14.0476,-904.491455078125
113,1577.71,113,565000,1407.29,45.8523,13.9644,-971.8209228515625
114,2138.66,114,570000,1756.48,45.6364,14.153,-1002.385009765625
115,1771.72,115,575000,1430.81,46.0186,13.9538,-1023.04638671875
116,2793.19,116,580000,1986.51,45.2885,15.0817,-951.0947875976562
117,1809.36,117,585000,1835.92,46.0582,17.7413,-1105.5147705078125
118,2414.39,118,590000,2129.29,46.0531,16.0927,-1084.51318359375
119,2710.24,119,595000,2057.59,45.3173,14.7552,-987.46875
