Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Itration
0,335.74,0,13.7072,64.43354797363281,49.8018,422.37,0
5000,261.13,1,51.597,147.2683868408203,50.7983,301.66,1
10000,442.97,2,36.8557,84.05659484863281,50.282,368.0,2
15000,485.66,3,12.7125,21.40098762512207,49.7744,383.08,3
20000,446.46,4,13.9998,28.567657470703125,49.0612,392.2,4
25000,615.21,5,25.6188,76.43855285644531,48.5227,513.85,5
30000,503.09,6,33.1741,72.4539794921875,50.27,393.69,6
35000,495.06,7,19.6089,29.893856048583984,49.2377,464.64,7
40000,574.67,8,14.5091,-29.478057861328125,49.1369,510.99,8
45000,491.32,9,16.1966,-24.688779830932617,49.0573,474.19,9
50000,513.06,10,13.8496,-20.185909271240234,48.7004,495.67,10
55000,613.1,11,12.8573,-26.101655960083008,47.2914,555.7,11
60000,518.47,12,14.2298,-43.590877532958984,48.2174,530.79,12
65000,618.17,13,15.7324,-42.09185028076172,48.2854,563.94,13
70000,588.78,14,12.8297,-34.12969207763672,47.6493,564.99,14
75000,562.99,15,13.1769,-52.3728141784668,47.8448,551.93,15
80000,591.21,16,22.7989,-74.48308563232422,48.2923,544.71,16
85000,688.29,17,30.3941,-110.0054702758789,47.3204,645.09,17
90000,767.49,18,20.5654,-109.04515075683594,46.8429,607.72,18
95000,820.45,19,14.9136,-129.27569580078125,47.2951,723.64,19
100000,824.1,20,21.3206,-167.85400390625,47.5504,756.47,20
105000,755.62,21,19.6632,-97.01197052001953,47.4321,863.84,21
110000,987.85,22,15.1995,-104.57365417480469,46.7815,812.81,22
115000,665.74,23,17.1064,-141.64915466308594,47.9651,838.19,23
120000,905.37,24,16.0112,-172.7260284423828,47.927,930.95,24
125000,915.46,25,24.2095,-163.12188720703125,47.8337,872.8,25
130000,794.67,26,27.884,-167.55148315429688,47.4747,849.15,26
135000,1364.36,27,29.8168,-167.0805206298828,46.7688,1182.6,27
140000,2141.57,28,25.5531,-171.27459716796875,46.8442,1394.47,28
145000,1073.62,29,21.5401,-240.32351684570312,47.308,1145.51,29
150000,1672.52,30,22.1671,-235.50796508789062,46.8076,1339.0,30
155000,790.68,31,28.9832,-265.560791015625,46.8306,1235.07,31
160000,1021.87,32,31.8641,-279.63494873046875,46.8686,1130.96,32
165000,2280.83,33,19.3087,-230.02549743652344,45.4931,1486.83,33
170000,1456.38,34,21.8017,-270.6082763671875,46.8178,1172.67,34
175000,1384.49,35,23.4279,-245.75408935546875,46.4124,1228.19,35
180000,1439.51,36,24.0997,-301.2194519042969,47.2382,1226.52,36
185000,1351.49,37,20.8339,-281.4986572265625,47.0949,1242.81,37
190000,1350.11,38,29.5467,-287.6055908203125,47.1986,955.11,38
195000,1587.88,39,24.9072,-300.2100830078125,46.9908,1418.08,39
200000,1451.82,40,27.7327,-293.90570068359375,46.8341,1396.34,40
205000,1494.23,41,27.2637,-317.5426330566406,47.2446,1198.29,41
210000,2423.95,42,19.6182,-282.0213928222656,47.0762,1371.49,42
215000,1159.63,43,21.6675,-325.8907775878906,46.7357,1133.19,43
220000,1822.26,44,20.3462,-266.9078063964844,46.5786,1621.22,44
225000,1638.51,45,23.3097,-389.05401611328125,47.0181,1260.41,45
230000,1266.04,46,28.4615,-376.10565185546875,47.1464,1341.62,46
235000,835.5,47,33.3233,-443.728759765625,47.4668,988.86,47
240000,1353.34,48,25.1362,-398.2947998046875,47.2269,1204.8,48
245000,1601.0,49,25.8379,-386.164306640625,47.1522,1418.42,49
250000,1574.36,50,26.3138,-396.319580078125,47.1951,1339.56,50
255000,2329.09,51,22.8088,-375.397216796875,46.7885,1496.26,51
260000,1480.91,52,23.6008,-429.0371398925781,46.637,1310.31,52
265000,1426.1,53,21.5952,-430.9769592285156,46.9599,1258.11,53
270000,1591.32,54,17.496,-435.74029541015625,47.2112,1345.45,54
275000,1684.9,55,18.2869,-430.4925231933594,47.0579,1461.0,55
280000,1752.22,56,18.4496,-412.14373779296875,46.3131,1639.18,56
285000,1468.34,57,18.2685,-458.0776672363281,46.0714,1394.32,57
290000,1588.84,58,25.8438,-472.4941101074219,45.9441,1286.29,58
295000,2033.27,59,25.0362,-449.25848388671875,46.2042,1686.58,59
300000,1910.68,60,23.6095,-479.00152587890625,45.8306,1785.48,60
305000,2146.75,61,18.5067,-414.68414306640625,46.4324,2027.51,61
310000,1625.29,62,19.5141,-510.5185546875,46.4035,1484.48,62
315000,2219.6,63,26.6478,-507.9541320800781,45.6502,2120.36,63
320000,2488.78,64,41.4473,-536.1867065429688,46.2306,1799.2,64
325000,1608.67,65,40.3284,-576.7081298828125,46.11,1381.39,65
330000,1662.36,66,26.384,-567.0101928710938,47.1546,1396.55,66
335000,2508.88,67,28.8157,-443.2015075683594,45.8987,2255.77,67
340000,2895.89,68,20.6459,-425.08935546875,45.4392,2569.26,68
345000,2774.56,69,20.1113,-440.9318542480469,46.1157,2532.09,69
350000,3137.29,70,19.7538,-379.2649230957031,45.998,2945.37,70
355000,2445.91,71,22.7191,-572.4463500976562,45.9402,1554.11,71
360000,2038.17,72,22.9659,-589.7156372070312,45.8296,1529.8,72
365000,2267.08,73,25.3196,-503.7457275390625,46.1939,1990.35,73
370000,2022.94,74,17.9389,-503.33709716796875,45.5725,2285.86,74
375000,2804.61,75,19.8514,-495.21820068359375,45.5625,2407.83,75
380000,2038.55,76,22.2731,-514.4005126953125,45.0025,2120.41,76
385000,2312.17,77,18.7649,-485.5420837402344,45.4966,2800.13,77
390000,2852.7,78,18.2735,-520.8787841796875,45.3965,2002.12,78
395000,1706.33,79,19.6799,-544.5776977539062,45.6952,2035.72,79
400000,1766.75,80,26.4152,-650.2708129882812,45.8285,1906.71,80
405000,3361.5,81,20.2607,-513.4035034179688,45.6946,2943.34,81
410000,3050.84,82,23.8246,-557.3842163085938,45.9292,2171.26,82
415000,1998.18,83,26.7952,-621.5675659179688,45.9808,2310.61,83
420000,2766.02,84,20.4639,-573.8858032226562,44.95,2142.7,84
425000,3313.74,85,18.5235,-586.8245239257812,45.1506,2287.47,85
430000,3569.48,86,17.0426,-490.9717102050781,45.083,2316.17,86
435000,2417.95,87,19.1471,-554.4276123046875,45.229,2551.65,87
440000,3629.2,88,19.8305,-552.1875,44.9103,2760.71,88
445000,3139.15,89,23.1511,-524.1334838867188,44.2416,3129.4,89
450000,3426.22,90,20.8803,-512.6363525390625,44.6424,3016.74,90
455000,3544.25,91,24.057,-568.30859375,45.0348,3431.27,91
460000,3199.51,92,22.5393,-559.0682983398438,45.1777,2558.38,92
465000,3423.99,93,21.8676,-514.8924560546875,44.9729,3007.64,93
470000,3474.39,94,20.8291,-553.0216674804688,45.4655,3221.37,94
