Running Forward KL,Running Reverse KL,Reward Loss,Running Env Steps,Itration,Real Sto Return,Real Det Return,Running Update Time
75.8143,28.0918,56.351985931396484,0,0,-132.66,421.42,0
74.2652,27.9243,40.224708557128906,5000,1,-54.57,464.01,1
75.0605,28.1496,30.699283599853516,10000,2,-42.78,426.83,2
73.2738,27.1967,13.988113403320312,15000,3,-17.1,495.69,3
73.8752,28.5943,5.218936920166016,20000,4,3.89,611.19,4
73.4371,30.0749,-3.978431224822998,25000,5,34.23,664.07,5
72.3793,29.7706,-14.488127708435059,30000,6,36.71,814.48,6
71.8972,30.9203,-24.8963680267334,35000,7,72.44,726.81,7
72.9246,31.2208,-36.720088958740234,40000,8,113.93,897.4,8
70.9496,30.9093,-47.509891510009766,45000,9,144.33,811.37,9
71.8058,31.104,-58.723697662353516,50000,10,131.31,821.54,10
72.5493,31.6221,-71.02233123779297,55000,11,142.45,868.72,11
71.0553,30.3794,-86.2295150756836,60000,12,102.88,845.73,12
71.1118,31.3813,-99.22250366210938,65000,13,147.72,678.33,13
71.6513,31.1022,-111.95716094970703,70000,14,163.27,937.29,14
68.3745,31.0034,-120.74534606933594,75000,15,188.92,1034.91,15
69.4008,30.2892,-133.22076416015625,80000,16,199.19,852.94,16
70.2548,30.6142,-146.42593383789062,85000,17,209.23,922.58,17
69.3764,30.7925,-158.8658905029297,90000,18,141.93,874.43,18
71.5577,31.5196,-171.0834197998047,95000,19,207.11,819.03,19
71.7274,31.6339,-187.63584899902344,100000,20,181.13,925.93,20
69.4148,31.6981,-202.25648498535156,105000,21,258.82,890.4,21
71.0225,30.7561,-209.76150512695312,110000,22,160.07,786.91,22
70.9992,31.2096,-225.3511199951172,115000,23,200.13,871.23,23
70.1016,30.094,-232.38877868652344,120000,24,203.6,839.14,24
