Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL,Itration
305.1,49.3373,282.99,13.0496,0
319.62,49.5469,356.9,12.8088,1
432.96,49.639,506.66,12.9409,2
390.35,49.2011,380.48,13.7525,3
377.49,49.0695,374.01,13.508,4
450.6,49.2268,390.03,14.346,5
444.11,49.4457,393.75,14.5025,6
441.84,49.086,466.43,14.652,7
517.0,48.984,606.88,14.9277,8
445.88,48.8051,500.41,14.1271,9
509.44,49.0097,628.43,13.6167,10
513.38,48.0779,493.36,13.2923,11
501.99,48.7323,553.41,12.9502,12
511.61,48.341,534.06,12.8725,13
576.02,47.9791,559.06,13.0292,14
850.69,47.8166,992.16,12.0367,15
660.97,47.5844,656.96,12.0491,16
731.75,46.9461,648.48,12.4397,17
725.5,46.4064,744.45,12.2068,18
747.53,47.4322,841.39,12.3287,19
925.84,46.696,861.19,12.3533,20
1171.75,45.1372,1445.77,12.2702,21
1213.41,44.3898,2288.35,11.9413,22
2190.12,43.9961,2365.84,13.6577,23
2213.38,44.003,2406.6,11.9335,24
1439.46,44.0377,2039.9,12.2994,25
1576.98,44.227,1493.68,12.2959,26
1522.6,43.9094,2405.19,12.9171,27
2164.77,43.1803,2352.69,12.5982,28
1731.89,43.4149,2111.43,13.62,29
2101.5,42.9082,2712.44,14.4488,30
2486.46,42.1917,2869.68,16.8487,31
2023.29,41.8719,1723.6,16.5696,32
2372.43,41.3233,2316.44,12.952,33
2093.0,42.6024,2788.93,12.8105,34
3112.85,41.5605,2653.09,14.2501,35
2095.06,41.7155,2292.88,13.0348,36
3095.75,41.6842,3379.92,13.3019,37
2573.18,40.9983,2916.05,13.8214,38
3619.14,41.6531,3750.11,16.3853,39
3798.35,41.3178,3722.13,15.264,40
3878.54,40.4942,4014.2,15.192,41
4137.67,39.6747,4217.19,16.432,42
4025.85,40.2836,4104.21,16.2258,43
4009.49,40.3146,4028.36,15.8586,44
4086.4,40.4059,4130.97,17.1807,45
4252.44,39.2928,4265.2,17.2783,46
4235.99,39.4094,4242.57,18.2658,47
4217.46,40.0829,4228.19,17.8895,48
4243.5,39.4715,4315.7,16.8435,49
4093.74,40.84,4200.5,17.7019,50
4175.88,39.1769,4234.98,15.7211,51
4237.09,39.4648,4391.84,17.1884,52
4354.22,39.4882,4426.2,17.7059,53
4065.39,39.6028,4134.5,15.443,54
4286.88,38.3924,4406.43,15.8086,55
4480.83,37.8303,4563.03,16.6227,56
4265.65,38.4571,4298.1,15.6709,57
4339.2,37.0802,4433.38,15.1158,58
4322.0,37.9772,4278.3,15.1125,59
4456.57,37.9292,4564.04,16.9306,60
4304.65,38.1198,4352.5,14.546,61
4185.28,38.5344,4241.56,14.438,62
4316.23,37.9883,4446.84,15.7244,63
4444.9,37.3908,4462.29,15.5838,64
4432.7,37.5524,4464.49,15.1656,65
4347.95,37.8262,4333.2,14.7355,66
4434.83,36.9409,4420.71,14.7508,67
4427.15,37.7886,4436.06,15.5966,68
4551.25,37.2058,4630.7,16.7374,69
4427.56,37.6265,4474.84,15.7689,70
4574.74,36.8699,4676.38,14.9434,71
4439.08,37.0931,4476.6,14.5173,72
4432.92,37.1352,4419.95,14.4031,73
4496.24,36.3342,4493.12,13.5944,74
4422.96,37.443,4417.44,14.2477,75
4380.01,37.2291,4426.63,14.464,76
4508.65,36.8895,4458.89,13.4432,77
4681.03,35.9269,4764.9,14.6479,78
4627.49,36.1986,4746.13,14.826,79
4501.35,37.2104,4470.97,15.1388,80
4655.56,35.8576,4747.22,15.0094,81
4658.83,36.4411,4718.36,15.1215,82
4537.81,36.8996,4589.26,14.4137,83
4541.93,36.3372,4660.75,13.5818,84
4591.57,35.8228,4627.91,14.327,85
4556.6,35.8332,4559.54,14.2373,86
4553.02,36.0364,4555.2,14.2446,87
4687.71,35.3658,4861.11,14.5452,88
4599.77,35.4087,4608.05,13.7458,89
4679.23,35.8053,4745.06,14.4932,90
4598.63,36.4802,4677.03,14.9548,91
4526.42,35.9287,4597.4,13.2167,92
4698.66,35.3147,4829.12,13.6707,93
4706.87,35.2518,4848.32,15.0352,94
4584.32,35.3995,4795.69,12.8026,95
4607.88,36.6915,4615.7,14.898,96
4824.25,34.2679,4908.91,12.5528,97
4741.93,35.5375,4864.48,13.4043,98
4441.41,34.7843,4866.06,13.6115,99
4671.2,35.9017,4667.5,13.325,100
4744.28,35.1043,4799.03,12.5646,101
4734.6,34.717,4743.64,13.2148,102
4784.02,35.0321,4894.96,13.5547,103
