Running Env Steps,Real Sto Return,Running Forward KL,Running Update Time,Itration,Reward Loss,Real Det Return,Running Reverse KL
0,-181.71,158.4546,0,0,24.798185348510742,-2.52,11.2781
5000,-14.17,158.3281,1,1,-33.666969299316406,280.72,12.0389
10000,311.99,158.0626,2,2,-92.19917297363281,734.61,12.9794
15000,564.0,157.849,3,3,-134.64414978027344,916.13,14.2531
20000,665.69,157.6985,4,4,-192.51290893554688,1060.6,13.969
25000,677.89,157.5115,5,5,-229.28973388671875,849.93,13.7675
30000,800.24,157.9741,6,6,-286.4297180175781,873.61,14.5727
35000,897.48,157.8344,7,7,-341.66656494140625,1077.36,15.0798
40000,1054.78,157.6892,8,8,-378.3679504394531,1436.03,15.5603
45000,1037.03,157.9083,9,9,-428.7515869140625,1477.08,15.5852
50000,1083.03,157.9133,10,10,-452.59844970703125,1497.8,16.0317
55000,1165.35,158.243,11,11,-503.79217529296875,1524.97,16.29
60000,1216.47,157.8474,12,12,-540.0169067382812,1603.73,16.2719
65000,1222.24,157.8103,13,13,-579.1231689453125,1626.06,16.3743
70000,1276.98,157.8645,14,14,-623.4243774414062,1642.65,16.3055
75000,1297.7,157.8206,15,15,-652.3554077148438,1693.82,16.3357
80000,1396.23,157.8014,16,16,-697.9400634765625,1769.8,16.5724
85000,1419.97,157.6379,17,17,-738.5288696289062,1794.92,16.3062
90000,1409.18,157.9463,18,18,-777.2455444335938,1789.45,16.3304
95000,1466.63,157.8562,19,19,-822.6492919921875,1765.12,16.4671
100000,1510.6,157.9646,20,20,-859.4794921875,1873.8,16.7235
105000,1494.12,157.8916,21,21,-885.4765014648438,1853.83,16.6954
110000,1530.85,157.759,22,22,-929.0291137695312,1828.18,16.779
115000,1567.69,157.8735,23,23,-967.8687744140625,1930.71,17.0426
120000,1580.86,157.6447,24,24,-1007.3176879882812,1952.13,16.6548
125000,1610.93,158.0495,25,25,-1043.1348876953125,1939.31,16.8518
130000,1588.57,157.6543,26,26,-1077.7742919921875,1908.16,16.5097
135000,1617.38,157.7436,27,27,-1105.6234130859375,1970.17,17.0072
140000,1644.28,157.624,28,28,-1151.2896728515625,1981.72,16.95
145000,1586.55,157.6206,29,29,-1181.7021484375,1939.77,16.6091
150000,1639.43,157.7497,30,30,-1210.1314697265625,1968.25,16.8773
