Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Real Det Return
72.2801,560000,-2088.60302734375,29.9902,112,241.22,112,1002.4
70.0444,565000,-2086.951171875,29.5326,113,316.1,113,790.74
63.5467,570000,-1980.5772705078125,27.8601,114,396.99,114,867.37
69.7408,575000,-2180.032470703125,30.0696,115,267.99,115,603.24
64.0038,580000,-2061.00048828125,27.4225,116,476.56,116,1100.36
68.6718,585000,-2197.96484375,29.2876,117,317.22,117,660.39
65.8718,590000,-2155.778076171875,28.2085,118,273.49,118,756.26
65.4608,595000,-2153.067138671875,29.2599,119,426.44,119,1158.91
66.3818,600000,-2225.16064453125,28.7334,120,301.05,120,1002.69
66.4245,605000,-2256.1103515625,29.0426,121,368.88,121,1082.27
68.7175,610000,-2381.64208984375,29.5135,122,209.77,122,774.79
66.0846,615000,-2320.4384765625,28.8882,123,375.93,123,1146.4
63.8404,620000,-2279.7255859375,27.1314,124,332.7,124,951.29
67.0214,625000,-2426.185791015625,28.9855,125,246.37,125,1052.18
66.4871,630000,-2445.938720703125,28.7515,126,323.3,126,782.14
64.5124,635000,-2422.888671875,27.7355,127,314.6,127,741.37
67.1535,640000,-2531.552978515625,29.0553,128,333.79,128,596.92
67.7806,645000,-2628.140380859375,29.6469,129,304.89,129,817.75
71.0309,650000,-2708.456787109375,29.8307,130,317.46,130,715.65
66.3449,655000,-2609.1435546875,29.1283,131,392.63,131,901.9
68.3248,660000,-2738.01708984375,29.4333,132,307.44,132,906.81
64.5758,665000,-2637.8916015625,28.631,133,353.01,133,1096.0
68.4748,670000,-2787.937744140625,29.0923,134,323.2,134,920.86
65.2755,675000,-2793.729248046875,27.9728,135,247.45,135,947.05
66.7487,680000,-2845.943603515625,28.0461,136,341.65,136,847.6
70.2271,685000,-3010.373291015625,30.0899,137,351.27,137,953.32
65.1969,690000,-2884.29150390625,28.5219,138,288.44,138,924.86
66.5891,695000,-2953.767822265625,28.5152,139,302.95,139,755.92
67.1691,700000,-3060.2548828125,29.3203,140,351.68,140,799.86
63.2491,705000,-2940.87890625,27.824,141,342.24,141,1169.55
67.9167,710000,-3142.56103515625,29.4714,142,314.61,142,909.6
68.1836,715000,-3177.84228515625,29.1913,143,329.88,143,742.5
67.675,720000,-3236.70751953125,29.405,144,308.3,144,818.06
63.4139,725000,-3091.918212890625,27.7351,145,440.69,145,893.9
63.8166,730000,-3219.410888671875,27.9245,146,389.43,146,660.63
66.4472,735000,-3269.61669921875,27.9668,147,335.02,147,909.02
67.5524,740000,-3432.76220703125,28.5173,148,216.73,148,569.88
68.2402,745000,-3521.129638671875,29.2082,149,297.93,149,972.61
67.6322,750000,-3498.948974609375,29.3261,150,310.84,150,757.34
69.0855,755000,-3577.790283203125,29.1598,151,328.14,151,734.61
68.0449,760000,-3622.541259765625,28.7242,152,188.63,152,532.07
64.5241,765000,-3539.622314453125,27.5442,153,350.45,153,844.31
62.8909,770000,-3479.50732421875,27.21,154,404.39,154,1324.39
68.3185,775000,-3759.697998046875,29.4925,155,346.12,155,995.16
64.3299,780000,-3640.4189453125,28.0994,156,477.34,156,1086.89
69.152,785000,-3861.910888671875,29.5877,157,276.35,157,879.77
69.53,790000,-3956.54833984375,29.8853,158,339.28,158,874.41
65.5344,795000,-3847.54638671875,27.5423,159,297.2,159,702.66
69.3825,800000,-4047.354736328125,29.5362,160,302.75,160,872.14
66.7466,805000,-4036.09619140625,28.9856,161,294.36,161,989.86
68.7947,810000,-4169.16015625,29.0499,162,273.35,162,907.97
62.5865,815000,-3933.621826171875,26.4025,163,406.65,163,1007.83
70.7657,820000,-4336.1748046875,29.6386,164,265.68,164,898.05
66.5297,825000,-4150.32763671875,28.7493,165,385.97,165,1085.06
66.8435,830000,-4359.44970703125,29.0,166,328.04,166,1058.66
67.3915,835000,-4364.14892578125,28.7818,167,246.38,167,1026.14
67.6295,840000,-4441.3125,29.1403,168,395.54,168,1010.03
68.3158,845000,-4487.45458984375,28.6121,169,314.84,169,717.66
68.6521,850000,-4585.06103515625,28.8456,170,270.41,170,861.0
69.5435,855000,-4735.40234375,29.8694,171,244.0,171,958.3
63.2802,860000,-4508.90087890625,27.2821,172,336.94,172,1025.39
70.1398,865000,-4827.65771484375,29.9556,173,349.21,173,977.11
63.3329,870000,-4565.87548828125,27.6246,174,280.31,174,1019.96
67.9034,875000,-4876.40625,29.0147,175,261.55,175,664.69
66.5816,880000,-4855.09326171875,28.7142,176,301.69,176,940.75
68.5278,885000,-5021.9892578125,28.7665,177,331.46,177,808.82
68.1335,890000,-5060.57958984375,28.7467,178,346.66,178,1009.28
64.5567,895000,-4936.55078125,27.5271,179,277.05,179,835.34
67.2992,900000,-5208.8115234375,29.1437,180,291.42,180,971.2
67.7736,905000,-5192.3154296875,28.7393,181,269.98,181,1331.28
68.0802,910000,-5303.904296875,29.047,182,442.46,182,1136.65
64.3717,915000,-5040.095703125,27.8613,183,379.17,183,1250.18
68.7328,920000,-5454.7841796875,28.8978,184,280.28,184,965.18
66.9831,925000,-5366.32275390625,28.2302,185,375.12,185,781.09
66.6957,930000,-5574.90185546875,28.5908,186,333.69,186,950.87
67.9071,935000,-5649.0107421875,29.2631,187,422.77,187,1179.76
65.9689,940000,-5536.08203125,27.6667,188,385.5,188,973.33
63.4915,945000,-5493.97900390625,27.9057,189,442.02,189,1001.11
68.6642,950000,-5773.9150390625,28.7649,190,330.17,190,955.4
64.248,955000,-5681.33544921875,27.9693,191,458.71,191,1210.96
64.9288,960000,-5694.9189453125,28.4256,192,478.67,192,1080.44
70.7209,965000,-6247.482421875,30.2707,193,313.53,193,892.7
64.331,970000,-5871.7900390625,27.3154,194,312.63,194,851.11
65.3952,975000,-5874.9873046875,28.4923,195,470.13,195,1308.97
67.1035,980000,-6070.28271484375,28.8492,196,470.28,196,1295.0
71.6138,985000,-6509.9306640625,30.475,197,400.14,197,987.36
68.0235,990000,-6381.67919921875,29.145,198,351.34,198,1028.36
67.1668,995000,-6421.76318359375,28.9001,199,371.99,199,1294.94
64.2318,1000000,-6144.54150390625,27.443,200,331.48,200,836.74
68.4449,1005000,-6758.8505859375,29.1416,201,272.2,201,660.73
64.7758,1010000,-6407.2119140625,27.7638,202,382.47,202,844.81
66.0735,1015000,-6633.2978515625,27.866,203,279.85,203,804.65
67.3787,1020000,-6755.48095703125,28.7912,204,394.82,204,878.18
64.8798,1025000,-6633.40625,26.8716,205,253.97,205,489.6
65.9174,1030000,-6778.6044921875,27.6126,206,349.84,206,764.25
72.0896,1035000,-7247.46826171875,30.1179,207,259.54,207,760.04
68.756,1040000,-7263.43994140625,29.665,208,347.92,208,955.04
62.561,1045000,-6630.087890625,26.9029,209,380.39,209,995.91
66.6016,1050000,-7095.46923828125,28.3359,210,310.93,210,754.81
68.2193,1055000,-7324.150390625,28.9756,211,221.75,211,759.28
67.2574,1060000,-7498.38720703125,28.7332,212,272.45,212,758.7
69.3637,1065000,-7624.5615234375,29.3372,213,299.76,213,631.84
68.2826,1070000,-7556.734375,28.1965,214,305.01,214,590.7
69.9252,1075000,-7767.41015625,29.0984,215,204.66,215,530.97
68.5117,1080000,-7876.19970703125,28.9545,216,349.91,216,816.9
67.8863,1085000,-7746.6982421875,28.3833,217,281.82,217,691.82
69.2435,1090000,-8034.47607421875,28.7785,218,304.8,218,672.42
66.1629,1095000,-7852.873046875,28.5966,219,304.02,219,766.44
68.8555,1100000,-8137.04296875,29.1862,220,242.82,220,831.23
69.3608,1105000,-8205.4208984375,29.2318,221,256.16,221,578.91
67.6073,1110000,-8310.896484375,28.7581,222,271.03,222,846.39
68.7987,1115000,-8489.189453125,29.3102,223,339.37,223,851.26
72.296,1120000,-8707.814453125,30.0935,224,303.96,224,731.39
68.4432,1125000,-8582.6298828125,28.7337,225,250.87,225,624.94
68.8336,1130000,-8704.017578125,28.7246,226,190.93,226,591.32
69.631,1135000,-8824.216796875,29.3176,227,187.1,227,636.97
69.2096,1140000,-8913.2822265625,28.5707,228,275.82,228,562.89
66.3636,1145000,-8829.9599609375,28.0413,229,339.42,229,843.93
66.8282,1150000,-8833.3466796875,28.0199,230,267.64,230,761.66
65.2998,1155000,-8830.9267578125,27.8136,231,193.19,231,751.74
64.9306,1160000,-8898.4990234375,27.9507,232,340.71,232,796.68
66.2903,1165000,-9019.875,28.5159,233,298.62,233,625.08
69.2093,1170000,-9443.6337890625,29.4618,234,283.01,234,646.25
65.3931,1175000,-9080.447265625,27.8287,235,308.58,235,828.6
