Real Sto Return,Running Reverse KL,Running Forward KL,Real Det Return,Itration
434.37,13.4315,49.4299,426.32,0
545.64,13.736,48.4985,463.25,1
419.77,13.7906,48.5558,410.65,2
218.25,13.5271,50.0952,228.49,3
262.59,14.0126,48.7067,273.36,4
176.07,14.9944,50.155,186.76,5
401.12,14.7627,48.9468,390.5,6
449.07,14.4315,48.0725,609.67,7
587.9,12.9904,47.1724,622.36,8
354.87,16.4212,48.9612,261.37,9
404.97,22.8781,50.1248,350.87,10
375.14,17.9095,50.3818,442.01,11
33.68,36.0561,51.1602,36.17,12
275.72,27.2972,50.8997,298.1,13
290.17,16.5514,50.4897,260.41,14
383.69,46.4225,55.8938,478.1,15
397.83,22.0474,51.6129,592.86,16
136.41,45.6614,53.9455,138.79,17
493.68,30.661,51.3933,657.11,18
456.64,38.6033,50.9809,361.5,19
61.37,26.1946,50.4428,0.53,20
116.09,43.6876,52.0585,120.16,21
436.31,39.4048,50.6003,390.26,22
1037.72,43.9783,55.5492,1033.71,23
494.47,28.6543,50.8021,967.7,24
-15.21,147.1868,59.5257,-14.93,25
429.09,21.2632,50.3707,436.4,26
391.85,18.3762,50.8761,385.98,27
1021.9,53.3696,56.5213,1022.9,28
1004.94,42.4813,55.3573,1008.64,29
997.16,35.2131,55.81,995.0,30
999.54,40.0833,56.2181,1000.86,31
809.07,23.7601,51.936,736.01,32
745.96,66.1213,56.3779,834.23,33
440.87,68.3911,53.6893,328.17,34
47.86,90.4787,52.0801,48.78,35
502.78,18.714,51.0383,540.1,36
829.85,33.3502,50.934,945.81,37
826.24,22.0517,49.6952,807.52,38
493.0,33.599,51.5633,489.14,39
602.82,31.5926,52.0592,648.0,40
912.79,38.3243,53.2691,941.48,41
646.86,22.2952,51.103,821.79,42
454.9,28.636,49.4357,532.79,43
914.11,15.1025,49.6609,714.39,44
1068.0,14.5527,49.7094,1262.0,45
977.61,19.661,49.5845,1355.68,46
1049.1,13.7265,49.2223,1153.29,47
448.98,22.9613,49.0818,498.15,48
246.18,20.152,50.2121,406.05,49
439.17,18.0458,49.7236,513.15,50
-5.95,36.3065,52.0493,-3.84,51
20.6,44.8262,53.9965,24.21,52
842.41,45.4624,53.8747,1033.94,53
1010.77,54.8266,54.0598,1024.56,54
994.98,65.0911,57.2385,995.15,55
4.41,25.3429,50.0839,4.16,56
896.81,55.6723,56.2354,902.31,57
975.01,35.9028,53.4007,987.78,58
711.48,31.9233,53.4205,548.76,59
1395.93,21.7401,52.1245,1457.11,60
1177.63,18.8399,52.0498,1066.52,61
1161.15,20.6407,50.733,1223.21,62
883.17,17.7373,51.194,1019.58,63
951.1,14.3119,49.7016,992.4,64
457.03,27.7253,50.7355,316.89,65
874.6,17.3781,50.0684,978.69,66
269.47,15.0979,49.5191,300.92,67
264.81,50.0428,52.4816,301.25,68
300.95,62.5867,51.1069,291.95,69
387.04,46.2995,49.8237,395.54,70
425.1,54.5447,49.6304,222.79,71
393.35,58.1258,51.5628,379.03,72
271.39,15.2777,50.2533,280.2,73
326.18,15.5396,50.2445,341.14,74
408.62,16.6359,49.4689,616.77,75
368.73,14.5234,48.9252,365.33,76
297.43,14.626,49.5533,334.36,77
301.27,14.4455,49.8544,353.78,78
230.64,14.1165,49.4582,240.64,79
305.47,18.4792,49.2795,411.33,80
65.51,21.3853,49.6859,43.11,81
199.46,49.7859,52.7292,168.76,82
-12.74,70.3288,51.9626,-11.09,83
1005.87,52.9115,56.7745,1009.65,84
122.64,38.0313,50.672,196.3,85
940.36,37.6084,53.2367,488.2,86
999.05,31.736,54.7529,1007.87,87
995.84,36.8383,55.148,1005.65,88
661.01,31.2177,52.0865,353.06,89
239.16,34.7097,53.1413,223.6,90
388.31,25.1693,51.0484,863.32,91
816.58,16.428,48.0392,866.32,92
432.95,19.3744,50.1757,567.15,93
735.99,14.7183,47.7198,960.25,94
900.63,16.4332,49.5332,1063.3,95
542.67,16.2453,48.2751,529.18,96
277.46,15.9486,47.8017,355.13,97
880.07,22.8057,48.2541,1298.9,98
1361.35,17.739,48.0391,1592.3,99
816.49,32.7726,48.5043,327.21,100
701.5,57.7039,48.1983,1233.03,101
159.07,27.8422,48.5613,318.07,102
214.91,80.2445,50.765,89.76,103
631.2,24.0176,47.4256,1098.33,104
757.39,27.8494,48.1719,989.51,105
440.25,22.5583,49.344,603.26,106
308.26,26.6749,50.312,342.69,107
331.31,28.3045,49.561,401.97,108
803.29,22.761,49.7507,576.56,109
1654.93,25.8327,46.6861,1571.3,110
899.38,24.951,48.566,606.32,111
1260.29,15.1302,48.283,1062.32,112
921.01,36.2371,48.8847,1267.8,113
377.53,21.8,49.0775,162.76,114
402.19,38.5431,49.6459,324.49,115
778.3,15.7205,48.1463,713.23,116
690.03,24.9287,50.9198,748.19,117
455.86,14.4162,47.9446,23.44,118
479.13,17.9856,47.8101,120.87,119
499.86,29.9513,48.6493,249.32,120
226.12,26.0131,50.0235,192.52,121
235.22,13.8752,48.9575,200.26,122
607.29,14.2789,49.0994,684.93,123
898.91,16.2405,49.9234,801.5,124
625.73,15.3989,47.5664,557.4,125
722.23,20.5364,48.772,490.36,126
516.51,21.7685,48.4295,588.96,127
873.99,25.5241,48.2914,705.86,128
660.31,16.0512,47.3095,952.69,129
1441.9,14.1121,46.9392,1370.69,130
843.9,18.8679,47.0025,783.0,131
378.35,20.3487,49.1222,260.88,132
1078.13,14.5162,45.9551,924.82,133
1125.99,14.2349,47.7994,972.29,134
1087.0,16.1541,47.4253,143.5,135
