Running Reverse KL,Running Update Time,Running Env Steps,Real Sto Return,Running Forward KL,Itration,Reward Loss,Real Det Return
12.996,0,0,373.66,48.9257,0,138.26242065429688,307.46
14.6268,1,5000,288.61,49.1771,1,117.14935302734375,319.99
15.9509,2,10000,382.42,48.1219,2,129.5674591064453,350.07
16.2004,3,15000,332.68,49.6404,3,53.32206344604492,343.56
16.4735,4,20000,458.34,49.2102,4,44.781028747558594,453.32
14.3513,5,25000,457.95,48.9541,5,86.78819274902344,601.87
13.9907,6,30000,423.9,48.665,6,71.84207153320312,457.07
13.9397,7,35000,510.03,48.2431,7,87.3626480102539,666.56
13.4096,8,40000,886.22,48.339,8,-21.293655395507812,749.86
14.2835,9,45000,1092.6,47.8838,9,-52.41133117675781,945.16
17.573,10,50000,987.51,47.2601,10,-92.95235443115234,883.81
16.052,11,55000,648.17,48.1336,11,95.29906463623047,811.93
14.0317,12,60000,704.87,47.758,12,-20.230472564697266,1073.51
35.4808,13,65000,823.6,47.8656,13,-44.39485168457031,980.58
14.3772,14,70000,1527.0,45.7926,14,-32.891868591308594,2633.87
15.0168,15,75000,1400.0,46.3663,15,6.409853935241699,2039.77
13.6668,16,80000,993.37,47.3656,16,0.00947713851928711,1190.45
14.9986,17,85000,772.93,48.0214,17,42.72505569458008,863.37
16.9094,18,90000,1058.59,47.0429,18,9.17324447631836,1055.6
14.5168,19,95000,1112.45,46.9671,19,-59.929283142089844,1287.77
14.0353,20,100000,1352.94,45.5265,20,-66.50716400146484,1782.78
26.5297,21,105000,1265.11,46.495,21,-82.41131591796875,1266.62
14.4296,22,110000,1776.79,45.3628,22,-43.88976287841797,827.64
13.2687,23,115000,1829.77,44.5377,23,-56.28689956665039,2256.94
15.055,24,120000,1567.79,45.1431,24,-90.26470947265625,930.81
13.6031,25,125000,2105.98,44.9804,25,-85.208740234375,2075.67
13.816,26,130000,1994.99,45.2268,26,-79.58454132080078,1953.52
14.2034,27,135000,2961.17,44.1356,27,-82.13627624511719,2923.34
14.6235,28,140000,1745.21,45.0148,28,-93.25906372070312,2362.79
15.7212,29,145000,2360.38,45.3847,29,-105.309814453125,2713.97
15.0431,30,150000,2032.5,45.1537,30,-123.95405578613281,2057.33
15.2652,31,155000,2664.12,44.6638,31,-112.90103149414062,2466.64
15.2161,32,160000,3021.45,44.8547,32,-119.7459716796875,2835.99
16.8585,33,165000,3343.67,44.703,33,-138.11383056640625,3412.62
16.4762,34,170000,3062.72,44.322,34,-131.36813354492188,3360.92
18.1737,35,175000,3571.38,43.8731,35,-122.32154846191406,3683.58
16.4828,36,180000,3154.94,44.0113,36,-140.76060485839844,3360.98
