Running Forward KL,Itration,Reward Loss,Running Update Time,Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return
31.9212,0,-1317.5361328125,0,19.7697,201.96,0,193.82
29.9222,1,-1193.011962890625,1,16.4973,367.76,5000,365.21
28.015,2,-920.81298828125,2,15.7734,345.69,10000,361.44
25.0732,3,-1113.07177734375,3,28.7684,547.8,15000,570.35
26.5736,4,-1126.11767578125,4,21.4683,563.69,20000,596.56
38.1035,5,-1974.4920654296875,5,34.2716,1024.67,25000,1024.35
38.7567,6,-2413.16064453125,6,98.4708,16.2,30000,16.14
21.6133,7,-681.7979736328125,7,18.0641,2202.8,35000,2188.97
21.7894,8,-192.5164337158203,8,19.5262,2645.13,40000,2902.2
22.344,9,-745.6897583007812,9,32.8173,1564.67,45000,1718.14
20.9351,10,-759.14013671875,10,21.6308,393.73,50000,820.93
25.3584,11,-1961.9049072265625,11,23.8341,1002.46,55000,1001.96
22.1845,12,-382.3994140625,12,16.7195,2171.55,60000,3001.52
34.8417,13,-1971.0400390625,13,27.6638,985.8,65000,993.9
27.562,14,-1922.615234375,14,24.9747,782.82,70000,862.33
32.9057,15,-2025.0086669921875,15,30.4984,561.3,75000,470.71
30.1811,16,-1688.1287841796875,16,30.7795,506.28,80000,491.61
28.0206,17,-1119.41455078125,17,14.9811,2192.21,85000,2173.32
32.1276,18,-2124.375244140625,18,52.6628,328.35,90000,399.89
30.5396,19,-2378.73779296875,19,64.8586,258.25,95000,252.94
29.1171,20,-2021.77392578125,20,59.0111,266.56,100000,267.08
27.8212,21,-1945.7322998046875,21,53.5835,422.78,105000,310.89
29.4122,22,-1924.980224609375,22,34.6253,237.06,110000,231.08
28.5128,23,-2181.135009765625,23,31.218,398.28,115000,366.39
29.2593,24,-2394.97314453125,24,22.4925,301.03,120000,321.2
28.7716,25,-1482.9302978515625,25,16.6962,1642.38,125000,1532.87
36.9319,26,-2863.136962890625,26,33.4314,1054.86,130000,1053.48
37.8679,27,-2806.317138671875,27,40.7472,1019.24,135000,1020.0
35.0778,28,-2755.33447265625,28,46.2074,34.64,140000,34.0
37.7137,29,-2974.99658203125,29,57.4962,981.99,145000,982.97
33.7658,30,-2543.759521484375,30,26.9968,1019.7,150000,1022.01
36.8182,31,-3084.452392578125,31,36.0277,1006.13,155000,1006.3
27.2475,32,-2240.373779296875,32,31.207,524.46,160000,545.91
26.802,33,-1303.3797607421875,33,18.7685,243.45,165000,109.19
35.2756,34,-3213.729736328125,34,38.7914,1054.68,170000,1054.06
31.946,35,-3067.14453125,35,23.8385,870.54,175000,813.35
29.4704,36,-2521.94091796875,36,23.2735,1499.79,180000,1433.01
28.363,37,-2739.080810546875,37,31.3536,1244.63,185000,1400.93
39.5615,38,-3508.548828125,38,49.52,972.29,190000,972.63
37.8755,39,-3513.482177734375,39,39.6135,979.03,195000,979.09
37.3621,40,-3678.930419921875,40,42.2605,1043.59,200000,1043.58
30.7434,41,-2739.65380859375,41,25.2185,316.36,205000,317.53
33.6473,42,-3918.392333984375,42,38.846,352.35,210000,289.0
29.472,43,-2435.257080078125,43,16.2063,340.28,215000,319.67
27.5003,44,-1490.9813232421875,44,15.4057,2148.06,220000,2119.11
36.6324,45,-3598.47314453125,45,26.5252,1030.62,225000,992.47
39.1589,46,-3801.559326171875,46,38.0623,1002.86,230000,1002.02
38.2971,47,-3894.767822265625,47,31.7,987.49,235000,985.19
30.7824,48,-2866.18994140625,48,80.9122,280.15,240000,242.78
27.7382,49,-1895.2520751953125,49,53.779,72.23,245000,70.05
29.0552,50,-3008.327392578125,50,66.5126,503.43,250000,481.43
38.2627,51,-4347.49755859375,51,34.8286,1035.26,255000,1034.82
32.7018,52,-4364.11767578125,52,78.2794,46.71,260000,46.58
32.6714,53,-4689.61572265625,53,53.5264,197.92,265000,128.49
33.5662,54,-5159.6455078125,54,152.3853,260.46,270000,257.53
30.6442,55,-3437.976806640625,55,102.9591,243.29,275000,243.49
38.9938,56,-4377.4853515625,56,57.2258,984.83,280000,985.07
35.4511,57,-4448.48583984375,57,31.7283,1048.0,285000,1047.88
33.0856,58,-4532.61669921875,58,36.3241,1022.83,290000,1050.56
32.4227,59,-4651.2373046875,59,59.2447,655.94,295000,789.81
38.6107,60,-4634.93115234375,60,33.0495,987.64,300000,988.57
39.434,61,-4643.6494140625,61,40.9476,1001.38,305000,1000.77
40.5199,62,-4727.9677734375,62,42.4796,986.67,310000,985.87
35.1777,63,-4714.01416015625,63,48.7189,132.61,315000,134.36
33.5778,64,-3744.80810546875,64,25.8937,360.81,320000,382.17
32.5226,65,-3917.004150390625,65,24.416,499.45,325000,418.15
38.7876,66,-4930.755859375,66,46.9839,1008.65,330000,1008.47
36.9836,67,-5056.5419921875,67,34.5281,1036.56,335000,1036.56
36.6453,68,-5255.59814453125,68,37.6176,1037.59,340000,1038.28
32.8065,69,-4581.30908203125,69,28.7131,141.24,345000,153.27
34.2905,70,-4807.09912109375,70,25.1818,968.48,350000,910.01
38.4249,71,-5370.1845703125,71,56.725,319.73,355000,320.35
