Reward Loss,Running Update Time,Real Sto Return,Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Reverse KL
274.8428955078125,0,233.32,0,0,32.7716,232.26,22.5675
241.74874877929688,1,267.16,5000,1,32.097,294.09,37.2916
171.25982666015625,2,310.24,10000,2,30.6504,306.43,18.4628
86.67866516113281,3,417.64,15000,3,26.8566,413.39,16.9233
79.61365509033203,4,537.41,20000,4,27.0169,540.22,16.8819
77.58036041259766,5,481.64,25000,5,28.0558,535.28,18.6102
27.159854888916016,6,755.56,30000,6,27.0014,739.63,19.6125
-0.7531611323356628,7,652.54,35000,7,27.1067,672.65,18.4677
-8.269351959228516,8,1328.68,40000,8,25.2782,1465.51,14.5524
-20.67226791381836,9,891.16,45000,9,26.5018,973.21,15.1246
-18.870227813720703,10,830.09,50000,10,26.5415,877.45,14.9495
6.40359354019165,11,1811.75,55000,11,23.4038,3018.56,15.4246
100.62859344482422,12,1366.47,60000,12,24.4157,1651.4,16.2099
-65.45647430419922,13,1922.94,65000,13,22.3484,2681.38,13.1236
-178.134521484375,14,1601.78,70000,14,23.0648,1426.13,14.4035
-148.22479248046875,15,2852.81,75000,15,24.1302,2999.51,15.7484
-117.31228637695312,16,3038.3,80000,16,22.7315,3036.22,15.598
-96.48755645751953,17,3223.89,85000,17,23.4122,3272.95,16.417
-83.38798522949219,18,3202.5,90000,18,23.0188,3330.68,16.39
-127.01847076416016,19,1585.05,95000,19,24.7211,2816.44,22.7014
-175.0110321044922,20,2666.55,100000,20,22.466,3359.58,14.1933
-157.36363220214844,21,1188.28,105000,21,23.2741,3224.17,14.8305
-148.6110382080078,22,2873.64,110000,22,23.3624,3424.22,16.6612
-155.31690979003906,23,3149.07,115000,23,22.8641,3226.5,15.6063
-147.92971801757812,24,3254.61,120000,24,23.7624,3375.45,16.5491
-173.06912231445312,25,3343.06,125000,25,20.8174,3388.13,15.2519
-233.83065795898438,26,3216.2,130000,26,21.901,3360.49,15.8918
-154.19512939453125,27,3202.01,135000,27,21.0961,3316.18,14.8856
-194.7842559814453,28,3295.47,140000,28,22.2142,3340.21,15.0515
-197.15489196777344,29,3331.83,145000,29,21.1678,3395.26,14.2465
-221.10012817382812,30,3355.05,150000,30,21.5879,3391.22,15.7125
-240.73231506347656,31,3336.99,155000,31,20.4758,3348.56,15.1306
-213.03550720214844,32,3346.11,160000,32,20.1282,3379.85,14.2141
-269.66046142578125,33,3273.89,165000,33,20.3637,3301.99,13.9344
-250.05587768554688,34,3333.03,170000,34,20.9575,3347.5,13.4584
-256.49859619140625,35,3057.58,175000,35,21.962,3397.21,17.6659
-288.33349609375,36,3310.69,180000,36,19.9413,3348.01,13.436
-258.4255065917969,37,3371.99,185000,37,21.3877,3338.59,14.5067
-288.3417663574219,38,3197.57,190000,38,20.5418,3430.68,13.7998
-301.7796936035156,39,3242.46,195000,39,19.8191,3420.06,13.2773
-337.37982177734375,40,3313.92,200000,40,21.1803,3365.6,14.5074
-320.7262878417969,41,3235.16,205000,41,19.518,3370.47,12.6136
-338.1320495605469,42,3336.69,210000,42,20.3273,3413.99,13.6605
-365.4096984863281,43,3296.83,215000,43,19.3915,3416.41,12.3881
-348.9842224121094,44,3128.92,220000,44,21.0503,3407.46,13.9257
-339.3453674316406,45,3312.19,225000,45,19.2716,3445.1,13.1915
-358.88018798828125,46,3377.07,230000,46,19.2395,3404.97,13.0263
-332.3546142578125,47,3322.2,235000,47,19.325,3374.31,11.8276
-322.51361083984375,48,2877.26,240000,48,19.7061,3414.33,11.6537
-404.0376892089844,49,3379.53,245000,49,19.5871,3403.05,13.2547
-394.2402038574219,50,3186.22,250000,50,21.0708,3430.04,13.8285
-407.1311950683594,51,2776.95,255000,51,21.2465,3432.81,12.4449
-377.65679931640625,52,3380.07,260000,52,19.9991,3404.94,13.3189
-405.0511474609375,53,3083.87,265000,53,20.7042,3463.82,14.4884
-395.49188232421875,54,3432.36,270000,54,19.8034,3458.78,13.7839
-447.63885498046875,55,2782.09,275000,55,20.2087,3461.99,12.885
-479.06060791015625,56,2788.86,280000,56,20.9127,3433.76,13.448
-438.78472900390625,57,3403.36,285000,57,20.183,3443.47,13.9244
-413.3182678222656,58,2970.29,290000,58,20.7414,3494.64,13.8614
-458.7677307128906,59,3414.92,295000,59,20.6462,3429.84,14.2375
-432.6739501953125,60,3338.46,300000,60,20.4194,3447.18,13.5528
-517.96533203125,61,3398.95,305000,61,20.13,3487.44,13.8435
-479.222900390625,62,3434.4,310000,62,18.7639,3453.98,13.7337
-467.7959899902344,63,3452.45,315000,63,20.2701,3496.58,13.8866
-515.7395629882812,64,3103.52,320000,64,20.3015,3392.77,13.7018
-501.33935546875,65,3384.51,325000,65,20.0682,3424.3,13.7688
-485.5906066894531,66,2767.42,330000,66,20.6685,3494.79,13.4644
-498.68243408203125,67,3377.3,335000,67,19.2135,3416.68,13.6052
-482.9131774902344,68,3095.2,340000,68,20.3573,3471.78,13.1307
-441.29180908203125,69,3063.96,345000,69,20.7626,3394.6,12.9715
-519.8260498046875,70,3289.29,350000,70,17.9025,3412.96,12.9525
-509.9205627441406,71,3396.6,355000,71,18.445,3439.81,12.61
-590.1865234375,72,2662.07,360000,72,21.196,3447.98,13.0739
-574.1132202148438,73,3174.05,365000,73,20.0951,3455.25,13.1072
-528.0388793945312,74,2531.39,370000,74,20.4867,3405.26,12.3868
-610.2876586914062,75,3415.54,375000,75,19.6853,3463.93,13.6965
-581.3607788085938,76,2881.31,380000,76,20.4551,3408.93,12.5444
-582.5716552734375,77,3441.18,385000,77,19.4588,3469.25,13.9043
-645.468994140625,78,3391.73,390000,78,19.7164,3435.41,13.2578
-641.05224609375,79,3322.94,395000,79,19.0245,3426.91,13.6634
-651.9773559570312,80,3400.85,400000,80,19.9578,3468.76,13.4291
-728.710693359375,81,2568.73,405000,81,20.6162,3437.9,13.9888
-681.7034301757812,82,2902.02,410000,82,20.3393,3416.4,12.7907
-684.5982055664062,83,2484.16,415000,83,21.8306,3444.23,13.8005
-703.2142944335938,84,3360.19,420000,84,20.0286,3399.12,13.1907
-725.2022705078125,85,3377.58,425000,85,19.537,3437.7,13.8144
-734.3169555664062,86,2311.96,430000,86,22.6927,3449.25,12.4624
-721.8263549804688,87,2700.17,435000,87,20.0887,3390.25,12.2441
-756.7893676757812,88,2964.92,440000,88,20.2037,3401.19,13.0491
-713.2236328125,89,2915.9,445000,89,21.1447,3387.24,12.1524
