Reward Loss,Running Update Time,Running Reverse KL,Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Forward KL
369.65130615234375,0,13.1909,351.86,450.07,0,0,48.6787
122.22720336914062,1,18.2687,431.05,437.08,5000,1,49.8489
59.183597564697266,2,36.4256,396.68,348.19,10000,2,49.8819
259.67901611328125,3,12.5442,493.04,343.99,15000,3,48.8319
318.50653076171875,4,13.8013,391.59,344.87,20000,4,48.6105
187.98851013183594,5,17.4786,396.04,352.64,25000,5,49.6476
306.8254699707031,6,13.7306,529.22,432.89,30000,6,48.8947
306.2115783691406,7,13.384,498.43,467.77,35000,7,48.35
173.3457794189453,8,14.7561,523.94,490.05,40000,8,48.3865
173.1613006591797,9,13.1363,662.07,556.09,45000,9,47.6011
150.91783142089844,10,14.6381,678.47,612.41,50000,10,48.0753
152.9647979736328,11,14.6678,766.21,552.23,55000,11,47.99
172.18878173828125,12,12.8915,661.45,583.06,60000,12,48.3146
146.82284545898438,13,12.0218,581.68,617.11,65000,13,46.8599
67.35157775878906,14,12.267,2304.09,1551.86,70000,14,44.8729
49.685062408447266,15,11.7891,2557.74,1590.88,75000,15,45.8772
89.44031524658203,16,11.5017,1703.61,1286.52,80000,16,46.0716
95.81703186035156,17,13.5493,1027.82,1107.61,85000,17,46.5509
-5.953848361968994,18,14.8355,1585.8,2388.93,90000,18,45.1108
-83.63198852539062,19,17.9575,3028.92,3070.15,95000,19,44.9017
-2.538144588470459,20,16.8712,2879.17,2738.49,100000,20,44.0429
50.58622360229492,21,13.1659,2682.85,1517.42,105000,21,44.3097
51.60802459716797,22,12.42,806.47,1139.66,110000,22,45.4114
-11.181801795959473,23,15.8813,2013.94,1771.69,115000,23,45.0517
-41.66835403442383,24,16.6894,2229.53,2368.78,120000,24,43.6066
-94.2000732421875,25,19.1628,3766.85,3692.25,125000,25,44.1067
-124.51720428466797,26,50.8642,3.22,175.87,130000,26,46.9419
-131.80091857910156,27,19.0916,3796.28,3819.71,135000,27,43.456
-145.87771606445312,28,19.9318,3946.95,3903.42,140000,28,43.4434
-143.47767639160156,29,18.8318,3867.33,3940.58,145000,29,42.8396
-171.3630828857422,30,19.7577,3833.9,3931.3,150000,30,43.3434
-161.13412475585938,31,19.9308,4060.69,4031.46,155000,31,42.4965
-181.04981994628906,32,19.6525,4081.63,3850.5,160000,32,42.6733
-130.67933654785156,33,19.4684,3948.21,3658.06,165000,33,42.955
-177.2863311767578,34,18.1995,3942.21,3296.62,170000,34,42.5195
-197.29620361328125,35,19.8758,4048.02,3865.13,175000,35,42.9172
-164.18209838867188,36,17.2372,4173.73,3412.92,180000,36,43.0946
-207.6090545654297,37,20.1827,4113.03,4026.83,185000,37,42.8125
-229.02845764160156,38,19.6885,4112.83,4068.31,190000,38,42.9832
-220.02947998046875,39,18.4016,4050.22,3998.89,195000,39,42.1632
-227.8016815185547,40,19.2542,4143.86,3966.03,200000,40,41.967
-219.18850708007812,41,18.4668,4200.96,4115.1,205000,41,41.977
-240.0683135986328,42,20.3697,4054.85,4096.4,210000,42,42.3283
-254.7294158935547,43,20.5878,3993.1,4061.42,215000,43,42.6777
-274.2182922363281,44,21.1616,4220.12,4201.98,220000,44,41.5046
-245.80674743652344,45,17.6944,4148.47,4086.56,225000,45,41.8493
-260.52520751953125,46,20.4754,4223.7,4218.61,230000,46,41.9383
-258.2611083984375,47,19.9407,4196.86,4185.38,235000,47,42.3848
-267.78033447265625,48,19.7834,4227.62,4002.39,240000,48,42.3641
-278.3506164550781,49,19.7102,4146.05,4181.1,245000,49,41.8928
-301.86004638671875,50,21.8151,4232.33,4233.58,250000,50,42.0346
-280.69927978515625,51,19.5378,4193.97,4210.44,255000,51,41.9639
-296.8114318847656,52,18.3068,4028.67,4078.48,260000,52,42.0511
-307.0230712890625,53,18.9089,4206.26,4242.61,265000,53,42.2372
-301.2007751464844,54,19.2731,4169.41,4158.52,270000,54,42.3857
-313.22491455078125,55,19.5743,4176.29,4008.78,275000,55,41.6266
-309.3004150390625,56,19.9716,4235.57,4211.47,280000,56,41.8053
-305.0816955566406,57,18.2123,4268.59,4243.75,285000,57,41.5069
-327.0128479003906,58,19.3588,4153.6,4165.35,290000,58,41.8813
-342.6151428222656,59,20.1762,4015.91,4139.43,295000,59,42.0531
-330.48992919921875,60,18.1936,4247.84,4251.86,300000,60,41.9106
-345.89410400390625,61,18.9124,4231.46,4235.08,305000,61,41.0912
-349.7143859863281,62,20.7047,4306.83,4382.41,310000,62,41.2916
-372.02197265625,63,19.2349,4176.96,4220.37,315000,63,40.5714
-354.61846923828125,64,20.2546,4186.13,4258.43,320000,64,42.0482
-372.1018981933594,65,19.472,4341.89,4119.95,325000,65,41.6112
-373.4338684082031,66,20.7418,4302.32,4318.19,330000,66,42.5295
-386.2618103027344,67,19.8872,4405.99,4379.68,335000,67,41.7845
-370.45440673828125,68,18.4917,4314.81,4131.26,340000,68,41.4444
-426.4714050292969,69,21.1364,4295.32,4351.46,345000,69,41.6077
-396.8555603027344,70,18.8243,4344.23,4433.62,350000,70,41.135
-419.738525390625,71,20.3843,4320.21,4354.9,355000,71,41.9314
-399.5213623046875,72,18.1238,4454.64,4395.56,360000,72,41.646
