Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps,Itration,Real Det Return,Running Forward KL
11.5915,-35.40727615356445,-224.08,0,0,0,-19.35,158.5612
11.8795,-59.926448822021484,-56.97,1,5000,1,-63.75,158.4566
11.7094,-72.56543731689453,25.28,2,10000,2,79.9,158.2669
11.8086,-100.98921966552734,123.83,3,15000,3,892.36,157.9222
11.4859,-103.71905517578125,186.61,4,20000,4,665.4,157.9926
11.5702,-153.404541015625,498.91,5,25000,5,1207.52,157.5077
12.2759,-182.3282012939453,578.7,6,30000,6,1297.67,157.7283
12.7333,-223.80789184570312,1222.5,7,35000,7,1852.45,157.4308
13.9019,-288.9307861328125,1604.51,8,40000,8,2366.34,157.4557
14.043,-326.3699951171875,2121.66,9,45000,9,2938.08,156.86
15.5511,-409.64581298828125,2552.09,10,50000,10,3278.51,156.8855
17.5856,-471.4890441894531,3092.15,11,55000,11,3759.44,156.7751
17.5693,-495.0322265625,3358.3,12,60000,12,3987.47,156.7156
17.0046,-505.00994873046875,3141.31,13,65000,13,4084.74,156.4474
17.6346,-560.8270874023438,3416.32,14,70000,14,4252.01,156.4296
16.8593,-526.3294677734375,3806.55,15,75000,15,4366.89,155.8883
17.6248,-570.966552734375,3827.62,16,80000,16,4375.93,156.2862
17.6272,-580.3572387695312,4073.24,17,85000,17,4618.06,156.0106
17.2631,-603.6994018554688,4171.21,18,90000,18,4704.93,155.4975
16.543,-617.301513671875,4212.58,19,95000,19,4661.08,155.9054
16.8777,-673.4940185546875,4392.06,20,100000,20,4891.62,155.7149
17.0373,-677.8965454101562,4397.74,21,105000,21,5010.04,155.1879
16.235,-664.1085205078125,4645.16,22,110000,22,5132.03,154.9079
16.8707,-686.1300048828125,4626.21,23,115000,23,5005.43,155.2917
17.0524,-689.2964477539062,4819.0,24,120000,24,5284.94,155.2928
17.8085,-738.7272338867188,5021.45,25,125000,25,5447.9,154.9543
17.0862,-718.5581665039062,5049.79,26,130000,26,5552.32,155.1671
17.3164,-739.7133178710938,5126.64,27,135000,27,5548.81,155.2014
16.2906,-724.8699951171875,5224.34,28,140000,28,5628.36,154.8532
17.4596,-769.0464477539062,5439.58,29,145000,29,5942.87,154.7148
17.7343,-790.4368896484375,5551.62,30,150000,30,6047.89,154.556
16.7045,-765.3408203125,5632.29,31,155000,31,5939.91,153.9998
