Running Forward KL,Itration,Real Sto Return,Running Reverse KL,Real Det Return
455.5065,0,208.66,280.4685,160.74
425.76,1,374.57,246.258,311.36
439.9105,2,377.48,282.2405,322.52
423.1904,3,357.08,280.242,323.12
422.2706,4,375.26,262.8666,342.17
395.706,5,407.45,283.543,362.95
404.9421,6,406.46,294.9595,371.13
387.4568,7,401.9,283.6725,378.08
381.768,8,445.05,255.256,445.43
382.8864,9,541.37,282.6728,539.81
374.4813,10,580.53,261.9618,513.97
367.6606,11,571.97,264.6989,534.74
377.0529,12,568.54,241.2995,572.13
382.3019,13,574.03,281.0969,557.93
365.3113,14,609.37,269.573,572.91
363.034,15,673.72,265.1627,592.15
358.4979,16,671.0,258.8272,642.48
355.8036,17,614.59,272.5277,591.42
350.9935,18,727.76,260.4327,653.55
358.0922,19,706.23,221.5978,623.28
360.2478,20,797.87,228.5202,737.14
359.5685,21,962.34,237.7726,799.21
360.6929,22,893.18,246.5456,925.37
358.5765,23,817.93,249.8724,742.75
361.2103,24,750.5,270.8609,598.82
356.7184,25,723.61,279.0147,582.76
358.1184,26,845.55,266.122,730.61
339.2756,27,906.16,225.7654,906.03
349.1283,28,933.37,238.2115,953.78
344.2183,29,1014.9,236.5478,1112.6
340.7499,30,1092.27,219.0089,1073.32
344.2332,31,1141.85,211.8137,1109.2
307.6616,32,1330.3,179.7472,1573.83
321.4564,33,1184.55,218.6835,1007.16
319.9148,34,1380.99,180.3553,950.78
310.1344,35,1790.85,172.3244,1550.49
341.2791,36,1543.36,201.2812,1082.09
309.5205,37,1845.14,196.4992,1377.73
312.3442,38,1599.51,159.7872,1614.25
316.7695,39,2811.45,162.8538,1169.03
312.173,40,1894.63,180.3841,1784.55
302.0732,41,2556.76,151.6929,1991.27
305.3717,42,2156.26,191.1394,1456.53
319.2616,43,1561.85,231.057,1439.09
319.9177,44,1824.62,188.8574,1731.94
290.7678,45,2358.72,149.1564,2587.39
281.427,46,3862.75,139.7653,3187.79
274.7292,47,3376.27,126.0862,3307.0
277.0116,48,3505.52,138.78,3100.02
263.166,49,4859.56,80.1635,4163.35
287.2401,50,3430.95,151.0455,2389.6
271.2135,51,4289.02,110.6369,2444.42
262.9484,52,4026.58,82.3207,2320.1
261.2282,53,3723.61,71.8304,1832.21
267.5436,54,3849.33,78.79,2218.32
282.0713,55,3504.78,136.3885,1487.25
279.0894,56,4238.57,128.227,1662.4
264.6099,57,3726.4,85.8676,3177.85
261.892,58,4823.94,83.2417,4289.22
270.1483,59,4488.04,83.1702,4112.07
281.7279,60,3533.31,99.6667,2053.55
262.7335,61,4677.13,77.632,4567.78
256.2693,62,4594.71,55.4728,2175.56
294.5216,63,2899.46,137.1651,2319.26
263.501,64,3180.33,70.2004,2519.41
269.262,65,4544.93,81.0721,3189.99
255.7491,66,4197.56,65.4032,3767.51
269.947,67,4585.12,99.6361,4462.97
258.7747,68,4177.66,74.1129,2927.07
257.9801,69,4002.17,80.5363,4251.04
250.9705,70,4598.76,47.3325,2939.8
272.4412,71,3484.07,131.6171,1869.83
277.318,72,2890.56,109.3605,2489.04
276.3951,73,3503.87,129.8799,2940.67
259.6717,74,4263.09,94.1172,3655.2
276.5139,75,2849.13,148.8978,2475.14
265.8956,76,3447.22,104.3377,2684.77
269.0122,77,3087.94,126.2042,2754.02
264.0377,78,4502.82,66.8673,4666.25
259.5606,79,4632.82,69.5726,4821.75
248.4691,80,5123.88,48.5618,5107.69
267.291,81,3908.82,127.816,4930.14
253.3701,82,4929.88,69.2704,4677.37
242.4233,83,4846.33,45.0093,5135.24
263.4597,84,4828.09,75.7591,4691.87
255.248,85,4843.52,52.4721,4788.73
246.8851,86,5159.81,55.4176,5189.67
251.9151,87,5118.28,42.6345,4268.05
238.9226,88,5021.72,42.8859,5166.32
240.7071,89,5111.45,40.2955,4843.95
274.7997,90,3392.51,127.8496,1938.19
261.7299,91,3961.35,81.8471,4906.23
247.3712,92,4443.36,62.926,4925.98
251.569,93,4886.05,64.0502,3831.48
261.5574,94,4399.73,98.084,4942.75
254.8472,95,4212.32,84.1671,4475.41
248.1913,96,4911.3,57.2076,5287.85
252.3126,97,4507.76,76.3612,3810.13
256.481,98,3767.78,73.8577,3351.43
258.9142,99,4060.87,57.2603,3215.85
256.6827,100,5094.41,64.4065,5001.75
241.4875,101,5177.38,41.5837,4122.25
240.8685,102,5069.06,49.8083,4884.63
243.0698,103,4996.49,41.1636,5306.59
254.8885,104,3778.94,122.0797,2382.12
256.7649,105,4993.17,68.5325,5199.42
240.6126,106,4726.22,41.5157,4134.57
241.5357,107,5155.17,42.0106,5273.05
244.5764,108,5091.37,47.7807,5281.78
245.2609,109,5136.07,43.4809,5290.74
256.9649,110,5236.14,74.1807,5267.97
252.3476,111,4676.75,67.4702,3223.16
242.3374,112,5214.78,52.3274,4331.82
248.463,113,4514.7,52.2997,3019.6
251.1312,114,4863.95,74.058,3397.69
255.9146,115,4068.57,86.0886,2524.77
256.7541,116,4748.55,76.0437,3106.39
257.3568,117,4107.58,114.0065,2754.77
246.0466,118,4622.08,53.8635,4157.28
241.3542,119,4417.67,55.7182,4352.55
245.9224,120,4777.6,41.3618,5066.12
246.6277,121,4213.11,51.7847,4494.28
258.6699,122,4869.99,85.786,4687.67
258.0134,123,3648.38,115.2359,3292.26
258.5837,124,2358.21,118.1664,1796.89
241.3863,125,5087.75,39.1088,5010.48
247.9931,126,4457.93,62.1387,3372.57
256.9112,127,3995.44,105.1798,3795.68
258.8615,128,4386.82,82.2101,1781.19
256.4306,129,4049.98,77.0018,2780.12
250.4012,130,4831.21,93.9733,4632.83
234.3642,131,4960.8,29.3882,5207.94
223.4046,132,4883.88,23.7701,3059.24
232.0063,133,4987.02,26.9691,4381.78
233.9318,134,4408.29,37.5314,1922.94
225.1018,135,4796.24,21.1503,5244.46
232.8451,136,5095.5,56.2773,5156.85
224.2876,137,4586.78,24.1033,5203.74
219.0256,138,4645.02,18.968,5302.79
243.2551,139,5284.21,56.5414,5191.18
240.1332,140,5031.18,43.8636,5104.69
241.7423,141,4961.28,34.9829,5334.03
230.9869,142,4763.63,27.976,4892.03
236.3936,143,4955.99,28.0793,5326.64
230.8424,144,5030.8,23.1032,4850.62
242.848,145,5151.32,44.596,2758.19
228.5191,146,5174.22,24.6484,5288.92
242.8206,147,5266.1,64.4989,3590.22
234.6473,148,5143.59,40.6459,4923.37
239.7344,149,4814.26,47.2555,5269.85
251.2062,150,5156.81,77.7566,5063.45
232.1036,151,5163.25,28.2382,5290.01
238.8985,152,4910.11,27.3519,5286.17
234.3599,153,5146.83,32.1402,5115.15
245.0616,154,5201.73,43.8992,5398.34
249.4577,155,5032.38,48.5373,5039.22
233.7687,156,4988.03,32.5172,5350.52
235.2643,157,5122.77,25.0006,5168.12
235.9491,158,5045.45,31.5011,4942.24
243.9498,159,4814.38,45.088,4864.79
240.0905,160,4976.19,51.6965,3541.42
232.9886,161,5018.38,43.1018,4459.28
227.2966,162,5185.49,33.6387,4542.79
233.8123,163,5012.09,28.2269,3830.35
246.7866,164,4620.36,75.1047,1395.55
234.0503,165,4744.49,28.6615,3623.68
228.148,166,5102.34,22.1976,2483.79
230.6832,167,4693.25,21.1173,2791.87
228.4725,168,4812.88,18.1737,2791.84
239.1587,169,4802.81,43.1801,958.31
225.4501,170,4957.72,22.3066,4199.33
225.7809,171,5045.81,19.7461,2350.07
222.8636,172,4960.08,29.586,2593.77
225.7163,173,4647.41,20.1975,1766.94
227.2314,174,4741.24,21.1942,1578.31
265.4111,175,2188.37,127.8712,944.39
234.6261,176,3222.56,47.8988,2695.9
240.7627,177,3542.42,60.1942,2504.83
229.9042,178,4304.96,32.9724,2760.3
238.2382,179,4495.28,35.7187,2881.87
233.1521,180,5004.74,22.8658,5355.4
236.6887,181,5087.19,30.3786,4704.25
235.4261,182,3655.17,43.0723,2525.88
232.0859,183,4417.2,21.5636,4413.28
228.3645,184,4857.03,20.1749,4628.81
241.8039,185,4720.44,48.5724,5164.48
230.9497,186,5217.42,25.3429,3821.15
234.9844,187,5182.12,49.7793,4805.01
241.034,188,4660.88,63.0278,5136.64
235.2447,189,4722.21,31.1631,3583.34
241.0395,190,5050.34,51.8328,5354.44
231.0433,191,4352.25,25.8804,4606.61
239.9158,192,5140.82,40.2784,5472.2
236.1519,193,5306.35,43.1857,3255.9
234.3298,194,4725.88,42.0211,2798.39
241.0715,195,5034.12,35.6205,4381.65
242.0612,196,3669.69,88.3776,2559.44
233.7763,197,5277.11,48.0291,4084.44
249.3774,198,5294.47,50.6819,3715.93
248.4742,199,5089.67,62.2214,4961.72
241.9553,200,5157.38,42.4436,5479.67
242.1509,201,5108.48,57.5112,5471.27
246.9652,202,5257.88,41.1519,5109.97
246.6151,203,4855.18,72.3757,5519.73
242.6237,204,4525.3,69.5418,5400.95
257.028,205,4407.17,90.3997,4992.76
278.9408,206,2589.21,192.5773,3145.34
353.586,207,870.35,351.0388,1391.31
270.7445,208,5474.91,95.4017,5259.07
229.4554,209,4977.35,22.9084,5191.98
225.1894,210,4872.5,23.4356,5221.19
230.1281,211,5003.27,29.3635,5087.14
229.6182,212,4457.21,37.9051,5133.02
231.2354,213,4704.52,33.5362,5285.41
229.6612,214,4843.13,35.7388,4359.99
226.9466,215,5206.28,25.3043,3215.95
234.6893,216,4681.95,52.059,3307.55
252.8743,217,3878.52,91.0965,2134.33
263.9572,218,4288.85,133.8201,4049.74
242.2519,219,4873.58,64.1663,4756.21
251.9271,220,4280.31,90.3157,2859.87
246.5901,221,4432.32,77.8076,1387.61
296.6507,222,2855.01,177.6205,2351.09
256.8106,223,4501.36,75.0407,4239.93
254.6461,224,4563.2,62.1085,4052.45
480.7457,225,239.8,358.2136,187.55
357.7315,226,1126.02,304.2448,1194.56
351.149,227,907.38,277.9155,646.67
267.9572,228,4742.44,74.936,5207.53
277.672,229,4291.59,80.9618,4604.39
