Running Update Time,Itration,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Running Reverse KL,Running Env Steps
0,0,158.5702,-200.75,1.8453001976013184,-85.83,11.6527,0
1,1,158.5931,-75.3,-83.90411376953125,-9.79,12.3943,5000
2,2,158.2531,164.82,-20.304561614990234,324.69,12.3686,10000
3,3,158.0997,403.73,-3.435194492340088,569.91,12.8244,15000
4,4,158.3502,556.51,75.87152862548828,875.16,13.8393,20000
5,5,158.0898,632.65,29.337942123413086,996.7,14.2272,25000
6,6,158.1996,716.16,-22.771060943603516,908.85,15.1189,30000
7,7,158.1576,851.67,-32.263099670410156,986.75,15.5884,35000
8,8,158.2918,955.77,-91.17406463623047,1328.99,16.3678,40000
9,9,157.9642,1053.56,-69.39012145996094,1393.9,16.3841,45000
10,10,158.2364,1063.9,-143.1451416015625,1412.2,16.5997,50000
11,11,158.1474,1119.61,-181.8423309326172,1468.49,16.7763,55000
12,12,157.9186,1085.17,-234.25328063964844,1288.96,15.9472,60000
13,13,158.0916,1077.0,-291.610107421875,1370.8,16.7866,65000
14,14,158.2493,1173.29,-298.5247497558594,1532.0,16.7938,70000
15,15,158.1582,1207.82,-362.04486083984375,1559.78,16.957,75000
16,16,157.9495,1200.74,-390.9814453125,1571.58,16.7959,80000
17,17,158.0726,1232.97,-422.5065612792969,1619.33,16.4892,85000
18,18,158.0053,1279.55,-451.1087646484375,1637.6,17.0176,90000
19,19,157.7586,1341.51,-477.6774597167969,1700.43,16.9136,95000
20,20,158.0487,1294.23,-507.25,1728.18,16.4818,100000
21,21,157.6754,1388.56,-558.1397705078125,1747.3,16.9047,105000
22,22,157.7457,1399.72,-601.4906616210938,1802.72,16.7424,110000
23,23,157.8392,1384.69,-642.12255859375,1795.13,16.791,115000
24,24,157.7616,1479.08,-648.6249389648438,1884.53,17.2247,120000
25,25,157.6743,1483.0,-700.3771362304688,1864.73,17.0415,125000
26,26,157.8781,1523.43,-749.1732177734375,1874.84,17.0352,130000
27,27,157.814,1507.5,-775.0982055664062,1914.15,16.8761,135000
28,28,157.6398,1504.93,-812.3873901367188,1862.87,17.0332,140000
29,29,157.9248,1544.63,-873.6988525390625,1871.19,17.1722,145000
30,30,157.6764,1597.92,-905.0737915039062,1933.67,17.1671,150000
31,31,157.6631,1585.23,-926.4327392578125,1938.71,17.2941,155000
32,32,157.6727,1574.88,-989.7378540039062,1880.1,17.0547,160000
33,33,157.6857,1524.37,-1018.7088012695312,1880.29,16.8737,165000
34,34,157.8345,1590.38,-1043.5733642578125,1977.99,16.9424,170000
35,35,157.8266,1583.83,-1073.474365234375,1955.22,17.4724,175000
36,36,157.8552,1591.01,-1154.3548583984375,1931.46,17.033,180000
37,37,157.7111,1613.05,-1152.5498046875,1964.78,17.1469,185000
38,38,157.6883,1631.48,-1220.3946533203125,1928.32,16.7382,190000
39,39,157.6525,1614.09,-1260.7982177734375,1933.17,16.8079,195000
40,40,157.5907,1608.01,-1282.0078125,1886.28,16.9302,200000
41,41,157.6863,1572.06,-1333.028564453125,1892.56,16.9992,205000
42,42,157.5789,1571.46,-1349.8270263671875,1900.01,16.7198,210000
43,43,157.6224,1599.49,-1399.481689453125,1904.65,16.367,215000
44,44,157.4218,1650.44,-1432.790771484375,1980.09,16.4491,220000
45,45,157.2149,1669.78,-1439.1644287109375,2009.51,16.5424,225000
46,46,157.4359,1649.31,-1511.483642578125,2007.43,16.9184,230000
47,47,157.4403,1655.41,-1569.8214111328125,1979.43,16.71,235000
48,48,157.5824,1687.94,-1612.54296875,1991.51,17.037,240000
49,49,157.4729,1698.69,-1641.5526123046875,2020.54,16.8054,245000
50,50,157.3539,1654.04,-1672.166748046875,1972.66,16.4827,250000
51,51,157.444,1645.83,-1710.935546875,1927.82,16.4055,255000
52,52,157.3752,1687.81,-1720.9202880859375,2014.09,16.9201,260000
53,53,157.0873,1706.25,-1752.215087890625,2088.37,16.8294,265000
54,54,157.2906,1660.97,-1811.196044921875,1971.85,16.3021,270000
55,55,157.2908,1682.44,-1853.59326171875,2025.06,16.5033,275000
56,56,157.3344,1708.31,-1887.57470703125,1999.47,16.5415,280000
57,57,157.3781,1710.17,-1927.685302734375,2035.81,16.4652,285000
58,58,157.48,1733.43,-1962.30224609375,2085.27,16.7859,290000
59,59,157.2413,1745.02,-1981.244384765625,2116.56,17.0961,295000
60,60,157.2412,1676.28,-2052.587890625,1997.57,16.3941,300000
61,61,157.376,1715.23,-2082.98486328125,2081.69,16.8639,305000
62,62,157.2256,1697.2,-2114.0224609375,2022.04,16.4111,310000
63,63,157.1777,1710.89,-2158.48486328125,2085.08,16.1639,315000
64,64,157.1624,1737.72,-2194.4453125,2054.04,16.5155,320000
65,65,157.1351,1713.07,-2251.7734375,2041.53,16.0762,325000
66,66,157.1801,1708.17,-2296.820068359375,2019.65,16.1657,330000
67,67,157.1597,1718.96,-2322.197021484375,2103.02,16.2288,335000
68,68,157.0737,1750.08,-2351.21337890625,2106.67,16.4074,340000
69,69,157.1902,1718.01,-2415.270263671875,2040.15,16.5023,345000
70,70,157.075,1723.09,-2446.60205078125,2108.88,16.5989,350000
71,71,157.1872,1749.47,-2470.30810546875,2111.37,16.3955,355000
72,72,157.1391,1739.24,-2527.4228515625,2083.13,16.0682,360000
73,73,157.1469,1757.73,-2559.277099609375,2088.16,16.3016,365000
74,74,157.0876,1732.52,-2609.53466796875,2039.86,16.1894,370000
75,75,156.9885,1793.69,-2653.163330078125,2108.85,16.3756,375000
76,76,157.1907,1748.7,-2684.7060546875,2089.56,16.2294,380000
77,77,157.1518,1776.64,-2719.203857421875,2138.96,16.1791,385000
78,78,157.2084,1738.49,-2767.837890625,2062.3,16.1929,390000
79,79,157.2929,1780.48,-2809.50830078125,2117.57,16.5954,395000
80,80,156.9894,1775.83,-2846.057373046875,2116.34,16.2784,400000
81,81,157.0843,1776.05,-2901.22119140625,2092.4,16.3103,405000
82,82,156.9444,1748.22,-2970.66162109375,2032.48,16.2002,410000
83,83,157.0886,1768.35,-2966.1064453125,2091.07,15.9864,415000
84,84,157.1194,1763.04,-3034.695556640625,2056.35,16.141,420000
85,85,156.9879,1803.39,-3054.187744140625,2137.5,16.5361,425000
86,86,157.2772,1739.15,-3133.62109375,2093.41,16.0021,430000
87,87,157.3019,1771.52,-3146.66259765625,2086.04,16.0375,435000
88,88,156.9353,1790.88,-3181.700439453125,2127.97,16.2605,440000
89,89,157.0128,1782.85,-3225.208251953125,2100.59,16.1162,445000
90,90,156.9587,1801.78,-3278.691650390625,2118.83,16.3261,450000
91,91,156.978,1770.22,-3331.2138671875,2059.94,15.9358,455000
92,92,157.1896,1823.13,-3364.590087890625,2144.49,16.5049,460000
93,93,157.0292,1788.45,-3415.663330078125,2102.23,15.9364,465000
94,94,157.1248,1761.55,-3466.49365234375,2133.31,15.8883,470000
95,95,157.2554,1792.45,-3523.578125,2099.23,16.2028,475000
96,96,157.1175,1811.96,-3558.3544921875,2173.8,16.4523,480000
97,97,156.9886,1803.71,-3579.922607421875,2088.19,15.9735,485000
98,98,156.887,1785.18,-3630.212890625,2098.54,15.6732,490000
99,99,157.0945,1779.37,-3686.306884765625,2086.61,15.6507,495000
100,100,157.0326,1793.37,-3717.010986328125,2099.59,15.7989,500000
101,101,157.1718,1841.71,-3761.0078125,2167.3,16.3456,505000
102,102,156.9615,1802.0,-3814.425048828125,2153.41,16.061,510000
103,103,157.0613,1768.66,-3862.025634765625,2051.47,15.9454,515000
104,104,156.9556,1808.6,-3909.001708984375,2146.85,16.1189,520000
105,105,157.1733,1812.76,-3945.24951171875,2139.68,16.3538,525000
106,106,156.9603,1783.37,-3975.761474609375,2119.88,16.2416,530000
107,107,157.0824,1786.81,-4051.41259765625,2096.79,15.9948,535000
108,108,156.8727,1826.49,-4081.495849609375,2163.83,16.1043,540000
109,109,156.8702,1772.53,-4118.43994140625,2028.1,15.4983,545000
110,110,156.8475,1817.52,-4141.84375,2145.53,15.9377,550000
111,111,156.9514,1780.29,-4232.17919921875,2129.92,15.9632,555000
112,112,157.0427,1811.58,-4306.291015625,2120.21,16.2797,560000
113,113,156.978,1803.42,-4330.6171875,2159.49,16.2482,565000
114,114,156.8406,1805.45,-4380.8232421875,2153.98,15.9007,570000
115,115,156.8167,1811.79,-4413.96875,2157.9,15.9438,575000
116,116,156.8576,1789.39,-4471.0302734375,2120.5,15.7583,580000
117,117,156.921,1824.53,-4488.27392578125,2150.83,15.7355,585000
118,118,156.8597,1831.56,-4565.09521484375,2196.05,16.2235,590000
119,119,156.7946,1837.12,-4620.814453125,2182.57,15.5828,595000
120,120,156.9885,1862.41,-4690.31787109375,2205.09,16.0842,600000
121,121,157.0229,1815.66,-4722.1826171875,2152.13,16.0837,605000
122,122,156.7387,1848.51,-4770.59130859375,2208.78,15.9271,610000
123,123,156.9479,1812.28,-4846.45703125,2146.25,15.9954,615000
124,124,156.9497,1867.93,-4886.130859375,2190.64,16.2044,620000
125,125,156.8628,1795.08,-4952.17333984375,2123.92,15.6257,625000
126,126,157.0042,1832.37,-5005.06298828125,2121.72,16.0425,630000
127,127,156.6688,1851.57,-5026.740234375,2185.29,15.8327,635000
128,128,156.9953,1823.9,-5091.1796875,2167.76,15.9065,640000
129,129,156.8556,1829.81,-5150.85107421875,2166.38,15.8738,645000
130,130,156.8186,1856.7,-5181.6279296875,2183.15,15.7794,650000
131,131,156.7734,1775.48,-5271.97802734375,2095.69,15.4505,655000
132,132,156.8259,1864.4,-5334.4306640625,2205.6,16.6432,660000
133,133,156.9786,1809.52,-5366.7421875,2114.26,15.6595,665000
134,134,156.8272,1834.85,-5370.53466796875,2174.09,15.8113,670000
135,135,156.7102,1845.11,-5478.57275390625,2172.81,16.0498,675000
136,136,156.94,1786.29,-5545.966796875,2097.16,15.4373,680000
137,137,156.9313,1847.64,-5586.0009765625,2189.82,15.9163,685000
138,138,157.1244,1870.96,-5681.7861328125,2210.9,16.3027,690000
139,139,156.7107,1818.03,-5682.587890625,2139.98,15.5415,695000
140,140,156.787,1824.3,-5744.77490234375,2196.25,15.94,700000
141,141,156.8787,1878.1,-5803.37744140625,2220.88,16.0261,705000
