Real Det Return,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Running Update Time
241.35,-66.76161193847656,239.27,0,37.8644,0,18.3542,0
330.17,-81.13501739501953,291.11,1,36.3818,5000,21.1854,1
369.81,-97.95101165771484,381.06,2,35.9698,10000,26.6607,2
370.18,-57.03863525390625,326.26,3,33.7132,15000,19.6067,3
702.86,-123.83226776123047,629.2,4,31.3448,20000,29.6174,4
644.4,-132.9662322998047,643.9,5,31.9453,25000,29.5028,5
662.28,-123.43399047851562,726.42,6,32.1971,30000,27.8596,6
1094.67,-121.19969940185547,896.85,7,32.2321,35000,26.127,7
827.78,-97.67548370361328,795.49,8,32.0646,40000,19.2997,8
894.27,-112.43990325927734,790.84,9,31.5751,45000,21.3177,9
632.91,-82.28521728515625,792.08,10,31.1632,50000,17.0582,10
512.02,-123.5363540649414,352.44,11,33.009,55000,21.4045,11
716.64,-125.53430938720703,1103.64,12,30.4414,60000,20.3099,12
1254.75,-149.08523559570312,1082.57,13,30.5738,65000,22.1105,13
1613.66,-154.24172973632812,1225.14,14,31.4474,70000,27.2006,14
1002.1,-162.44773864746094,1314.75,15,30.9488,75000,27.0051,15
793.74,-128.28555297851562,1728.56,16,31.9296,80000,22.2674,16
2473.03,-142.27406311035156,1475.89,17,29.399,85000,22.2619,17
791.66,-177.04281616210938,1143.69,18,30.1908,90000,27.2107,18
1354.39,-171.20236206054688,1308.62,19,31.3478,95000,26.4643,19
929.14,-209.35621643066406,1022.47,20,31.6602,100000,28.2278,20
1270.92,-197.3502197265625,1245.98,21,30.9822,105000,26.4489,21
1219.78,-205.94219970703125,1128.87,22,30.9558,110000,25.2441,22
840.12,-209.63597106933594,1486.8,23,31.0667,115000,24.5663,23
945.67,-203.5295867919922,1483.96,24,30.3308,120000,23.9289,24
1737.52,-193.24591064453125,1412.67,25,30.7598,125000,23.0116,25
893.48,-243.5377197265625,1099.6,26,32.5376,130000,24.5577,26
1465.08,-225.77432250976562,1172.99,27,30.5016,135000,25.0438,27
3110.88,-146.52630615234375,2037.68,28,28.4724,140000,18.2813,28
1495.52,-225.13015747070312,1239.1,29,29.772,145000,20.1502,29
1656.86,-221.91258239746094,1394.21,30,28.2758,150000,18.9745,30
2989.23,-117.56944274902344,1867.71,31,28.2506,155000,14.9813,31
3039.74,-144.55770874023438,1929.45,32,28.6854,160000,16.6635,32
2838.79,-87.54251861572266,2462.01,33,28.6832,165000,13.9517,33
2877.05,-161.80723571777344,2278.75,34,29.3401,170000,18.5529,34
2281.2,-229.52621459960938,1956.51,35,28.161,175000,26.3277,35
1545.81,-290.883056640625,1489.8,36,29.3182,180000,29.9088,36
3198.19,-141.82122802734375,2490.39,37,28.5484,185000,19.2834,37
2401.42,-255.04928588867188,1635.09,38,27.6925,190000,23.6476,38
2752.81,-142.21644592285156,2492.39,39,26.5025,195000,16.3642,39
3217.69,-122.57846069335938,2346.25,40,28.3223,200000,17.0381,40
1913.46,-279.9805908203125,1520.33,41,27.8594,205000,23.5886,41
3178.25,-98.46514129638672,2802.77,42,27.3879,210000,15.3485,42
3280.95,-199.2720947265625,2182.03,43,28.0526,215000,19.2139,43
3134.38,-41.20212936401367,3247.47,44,27.0142,220000,15.2216,44
3244.35,-41.489601135253906,3128.33,45,27.6718,225000,15.7862,45
3267.38,-152.56459045410156,2745.16,46,27.5258,230000,17.0706,46
3253.98,-190.97653198242188,2385.46,47,28.4919,235000,18.1161,47
3225.95,-61.20878601074219,3086.65,48,26.4961,240000,13.3776,48
3201.1,-71.86847686767578,3184.16,49,28.6457,245000,16.0394,49
3259.35,-68.99732208251953,3144.14,50,26.9561,250000,14.1913,50
3324.38,-195.62966918945312,2347.16,51,27.3012,255000,17.3413,51
2623.9,-282.4705810546875,1726.67,52,27.109,260000,20.3796,52
2739.4,-290.05975341796875,1821.4,53,27.0549,265000,18.6626,53
3343.49,-56.90699768066406,3317.92,54,27.1382,270000,14.9047,54
3254.74,-68.5130386352539,3275.53,55,27.0024,275000,14.6923,55
3336.91,-54.7039794921875,3319.45,56,27.0721,280000,14.8788,56
3235.93,-74.64063262939453,3238.2,57,27.8728,285000,15.0003,57
3264.33,-79.23110961914062,3261.15,58,27.5783,290000,14.8239,58
3339.3,-58.20920944213867,3303.26,59,26.8505,295000,13.9569,59
3359.21,-52.2545280456543,3063.02,60,26.4033,300000,13.6557,60
3271.04,-65.84599304199219,3227.86,61,26.7232,305000,14.0626,61
3224.68,-78.29007720947266,3215.42,62,26.393,310000,13.5101,62
3350.33,-42.00950241088867,3325.32,63,26.0457,315000,13.9238,63
3364.04,-36.42466735839844,3345.96,64,25.5362,320000,13.71,64
3286.81,-43.183326721191406,3230.07,65,25.0632,325000,11.9626,65
-2.29,-380.38104248046875,-2.2,66,44.2846,330000,225.0746,66
3302.21,-69.63622283935547,3295.17,67,25.8948,335000,13.4245,67
108.67,-441.542724609375,101.29,68,34.5411,340000,38.6711,68
3344.93,-56.866050720214844,3343.02,69,25.9188,345000,13.8304,69
3329.3,-64.03607177734375,3334.43,70,26.3156,350000,14.4894,70
3359.92,-92.3355484008789,3217.32,71,25.7515,355000,13.333,71
3403.6,-51.91621017456055,3167.51,72,25.2956,360000,12.8961,72
3397.33,-99.5352554321289,3385.49,73,25.5694,365000,13.7795,73
141.19,-140.67196655273438,1392.96,74,25.6387,370000,13.442,74
3277.43,-77.13025665283203,3320.78,75,25.845,375000,13.792,75
3385.4,-71.82875061035156,3369.37,76,25.1839,380000,13.318,76
3402.72,-74.09742736816406,3369.2,77,25.2303,385000,14.1499,77
3460.08,-45.15167999267578,3326.03,78,24.8855,390000,12.8051,78
3398.27,-60.797035217285156,3392.2,79,24.918,395000,12.5339,79
3434.49,-47.1360969543457,3314.05,80,24.9757,400000,13.2926,80
3368.16,-82.33651733398438,3365.83,81,26.072,405000,14.3521,81
3417.25,-55.31632995605469,3373.73,82,25.2777,410000,13.6826,82
3460.63,-45.757503509521484,3438.22,83,24.6562,415000,13.2237,83
