Real Det Return,Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Running Update Time,Itration,Reward Loss
187.55,31.8272,185.64,46.3836,0,0,0,664.8865356445312
453.03,30.0462,433.89,17.9731,5000,1,1,455.2999267578125
294.96,30.1389,180.0,18.5235,10000,2,2,275.9819030761719
393.9,30.1823,398.09,52.4123,15000,3,3,213.92218017578125
618.48,28.5571,591.56,61.1184,20000,4,4,237.38368225097656
587.89,29.2229,571.25,23.008,25000,5,5,192.02127075195312
806.56,27.8539,756.58,67.8368,30000,6,6,260.2052307128906
1064.83,26.8477,939.19,90.6298,35000,7,7,316.0846862792969
830.83,26.2934,869.41,49.6411,40000,8,8,66.70040130615234
368.88,29.3255,439.36,82.2786,45000,9,9,184.34339904785156
917.28,26.6647,927.71,62.4001,50000,10,10,113.7735824584961
895.07,27.5025,857.42,84.2959,55000,11,11,139.08377075195312
1098.24,26.1929,1009.92,78.8144,60000,12,12,75.4999771118164
1210.3,26.3418,1133.02,109.0704,65000,13,13,134.3896026611328
1786.58,25.3424,1350.41,41.0176,70000,14,14,-31.90253448486328
1578.51,26.0397,1375.04,55.2905,75000,15,15,-15.629558563232422
1786.13,25.4177,1343.46,50.6981,80000,16,16,-63.7167854309082
1594.3,26.4117,1979.13,22.6513,85000,17,17,-240.26878356933594
752.76,25.8911,1124.82,31.5611,90000,18,18,-249.60301208496094
1581.73,25.374,1321.35,40.1522,95000,19,19,-180.5350799560547
2031.45,25.3818,1886.18,21.1345,100000,20,20,-154.74864196777344
2341.79,25.6254,1595.13,15.0734,105000,21,21,-57.98598861694336
1899.83,25.3546,1419.95,32.0225,110000,22,22,-51.27926254272461
2971.85,24.1992,2716.57,14.6068,115000,23,23,-52.36069107055664
1905.45,24.8665,2013.87,13.99,120000,24,24,-87.10238647460938
2154.35,24.8334,2864.33,14.4154,125000,25,25,-136.63278198242188
2994.38,24.827,2445.8,13.7799,130000,26,26,-130.8239288330078
2401.5,24.2805,2753.53,14.488,135000,27,27,-148.43386840820312
3083.26,24.0691,2893.56,22.0667,140000,28,28,-167.08030700683594
3132.44,24.9181,3107.66,16.3832,145000,29,29,-199.2263641357422
3154.96,23.6626,3136.54,15.3403,150000,30,30,-190.53211975097656
3135.83,23.4595,3150.01,14.2712,155000,31,31,-145.52439880371094
3194.24,23.593,3184.52,15.1681,160000,32,32,-172.8379364013672
3237.01,23.0503,3212.77,14.7828,165000,33,33,-175.61453247070312
3221.66,23.8934,3115.59,15.0491,170000,34,34,-192.3546905517578
3202.01,22.8949,3090.93,14.8313,175000,35,35,-177.00962829589844
3271.07,23.1696,3253.2,14.8694,180000,36,36,-168.80897521972656
3225.53,23.4716,3187.59,15.3861,185000,37,37,-284.4918518066406
3227.37,22.9496,3221.77,14.6642,190000,38,38,-246.58016967773438
3275.11,21.2838,3234.25,12.5455,195000,39,39,-251.93453979492188
3207.39,22.2888,3192.28,13.4309,200000,40,40,-284.99835205078125
3274.34,23.7247,3210.06,14.4222,205000,41,41,-300.04644775390625
3300.19,21.4806,3283.89,14.4514,210000,42,42,-256.4408874511719
