Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL,Itration
307.42,250.96,38.7017,16.2849,0
256.16,253.67,38.5159,22.1617,1
283.13,269.85,37.5841,20.5943,2
298.88,297.31,37.5279,18.8717,3
314.19,313.42,36.9212,31.3306,4
325.77,332.72,37.8132,21.9537,5
332.5,283.94,37.5569,32.3427,6
360.34,344.73,36.1962,15.8966,7
432.86,406.19,35.2976,15.2143,8
412.61,417.44,35.0705,21.5499,9
461.58,453.13,35.4636,17.3784,10
440.45,432.85,34.9504,18.085,11
455.69,480.15,34.2246,17.5232,12
503.39,488.25,34.5867,17.3706,13
597.44,580.25,34.0437,16.3475,14
553.39,603.53,33.439,14.508,15
650.82,632.37,32.7515,14.9553,16
684.67,779.31,31.9186,15.9862,17
1127.19,1145.88,30.9991,14.6447,18
1049.6,985.3,32.4233,16.0645,19
1279.61,1130.08,30.5136,16.8881,20
1965.27,1812.02,29.9172,13.9708,21
892.81,1067.07,31.5521,21.8816,22
2599.89,2511.77,30.7257,13.9292,23
970.08,1099.58,31.7853,18.2844,24
1603.5,1218.67,32.0806,16.2481,25
1053.82,951.11,32.3042,33.1238,26
3007.42,2765.98,30.2093,19.7513,27
1047.77,1035.56,31.7682,27.3793,28
3055.65,1554.81,30.8841,29.6192,29
1590.86,1342.54,31.8738,32.5642,30
3064.64,2902.21,30.0996,17.3855,31
3140.27,2130.39,29.7087,21.6509,32
1183.89,1169.69,31.4323,31.0773,33
1482.61,1030.12,31.3407,32.9371,34
2995.24,2441.8,30.2721,20.1421,35
3051.16,2666.51,30.615,20.8128,36
1371.26,1305.97,31.1217,35.336,37
1789.9,1176.03,31.3099,31.9859,38
3059.01,2815.09,29.9026,21.9646,39
1165.97,1085.2,31.3848,21.2937,40
1197.24,1041.34,31.3582,18.1702,41
2169.3,1746.2,30.7596,27.0705,42
3160.3,1724.15,30.1628,22.4483,43
3140.18,2612.72,30.6473,22.4056,44
3180.79,1591.13,31.2183,27.3167,45
3059.8,2990.9,30.1177,16.7654,46
3103.64,3037.97,30.5425,19.384,47
2805.75,1509.3,30.4446,22.4071,48
3224.77,1562.16,30.0299,25.0684,49
1114.72,976.06,31.5947,28.876,50
3224.75,1803.95,29.7767,21.0521,51
3165.57,3209.59,30.7348,17.5093,52
3207.12,2173.61,30.1063,20.9571,53
3208.24,2040.39,30.1108,28.4976,54
3208.12,3125.36,30.0533,17.4663,55
3335.48,1582.29,30.4674,38.3368,56
