Reward Loss,Running Env Steps,Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Running Reverse KL
253.90182495117188,0,0,306.41,30.7437,313.26,0,38.2384
245.9722137451172,5000,1,332.86,30.2025,340.57,1,40.9324
191.80581665039062,10000,2,233.33,31.1557,250.07,2,29.5053
99.90325164794922,15000,3,356.66,31.2895,323.2,3,26.0042
135.01205444335938,20000,4,363.02,29.0389,367.65,4,35.8485
8.167793273925781,25000,5,1483.29,25.1786,1219.42,5,22.5835
73.65892028808594,30000,6,755.0,24.9753,758.52,6,33.4612
13.855579376220703,35000,7,840.87,24.2901,955.01,7,26.7047
-32.83419418334961,40000,8,1332.5,23.9765,1750.85,8,17.2593
8.212262153625488,45000,9,2693.39,23.4706,2116.02,9,11.6686
-59.73313903808594,50000,10,1340.5,24.919,1108.96,10,27.3589
-87.96670532226562,55000,11,795.59,24.69,886.66,11,39.626
-61.7704963684082,60000,12,2395.85,22.9786,1595.93,12,19.5063
-19.703908920288086,65000,13,2381.16,22.8583,1843.83,13,28.6856
-157.62889099121094,70000,14,984.61,24.9529,955.14,14,40.5935
-214.38827514648438,75000,15,979.84,24.4152,1062.84,15,38.0306
-248.20562744140625,80000,16,1006.63,23.5444,1099.54,16,20.8805
-165.01138305664062,85000,17,1665.17,22.2919,1899.96,17,14.5219
-21.83948516845703,90000,18,3171.33,23.249,2244.42,18,23.1501
-7.400788307189941,95000,19,3172.04,22.3805,2972.73,19,12.8798
-153.2870635986328,100000,20,2940.71,22.5541,2004.75,20,20.9691
-8.079358100891113,105000,21,3206.92,22.1659,3086.4,21,13.0584
-28.869535446166992,110000,22,3276.34,21.7307,2823.25,22,13.6314
-15.16569995880127,115000,23,3168.84,21.2353,2927.04,23,11.9659
-36.14098358154297,120000,24,3247.48,22.1662,3137.49,24,13.0803
-100.33635711669922,125000,25,3270.3,21.5784,3248.99,25,13.2049
-67.18466186523438,130000,26,3265.82,20.0435,3158.59,26,14.0096
-78.19916534423828,135000,27,3223.11,21.1218,3127.3,27,12.8734
-52.170650482177734,140000,28,3251.37,20.7826,3262.57,28,12.7682
-91.03659057617188,145000,29,3260.52,20.7564,3182.68,29,12.2325
-112.1364974975586,150000,30,3215.78,21.1433,3225.05,30,12.674
-105.07817840576172,155000,31,3258.84,20.6964,2837.6,31,12.8016
-132.2359161376953,160000,32,3259.53,20.9389,2984.92,32,12.8943
-135.00233459472656,165000,33,3272.33,21.5929,3088.05,33,13.644
-140.52284240722656,170000,34,3285.83,20.5451,3159.91,34,12.3462
-106.3316421508789,175000,35,3290.78,21.068,2271.99,35,12.8861
-139.2745361328125,180000,36,3288.74,20.3103,3127.48,36,12.479
-153.19961547851562,185000,37,3326.7,20.3096,3144.47,37,12.7711
-137.5059051513672,190000,38,3308.68,20.2118,3284.1,38,12.0076
-168.37841796875,195000,39,3301.73,20.5111,3283.97,39,12.3446
-151.43829345703125,200000,40,3315.51,20.153,3250.44,40,12.3387
-166.5542755126953,205000,41,3325.41,19.9687,3317.04,41,12.8475
-183.94281005859375,210000,42,3329.59,19.5924,3316.53,42,12.3988
-178.56874084472656,215000,43,3330.94,19.9495,3328.15,43,12.0931
-181.6447296142578,220000,44,3344.76,19.6856,2807.14,44,12.3083
-197.07518005371094,225000,45,3360.76,19.1334,3355.58,45,12.3758
-224.66458129882812,230000,46,3335.34,19.8051,3119.85,46,12.0293
-226.43699645996094,235000,47,3337.93,19.6485,746.26,47,12.9519
-230.86773681640625,240000,48,3356.16,20.6074,3345.25,48,12.7953
-229.045166015625,245000,49,3320.26,20.0134,3326.05,49,13.7208
-223.5107879638672,250000,50,3379.6,19.2961,3336.63,50,11.8076
-327.5553894042969,255000,51,3371.3,20.1121,3002.29,51,12.8189
-280.5862731933594,260000,52,3350.13,19.9419,3353.24,52,13.0931
-270.7940368652344,265000,53,3360.2,19.1462,3356.67,53,12.1341
-271.6637878417969,270000,54,3385.18,19.5912,3398.9,54,12.9905
-235.41709899902344,275000,55,3357.18,18.586,3380.84,55,11.6042
