Running Forward KL,Real Sto Return,Running Reverse KL,Running Env Steps,Running Update Time,Reward Loss,Real Det Return,Itration
18.7498,2916.7,15.3585,390000,78,-1178.2197265625,3331.58,78
19.8683,2148.7,20.4493,395000,79,-1929.2493896484375,3308.59,79
19.6972,3209.69,10.2342,400000,80,-1036.490478515625,3211.12,80
18.0342,3232.48,12.8511,405000,81,-938.385498046875,3322.15,81
18.3814,3205.6,10.8395,410000,82,-538.1326904296875,3305.3,82
17.9256,2709.36,13.9809,415000,83,-914.9618530273438,3355.23,83
18.8405,2962.62,11.465,420000,84,-1176.4320068359375,3357.44,84
18.2226,3337.95,10.925,425000,85,-503.1236877441406,3334.65,85
17.8804,3350.54,10.7479,430000,86,-446.7179870605469,3367.11,86
19.3298,2982.99,11.5526,435000,87,-668.6219482421875,3285.64,87
18.3365,3298.84,10.9498,440000,88,-553.8871459960938,3319.11,88
17.9417,3323.86,10.2552,445000,89,-650.1073608398438,3345.3,89
17.9966,2917.46,10.4233,450000,90,-771.2827758789062,3370.95,90
17.871,3230.21,10.5353,455000,91,-490.75323486328125,3356.68,91
17.345,3364.96,10.6281,460000,92,-427.88763427734375,3374.39,92
17.4893,3365.71,10.4065,465000,93,-502.95361328125,3378.95,93
16.9389,3331.01,10.2506,470000,94,-510.86224365234375,3399.6,94
17.8589,3354.87,11.0651,475000,95,-374.87213134765625,3386.78,95
18.1407,3356.59,10.9403,480000,96,-585.5521850585938,3366.14,96
17.1005,3370.84,10.6296,485000,97,-480.3136291503906,3372.43,97
16.49,3016.1,10.5953,490000,98,-521.8240966796875,3400.44,98
16.7103,3353.18,10.0131,495000,99,-458.5948791503906,3372.24,99
17.2015,3392.66,10.7966,500000,100,-406.35150146484375,3421.56,100
17.7645,3300.18,10.8691,505000,101,-488.6494140625,3304.46,101
16.3657,3360.49,9.9271,510000,102,-461.53167724609375,3379.97,102
16.9077,3116.71,10.3586,515000,103,-406.64166259765625,3414.75,103
16.8717,3359.71,10.7942,520000,104,-392.3588562011719,3371.77,104
18.3518,3307.5,10.6816,525000,105,-695.1421508789062,3321.56,105
19.4653,3233.29,11.366,530000,106,-801.6101684570312,3236.08,106
17.172,3379.42,10.9733,535000,107,-450.8619689941406,3409.34,107
17.399,3332.33,10.9722,540000,108,-540.5601196289062,3362.53,108
17.6318,3294.4,14.1593,545000,109,-621.2071533203125,3409.44,109
16.9172,3384.44,10.7506,550000,110,-455.00103759765625,3406.33,110
17.2712,3390.3,11.2012,555000,111,-824.1812744140625,3411.97,111
17.8867,2681.91,11.5547,560000,112,-756.509765625,3388.34,112
18.8532,2781.42,20.2293,565000,113,-1597.3310546875,3366.54,113
17.1965,3256.06,10.627,570000,114,-605.1880493164062,3355.77,114
17.0738,3108.16,10.3253,575000,115,-575.205810546875,3357.85,115
18.2408,2551.74,40.2386,580000,116,-1838.6519775390625,3446.36,116
18.5702,3350.39,11.8256,585000,117,-710.9791259765625,3366.34,117
16.7072,3347.36,10.4226,590000,118,-611.8181762695312,3373.7,118
16.7541,3055.18,13.218,595000,119,-818.8257446289062,3419.11,119
16.9034,3257.21,10.5052,600000,120,-481.1467590332031,3411.72,120
16.7473,3198.0,11.4794,605000,121,-734.9806518554688,3421.04,121
16.469,3277.28,10.7799,610000,122,-646.23974609375,3410.6,122
16.2222,3156.78,10.4583,615000,123,-462.13580322265625,3410.08,123
15.9362,3191.32,9.5612,620000,124,-601.673828125,3384.82,124
18.2812,2747.98,31.8758,625000,125,-2213.07861328125,3371.98,125
16.9665,3376.12,10.9751,630000,126,-593.0721435546875,3420.67,126
16.2169,3367.81,10.0198,635000,127,-614.8966064453125,3395.88,127
16.4512,2548.41,9.436,640000,128,-642.2501220703125,3399.9,128
17.8409,1403.13,16.9879,645000,129,-1147.2674560546875,3403.85,129
16.8941,3302.03,13.9463,650000,130,-748.1468505859375,3448.6,130
16.5147,3215.21,10.5786,655000,131,-572.3297119140625,3407.68,131
15.4666,3438.63,9.3033,660000,132,-342.81658935546875,3470.26,132
15.4763,3211.89,8.9771,665000,133,-541.4129028320312,3419.8,133
17.8251,3093.47,10.7964,670000,134,-753.7852172851562,3396.16,134
17.7916,3255.19,11.6855,675000,135,-698.535400390625,3395.24,135
16.8316,3141.08,9.8236,680000,136,-706.3174438476562,3374.88,136
17.4833,2750.05,21.0077,685000,137,-1535.9769287109375,3374.36,137
16.8033,3326.24,9.8485,690000,138,-764.1893310546875,3361.01,138
16.0224,3293.12,9.4426,695000,139,-537.6046752929688,3408.57,139
16.3298,3278.32,9.5361,700000,140,-700.6090087890625,3390.58,140
17.0175,3354.08,10.4649,705000,141,-776.1969604492188,3388.06,141
16.7277,3353.63,10.0241,710000,142,-717.1613159179688,3432.8,142
16.2469,3361.44,10.0291,715000,143,-710.0397338867188,3395.4,143
17.0814,3347.53,9.5183,720000,144,-841.3308715820312,3388.05,144
16.9499,3146.08,10.294,725000,145,-979.833251953125,3402.6,145
17.1782,3298.42,13.1843,730000,146,-912.640380859375,3419.66,146
