Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Running Reverse KL,Itration
296.41,0,0,49.8547,-441.2908630371094,342.71,14.7145,0
592.14,5000,1,50.0166,-248.5254669189453,307.14,20.6738,1
298.17,10000,2,49.3596,-430.0142517089844,291.44,16.6252,2
556.77,15000,3,49.3616,-145.11683654785156,431.08,22.2316,3
556.2,20000,4,48.6145,-385.39324951171875,446.15,19.2113,4
466.34,25000,5,49.4333,-572.0333251953125,442.0,14.8332,5
406.32,30000,6,49.2368,-448.790283203125,385.9,22.1303,6
497.64,35000,7,48.8043,-1025.1409912109375,445.99,14.446,7
588.86,40000,8,48.4431,-814.528076171875,498.78,14.7657,8
462.69,45000,9,49.0847,-826.2789916992188,455.41,20.0449,9
735.55,50000,10,48.8336,-1450.509765625,504.2,13.0529,10
477.86,55000,11,48.6629,-1520.2513427734375,547.01,12.2635,11
421.88,60000,12,48.8843,-1293.119384765625,563.48,14.8256,12
717.76,65000,13,47.7847,-1113.9583740234375,803.58,21.1691,13
862.54,70000,14,47.5812,-1122.767822265625,1039.01,16.9351,14
1883.88,75000,15,46.9616,-845.1891479492188,1489.9,14.5702,15
1021.58,80000,16,47.3238,-1462.462646484375,984.45,18.8995,16
2370.97,85000,17,47.9319,-1582.5267333984375,1254.85,22.5027,17
1236.57,90000,18,47.3675,-1743.750732421875,1078.7,25.4033,18
1650.0,95000,19,47.2703,-1406.180419921875,1132.38,23.8651,19
2586.21,100000,20,47.134,-1616.796875,1328.67,21.3388,20
2564.06,105000,21,46.604,-1246.0794677734375,1837.89,16.9692,21
2161.73,110000,22,46.7021,-1136.2662353515625,2161.28,15.6349,22
918.14,115000,23,46.2821,-1524.1192626953125,1661.9,32.3933,23
1138.3,120000,24,46.9458,-1784.856201171875,1744.88,29.0336,24
1647.15,125000,25,45.9659,-1758.2625732421875,1539.96,20.1145,25
1308.35,130000,26,46.9068,-1775.148193359375,2014.22,14.8165,26
1879.07,135000,27,46.2618,-1922.5162353515625,1730.53,21.1696,27
2215.95,140000,28,46.4388,-1652.863037109375,2500.92,14.3792,28
2162.33,145000,29,46.3009,-1411.509521484375,2054.56,15.668,29
2326.25,150000,30,46.4369,-1739.8291015625,2094.75,15.9406,30
1901.43,155000,31,46.238,-1590.320068359375,2278.51,15.0324,31
1900.15,160000,32,46.4324,-1877.4254150390625,2161.99,14.0058,32
1670.47,165000,33,46.2202,-1565.368896484375,2320.16,15.8767,33
2626.85,170000,34,46.0626,-1880.7418212890625,2392.9,13.9013,34
2123.02,175000,35,46.2894,-1589.4241943359375,2033.48,15.414,35
926.99,180000,36,46.1271,-1869.047119140625,2185.08,14.8294,36
2151.25,185000,37,46.1225,-2230.666748046875,2108.72,14.5862,37
2724.75,190000,38,46.109,-2033.5357666015625,2661.63,14.7039,38
2722.39,195000,39,45.7332,-1956.76025390625,2387.22,14.4537,39
2846.33,200000,40,45.8825,-1718.242919921875,2533.64,16.3671,40
2872.68,205000,41,45.9136,-1721.9984130859375,2855.96,15.9159,41
2762.68,210000,42,46.1823,-1742.9830322265625,2807.76,16.2439,42
2725.35,215000,43,46.1424,-1865.948974609375,2870.66,16.0101,43
3040.87,220000,44,46.2477,-1717.3382568359375,3005.53,17.0914,44
3062.82,225000,45,45.672,-2055.78369140625,2920.34,15.9898,45
3080.54,230000,46,45.9415,-1898.768798828125,2983.66,16.8017,46
3031.38,235000,47,45.4961,-1926.3707275390625,3039.97,17.0326,47
3001.49,240000,48,45.9133,-1976.8240966796875,2984.19,16.7193,48
2999.02,245000,49,45.5883,-1858.785400390625,3097.65,17.6532,49
3166.69,250000,50,45.192,-1963.693115234375,3153.15,16.7317,50
3120.12,255000,51,45.8011,-2066.375244140625,3049.14,16.8568,51
3094.05,260000,52,45.803,-2178.453857421875,3003.26,17.0683,52
3117.68,265000,53,45.9363,-2099.490966796875,3032.34,17.7715,53
2964.0,270000,54,44.74,-2372.35546875,2988.57,15.5691,54
2997.64,275000,55,45.5795,-2312.42333984375,2974.91,15.9489,55
3052.24,280000,56,45.3581,-2261.519775390625,3076.23,17.5465,56
3124.53,285000,57,45.2368,-2352.87060546875,3078.37,16.7353,57
3213.9,290000,58,44.7268,-2364.04736328125,3145.55,16.369,58
3196.82,295000,59,44.4539,-2378.342529296875,3137.36,16.9831,59
3043.66,300000,60,45.1731,-2656.467529296875,2905.65,15.534,60
3046.48,305000,61,44.4874,-2555.596923828125,3024.89,16.2625,61
3101.1,310000,62,44.8286,-2634.1455078125,3093.0,15.3167,62
3074.63,315000,63,45.1014,-2813.5166015625,3062.12,14.7843,63
3307.14,320000,64,44.8205,-2636.1689453125,3308.34,17.4929,64
3334.99,325000,65,44.1917,-2709.079345703125,3038.1,17.1903,65
3213.99,330000,66,44.5863,-2751.55908203125,3277.93,16.6271,66
3252.7,335000,67,44.4975,-2879.4990234375,3166.53,16.9798,67
3228.0,340000,68,44.4934,-2868.71630859375,3207.09,15.8608,68
3272.18,345000,69,44.1391,-2927.28076171875,3222.62,16.0976,69
3284.23,350000,70,44.1085,-2902.85009765625,3246.45,16.7315,70
3338.92,355000,71,44.0535,-2826.787841796875,3225.1,16.8636,71
3232.06,360000,72,44.5284,-2984.803466796875,3265.84,17.9749,72
3248.04,365000,73,44.0724,-2958.41455078125,3312.42,17.2032,73
3308.14,370000,74,43.9718,-2967.592041015625,3382.8,16.7571,74
3406.14,375000,75,44.3656,-3138.933837890625,3437.78,18.3092,75
3352.47,380000,76,44.3327,-3116.3427734375,3368.76,18.3351,76
