Running Reverse KL,Running Forward KL,Itration,Real Det Return,Real Sto Return
18.3715,37.607,0,119.11,137.41
33.875,36.786,1,282.13,279.94
17.6649,35.5571,2,334.61,324.92
25.005,35.1484,3,362.55,349.78
91.9699,34.2303,4,424.7,413.0
92.8317,34.1228,5,508.25,471.44
94.7768,32.9322,6,508.95,489.81
104.4994,32.9095,7,492.13,470.15
34.2998,31.0186,8,764.27,804.22
21.5994,29.9384,9,2543.04,2236.77
29.4692,32.4971,10,271.9,945.34
41.9615,32.8889,11,626.2,627.47
32.6538,30.3646,12,1219.73,1622.49
19.7053,29.6764,13,2051.53,1915.26
35.7541,30.352,14,2016.19,1745.24
36.3085,30.5201,15,1124.33,1331.12
36.1479,30.706,16,976.32,1187.43
64.2631,29.845,17,1038.33,1688.45
34.9826,30.1651,18,2201.72,1764.95
81.987,29.7699,19,1270.29,2220.66
37.6376,29.2936,20,2690.0,2063.47
16.7984,29.7039,21,3048.88,2296.17
16.8165,28.6477,22,3210.98,3011.83
20.5824,30.9918,23,960.83,996.27
15.5104,29.4847,24,3306.42,3260.71
31.399,30.3715,25,950.29,1170.93
17.5558,28.0261,26,3321.82,2938.99
16.0745,27.2299,27,3291.25,2595.57
13.2446,27.1144,28,3297.96,3188.27
14.5091,27.0169,29,3295.47,3146.16
50.2103,27.8094,30,3288.05,1943.57
15.1366,28.1423,31,3357.52,3318.17
15.3129,28.5326,32,3281.71,3178.14
13.0492,26.4004,33,3363.98,3213.25
19.5318,27.7819,34,3292.09,3155.97
13.2526,27.1708,35,3168.96,2882.28
13.2901,26.5201,36,3291.55,3250.38
12.9713,25.4488,37,3239.53,3226.58
13.9614,25.9403,38,3327.21,3271.41
13.0674,26.0757,39,3351.19,3201.17
13.8032,26.1626,40,3286.02,3290.26
14.8091,27.2918,41,3368.6,3327.0
26.3881,27.1826,42,3279.12,2150.0
12.0593,25.4139,43,3228.93,3076.76
13.2049,25.6192,44,3325.92,2909.44
50.9893,26.9452,45,3350.13,1927.83
16.0113,26.132,46,3382.62,3009.73
62.8018,29.7481,47,3341.7,1195.09
15.4568,26.6137,48,3288.97,3102.29
74.0433,28.8858,49,3324.68,1740.43
13.9791,26.4497,50,3396.01,3274.21
17.5131,27.5971,51,3436.88,2878.88
12.3517,24.7883,52,3384.78,3062.97
25.6077,25.357,53,3325.57,2460.47
13.0914,25.8767,54,3382.55,2744.01
14.0193,26.9082,55,3429.51,3022.14
23.0297,26.1466,56,3329.45,2060.96
13.2486,25.5805,57,3354.86,3211.69
12.6762,25.3216,58,3391.16,3206.2
13.5305,26.0375,59,3392.51,2716.48
13.252,25.5573,60,3337.21,3199.5
12.987,26.0999,61,3303.3,3167.75
19.3783,27.4922,62,3385.33,1685.92
16.1868,25.9172,63,3336.49,3112.13
13.2218,25.6366,64,3346.12,3256.07
34.253,25.2206,65,3340.07,2666.33
20.3776,26.7452,66,3374.88,2841.95
13.3642,25.3161,67,3332.37,2992.86
13.7834,25.9892,68,3449.07,3379.44
15.0292,26.6891,69,3450.41,3358.44
13.2798,25.2335,70,3449.84,3302.35
13.9333,25.6082,71,3460.3,3409.92
13.4659,25.5256,72,3433.36,3129.74
20.8167,25.2089,73,3452.03,3071.62
13.4181,24.8721,74,3470.02,3436.42
14.6442,26.1072,75,3447.85,3395.14
24.7557,25.3629,76,3461.23,3425.25
43.1195,25.1233,77,3415.44,2725.85
12.9855,24.9743,78,3480.33,3339.85
14.6432,26.458,79,3543.07,3510.31
13.9526,25.6473,80,3484.96,3446.49
13.9418,25.9483,81,3492.02,3459.36
13.6727,25.4828,82,3478.19,3465.04
13.5917,25.088,83,3465.38,3446.46
12.6627,24.5573,84,3455.14,3439.6
26.5644,26.1151,85,3461.01,2862.37
13.1187,24.9599,86,3485.56,3456.71
34.8177,26.0245,87,3488.28,2874.44
16.4705,25.1449,88,3506.87,3286.12
16.9175,25.1161,89,3475.95,2820.81
16.3559,25.1854,90,3436.12,3241.84
13.9162,24.3374,91,3280.88,2820.02
25.4381,25.1794,92,3469.34,3233.74
13.3138,24.5699,93,3503.36,3469.39
13.8115,25.4611,94,3504.88,3452.33
11.1912,22.8674,95,3452.02,3437.93
13.2655,24.9551,96,3463.54,3471.87
14.6622,24.65,97,3455.43,3349.61
14.0385,23.7493,98,3431.62,3117.47
12.717,23.9123,99,3486.91,3466.18
13.2313,24.6612,100,3460.62,3355.23
13.6653,24.8378,101,3475.54,3437.94
12.3655,24.2722,102,3460.27,3443.74
17.1964,25.089,103,3503.97,3026.64
16.6538,24.8543,104,3426.62,3236.48
13.0216,24.5178,105,3428.32,3317.76
13.3099,25.3488,106,3513.61,3326.05
13.5087,25.6837,107,3467.57,3455.53
13.555,25.2019,108,3438.51,3396.0
13.7983,24.8241,109,3450.06,3444.14
13.0306,24.3831,110,3470.96,3435.03
13.8698,25.7496,111,3486.16,3358.49
14.4648,24.4221,112,3455.78,3369.58
14.9684,24.5587,113,3399.5,3325.8
17.6403,24.9257,114,3429.86,3345.9
13.6462,25.5606,115,3494.41,3042.56
13.4424,24.2227,116,3423.91,3331.6
12.8002,23.5123,117,3456.64,3371.27
12.971,24.2152,118,3463.01,3371.43
12.7212,23.7523,119,3456.85,3122.64
13.5832,24.9978,120,3423.88,3120.1
11.8807,23.3933,121,3418.72,3308.67
20.8554,24.9051,122,3437.19,3321.62
13.7825,24.5397,123,3450.72,3295.73
13.8768,25.052,124,3446.46,3428.73
13.5934,24.3167,125,3464.4,3466.98
12.1722,24.3732,126,3440.23,3389.61
13.4757,24.8564,127,3443.01,3415.53
12.7657,23.976,128,3368.97,3230.25
12.3906,24.1446,129,3465.85,3321.5
11.3642,22.8682,130,3481.53,3455.34
23.9862,23.9048,131,3485.82,2748.91
15.5431,24.8306,132,3447.86,3313.38
13.0271,24.4981,133,3470.5,3324.76
12.5241,23.6581,134,3441.73,3402.27
11.575,23.3233,135,3470.64,3409.84
12.4733,23.8936,136,3447.67,3408.57
12.6306,24.3625,137,3470.19,3439.93
13.6535,24.8161,138,3398.94,3253.84
12.0905,23.6336,139,3444.56,3409.56
12.5158,24.0175,140,3456.75,3316.03
13.7935,25.5828,141,3489.58,3115.5
15.6221,24.8908,142,3498.92,3038.38
13.0331,23.8941,143,3446.97,3263.43
13.947,26.4437,144,3531.42,2685.66
14.2731,24.7627,145,3456.94,3049.59
12.1413,23.7766,146,3474.2,3276.44
13.0533,24.3452,147,3479.51,3354.06
20.3645,25.4436,148,3492.62,2928.36
13.3852,24.3426,149,3469.1,3116.04
14.9515,25.3052,150,3480.54,3267.58
17.1436,24.1494,151,3474.85,3049.05
18.5588,26.7346,152,3504.16,2465.56
13.9786,25.3872,153,3478.19,3307.64
12.2729,23.7112,154,3443.23,3398.68
13.9043,24.6694,155,3463.84,3103.04
18.0363,24.9849,156,3451.82,3175.45
12.2002,23.7412,157,3489.22,3349.59
12.6371,25.7593,158,3513.2,2552.68
12.7588,24.4415,159,3463.17,3265.57
16.1908,24.8612,160,3438.36,2510.23
12.6595,25.4989,161,3489.1,3444.07
13.5737,25.7911,162,3449.04,2365.0
23.7627,25.3414,163,3466.38,2492.24
13.1945,24.3391,164,3495.58,3479.28
12.4253,23.7424,165,3478.9,3250.8
12.772,24.1124,166,3465.36,3416.03
12.1326,23.5691,167,3463.71,3429.52
13.55,24.9935,168,3464.68,3233.84
12.9889,24.8728,169,3491.04,3389.04
12.1278,23.6923,170,3465.06,3432.63
12.5951,23.9065,171,3472.69,3465.7
13.3492,24.2587,172,3470.36,3429.75
13.0386,24.499,173,3457.91,3436.14
19.5838,24.9038,174,3494.97,2671.49
13.1077,24.9211,175,3500.38,3468.98
13.0364,24.2617,176,3472.51,3451.45
12.0417,22.8772,177,3464.52,3308.55
12.1508,23.6475,178,3410.58,3008.8
11.7549,24.429,179,3494.69,3437.14
12.0598,23.3484,180,3459.77,3405.57
12.7047,24.5471,181,3471.42,3414.16
12.6401,24.0416,182,3469.7,3044.17
12.6127,23.9108,183,3482.44,3426.74
11.9303,23.5615,184,3469.62,3424.55
12.2457,24.2738,185,3452.06,3116.63
13.5774,23.8114,186,3486.92,3243.04
12.1562,23.5004,187,3461.58,3442.3
14.8585,25.4763,188,3486.57,2167.84
12.1718,23.5674,189,3490.89,3471.02
12.7992,23.3202,190,3462.57,3425.23
11.7997,23.4426,191,3453.7,3051.49
12.3641,23.8173,192,3489.71,3458.03
12.782,24.717,193,3504.78,3409.92
12.4802,24.0446,194,3402.01,3339.01
12.2728,23.8894,195,3515.49,3497.7
12.2181,24.1012,196,3505.43,3338.77
11.932,23.859,197,3517.46,3334.87
11.4642,22.3468,198,3466.64,3324.82
20.7601,25.7891,199,3519.8,2899.54
