Itration,Running Update Time,Real Det Return,Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return
0,0,-23.37,158.4545,0,28.153329849243164,11.5025,-196.38
1,1,-30.55,158.4241,5000,-32.36988067626953,12.0645,-106.36
2,2,653.58,158.1204,10000,-62.51335144042969,11.7567,80.9
3,3,661.76,158.0878,15000,-117.45637512207031,12.3867,224.03
4,4,708.57,157.7065,20000,-150.77865600585938,12.0,315.41
5,5,892.94,157.8067,25000,-242.0929718017578,13.1922,442.53
6,6,970.55,157.9309,30000,-293.7181701660156,13.8484,591.43
7,7,1056.18,158.0038,35000,-356.1587219238281,14.389,720.54
8,8,1117.51,157.8771,40000,-398.9959716796875,15.1644,795.17
9,9,1234.5,157.6552,45000,-432.22235107421875,15.1812,927.51
10,10,1438.26,157.5034,50000,-456.30670166015625,15.3206,1005.19
11,11,1600.27,157.8471,55000,-525.5106811523438,16.3966,1168.09
12,12,1610.57,157.8178,60000,-555.9044189453125,16.3169,1202.38
13,13,1675.07,157.8215,65000,-599.8330078125,16.7868,1295.44
14,14,1697.83,157.7838,70000,-631.3794555664062,16.3084,1287.77
15,15,1777.09,157.7057,75000,-664.5453491210938,16.6242,1346.96
16,16,1743.36,157.9137,80000,-708.7543334960938,16.8984,1365.99
17,17,1852.94,157.6557,85000,-761.911865234375,16.9813,1443.65
18,18,1895.16,157.8323,90000,-790.546875,16.71,1463.92
19,19,1864.7,157.8777,95000,-822.5982666015625,16.7752,1476.58
20,20,1940.88,157.6544,100000,-840.3405151367188,16.6142,1531.59
21,21,1938.82,157.5422,105000,-891.202880859375,16.1441,1528.52
22,22,1952.2,157.2969,110000,-903.348876953125,16.2952,1551.47
23,23,1962.86,157.5639,115000,-951.0225830078125,16.3606,1597.1
24,24,1973.86,157.57,120000,-974.864013671875,16.2862,1572.34
25,25,1996.24,157.5126,125000,-1024.851806640625,16.5277,1636.38
26,26,1953.13,157.4734,130000,-1057.0355224609375,16.0529,1574.99
27,27,2030.64,157.4914,135000,-1087.3787841796875,16.4732,1670.03
28,28,2001.13,157.3359,140000,-1132.1844482421875,16.1853,1618.29
29,29,2054.78,157.3285,145000,-1153.0694580078125,16.3734,1676.09
30,30,1992.21,157.5007,150000,-1217.908203125,16.693,1660.54
31,31,2016.7,157.2212,155000,-1244.4725341796875,16.2081,1674.33
32,32,2021.58,157.3431,160000,-1267.7960205078125,16.6697,1703.99
33,33,2047.51,157.3939,165000,-1300.5313720703125,16.2744,1670.7
34,34,2047.18,157.0226,170000,-1328.3099365234375,16.0143,1695.0
35,35,1968.51,157.1718,175000,-1369.90234375,15.6166,1669.51
36,36,2071.23,157.3196,180000,-1403.7589111328125,16.2749,1687.22
37,37,2081.88,157.3443,185000,-1467.25634765625,16.4889,1713.48
38,38,2012.1,156.9818,190000,-1480.9627685546875,15.5733,1671.6
39,39,2086.56,157.0592,195000,-1522.3270263671875,16.2501,1734.72
40,40,2098.42,157.1149,200000,-1564.8199462890625,16.4764,1724.07
41,41,2099.35,156.955,205000,-1605.2662353515625,16.2632,1732.39
42,42,2073.04,157.3114,210000,-1647.6697998046875,16.0354,1696.3
43,43,2041.34,157.3673,215000,-1683.211181640625,15.8633,1678.74
44,44,2142.14,156.7239,220000,-1697.1949462890625,15.9992,1748.61
45,45,2074.1,157.0251,225000,-1755.035888671875,15.8538,1718.44
46,46,2070.76,156.9666,230000,-1793.2669677734375,15.7035,1689.56
47,47,2067.86,157.1033,235000,-1847.9971923828125,15.7308,1716.8
48,48,2102.51,156.909,240000,-1866.067138671875,15.7866,1737.76
49,49,2084.91,156.862,245000,-1893.7144775390625,15.2806,1711.28
50,50,2037.11,157.0267,250000,-1928.68017578125,15.55,1716.16
51,51,2134.42,156.9229,255000,-1997.730224609375,16.0941,1774.48
52,52,2118.68,156.8978,260000,-2034.68017578125,16.1921,1767.03
53,53,2088.99,156.8879,265000,-2075.055908203125,15.4407,1729.25
54,54,2064.76,156.8348,270000,-2094.6318359375,15.6044,1738.05
55,55,2124.22,156.9717,275000,-2127.095947265625,15.9668,1730.18
56,56,2128.52,156.9668,280000,-2178.00927734375,15.7099,1749.03
57,57,2145.68,156.9412,285000,-2210.337890625,15.9255,1766.2
58,58,2181.83,156.8248,290000,-2256.068115234375,15.7425,1802.69
59,59,2107.68,156.6975,295000,-2296.3037109375,15.3916,1747.79
60,60,2110.45,156.7901,300000,-2312.744140625,15.8713,1770.0
61,61,2162.72,157.0269,305000,-2370.87646484375,15.7379,1766.46
62,62,2163.09,156.8664,310000,-2408.665283203125,15.7805,1787.97
63,63,2098.69,156.8252,315000,-2457.831787109375,15.5205,1736.19
64,64,2161.91,156.7269,320000,-2476.173095703125,15.6955,1784.42
65,65,2134.05,156.7754,325000,-2532.08935546875,15.6215,1787.88
66,66,2137.94,156.7379,330000,-2558.603759765625,15.5459,1780.96
67,67,2058.06,156.733,335000,-2579.26513671875,15.1378,1739.55
68,68,2140.03,156.7184,340000,-2643.216796875,15.4871,1781.26
69,69,2166.7,156.663,345000,-2662.27734375,15.5167,1793.42
70,70,2103.49,156.6901,350000,-2705.06787109375,15.483,1793.09
71,71,2180.66,156.69,355000,-2746.55712890625,15.4171,1818.4
72,72,2160.65,156.8177,360000,-2781.377685546875,15.6584,1801.09
73,73,2189.41,156.9054,365000,-2840.095947265625,15.7283,1808.73
74,74,2222.37,156.7558,370000,-2895.21484375,15.8798,1840.15
75,75,2175.86,156.797,375000,-2904.577880859375,15.5788,1798.37
76,76,2149.3,156.8908,380000,-2944.90771484375,15.7768,1780.3
77,77,2183.46,156.8203,385000,-2999.9248046875,15.6485,1818.08
78,78,2178.94,157.0329,390000,-3033.58447265625,15.8412,1788.43
79,79,2157.58,156.7594,395000,-3059.734375,15.6101,1820.51
80,80,2165.15,156.7415,400000,-3098.444091796875,15.4573,1805.49
81,81,2178.53,156.8509,405000,-3147.7841796875,15.5791,1816.39
82,82,2139.3,156.6635,410000,-3190.092529296875,15.2406,1774.93
83,83,2162.79,156.8019,415000,-3232.253173828125,15.2872,1791.52
84,84,2168.06,156.6843,420000,-3244.1259765625,15.4935,1786.35
85,85,2210.61,156.6089,425000,-3293.869140625,15.4235,1838.73
86,86,2163.57,156.7471,430000,-3357.771728515625,15.8858,1836.41
87,87,2197.72,156.7676,435000,-3406.510986328125,15.6324,1823.08
88,88,2192.36,156.634,440000,-3444.433837890625,15.3555,1823.78
89,89,2185.6,156.7469,445000,-3463.100341796875,15.3837,1826.45
90,90,2126.32,156.835,450000,-3539.040283203125,15.3294,1767.02
91,91,2174.76,156.6858,455000,-3546.509765625,15.263,1797.49
92,92,2172.81,156.7044,460000,-3587.65576171875,15.4932,1832.42
93,93,2176.98,156.7423,465000,-3665.781005859375,15.3729,1802.15
94,94,2193.07,156.6794,470000,-3690.609375,15.4809,1837.49
95,95,2167.18,156.7842,475000,-3732.187255859375,15.3676,1804.28
96,96,2184.5,156.6518,480000,-3767.51025390625,15.2853,1805.22
97,97,2169.98,156.6885,485000,-3813.78662109375,15.5161,1837.13
98,98,2208.05,156.6293,490000,-3844.669921875,15.5084,1829.18
99,99,2186.21,156.7146,495000,-3885.3916015625,15.4853,1854.75
100,100,2253.68,156.6723,500000,-3959.184326171875,15.4938,1872.25
101,101,2164.42,156.7691,505000,-3969.918212890625,15.4594,1826.19
102,102,2249.02,156.7198,510000,-4037.61669921875,15.6243,1855.27
103,103,2157.4,156.9718,515000,-4088.482421875,15.4692,1819.95
104,104,2161.82,156.7013,520000,-4108.9423828125,15.5619,1858.95
105,105,2163.85,156.8377,525000,-4176.2626953125,15.2464,1806.12
106,106,2155.35,156.7995,530000,-4223.6943359375,15.0718,1801.65
107,107,2225.37,156.7017,535000,-4280.33984375,15.412,1854.82
108,108,2228.02,156.7562,540000,-4295.189453125,15.2095,1859.25
109,109,2194.22,156.7377,545000,-4339.9619140625,15.1408,1855.01
110,110,2168.24,156.6243,550000,-4381.4609375,15.2562,1828.94
111,111,2174.64,156.7166,555000,-4419.22802734375,15.0166,1806.3
112,112,2246.02,156.5442,560000,-4474.60205078125,15.5708,1876.33
113,113,2142.12,156.5966,565000,-4531.779296875,15.3391,1823.06
114,114,2220.79,156.6334,570000,-4603.86279296875,15.3428,1850.36
115,115,2188.72,156.7131,575000,-4627.58837890625,15.3578,1852.58
116,116,2200.22,156.5846,580000,-4694.47802734375,15.2499,1847.38
117,117,2200.51,156.7109,585000,-4757.0302734375,15.0611,1836.32
118,118,2233.05,156.663,590000,-4821.59619140625,15.4748,1869.51
119,119,2206.12,156.7787,595000,-4841.8251953125,15.5512,1838.9
120,120,2209.45,156.5469,600000,-4870.564453125,15.1152,1854.19
121,121,2205.74,156.7437,605000,-4904.83349609375,15.2808,1854.66
122,122,2216.93,156.5996,610000,-4974.44775390625,15.2741,1865.44
123,123,2221.98,156.6445,615000,-5015.1103515625,15.1711,1847.98
124,124,2225.01,156.6316,620000,-5078.8203125,15.0499,1841.6
125,125,2196.28,156.6967,625000,-5125.626953125,15.1779,1854.21
126,126,2195.42,156.7704,630000,-5187.39404296875,15.2748,1882.51
127,127,2254.35,156.6454,635000,-5231.24267578125,15.3788,1870.26
128,128,2236.17,156.5974,640000,-5283.30224609375,14.9324,1854.35
129,129,2240.61,156.7773,645000,-5305.81005859375,15.5902,1882.18
130,130,2245.78,156.6285,650000,-5369.83544921875,15.2442,1851.34
131,131,2234.42,156.3473,655000,-5379.52197265625,15.0798,1871.38
132,132,2238.14,156.6549,660000,-5485.27685546875,15.0433,1878.96
133,133,2194.95,156.524,665000,-5467.28662109375,15.1594,1858.89
134,134,2239.25,156.7047,670000,-5582.27490234375,15.2035,1878.89
135,135,2210.24,156.7325,675000,-5617.236328125,15.1234,1834.89
136,136,2266.3,156.6624,680000,-5679.72119140625,15.2097,1888.17
137,137,2252.84,156.7292,685000,-5749.61279296875,15.5732,1905.53
138,138,2219.48,156.5594,690000,-5759.939453125,15.1238,1880.31
139,139,2220.12,156.6726,695000,-5848.0927734375,15.1051,1877.87
140,140,2201.66,156.8226,700000,-5896.66357421875,15.2632,1865.43
141,141,2239.28,156.7221,705000,-5946.46923828125,15.2581,1888.5
142,142,2259.3,156.657,710000,-5995.904296875,15.4818,1879.0
143,143,2253.52,156.6452,715000,-6007.09228515625,15.2389,1905.26
144,144,2213.03,156.6043,720000,-6042.47314453125,14.9775,1859.17
145,145,2260.4,156.7331,725000,-6105.734375,15.4382,1906.13
146,146,2227.33,156.5655,730000,-6137.052734375,15.2626,1908.61
147,147,2207.93,156.6146,735000,-6194.22998046875,14.9273,1861.03
148,148,2254.07,156.5863,740000,-6217.732421875,15.2798,1896.63
149,149,2276.48,156.6856,745000,-6277.96630859375,15.1039,1910.1
150,150,2230.21,156.5517,750000,-6330.66455078125,15.1058,1883.21
151,151,2231.82,156.6985,755000,-6356.90625,15.1002,1881.79
152,152,2283.36,156.5214,760000,-6378.86572265625,15.2382,1914.17
153,153,2274.31,156.6423,765000,-6468.20556640625,14.9904,1879.64
154,154,2185.02,156.7368,770000,-6498.3466796875,14.7808,1857.61
155,155,2235.54,156.7089,775000,-6541.8623046875,15.1638,1884.47
156,156,2257.01,156.7259,780000,-6592.73046875,15.1674,1873.92
157,157,2249.69,156.5726,785000,-6595.845703125,15.3924,1903.39
158,158,2299.74,156.767,790000,-6657.64599609375,15.1654,1899.62
159,159,2226.39,156.6799,795000,-6698.44677734375,15.0206,1861.86
160,160,2235.73,156.706,800000,-6752.4287109375,15.1737,1882.39
161,161,2213.42,156.7428,805000,-6826.64990234375,15.2534,1881.07
162,162,2287.06,156.5324,810000,-6865.06591796875,15.268,1903.36
163,163,2262.23,156.7483,815000,-6901.84619140625,15.2381,1881.13
164,164,2267.11,156.7089,820000,-6903.708984375,15.1632,1911.79
165,165,2256.45,156.6851,825000,-6986.35009765625,15.0934,1902.89
166,166,2208.33,156.6813,830000,-7066.70947265625,14.937,1879.23
167,167,2206.46,156.6588,835000,-7068.439453125,14.9267,1862.44
168,168,2287.41,156.5145,840000,-7188.50146484375,15.209,1935.56
169,169,2290.21,156.6283,845000,-7181.96630859375,15.2158,1921.06
170,170,2267.94,156.519,850000,-7259.42529296875,15.2264,1894.43
171,171,2236.79,156.7263,855000,-7263.8603515625,14.8379,1891.41
172,172,2205.49,156.609,860000,-7287.30126953125,15.0989,1867.28
173,173,2259.04,156.586,865000,-7385.52978515625,15.0474,1898.58
174,174,2259.94,156.7409,870000,-7403.72900390625,15.3239,1920.48
175,175,2270.73,156.5349,875000,-7395.19921875,15.0116,1895.75
176,176,2262.63,156.6135,880000,-7505.4921875,15.1259,1905.8
177,177,2268.5,156.4735,885000,-7487.44091796875,15.3339,1914.38
178,178,2209.6,156.7132,890000,-7495.8984375,14.6318,1867.04
179,179,2201.85,156.7728,895000,-7531.373046875,14.8608,1867.69
180,180,2230.02,156.672,900000,-7648.2646484375,14.9184,1862.2
181,181,2258.46,156.7759,905000,-7664.3271484375,14.7735,1875.3
182,182,2239.95,156.463,910000,-7680.3193359375,14.8896,1879.26
183,183,2258.96,156.687,915000,-7751.7294921875,15.302,1898.45
184,184,2281.66,156.5684,920000,-7718.58447265625,15.2424,1926.13
185,185,2240.91,156.6694,925000,-7732.09423828125,15.4036,1897.61
186,186,2289.55,156.6949,930000,-7845.296875,15.1434,1912.07
187,187,2283.59,156.6089,935000,-7832.1044921875,15.2476,1922.34
188,188,2237.67,156.6463,940000,-7887.4873046875,14.9188,1883.88
189,189,2277.81,156.6198,945000,-7909.0107421875,15.4129,1928.86
190,190,2275.09,156.6315,950000,-7942.0439453125,15.0788,1901.77
191,191,2196.65,156.657,955000,-7907.39404296875,14.9682,1888.51
192,192,2309.95,156.6311,960000,-7979.15966796875,15.142,1917.73
193,193,2267.5,156.5835,965000,-8007.4482421875,14.9503,1918.33
194,194,2327.86,156.6947,970000,-8019.78125,14.9623,1918.63
195,195,2279.21,156.53,975000,-8064.6220703125,15.0217,1908.45
196,196,2239.81,156.6474,980000,-8034.9189453125,14.849,1897.08
197,197,2291.85,156.3574,985000,-8097.42822265625,14.9666,1940.96
198,198,2275.36,156.5837,990000,-8128.88330078125,15.1595,1934.2
199,199,2268.39,156.5418,995000,-8144.59033203125,15.0176,1905.03
200,200,2269.48,156.6406,1000000,-8240.69140625,15.148,1918.08
201,201,2282.15,156.7015,1005000,-8237.7626953125,15.0715,1914.09
202,202,2280.09,156.6114,1010000,-8280.5126953125,15.1712,1934.23
203,203,2289.29,156.6571,1015000,-8308.6181640625,15.0349,1896.77
204,204,2283.44,156.5319,1020000,-8351.7099609375,15.0675,1940.99
205,205,2254.24,156.5746,1025000,-8370.39453125,14.9344,1898.88
206,206,2271.18,156.4633,1030000,-8384.2646484375,15.0395,1916.83
207,207,2297.01,156.4422,1035000,-8418.1904296875,15.1137,1949.96
208,208,2273.09,156.6336,1040000,-8418.5634765625,15.0511,1903.95
209,209,2282.27,156.6221,1045000,-8474.2294921875,14.8945,1915.95
210,210,2291.14,156.5311,1050000,-8503.234375,15.0552,1928.98
211,211,2291.96,156.5267,1055000,-8545.515625,15.2204,1931.89
212,212,2280.7,156.5485,1060000,-8561.0615234375,15.0185,1914.05
213,213,2290.3,156.5706,1065000,-8574.3408203125,14.898,1925.05
214,214,2302.03,156.5666,1070000,-8602.390625,14.9554,1912.01
215,215,2285.99,156.7036,1075000,-8651.4697265625,15.128,1922.66
216,216,2309.96,156.5777,1080000,-8681.7587890625,15.0737,1935.8
217,217,2321.91,156.586,1085000,-8722.0849609375,15.0236,1942.16
218,218,2306.51,156.8173,1090000,-8700.6904296875,14.9867,1929.59
219,219,2310.05,156.6131,1095000,-8733.3984375,15.0619,1938.89
220,220,2304.93,156.6376,1100000,-8799.5263671875,15.0983,1932.41
221,221,2313.06,156.5531,1105000,-8787.0908203125,14.9212,1921.53
222,222,2309.33,156.5807,1110000,-8858.4521484375,15.1689,1936.65
223,223,2313.55,156.6348,1115000,-8873.6162109375,15.1828,1935.95
224,224,2307.28,156.6626,1120000,-8895.2705078125,15.0118,1939.48
225,225,2318.15,156.4942,1125000,-8921.34375,15.1094,1933.72
226,226,2301.88,156.5254,1130000,-8944.6337890625,14.9593,1933.11
227,227,2273.03,156.5562,1135000,-8972.5302734375,14.9932,1918.85
228,228,2264.72,156.6192,1140000,-9031.98828125,14.9474,1907.16
229,229,2305.75,156.5803,1145000,-8996.828125,15.0103,1915.56
230,230,2288.08,156.4689,1150000,-9020.6943359375,14.9309,1917.16
231,231,2300.4,156.4802,1155000,-9114.8671875,15.1508,1934.08
232,232,2280.07,156.6605,1160000,-9105.0556640625,14.9678,1919.64
233,233,2249.96,156.4217,1165000,-9101.1279296875,15.0174,1931.14
234,234,2272.84,156.5568,1170000,-9195.3564453125,15.055,1928.49
235,235,2283.94,156.5273,1175000,-9206.4130859375,14.9759,1929.71
236,236,2291.46,156.4398,1180000,-9190.9599609375,14.9598,1922.58
237,237,2273.35,156.6598,1185000,-9237.384765625,14.8299,1911.45
238,238,2273.48,156.3896,1190000,-9226.8095703125,14.8691,1897.18
239,239,2289.17,156.5795,1195000,-9279.353515625,15.0952,1938.25
240,240,2287.17,156.5649,1200000,-9288.150390625,15.06,1912.22
241,241,2273.74,156.5612,1205000,-9326.9296875,15.1654,1923.0
242,242,2273.95,156.471,1210000,-9348.71875,15.0264,1908.59
243,243,2318.55,156.6275,1215000,-9375.5146484375,15.0399,1953.66
244,244,2298.73,156.5468,1220000,-9383.4453125,14.9908,1929.64
245,245,2294.92,156.5368,1225000,-9408.28515625,15.0408,1942.25
246,246,2296.11,156.63,1230000,-9447.078125,15.08,1941.99
247,247,2282.77,156.5859,1235000,-9468.13671875,15.1205,1931.06
248,248,2294.44,156.6327,1240000,-9480.02734375,14.9699,1951.77
249,249,2306.97,156.5089,1245000,-9510.24609375,15.0179,1924.33
250,250,2290.12,156.6096,1250000,-9524.1328125,15.0293,1938.01
251,251,2293.74,156.5526,1255000,-9531.578125,15.1024,1931.64
252,252,2299.7,156.5324,1260000,-9586.751953125,15.1558,1950.29
253,253,2281.44,156.4669,1265000,-9626.2587890625,15.068,1943.63
254,254,2303.1,156.6507,1270000,-9635.427734375,15.2236,1967.1
255,255,2293.03,156.5729,1275000,-9676.3984375,15.1986,1933.82
256,256,2303.36,156.558,1280000,-9700.7685546875,15.0513,1940.8
257,257,2293.43,156.7339,1285000,-9731.193359375,15.0513,1928.49
258,258,2297.65,156.5148,1290000,-9727.3115234375,15.1609,1948.53
259,259,2292.55,156.4125,1295000,-9766.494140625,15.1608,1941.89
260,260,2279.68,156.3896,1300000,-9763.09765625,15.1526,1936.9
261,261,2312.9,156.5182,1305000,-9799.1982421875,15.1294,1948.26
262,262,2285.32,156.4749,1310000,-9815.755859375,15.0728,1933.35
263,263,2291.59,156.5708,1315000,-9845.9814453125,14.9558,1928.81
264,264,2302.91,156.5287,1320000,-9863.9912109375,14.9796,1935.78
265,265,2308.35,156.559,1325000,-9911.1064453125,15.003,1945.99
266,266,2323.22,156.5932,1330000,-9967.115234375,15.153,1934.9
267,267,2301.27,156.5783,1335000,-9961.2314453125,15.2137,1956.72
268,268,2299.2,156.4913,1340000,-9981.841796875,15.1375,1954.61
269,269,2289.01,156.6239,1345000,-9973.9853515625,15.0618,1917.98
270,270,2292.03,156.6045,1350000,-10020.564453125,15.0436,1934.31
271,271,2296.15,156.6038,1355000,-10018.640625,15.1518,1948.54
272,272,2303.91,156.4104,1360000,-10083.388671875,15.161,1931.0
273,273,2303.59,156.4723,1365000,-10090.4775390625,15.0366,1934.66
274,274,2325.87,156.6519,1370000,-10109.9013671875,15.1844,1954.1
275,275,2299.73,156.4191,1375000,-10149.9423828125,15.1825,1947.77
276,276,2321.5,156.4677,1380000,-10145.2734375,15.1215,1959.73
277,277,2288.51,156.599,1385000,-10200.9619140625,14.9179,1913.79
278,278,2312.96,156.6403,1390000,-10206.9189453125,15.1403,1954.99
279,279,2325.81,156.5284,1395000,-10236.796875,15.0338,1942.68
280,280,2323.66,156.5135,1400000,-10242.3994140625,15.2006,1959.26
281,281,2313.99,156.4761,1405000,-10296.7470703125,15.302,1939.83
282,282,2298.57,156.6189,1410000,-10280.2353515625,15.1765,1948.86
283,283,2320.72,156.5684,1415000,-10304.6572265625,15.135,1942.28
284,284,2304.33,156.5158,1420000,-10350.76953125,15.0618,1920.72
285,285,2315.46,156.5636,1425000,-10406.67578125,15.2007,1947.43
286,286,2306.56,156.5819,1430000,-10422.3447265625,15.118,1935.71
287,287,2297.32,156.5071,1435000,-10458.357421875,15.0159,1956.75
288,288,2321.34,156.4802,1440000,-10458.580078125,15.2668,1961.54
289,289,2293.62,156.4874,1445000,-10500.9287109375,15.0796,1962.16
290,290,2293.44,156.6621,1450000,-10531.275390625,15.0658,1939.96
291,291,2290.98,156.488,1455000,-10539.0380859375,15.0931,1957.74
292,292,2263.33,156.5693,1460000,-10544.994140625,14.9487,1927.06
293,293,2320.5,156.5423,1465000,-10577.150390625,14.9586,1950.31
294,294,2287.42,156.5448,1470000,-10607.0283203125,14.8548,1947.49
295,295,2311.72,156.3949,1475000,-10636.888671875,14.988,1956.29
296,296,2326.51,156.3989,1480000,-10669.599609375,15.1001,1938.63
297,297,2321.35,156.7013,1485000,-10693.9501953125,15.1867,1943.93
298,298,2320.52,156.5882,1490000,-10748.2041015625,15.0989,1946.69
299,299,2318.51,156.4911,1495000,-10725.619140625,14.9568,1957.34
