Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Update Time,Itration,Running Forward KL
-30.24,0,11.865,-196.54,7.8171491622924805,0,0,158.6615
-35.58,5000,12.0234,-39.47,-0.26157498359680176,1,1,158.5724
703.31,10000,12.7361,139.2,-30.09319305419922,2,2,158.4843
962.05,15000,13.6265,405.49,-88.18745422363281,3,3,158.0974
988.88,20000,14.2566,535.34,-135.9751739501953,4,4,158.0023
1116.97,25000,14.2361,642.61,-140.7207794189453,5,5,158.14
969.56,30000,14.565,745.3,-167.96473693847656,6,6,157.9601
1213.54,35000,15.0451,850.49,-181.64962768554688,7,7,157.9606
1356.15,40000,15.5102,957.92,-202.70188903808594,8,8,157.7871
1409.64,45000,15.6913,987.03,-241.8321990966797,9,9,157.6911
1583.35,50000,16.5114,1141.35,-275.9133605957031,10,10,157.6413
1581.29,55000,16.3657,1172.35,-304.61383056640625,11,11,157.9668
1641.26,60000,16.3668,1217.63,-338.0780334472656,12,12,157.7867
1683.1,65000,16.82,1298.38,-374.4726867675781,13,13,157.9105
1675.07,70000,16.6604,1282.4,-395.5444641113281,14,14,157.954
1670.25,75000,16.4696,1312.12,-440.6699523925781,15,15,157.7685
1761.84,80000,16.6214,1353.07,-479.0069885253906,16,16,157.9276
1803.91,85000,16.5197,1371.27,-500.627685546875,17,17,157.8101
1834.44,90000,16.6025,1435.5,-536.5758056640625,18,18,157.7923
1877.12,95000,16.7974,1448.28,-567.606201171875,19,19,157.6324
1882.77,100000,16.6921,1444.95,-587.4651489257812,20,20,157.7646
1916.01,105000,16.8678,1507.93,-620.8781127929688,21,21,157.8856
1940.99,110000,16.6605,1516.36,-656.0625,22,22,157.8302
1966.0,115000,16.5944,1535.38,-674.509033203125,23,23,157.6896
1966.09,120000,16.6392,1581.81,-703.0755004882812,24,24,157.8228
1928.39,125000,16.7494,1563.39,-731.8497924804688,25,25,157.8397
1969.29,130000,16.338,1564.92,-751.9136352539062,26,26,157.5931
1959.46,135000,16.4099,1590.77,-780.8282470703125,27,27,157.5174
1969.73,140000,16.9242,1601.7,-814.219970703125,28,28,157.7125
1996.3,145000,16.9121,1638.3,-848.7589111328125,29,29,157.7189
2046.25,150000,16.7893,1653.27,-877.8513793945312,30,30,157.6507
2042.27,155000,16.9256,1678.88,-922.1998291015625,31,31,157.4854
1970.21,160000,16.6964,1655.32,-929.376953125,32,32,157.6057
2059.11,165000,16.6314,1678.48,-974.2929077148438,33,33,157.2975
2053.15,170000,16.5055,1668.85,-983.7241821289062,34,34,157.5409
2009.53,175000,16.0414,1653.0,-1016.1182861328125,35,35,157.2304
2089.0,180000,16.7205,1697.46,-1060.2977294921875,36,36,157.2763
2061.75,185000,16.915,1676.73,-1084.7646484375,37,37,157.6255
2056.64,190000,16.6535,1695.51,-1114.0523681640625,38,38,157.5106
2038.56,195000,16.1897,1682.16,-1140.73291015625,39,39,157.3667
2049.43,200000,16.5277,1686.58,-1176.4066162109375,40,40,157.3149
2041.93,205000,16.4196,1701.23,-1211.1685791015625,41,41,157.4823
2148.89,210000,17.0504,1739.28,-1266.9642333984375,42,42,157.3405
2045.83,215000,16.5675,1720.47,-1262.3729248046875,43,43,157.4258
2031.03,220000,16.3731,1713.55,-1290.227783203125,44,44,157.1351
2077.33,225000,16.6215,1742.18,-1336.7159423828125,45,45,157.3327
2113.43,230000,16.5173,1754.44,-1362.8485107421875,46,46,157.2827
2124.29,235000,16.7019,1754.74,-1386.5867919921875,47,47,157.1748
2084.32,240000,16.4729,1732.75,-1413.7503662109375,48,48,157.1258
2126.15,245000,16.6305,1772.38,-1449.5777587890625,49,49,157.3861
2082.6,250000,16.1623,1725.71,-1461.1441650390625,50,50,157.2642
2123.03,255000,16.5673,1755.47,-1496.6390380859375,51,51,157.227
2135.92,260000,16.7152,1776.44,-1546.149169921875,52,52,157.2982
2089.26,265000,16.1377,1730.61,-1549.011962890625,53,53,157.1227
2074.9,270000,15.948,1710.61,-1577.0438232421875,54,54,157.2196
2086.79,275000,16.1041,1750.61,-1613.2764892578125,55,55,157.1162
2078.4,280000,16.2383,1731.3,-1633.4605712890625,56,56,156.991
2061.37,285000,16.1709,1714.93,-1661.172607421875,57,57,157.098
2072.07,290000,16.0606,1737.01,-1695.4527587890625,58,58,157.3372
2119.99,295000,16.2141,1781.69,-1728.0733642578125,59,59,157.0963
2044.25,300000,16.0642,1749.22,-1748.53076171875,60,60,157.1317
2102.54,305000,16.2631,1790.92,-1793.03125,61,61,157.0209
2152.6,310000,16.5084,1787.73,-1835.968505859375,62,62,156.9005
2146.52,315000,16.3352,1771.6,-1848.8779296875,63,63,157.071
2039.43,320000,15.9324,1747.34,-1861.8714599609375,64,64,156.9933
2076.89,325000,16.018,1759.6,-1904.4212646484375,65,65,156.8784
2159.68,330000,16.242,1793.83,-1937.7457275390625,66,66,156.892
2171.86,335000,16.3754,1813.55,-1975.641845703125,67,67,156.9624
2063.4,340000,15.7262,1761.12,-1984.255126953125,68,68,156.9558
2139.23,345000,16.1443,1795.76,-2029.8009033203125,69,69,156.9738
2142.82,350000,15.8883,1788.01,-2072.8017578125,70,70,157.0702
2128.31,355000,15.9958,1781.07,-2084.726318359375,71,71,156.8277
2138.4,360000,15.9872,1788.0,-2122.623046875,72,72,156.9584
2144.22,365000,15.9826,1787.63,-2162.6923828125,73,73,157.0544
2149.49,370000,15.9074,1793.18,-2181.72998046875,74,74,156.8821
2132.76,375000,15.7759,1784.62,-2216.2705078125,75,75,156.9097
2105.98,380000,15.8702,1771.24,-2238.581298828125,76,76,156.9072
2123.3,385000,15.9628,1808.31,-2275.940673828125,77,77,156.8402
2157.68,390000,16.1506,1794.66,-2305.66943359375,78,78,156.8559
2149.69,395000,16.0559,1793.17,-2353.342041015625,79,79,156.9411
2182.16,400000,16.1841,1815.96,-2390.502197265625,80,80,157.1646
2140.42,405000,16.0439,1788.38,-2424.718994140625,81,81,156.931
2160.66,410000,16.0404,1785.71,-2453.4091796875,82,82,156.8733
2129.48,415000,15.6379,1779.94,-2459.22705078125,83,83,156.9404
2201.43,420000,16.1691,1842.34,-2520.253662109375,84,84,156.9443
2170.64,425000,15.9862,1807.45,-2530.487548828125,85,85,157.051
2099.51,430000,15.807,1782.28,-2551.502197265625,86,86,156.894
2135.29,435000,15.6855,1771.1,-2585.244140625,87,87,156.7965
