Running Forward KL,Running Env Steps,Running Reverse KL,Running Update Time,Itration,Reward Loss,Real Sto Return,Real Det Return
30.2344,0,28.8558,0,0,357.5411071777344,288.91,270.93
31.0789,5000,48.9239,1,1,273.79718017578125,349.99,356.37
30.4567,10000,45.2223,2,2,228.38189697265625,270.87,264.83
25.826,15000,43.0983,3,3,139.167236328125,480.14,470.01
27.0654,20000,46.1735,4,4,76.76996612548828,404.64,413.11
26.5954,25000,42.6129,5,5,22.031028747558594,599.45,672.73
25.692,30000,34.8864,6,6,-31.588058471679688,831.17,895.17
26.7902,35000,38.621,7,7,-82.15044403076172,577.57,595.06
27.1911,40000,36.9924,8,8,-139.80064392089844,523.71,568.03
26.4715,45000,29.1427,9,9,-143.4591827392578,617.72,497.6
25.6265,50000,27.1347,10,10,-167.04562377929688,566.28,683.67
26.7734,55000,29.2327,11,11,-215.01600646972656,581.64,575.07
25.6277,60000,25.4414,12,12,-251.83303833007812,668.79,657.3
24.9227,65000,29.2003,13,13,-310.2523193359375,708.85,721.02
24.9145,70000,26.6871,14,14,-332.0838317871094,794.25,821.4
25.8908,75000,27.0812,15,15,-392.0889892578125,925.01,843.24
26.1102,80000,28.2408,16,16,-485.1600341796875,812.7,793.46
25.4437,85000,26.4615,17,17,-513.943359375,833.8,831.42
24.1982,90000,18.6761,18,18,-245.55526733398438,1641.46,2145.27
25.788,95000,24.2544,19,19,-552.30810546875,980.11,1039.86
25.6261,100000,25.9979,20,20,-597.7572021484375,983.44,1263.55
24.9043,105000,26.7693,21,21,-681.5541381835938,893.91,900.43
25.4512,110000,24.6822,22,22,-628.89990234375,1157.17,2683.11
24.6819,115000,24.8925,23,23,-640.3931274414062,1205.01,1109.28
25.268,120000,23.1254,24,24,-629.576171875,1547.09,2852.52
24.2907,125000,25.5073,25,25,-802.2705078125,1004.66,1151.43
23.6663,130000,19.5685,26,26,-540.0416259765625,1522.1,2848.72
23.6566,135000,20.3172,27,27,-608.6762084960938,1487.13,2495.46
24.1523,140000,19.13,28,28,-488.2962646484375,2156.2,2911.21
24.0219,145000,20.6596,29,29,-566.2832641601562,1707.9,2946.39
24.6383,150000,16.4838,30,30,-185.27381896972656,2754.73,2782.35
24.0729,155000,16.882,31,31,-268.52838134765625,2798.81,2951.85
23.1131,160000,16.7185,32,32,-314.9827575683594,2266.95,2941.13
24.8704,165000,16.967,33,33,-299.5712890625,2587.9,2806.36
23.1634,170000,18.8019,34,34,-463.2381896972656,2608.46,3125.84
23.4247,175000,22.5545,35,35,-729.4950561523438,1862.47,3065.91
24.2386,180000,16.3645,36,36,-220.8214874267578,2817.33,2980.82
23.7138,185000,27.6162,37,37,-1099.6138916015625,1196.89,2389.27
24.1555,190000,21.4823,38,38,-748.1595458984375,1772.87,2939.91
23.6423,195000,23.1946,39,39,-880.791748046875,1239.28,1899.91
23.3851,200000,19.2788,40,40,-593.7781372070312,1739.28,3108.26
23.3912,205000,19.535,41,41,-621.015869140625,1840.02,3052.69
23.2806,210000,19.3853,42,42,-641.7220458984375,1517.21,1170.99
23.8358,215000,15.6746,43,43,-247.0832061767578,2451.33,2813.5
22.6924,220000,15.8561,44,44,-374.85418701171875,2323.38,3030.01
22.8008,225000,18.0099,45,45,-602.8775024414062,2516.54,3114.22
24.0824,230000,26.3815,46,46,-1297.6923828125,1370.81,1297.83
22.6355,235000,16.9976,47,47,-551.39501953125,2136.71,3168.41
22.828,240000,20.1741,48,48,-804.3325805664062,945.5,1094.3
22.5587,245000,15.9179,49,49,-256.3888854980469,2155.16,3175.36
22.7544,250000,16.5328,50,50,-559.3368530273438,2443.67,2983.16
22.6516,255000,16.78,51,51,-610.027587890625,2463.11,3124.69
22.4606,260000,14.8017,52,52,-293.6441955566406,3074.1,3038.76
22.0501,265000,14.8966,53,53,-377.0953674316406,2968.4,3108.38
