Reward Loss,Running Forward KL,Running Update Time,Itration,Real Sto Return,Real Det Return,Running Env Steps,Running Reverse KL
1714.895263671875,422.5543,0,0,374.16,305.18,0,260.3254
1471.0675048828125,438.0236,1,1,315.68,321.91,5000,281.2534
1180.2420654296875,432.9406,2,2,340.73,251.59,10000,279.0852
1003.0949096679688,428.9225,3,3,392.08,348.8,15000,240.3261
503.609130859375,427.8544,4,4,379.6,430.58,20000,257.1332
-283.55218505859375,450.7802,5,5,445.33,478.13,25000,253.9218
-269.4587707519531,444.228,6,6,461.59,533.93,30000,237.5734
-403.37432861328125,428.08,7,7,426.88,488.65,35000,247.3548
-1037.8031005859375,433.0171,8,8,487.93,553.02,40000,262.4889
-1452.8643798828125,432.2034,9,9,480.44,602.05,45000,254.7124
-1943.86376953125,425.775,10,10,533.71,474.07,50000,248.5553
-1783.4775390625,425.1746,11,11,500.25,590.31,55000,245.204
-2101.5283203125,415.7679,12,12,447.93,525.19,60000,240.4211
-1931.264404296875,422.8566,13,13,524.7,541.52,65000,248.5278
-2351.03271484375,416.5992,14,14,557.15,549.24,70000,265.2458
-2559.96630859375,410.2974,15,15,547.95,597.85,75000,262.4591
-3247.359375,415.1594,16,16,510.39,406.01,80000,267.4516
-3152.435302734375,408.2642,17,17,562.38,479.33,85000,261.3277
-3014.48046875,414.7448,18,18,546.85,538.86,90000,265.7841
-3445.26611328125,406.3283,19,19,550.11,533.18,95000,288.0393
-4063.388916015625,407.6191,20,20,600.46,621.24,100000,252.7256
-4131.7421875,408.2594,21,21,521.51,489.91,105000,273.8327
-4326.77197265625,408.4203,22,22,608.74,579.72,110000,272.5982
-4269.24951171875,429.7237,23,23,621.27,680.49,115000,259.9721
-4771.7529296875,410.7203,24,24,658.44,568.72,120000,237.742
-4404.18603515625,428.8927,25,25,565.38,501.97,125000,246.447
-4807.43359375,405.5462,26,26,614.79,505.52,130000,240.0522
-5101.56640625,394.767,27,27,697.27,656.98,135000,246.3619
-5217.01513671875,398.3973,28,28,634.18,517.87,140000,255.4271
-5346.787109375,395.9036,29,29,668.78,690.76,145000,238.1106
-6002.44482421875,404.1822,30,30,616.71,502.28,150000,253.8594
-5777.646484375,402.1145,31,31,686.27,549.34,155000,255.6898
-6002.30908203125,405.4711,32,32,706.66,748.06,160000,242.9331
-5866.8017578125,389.3189,33,33,769.77,674.19,165000,234.4348
-6231.42626953125,396.4327,34,34,775.19,721.38,170000,237.7406
-6459.93017578125,401.3661,35,35,701.4,588.9,175000,251.5079
-5902.85498046875,412.126,36,36,686.48,602.43,180000,249.6134
-6924.724609375,397.8193,37,37,671.12,575.92,185000,254.5237
-7352.912109375,404.7933,38,38,747.85,703.72,190000,265.0619
-7059.3232421875,403.3763,39,39,771.28,716.05,195000,242.9022
-7742.6611328125,395.6306,40,40,877.52,754.41,200000,229.7777
-7799.54541015625,388.8386,41,41,918.38,802.38,205000,237.9399
-7452.01611328125,391.573,42,42,821.06,713.82,210000,239.5628
-7868.8916015625,393.0821,43,43,883.67,926.54,215000,235.8533
-7499.34765625,391.3583,44,44,868.68,805.51,220000,236.4476
-7609.43896484375,389.98,45,45,967.63,932.75,225000,221.0332
-7376.68310546875,395.2205,46,46,1140.22,952.83,230000,232.6011
-7969.27978515625,395.6184,47,47,968.71,1045.56,235000,225.7341
-7880.96044921875,387.0876,48,48,913.61,1040.46,240000,225.0152
-8167.78173828125,384.4503,49,49,1176.98,912.75,245000,215.9129
-8526.1376953125,392.6402,50,50,1130.46,837.98,250000,229.1492
-8590.6796875,389.3404,51,51,1031.29,1049.43,255000,224.8502
-7716.4677734375,384.5689,52,52,1124.83,689.39,260000,215.7764
-7649.74951171875,385.25,53,53,1442.79,1067.65,265000,208.3725
-8342.5087890625,383.7757,54,54,1307.16,1021.48,270000,210.9324
-8141.86181640625,371.9971,55,55,1894.1,920.42,275000,196.8452
-7857.27197265625,396.8286,56,56,1093.46,887.02,280000,225.6638
-8011.53271484375,389.9224,57,57,1595.33,898.92,285000,210.5767
-9012.7353515625,383.1453,58,58,1470.67,970.1,290000,202.0196
-8778.99609375,378.2223,59,59,1522.34,1084.62,295000,216.6477
-7814.99755859375,359.41,60,60,2317.54,1141.48,300000,192.5515
-8216.5234375,379.7764,61,61,1582.72,1116.98,305000,203.5892
-8851.380859375,380.0009,62,62,1617.29,1491.61,310000,206.0948
-7903.80859375,382.2941,63,63,1653.25,986.25,315000,199.9648
-8253.376953125,374.8655,64,64,1680.17,1090.04,320000,199.9597
-9064.06640625,385.2718,65,65,1387.12,1279.83,325000,220.3203
-9485.4541015625,378.012,66,66,1467.47,1454.43,330000,213.687
-9821.6826171875,389.3299,67,67,1681.0,1852.4,335000,221.817
-8847.4833984375,370.9258,68,68,1992.01,1429.63,340000,194.6038
-8930.0087890625,367.802,69,69,1559.59,1424.42,345000,208.9262
-9267.50390625,382.5525,70,70,1465.8,1399.14,350000,205.7979
-9311.421875,378.1011,71,71,1651.96,1256.5,355000,214.2829
-8970.5341796875,365.7239,72,72,2902.99,1954.69,360000,191.11
-9920.12890625,378.6854,73,73,1543.26,1353.87,365000,217.5571
-8739.8212890625,379.1836,74,74,1608.23,1180.94,370000,206.6826
-8984.294921875,379.6937,75,75,2651.78,1629.34,375000,203.6376
-8324.1015625,361.3152,76,76,3011.39,1910.27,380000,198.1993
-8501.142578125,369.6366,77,77,2526.44,867.46,385000,193.645
-8125.2490234375,367.0984,78,78,2691.39,2307.32,390000,187.0011
-9027.9697265625,379.0055,79,79,2743.72,739.97,395000,205.1114
-9832.5732421875,367.7266,80,80,2945.73,2437.56,400000,211.3548
-8927.8330078125,371.2731,81,81,3136.58,2590.03,405000,207.3667
-9094.193359375,368.4904,82,82,2630.77,1166.14,410000,194.3298
-8133.6611328125,358.3795,83,83,2984.15,1704.05,415000,182.2366
-9217.18359375,379.2594,84,84,2889.89,2178.34,420000,202.9728
-8257.326171875,363.5281,85,85,3174.56,2498.04,425000,187.5628
-9236.6201171875,371.4406,86,86,2290.98,3140.97,430000,196.355
-9844.20703125,374.8038,87,87,2954.26,1973.95,435000,202.274
-10305.5966796875,369.538,88,88,2834.96,1803.63,440000,207.1262
-8489.15234375,362.5074,89,89,3183.5,3447.8,445000,182.7732
-8718.6220703125,362.4671,90,90,4131.07,3148.66,450000,183.8451
-8786.296875,361.2546,91,91,3045.99,3869.4,455000,180.5518
-10601.513671875,371.312,92,92,2639.75,3670.25,460000,207.7613
-11565.2978515625,385.0426,93,93,2177.95,1562.68,465000,230.5542
-9865.3486328125,366.5663,94,94,2715.46,1989.51,470000,189.4491
-9437.6796875,360.1206,95,95,3177.4,1960.94,475000,189.5549
-9108.9169921875,357.833,96,96,3714.01,2043.0,480000,182.7168
-9744.9560546875,364.7553,97,97,3631.12,2747.46,485000,181.3869
-8986.4013671875,359.1561,98,98,3261.16,2668.51,490000,180.4807
-9373.546875,364.4957,99,99,4046.3,3455.12,495000,180.3993
