Running Forward KL,Real Det Return,Itration,Running Reverse KL,Real Sto Return
50.041,299.73,0,12.7764,308.37
50.7362,391.83,1,17.529,393.4
49.6775,237.52,2,20.6924,320.1
51.0353,359.91,3,43.5885,349.43
51.1543,391.68,4,32.7741,414.03
50.1134,405.84,5,16.9702,392.91
50.7205,481.12,6,21.076,398.48
50.0431,554.18,7,17.8067,476.97
49.5711,549.26,8,16.4109,493.51
50.2571,584.87,9,16.7515,539.33
49.7055,556.88,10,16.899,518.85
49.6312,523.05,11,15.8111,551.9
49.2495,637.51,12,16.756,597.39
49.6438,607.84,13,17.2819,592.27
49.2755,602.67,14,18.6868,559.98
48.8247,601.78,15,16.8983,604.53
49.8269,617.63,16,17.7232,569.83
49.5121,635.52,17,16.9602,573.65
49.0468,630.97,18,17.517,590.07
49.4401,530.79,19,17.2259,555.89
48.9237,513.14,20,15.4421,533.29
48.4078,581.21,21,14.0373,535.59
48.9611,525.86,22,15.2524,541.7
48.783,593.92,23,16.0808,552.46
49.1789,547.51,24,18.6535,572.86
47.8765,931.55,25,16.1221,768.27
47.6669,1101.22,26,19.3708,1124.24
46.8398,1690.95,27,17.8006,1454.2
46.4285,2141.33,28,14.853,1165.17
47.0896,2087.94,29,14.1206,1983.5
45.414,931.79,30,14.0363,1437.4
46.6209,1483.91,31,15.5918,1497.61
46.6011,1505.43,32,16.2735,913.18
46.7627,1492.13,33,15.8311,1129.26
46.517,1139.59,34,15.4208,1210.64
46.6315,1071.34,35,15.4148,1282.35
45.449,1250.24,36,15.1906,1447.52
45.7078,1632.62,37,14.3335,1620.03
46.0371,1839.08,38,14.6273,2018.27
45.8071,2673.56,39,14.7992,1863.89
45.3792,3069.06,40,14.4476,2729.6
43.4485,2821.03,41,15.6159,2659.57
44.1324,2992.52,42,13.3685,2739.09
44.5429,2858.5,43,14.5711,3084.35
44.5281,2914.73,44,15.7114,2868.08
43.2453,2058.06,45,16.1081,2812.09
44.2671,3518.97,46,15.7634,3255.91
43.297,2186.38,47,13.8371,2853.09
43.9939,2649.82,48,16.4988,2521.76
44.4592,3789.78,49,20.2798,3303.67
44.8569,3739.31,50,19.5813,3293.98
44.6317,3776.22,51,19.7335,3457.29
44.4518,3554.35,52,18.0714,2999.56
44.3503,3523.54,53,19.5337,3416.55
43.6544,3739.58,54,15.2886,3151.32
44.167,3735.68,55,19.6323,3591.22
43.8976,3744.72,56,18.269,3353.96
43.8208,3666.34,57,19.3018,3608.32
43.9416,3873.92,58,18.9275,3582.9
44.2703,3888.36,59,22.7755,3790.43
44.0993,3904.53,60,17.7809,3402.83
43.3973,3781.24,61,18.1595,3655.75
43.6681,3971.72,62,21.742,3866.64
43.377,3901.57,63,21.0776,3859.62
44.735,3892.31,64,23.1737,3834.28
43.8661,3995.77,65,16.4301,2573.86
43.3927,4050.31,66,21.1673,3961.29
42.1567,4120.12,67,20.3088,3980.08
43.4111,4084.25,68,22.9779,4025.42
44.3243,3945.56,69,23.0149,3883.7
43.1764,4003.04,70,21.4321,3961.58
42.4851,4034.14,71,18.162,3844.27
42.392,4138.2,72,15.8196,3895.13
43.7166,4028.02,73,21.7291,4003.85
43.294,4089.38,74,21.5687,4026.75
42.3747,4075.0,75,19.348,3991.58
42.979,4203.67,76,22.1501,4114.51
43.3822,3968.35,77,20.678,3968.28
43.3179,4103.42,78,21.4824,4032.52
42.0791,4154.45,79,19.7472,4056.43
42.8094,4316.44,80,19.82,4164.08
43.2332,4141.96,81,20.7227,4076.0
42.483,4254.47,82,19.954,4124.3
42.6123,4098.23,83,20.0293,4032.07
43.0419,4129.14,84,20.7416,4070.94
42.801,4333.69,85,22.9793,4213.64
42.4789,4296.33,86,21.522,4206.79
43.2474,4276.26,87,22.903,4159.58
42.6162,4290.55,88,21.4405,4155.5
43.5734,4237.12,89,22.6344,4147.56
42.5296,4288.0,90,21.1275,4148.76
43.1465,4255.81,91,22.2698,4212.91
42.6985,4200.21,92,21.4386,4178.56
42.697,4343.72,93,20.3551,4207.41
41.859,4339.84,94,20.5932,4272.54
43.3888,4299.11,95,22.6576,4207.75
43.7901,4327.5,96,23.2076,4238.35
43.1095,4281.49,97,22.271,4241.44
42.2189,4375.82,98,21.6653,4283.46
42.8811,4215.95,99,21.4585,4157.41
42.4316,4313.12,100,21.3775,4270.92
42.797,4204.99,101,21.1058,4170.23
43.1096,4318.44,102,23.1934,4287.23
42.711,4251.8,103,20.8723,4212.07
43.3699,4280.57,104,20.9483,4218.54
43.5114,4262.4,105,22.5421,4210.26
42.7011,4300.15,106,20.9328,4265.87
43.0605,4285.42,107,20.9793,4205.12
42.8528,4283.34,108,21.0502,4224.38
43.1463,4304.38,109,20.9215,4241.73
42.8342,4349.1,110,21.2136,4263.46
42.8866,4352.88,111,20.578,4203.05
43.1672,4337.1,112,21.4918,4258.26
43.2739,4305.89,113,22.6147,4246.59
43.1377,4403.56,114,21.111,4299.14
42.4676,4435.3,115,21.576,4341.98
43.2265,4306.03,116,21.6688,4244.84
42.5376,4401.62,117,20.991,4310.41
