Running Reverse KL,Reward Loss,Running Env Steps,Itration,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
23.3848,-301.5381164550781,0,0,196.55,0,218.08,32.0555
39.0435,-332.3795471191406,5000,1,243.75,1,247.86,31.1682
34.808,-358.14959716796875,10000,2,232.43,2,240.88,31.5062
31.587,-360.7093811035156,15000,3,259.44,3,269.68,30.5839
29.7142,-332.36883544921875,20000,4,343.27,4,393.13,28.3042
23.2884,-230.09500122070312,25000,5,480.69,5,399.15,29.7517
21.6503,-221.8271942138672,30000,6,638.84,6,635.3,28.5936
19.0182,-193.55197143554688,35000,7,834.49,7,727.23,27.5865
16.5337,-173.42213439941406,40000,8,1415.1,8,1165.51,24.8764
20.1203,-276.7116394042969,45000,9,1461.25,9,988.78,24.7937
21.2048,-213.27987670898438,50000,10,1314.67,10,2146.04,24.0845
34.8396,-334.57122802734375,55000,11,944.28,11,1134.65,25.485
30.4822,-313.62152099609375,60000,12,1793.89,12,1575.27,23.929
13.0809,-61.406761169433594,65000,13,2560.01,13,2715.58,20.5537
18.9789,-131.31919860839844,70000,14,3199.95,14,2746.12,23.5003
31.5534,-259.5948791503906,75000,15,2967.51,15,2012.02,24.3852
22.0743,-142.96253967285156,80000,16,3302.85,16,2447.75,23.3204
21.3064,-183.29214477539062,85000,17,3302.3,17,2889.6,22.9055
23.224,-239.7307586669922,90000,18,3301.49,18,2478.33,23.6063
16.4139,-132.27957153320312,95000,19,3292.81,19,2928.95,23.2833
15.245,-198.10520935058594,100000,20,3323.02,20,2345.67,21.948
14.0902,-58.771522521972656,105000,21,3346.64,21,3269.01,21.6635
15.9648,-128.55088806152344,110000,22,3298.17,22,2793.82,23.2307
16.1882,-141.71878051757812,115000,23,3324.12,23,2818.18,22.7439
19.2226,-218.2638397216797,120000,24,3327.07,24,2542.09,23.4087
13.8698,-106.20245361328125,125000,25,3280.24,25,2891.29,21.0718
13.6862,-65.58218383789062,130000,26,3333.64,26,3287.45,20.5793
18.1455,-204.5828094482422,135000,27,2990.44,27,2263.6,22.5147
14.4489,-84.97721099853516,140000,28,3311.86,28,3239.84,21.5259
23.3519,-329.4833679199219,145000,29,3200.57,29,2033.56,23.6497
14.9458,-84.20470428466797,150000,30,3289.94,30,3259.31,22.013
13.1027,-80.69723510742188,155000,31,3290.8,31,3216.65,20.3057
15.3973,-78.50059509277344,160000,32,3297.52,32,3283.42,21.487
14.0014,-82.89366912841797,165000,33,71.02,33,1619.54,21.1611
15.4494,-108.46424102783203,170000,34,3368.3,34,3037.93,22.1141
16.0214,-142.5615234375,175000,35,3389.55,35,3170.01,21.0312
14.631,-81.2926025390625,180000,36,3280.22,36,3278.83,20.9191
14.8903,-75.86690521240234,185000,37,3376.08,37,3346.58,20.9861
14.051,-137.4313507080078,190000,38,3348.04,38,2966.22,20.636
12.6052,-73.3310317993164,195000,39,3350.86,39,2859.75,19.7119
14.2015,-84.40509796142578,200000,40,3373.49,40,3337.09,20.5055
13.8604,-59.47178649902344,205000,41,3432.45,41,3404.54,19.8892
13.8442,-89.40666961669922,210000,42,3353.76,42,3319.39,20.0785
14.169,-67.45809173583984,215000,43,3403.45,43,3383.79,20.4312
14.5461,-76.51972961425781,220000,44,3424.53,44,3399.84,20.4171
14.9915,-60.63658142089844,225000,45,3426.4,45,3163.0,21.0356
14.9954,-96.7847671508789,230000,46,3430.26,46,3401.35,20.9399
15.6639,-115.3841323852539,235000,47,3412.46,47,3320.55,21.3452
15.4678,-126.85933685302734,240000,48,3416.93,48,3373.48,20.405
14.0026,-101.37390899658203,245000,49,3432.61,49,3016.28,20.1136
14.3298,-101.36166381835938,250000,50,3407.99,50,2916.13,21.3979
27.6411,-355.4597473144531,255000,51,3380.91,51,1841.5,22.5323
13.2486,-120.78902435302734,260000,52,3289.15,52,1673.83,20.1185
13.3202,-100.74755859375,265000,53,3406.77,53,3375.34,19.7492
26.7417,-390.1866760253906,270000,54,1777.62,54,1610.04,21.8019
14.0952,-98.65438842773438,275000,55,3455.86,55,3355.93,20.416
21.9913,-274.3690490722656,280000,56,3430.22,56,2670.89,20.7284
15.3119,-158.57815551757812,285000,57,3444.5,57,2967.97,20.4332
13.8368,-141.47027587890625,290000,58,3458.41,58,3298.96,20.0443
12.4386,-116.0225830078125,295000,59,3354.08,59,3317.03,19.2442
15.9343,-170.03419494628906,300000,60,3446.44,60,2986.09,19.9731
19.7852,-244.81103515625,305000,61,3413.58,61,3173.73,21.0806
20.6862,-245.61807250976562,310000,62,3430.78,62,2629.48,20.9494
15.1622,-138.01980590820312,315000,63,3420.63,63,3383.99,20.6681
14.8489,-184.5226287841797,320000,64,3327.34,64,3309.97,21.1028
12.9198,-116.89716339111328,325000,65,3445.66,65,3401.72,19.5409
29.3128,-396.209716796875,330000,66,3401.87,66,2639.2,21.5084
15.1743,-149.1772003173828,335000,67,3416.55,67,3374.45,20.1654
14.8393,-157.080078125,340000,68,3336.4,68,3357.75,20.3956
35.0587,-373.5471496582031,345000,69,3183.4,69,2535.57,22.1007
13.4274,-147.11618041992188,350000,70,3268.42,70,3302.6,20.0835
15.6678,-170.593505859375,355000,71,3427.23,71,3277.24,20.4872
13.679,-149.6229248046875,360000,72,3376.67,72,3071.2,20.4844
18.2713,-188.27203369140625,365000,73,3385.94,73,3045.37,20.1767
16.2502,-169.73814392089844,370000,74,3434.03,74,3014.02,21.1005
13.3953,-140.57177734375,375000,75,3387.23,75,3078.96,19.6984
34.5648,-364.43621826171875,380000,76,3283.49,76,2416.71,21.3346
27.571,-403.9120178222656,385000,77,2876.86,77,973.05,22.135
12.4041,-142.5111846923828,390000,78,3388.43,78,3325.69,19.2836
14.2543,-166.4662322998047,395000,79,3347.33,79,3248.5,20.6796
13.1113,-143.92459106445312,400000,80,3387.75,80,3341.18,19.698
13.563,-158.52647399902344,405000,81,3403.11,81,3361.76,20.4417
17.036,-160.91763305664062,410000,82,3399.61,82,3229.65,19.8303
13.7153,-139.88710021972656,415000,83,3430.13,83,3304.3,20.0421
13.3306,-139.51248168945312,420000,84,3439.1,84,3100.6,20.3116
12.9309,-168.6659393310547,425000,85,3366.58,85,3316.67,19.8248
13.0087,-173.40444946289062,430000,86,3358.1,86,3239.6,19.6635
13.1374,-168.45005798339844,435000,87,3350.5,87,3325.06,19.65
20.6894,-197.0271453857422,440000,88,3362.0,88,3221.63,20.3358
12.4674,-161.53955078125,445000,89,3356.06,89,3332.87,18.9408
14.5454,-185.84597778320312,450000,90,3344.4,90,3173.19,19.8118
12.948,-158.2406768798828,455000,91,3421.0,91,3406.14,18.8137
13.6234,-214.5415496826172,460000,92,3374.33,92,3050.15,20.518
34.4468,-304.9259948730469,465000,93,3360.51,93,2666.29,20.9264
14.0783,-183.17526245117188,470000,94,3372.57,94,3229.3,20.151
18.9593,-268.6962890625,475000,95,3366.89,95,3146.82,20.431
27.939,-224.00865173339844,480000,96,3412.17,96,3354.19,20.1666
13.7046,-201.32106018066406,485000,97,3363.94,97,3328.13,20.6671
12.9999,-185.87762451171875,490000,98,3410.73,98,3282.15,19.9771
13.3375,-166.9306182861328,495000,99,3408.29,99,3376.3,19.2291
12.9907,-205.6637420654297,500000,100,3316.33,100,3221.31,20.394
13.5221,-236.3313446044922,505000,101,3384.44,101,3313.01,19.9361
14.3726,-211.96412658691406,510000,102,3385.51,102,3350.08,19.9677
13.1392,-219.14369201660156,515000,103,3400.48,103,3353.64,19.9268
12.8052,-186.56509399414062,520000,104,3382.31,104,3259.83,19.5972
13.669,-183.6165771484375,525000,105,3411.8,105,3398.48,19.9632
13.6706,-211.36671447753906,530000,106,3462.38,106,3170.11,20.0782
13.3272,-183.12454223632812,535000,107,3417.8,107,3398.69,19.9234
11.9316,-186.95741271972656,540000,108,3421.45,108,3382.58,19.054
12.7993,-226.3420867919922,545000,109,3360.86,109,3173.12,20.0402
12.4966,-182.31910705566406,550000,110,3447.75,110,3168.29,19.3493
12.5807,-195.52218627929688,555000,111,3387.24,111,3320.67,19.7521
13.8287,-218.70606994628906,560000,112,3402.91,112,3358.27,19.8228
12.8026,-167.5945587158203,565000,113,3456.96,113,3406.98,19.1987
28.0919,-259.5732116699219,570000,114,3414.49,114,3042.36,19.8262
13.017,-173.22743225097656,575000,115,3423.76,115,3408.26,19.2403
21.0474,-278.02239990234375,580000,116,3349.25,116,3296.26,19.9662
15.3126,-257.550537109375,585000,117,3414.89,117,3289.96,20.0058
